Date,IZ3311
2005-12-01,100.00
2006-01-01,99.10
2006-02-01,100.10
2006-03-01,100.60
2006-04-01,102.10
2006-05-01,104.30
2006-06-01,109.30
2006-07-01,111.50
2006-08-01,113.20
2006-09-01,122.70
2006-10-01,121.50
2006-11-01,119.70
2006-12-01,117.20
2007-01-01,116.90
2007-02-01,118.70
2007-03-01,121.80
2007-04-01,126.30
2007-05-01,127.80
2007-06-01,132.50
2007-07-01,135.00
2007-08-01,138.10
2007-09-01,136.40
2007-10-01,137.50
2007-11-01,138.00
2007-12-01,139.10
2008-01-01,143.80
2008-02-01,151.40
2008-03-01,161.80
2008-04-01,179.40
2008-05-01,193.10
2008-06-01,214.40
2008-07-01,217.20
2008-08-01,215.20
2008-09-01,220.30
2008-10-01,201.00
2008-11-01,184.80
2008-12-01,153.10
2009-01-01,145.60
2009-02-01,139.80
2009-03-01,126.50
2009-04-01,121.00
2009-05-01,113.70
2009-06-01,114.00
2009-07-01,115.80
2009-08-01,118.80
2009-09-01,126.20
2009-10-01,127.50
2009-11-01,130.00
2009-12-01,130.40
2010-01-01,132.20
2010-02-01,137.90
2010-03-01,146.50
2010-04-01,155.30
2010-05-01,159.10
2010-06-01,161.60
2010-07-01,157.80
2010-08-01,153.10
2010-09-01,153.20
2010-10-01,152.20
2010-11-01,154.60
2010-12-01,154.30
2011-01-01,160.60
2011-02-01,165.20
2011-03-01,175.20
2011-04-01,178.00
2011-05-01,179.60
2011-06-01,178.30
2011-07-01,178.30
2011-08-01,177.20
2011-09-01,177.40
2011-10-01,173.50
2011-11-01,169.40
2011-12-01,168.10
2012-01-01,167.40
2012-02-01,166.30
2012-03-01,165.90
2012-04-01,166.40
2012-05-01,167.80
2012-06-01,164.90
2012-07-01,161.60
2012-08-01,157.40
2012-09-01,154.00
2012-10-01,149.00
2012-11-01,148.90
2012-12-01,145.70
2013-01-01,145.10
2013-02-01,146.80
2013-03-01,147.50
2013-04-01,147.30
2013-05-01,146.20
2013-06-01,146.20
2013-07-01,145.50
2013-08-01,145.80
2013-09-01,144.10
2013-10-01,145.30
2013-11-01,145.90
2013-12-01,148.10
2014-01-01,147.80
2014-02-01,148.80
2014-03-01,150.20
2014-04-01,148.70
2014-05-01,149.40
2014-06-01,149.50
2014-07-01,150.30
2014-08-01,149.90
2014-09-01,150.00
2014-10-01,150.00
2014-11-01,148.60
2014-12-01,146.30
2015-01-01,143.20
2015-02-01,138.50
2015-03-01,134.20
2015-04-01,128.00
2015-05-01,125.40
2015-06-01,123.80
2015-07-01,121.60
2015-08-01,120.70
2015-09-01,118.80
2015-10-01,115.50
2015-11-01,111.60
2015-12-01,109.40
2016-01-01,104.60
2016-02-01,103.70
2016-03-01,103.90
2016-04-01,106.90
2016-05-01,111.70
2016-06-01,115.50
2016-07-01,118.60
2016-08-01,119.70
2016-09-01,117.20
2016-10-01,116.00
2016-11-01,115.60
2016-12-01,119.40
2017-01-01,125.60
2017-02-01,129.70
2017-03-01,132.90
2017-04-01,134.60
2017-05-01,135.40
2017-06-01,134.90
2017-07-01,134.80
2017-08-01,134.50
2017-09-01,137.00
2017-10-01,140.40
2017-11-01,140.70
2017-12-01,139.10
2018-01-01,141.70
2018-02-01,145.00
2018-03-01,149.10
2018-04-01,153.60
2018-05-01,156.40
