Date,IZ334
2005-12-01,100.00
2006-01-01,99.60
2006-02-01,99.30
2006-03-01,99.10
2006-04-01,98.60
2006-05-01,98.30
2006-06-01,98.10
2006-07-01,97.90
2006-08-01,97.80
2006-09-01,97.60
2006-10-01,97.60
2006-11-01,97.50
2006-12-01,97.40
2007-01-01,96.60
2007-02-01,95.90
2007-03-01,95.60
2007-04-01,95.00
2007-05-01,94.90
2007-06-01,94.80
2007-07-01,94.70
2007-08-01,94.90
2007-09-01,94.90
2007-10-01,94.70
2007-11-01,94.60
2007-12-01,94.50
2008-01-01,93.90
2008-02-01,93.60
2008-03-01,93.50
2008-04-01,93.60
2008-05-01,93.60
2008-06-01,93.10
2008-07-01,92.60
2008-08-01,92.40
2008-09-01,92.10
2008-10-01,91.80
2008-11-01,91.30
2008-12-01,90.70
2009-01-01,89.80
2009-02-01,89.50
2009-03-01,88.90
2009-04-01,89.00
2009-05-01,89.20
2009-06-01,89.00
2009-07-01,89.00
2009-08-01,89.00
2009-09-01,89.00
2009-10-01,89.00
2009-11-01,88.90
2009-12-01,88.60
2010-01-01,88.20
2010-02-01,88.10
2010-03-01,87.80
2010-04-01,87.60
2010-05-01,87.70
2010-06-01,87.30
2010-07-01,86.60
2010-08-01,86.20
2010-09-01,86.30
2010-10-01,85.70
2010-11-01,85.50
2010-12-01,85.10
2011-01-01,84.50
2011-02-01,84.60
2011-03-01,84.50
2011-04-01,84.10
2011-05-01,83.90
2011-06-01,83.70
2011-07-01,83.30
2011-08-01,83.20
2011-09-01,83.10
2011-10-01,82.60
2011-11-01,82.60
2011-12-01,82.90
2012-01-01,83.10
2012-02-01,83.00
2012-03-01,82.80
2012-04-01,82.40
2012-05-01,82.30
2012-06-01,82.20
2012-07-01,82.30
2012-08-01,82.20
2012-09-01,82.40
2012-10-01,82.20
2012-11-01,81.80
2012-12-01,81.80
2013-01-01,81.60
2013-02-01,81.40
2013-03-01,81.20
2013-04-01,81.10
2013-05-01,81.00
2013-06-01,81.00
2013-07-01,80.90
2013-08-01,80.70
2013-09-01,80.60
2013-10-01,80.50
2013-11-01,80.60
2013-12-01,80.50
2014-01-01,80.30
2014-02-01,80.10
2014-03-01,80.00
2014-04-01,80.00
2014-05-01,80.20
2014-06-01,80.20
2014-07-01,79.90
2014-08-01,79.70
2014-09-01,79.60
2014-10-01,79.50
2014-11-01,79.40
2014-12-01,79.20
2015-01-01,78.80
2015-02-01,78.60
2015-03-01,78.50
2015-04-01,78.40
2015-05-01,78.10
2015-06-01,78.00
2015-07-01,77.90
2015-08-01,77.80
2015-09-01,77.60
2015-10-01,77.50
2015-11-01,77.40
2015-12-01,77.30
2016-01-01,77.10
2016-02-01,77.10
2016-03-01,76.90
2016-04-01,76.70
2016-05-01,76.70
2016-06-01,76.50
2016-07-01,76.40
2016-08-01,76.20
2016-09-01,76.30
2016-10-01,76.30
2016-11-01,75.80
2016-12-01,76.00
2017-01-01,75.80
2017-02-01,75.80
2017-03-01,75.80
2017-04-01,75.80
2017-05-01,75.80
2017-06-01,75.90
2017-07-01,76.00
2017-08-01,76.00
2017-09-01,75.70
2017-10-01,75.70
2017-11-01,75.70
2017-12-01,75.60
2018-01-01,75.50
2018-02-01,75.60
2018-03-01,75.60
2018-04-01,75.60
2018-05-01,75.30
