Date,IZ33591
2009-12-01,100.00
2010-01-01,102.00
2010-02-01,101.20
2010-03-01,101.20
2010-04-01,102.60
2010-05-01,101.60
2010-06-01,101.40
2010-07-01,101.20
2010-08-01,101.40
2010-09-01,101.90
2010-10-01,101.90
2010-11-01,101.70
2010-12-01,101.80
2011-01-01,101.90
2011-02-01,102.90
2011-03-01,103.10
2011-04-01,104.40
2011-05-01,104.40
2011-06-01,104.30
2011-07-01,104.20
2011-08-01,103.70
2011-09-01,103.40
2011-10-01,103.30
2011-11-01,102.60
2011-12-01,102.40
2012-01-01,102.20
2012-02-01,102.00
2012-03-01,102.10
2012-04-01,101.70
2012-05-01,101.70
2012-06-01,101.70
2012-07-01,102.40
2012-08-01,102.30
2012-09-01,102.10
2012-10-01,102.00
2012-11-01,102.20
2012-12-01,102.40
2013-01-01,102.60
2013-02-01,102.90
2013-03-01,103.20
2013-04-01,103.10
2013-05-01,103.00
2013-06-01,102.90
2013-07-01,103.00
2013-08-01,103.10
2013-09-01,103.20
2013-10-01,101.10
2013-11-01,101.00
2013-12-01,101.00
2014-01-01,100.80
2014-02-01,100.80
2014-03-01,100.80
2014-04-01,100.70
2014-05-01,100.80
2014-06-01,98.90
2014-07-01,99.40
2014-08-01,99.20
2014-09-01,99.20
2014-10-01,99.30
2014-11-01,98.90
2014-12-01,98.90
2015-01-01,98.00
2015-02-01,97.90
2015-03-01,97.10
2015-04-01,96.30
2015-05-01,96.20
2015-06-01,96.30
2015-07-01,96.50
2015-08-01,96.40
2015-09-01,96.20
2015-10-01,96.30
2015-11-01,96.00
2015-12-01,96.20
2016-01-01,96.00
2016-02-01,94.90
2016-03-01,94.90
2016-04-01,93.50
2016-05-01,93.50
2016-06-01,93.70
2016-07-01,93.80
2016-08-01,93.90
2016-09-01,93.90
2016-10-01,93.80
2016-11-01,93.60
2016-12-01,93.50
2017-01-01,93.40
2017-02-01,92.20
2017-03-01,92.20
2017-04-01,92.90
2017-05-01,93.00
2017-06-01,91.80
2017-07-01,91.90
2017-08-01,92.20
2017-09-01,92.10
2017-10-01,92.20
2017-11-01,92.20
2017-12-01,92.20
2018-01-01,93.40
2018-02-01,95.10
2018-03-01,95.30
2018-04-01,95.10
2018-05-01,95.50
