Date,JTS3000HIL
2000-12-01,512000.00
2001-01-01,507000.00
2001-02-01,451000.00
2001-03-01,456000.00
2001-04-01,446000.00
2001-05-01,395000.00
2001-06-01,393000.00
2001-07-01,370000.00
2001-08-01,357000.00
2001-09-01,339000.00
2001-10-01,373000.00
2001-11-01,356000.00
2001-12-01,365000.00
2002-01-01,355000.00
2002-02-01,393000.00
2002-03-01,359000.00
2002-04-01,406000.00
2002-05-01,399000.00
2002-06-01,394000.00
2002-07-01,402000.00
2002-08-01,368000.00
2002-09-01,387000.00
2002-10-01,347000.00
2002-11-01,371000.00
2002-12-01,362000.00
2003-01-01,393000.00
2003-02-01,353000.00
2003-03-01,335000.00
2003-04-01,311000.00
2003-05-01,320000.00
2003-06-01,332000.00
2003-07-01,322000.00
2003-08-01,343000.00
2003-09-01,340000.00
2003-10-01,351000.00
2003-11-01,356000.00
2003-12-01,367000.00
2004-01-01,370000.00
2004-02-01,367000.00
2004-03-01,394000.00
2004-04-01,416000.00
2004-05-01,383000.00
2004-06-01,371000.00
2004-07-01,385000.00
2004-08-01,400000.00
2004-09-01,386000.00
2004-10-01,379000.00
2004-11-01,376000.00
2004-12-01,362000.00
2005-01-01,358000.00
2005-02-01,367000.00
2005-03-01,369000.00
2005-04-01,370000.00
2005-05-01,361000.00
2005-06-01,348000.00
2005-07-01,377000.00
2005-08-01,373000.00
2005-09-01,387000.00
2005-10-01,370000.00
2005-11-01,376000.00
2005-12-01,372000.00
2006-01-01,376000.00
2006-02-01,370000.00
2006-03-01,421000.00
2006-04-01,360000.00
2006-05-01,384000.00
2006-06-01,406000.00
2006-07-01,388000.00
2006-08-01,375000.00
2006-09-01,353000.00
2006-10-01,347000.00
2006-11-01,364000.00
2006-12-01,374000.00
2007-01-01,380000.00
2007-02-01,400000.00
2007-03-01,377000.00
2007-04-01,361000.00
2007-05-01,370000.00
2007-06-01,378000.00
2007-07-01,367000.00
2007-08-01,367000.00
2007-09-01,367000.00
2007-10-01,392000.00
2007-11-01,388000.00
2007-12-01,344000.00
2008-01-01,339000.00
2008-02-01,322000.00
2008-03-01,315000.00
2008-04-01,330000.00
2008-05-01,317000.00
2008-06-01,306000.00
2008-07-01,263000.00
2008-08-01,279000.00
2008-09-01,292000.00
2008-10-01,302000.00
2008-11-01,239000.00
2008-12-01,263000.00
2009-01-01,210000.00
2009-02-01,238000.00
2009-03-01,231000.00
2009-04-01,212000.00
2009-05-01,196000.00
2009-06-01,201000.00
2009-07-01,245000.00
2009-08-01,244000.00
2009-09-01,268000.00
2009-10-01,237000.00
2009-11-01,240000.00
2009-12-01,234000.00
2010-01-01,274000.00
2010-02-01,256000.00
2010-03-01,250000.00
2010-04-01,273000.00
2010-05-01,248000.00
2010-06-01,256000.00
2010-07-01,271000.00
2010-08-01,260000.00
2010-09-01,262000.00
2010-10-01,271000.00
2010-11-01,287000.00
2010-12-01,265000.00
2011-01-01,264000.00
2011-02-01,264000.00
2011-03-01,270000.00
2011-04-01,260000.00
2011-05-01,252000.00
2011-06-01,255000.00
2011-07-01,261000.00
2011-08-01,258000.00
2011-09-01,236000.00
2011-10-01,239000.00
2011-11-01,228000.00
2011-12-01,264000.00
2012-01-01,260000.00
2012-02-01,258000.00
2012-03-01,266000.00
2012-04-01,259000.00
2012-05-01,259000.00
2012-06-01,269000.00
2012-07-01,246000.00
2012-08-01,231000.00
2012-09-01,217000.00
2012-10-01,245000.00
2012-11-01,233000.00
2012-12-01,226000.00
2013-01-01,239000.00
2013-02-01,241000.00
2013-03-01,206000.00
2013-04-01,243000.00
2013-05-01,256000.00
2013-06-01,227000.00
2013-07-01,229000.00
2013-08-01,265000.00
2013-09-01,256000.00
2013-10-01,230000.00
2013-11-01,251000.00
2013-12-01,256000.00
2014-01-01,243000.00
2014-02-01,239000.00
2014-03-01,254000.00
2014-04-01,252000.00
2014-05-01,242000.00
2014-06-01,269000.00
2014-07-01,265000.00
2014-08-01,246000.00
2014-09-01,280000.00
2014-10-01,289000.00
2014-11-01,275000.00
2014-12-01,282000.00
2015-01-01,251000.00
2015-02-01,258000.00
2015-03-01,261000.00
2015-04-01,257000.00
2015-05-01,253000.00
2015-06-01,266000.00
2015-07-01,272000.00
2015-08-01,274000.00
2015-09-01,282000.00
2015-10-01,288000.00
2015-11-01,278000.00
2015-12-01,276000.00
2016-01-01,281000.00
2016-02-01,289000.00
2016-03-01,258000.00
2016-04-01,271000.00
2016-05-01,271000.00
2016-06-01,281000.00
2016-07-01,287000.00
2016-08-01,261000.00
2016-09-01,283000.00
2016-10-01,285000.00
2016-11-01,286000.00
2016-12-01,301000.00
2017-01-01,308000.00
2017-02-01,297000.00
2017-03-01,323000.00
2017-04-01,311000.00
2017-05-01,332000.00
2017-06-01,326000.00
2017-07-01,339000.00
2017-08-01,364000.00
2017-09-01,330000.00
2017-10-01,343000.00
2017-11-01,344000.00
2017-12-01,348000.00
2018-01-01,360000.00
2018-02-01,382000.00
2018-03-01,353000.00
2018-04-01,346000.00
