Date,JTS3400TSL
2000-12-01,253000.00
2001-01-01,243000.00
2001-02-01,211000.00
2001-03-01,227000.00
2001-04-01,231000.00
2001-05-01,230000.00
2001-06-01,229000.00
2001-07-01,211000.00
2001-08-01,223000.00
2001-09-01,189000.00
2001-10-01,218000.00
2001-11-01,199000.00
2001-12-01,200000.00
2002-01-01,181000.00
2002-02-01,189000.00
2002-03-01,158000.00
2002-04-01,183000.00
2002-05-01,182000.00
2002-06-01,175000.00
2002-07-01,191000.00
2002-08-01,172000.00
2002-09-01,169000.00
2002-10-01,163000.00
2002-11-01,167000.00
2002-12-01,176000.00
2003-01-01,171000.00
2003-02-01,169000.00
2003-03-01,160000.00
2003-04-01,159000.00
2003-05-01,145000.00
2003-06-01,153000.00
2003-07-01,172000.00
2003-08-01,141000.00
2003-09-01,148000.00
2003-10-01,152000.00
2003-11-01,143000.00
2003-12-01,146000.00
2004-01-01,154000.00
2004-02-01,146000.00
2004-03-01,149000.00
2004-04-01,162000.00
2004-05-01,155000.00
2004-06-01,141000.00
2004-07-01,152000.00
2004-08-01,148000.00
2004-09-01,148000.00
2004-10-01,140000.00
2004-11-01,171000.00
2004-12-01,152000.00
2005-01-01,145000.00
2005-02-01,123000.00
2005-03-01,159000.00
2005-04-01,139000.00
2005-05-01,129000.00
2005-06-01,134000.00
2005-07-01,142000.00
2005-08-01,154000.00
2005-09-01,151000.00
2005-10-01,146000.00
2005-11-01,146000.00
2005-12-01,144000.00
2006-01-01,166000.00
2006-02-01,160000.00
2006-03-01,187000.00
2006-04-01,146000.00
2006-05-01,189000.00
2006-06-01,159000.00
2006-07-01,157000.00
2006-08-01,159000.00
2006-09-01,155000.00
2006-10-01,151000.00
2006-11-01,158000.00
2006-12-01,194000.00
2007-01-01,155000.00
2007-02-01,170000.00
2007-03-01,170000.00
2007-04-01,162000.00
2007-05-01,161000.00
2007-06-01,157000.00
2007-07-01,162000.00
2007-08-01,164000.00
2007-09-01,161000.00
2007-10-01,161000.00
2007-11-01,171000.00
2007-12-01,166000.00
2008-01-01,153000.00
2008-02-01,154000.00
2008-03-01,146000.00
2008-04-01,159000.00
2008-05-01,157000.00
2008-06-01,161000.00
2008-07-01,127000.00
2008-08-01,117000.00
2008-09-01,150000.00
2008-10-01,150000.00
2008-11-01,142000.00
2008-12-01,148000.00
2009-01-01,154000.00
2009-02-01,152000.00
2009-03-01,143000.00
2009-04-01,125000.00
2009-05-01,138000.00
2009-06-01,139000.00
2009-07-01,148000.00
2009-08-01,131000.00
2009-09-01,132000.00
2009-10-01,130000.00
2009-11-01,109000.00
2009-12-01,115000.00
2010-01-01,99000.00
2010-02-01,120000.00
2010-03-01,124000.00
2010-04-01,123000.00
2010-05-01,92000.00
2010-06-01,111000.00
2010-07-01,110000.00
2010-08-01,131000.00
2010-09-01,114000.00
2010-10-01,122000.00
2010-11-01,119000.00
2010-12-01,111000.00
2011-01-01,112000.00
2011-02-01,101000.00
2011-03-01,118000.00
2011-04-01,119000.00
2011-05-01,107000.00
2011-06-01,109000.00
2011-07-01,109000.00
2011-08-01,109000.00
2011-09-01,101000.00
2011-10-01,100000.00
2011-11-01,103000.00
2011-12-01,102000.00
2012-01-01,107000.00
2012-02-01,107000.00
2012-03-01,98000.00
2012-04-01,105000.00
2012-05-01,109000.00
2012-06-01,102000.00
2012-07-01,95000.00
2012-08-01,87000.00
2012-09-01,83000.00
2012-10-01,89000.00
2012-11-01,90000.00
2012-12-01,89000.00
2013-01-01,86000.00
2013-02-01,92000.00
2013-03-01,83000.00
2013-04-01,88000.00
2013-05-01,101000.00
2013-06-01,91000.00
2013-07-01,92000.00
2013-08-01,114000.00
2013-09-01,98000.00
2013-10-01,83000.00
2013-11-01,92000.00
2013-12-01,97000.00
2014-01-01,106000.00
2014-02-01,98000.00
2014-03-01,112000.00
2014-04-01,96000.00
2014-05-01,97000.00
2014-06-01,106000.00
2014-07-01,103000.00
2014-08-01,99000.00
2014-09-01,114000.00
2014-10-01,107000.00
2014-11-01,101000.00
2014-12-01,111000.00
2015-01-01,103000.00
2015-02-01,103000.00
2015-03-01,104000.00
2015-04-01,106000.00
2015-05-01,100000.00
2015-06-01,111000.00
2015-07-01,92000.00
2015-08-01,108000.00
2015-09-01,103000.00
2015-10-01,121000.00
2015-11-01,121000.00
2015-12-01,96000.00
2016-01-01,109000.00
2016-02-01,119000.00
2016-03-01,109000.00
2016-04-01,116000.00
2016-05-01,111000.00
2016-06-01,101000.00
2016-07-01,108000.00
2016-08-01,116000.00
2016-09-01,118000.00
2016-10-01,124000.00
2016-11-01,122000.00
2016-12-01,123000.00
2017-01-01,132000.00
2017-02-01,126000.00
2017-03-01,146000.00
2017-04-01,150000.00
2017-05-01,152000.00
2017-06-01,136000.00
2017-07-01,137000.00
2017-08-01,129000.00
2017-09-01,136000.00
2017-10-01,137000.00
2017-11-01,148000.00
2017-12-01,148000.00
2018-01-01,148000.00
2018-02-01,159000.00
2018-03-01,145000.00
2018-04-01,140000.00
