Date,JTS4000TSL
2000-12-01,1119000.00
2001-01-01,1315000.00
2001-02-01,1143000.00
2001-03-01,1226000.00
2001-04-01,1204000.00
2001-05-01,1196000.00
2001-06-01,1147000.00
2001-07-01,1162000.00
2001-08-01,1007000.00
2001-09-01,1103000.00
2001-10-01,1162000.00
2001-11-01,1053000.00
2001-12-01,1037000.00
2002-01-01,1092000.00
2002-02-01,1023000.00
2002-03-01,962000.00
2002-04-01,1016000.00
2002-05-01,1042000.00
2002-06-01,1007000.00
2002-07-01,1036000.00
2002-08-01,1036000.00
2002-09-01,1024000.00
2002-10-01,983000.00
2002-11-01,1011000.00
2002-12-01,971000.00
2003-01-01,1015000.00
2003-02-01,1001000.00
2003-03-01,988000.00
2003-04-01,944000.00
2003-05-01,929000.00
2003-06-01,970000.00
2003-07-01,966000.00
2003-08-01,947000.00
2003-09-01,972000.00
2003-10-01,1040000.00
2003-11-01,977000.00
2003-12-01,1038000.00
2004-01-01,1031000.00
2004-02-01,1008000.00
2004-03-01,1042000.00
2004-04-01,1113000.00
2004-05-01,1021000.00
2004-06-01,995000.00
2004-07-01,1098000.00
2004-08-01,1063000.00
2004-09-01,1013000.00
2004-10-01,1060000.00
2004-11-01,1145000.00
2004-12-01,1079000.00
2005-01-01,1084000.00
2005-02-01,1052000.00
2005-03-01,1137000.00
2005-04-01,1068000.00
2005-05-01,1097000.00
2005-06-01,1094000.00
2005-07-01,1066000.00
2005-08-01,1101000.00
2005-09-01,1138000.00
2005-10-01,1055000.00
2005-11-01,1075000.00
2005-12-01,1116000.00
2006-01-01,1055000.00
2006-02-01,1093000.00
2006-03-01,1081000.00
2006-04-01,1127000.00
2006-05-01,1195000.00
2006-06-01,1158000.00
2006-07-01,1097000.00
2006-08-01,1117000.00
2006-09-01,1062000.00
2006-10-01,1071000.00
2006-11-01,1097000.00
2006-12-01,1069000.00
2007-01-01,1100000.00
2007-02-01,1059000.00
2007-03-01,1055000.00
2007-04-01,1065000.00
2007-05-01,1089000.00
2007-06-01,1046000.00
2007-07-01,1043000.00
2007-08-01,1043000.00
2007-09-01,1054000.00
2007-10-01,1105000.00
2007-11-01,1064000.00
2007-12-01,1063000.00
2008-01-01,1072000.00
2008-02-01,1052000.00
2008-03-01,979000.00
2008-04-01,1085000.00
2008-05-01,980000.00
2008-06-01,1050000.00
2008-07-01,1040000.00
2008-08-01,1055000.00
2008-09-01,1022000.00
2008-10-01,1036000.00
2008-11-01,968000.00
2008-12-01,1059000.00
2009-01-01,1012000.00
2009-02-01,887000.00
2009-03-01,969000.00
2009-04-01,972000.00
2009-05-01,859000.00
2009-06-01,768000.00
2009-07-01,834000.00
2009-08-01,813000.00
2009-09-01,914000.00
2009-10-01,809000.00
2009-11-01,790000.00
2009-12-01,867000.00
2010-01-01,726000.00
2010-02-01,764000.00
2010-03-01,836000.00
2010-04-01,774000.00
2010-05-01,748000.00
2010-06-01,804000.00
2010-07-01,825000.00
2010-08-01,769000.00
2010-09-01,801000.00
2010-10-01,741000.00
2010-11-01,791000.00
2010-12-01,761000.00
2011-01-01,784000.00
2011-02-01,772000.00
2011-03-01,792000.00
2011-04-01,725000.00
2011-05-01,805000.00
2011-06-01,789000.00
2011-07-01,787000.00
2011-08-01,788000.00
2011-09-01,812000.00
2011-10-01,805000.00
2011-11-01,770000.00
2011-12-01,812000.00
2012-01-01,803000.00
2012-02-01,806000.00
2012-03-01,821000.00
2012-04-01,855000.00
2012-05-01,831000.00
2012-06-01,869000.00
2012-07-01,841000.00
2012-08-01,910000.00
2012-09-01,832000.00
2012-10-01,848000.00
2012-11-01,785000.00
2012-12-01,879000.00
2013-01-01,881000.00
2013-02-01,875000.00
2013-03-01,816000.00
2013-04-01,857000.00
2013-05-01,858000.00
2013-06-01,801000.00
2013-07-01,882000.00
2013-08-01,927000.00
2013-09-01,911000.00
2013-10-01,933000.00
2013-11-01,951000.00
2013-12-01,898000.00
2014-01-01,957000.00
2014-02-01,968000.00
2014-03-01,973000.00
2014-04-01,1007000.00
2014-05-01,1039000.00
2014-06-01,1010000.00
2014-07-01,1063000.00
2014-08-01,1003000.00
2014-09-01,1004000.00
2014-10-01,1089000.00
2014-11-01,1033000.00
2014-12-01,1070000.00
2015-01-01,1071000.00
2015-02-01,937000.00
2015-03-01,1067000.00
2015-04-01,1037000.00
2015-05-01,1038000.00
2015-06-01,1070000.00
2015-07-01,1094000.00
2015-08-01,1071000.00
2015-09-01,1064000.00
2015-10-01,1023000.00
2015-11-01,1038000.00
2015-12-01,1085000.00
2016-01-01,1061000.00
2016-02-01,1037000.00
2016-03-01,1004000.00
2016-04-01,1009000.00
2016-05-01,1018000.00
2016-06-01,1028000.00
2016-07-01,1020000.00
2016-08-01,1064000.00
2016-09-01,1060000.00
2016-10-01,1061000.00
2016-11-01,1014000.00
2016-12-01,948000.00
2017-01-01,1023000.00
2017-02-01,1047000.00
2017-03-01,1066000.00
2017-04-01,960000.00
2017-05-01,1055000.00
2017-06-01,1076000.00
2017-07-01,1019000.00
2017-08-01,1016000.00
2017-09-01,991000.00
2017-10-01,1014000.00
2017-11-01,1015000.00
2017-12-01,1050000.00
2018-01-01,1061000.00
2018-02-01,1010000.00
2018-03-01,1067000.00
2018-04-01,1093000.00
