Date,JTS540099QUL
2000-12-01,505000.00
2001-01-01,710000.00
2001-02-01,549000.00
2001-03-01,583000.00
2001-04-01,566000.00
2001-05-01,581000.00
2001-06-01,549000.00
2001-07-01,523000.00
2001-08-01,480000.00
2001-09-01,443000.00
2001-10-01,527000.00
2001-11-01,456000.00
2001-12-01,430000.00
2002-01-01,578000.00
2002-02-01,493000.00
2002-03-01,463000.00
2002-04-01,484000.00
2002-05-01,585000.00
2002-06-01,429000.00
2002-07-01,484000.00
2002-08-01,485000.00
2002-09-01,488000.00
2002-10-01,500000.00
2002-11-01,515000.00
2002-12-01,512000.00
2003-01-01,480000.00
2003-02-01,443000.00
2003-03-01,429000.00
2003-04-01,430000.00
2003-05-01,377000.00
2003-06-01,415000.00
2003-07-01,416000.00
2003-08-01,383000.00
2003-09-01,430000.00
2003-10-01,414000.00
2003-11-01,399000.00
2003-12-01,420000.00
2004-01-01,355000.00
2004-02-01,368000.00
2004-03-01,467000.00
2004-04-01,380000.00
2004-05-01,343000.00
2004-06-01,436000.00
2004-07-01,428000.00
2004-08-01,478000.00
2004-09-01,426000.00
2004-10-01,431000.00
2004-11-01,461000.00
2004-12-01,478000.00
2005-01-01,490000.00
2005-02-01,493000.00
2005-03-01,503000.00
2005-04-01,524000.00
2005-05-01,512000.00
2005-06-01,467000.00
2005-07-01,414000.00
2005-08-01,467000.00
2005-09-01,510000.00
2005-10-01,426000.00
2005-11-01,404000.00
2005-12-01,424000.00
2006-01-01,477000.00
2006-02-01,454000.00
2006-03-01,495000.00
2006-04-01,482000.00
2006-05-01,498000.00
2006-06-01,475000.00
2006-07-01,463000.00
2006-08-01,499000.00
2006-09-01,565000.00
2006-10-01,486000.00
2006-11-01,555000.00
2006-12-01,536000.00
2007-01-01,538000.00
2007-02-01,531000.00
2007-03-01,521000.00
2007-04-01,468000.00
2007-05-01,462000.00
2007-06-01,445000.00
2007-07-01,498000.00
2007-08-01,480000.00
2007-09-01,451000.00
2007-10-01,470000.00
2007-11-01,462000.00
2007-12-01,432000.00
2008-01-01,439000.00
2008-02-01,487000.00
2008-03-01,402000.00
2008-04-01,538000.00
2008-05-01,453000.00
2008-06-01,466000.00
2008-07-01,449000.00
2008-08-01,369000.00
2008-09-01,404000.00
2008-10-01,427000.00
2008-11-01,356000.00
2008-12-01,385000.00
2009-01-01,362000.00
2009-02-01,312000.00
2009-03-01,268000.00
2009-04-01,274000.00
2009-05-01,295000.00
2009-06-01,272000.00
2009-07-01,255000.00
2009-08-01,237000.00
2009-09-01,250000.00
2009-10-01,275000.00
2009-11-01,284000.00
2009-12-01,256000.00
2010-01-01,263000.00
2010-02-01,286000.00
2010-03-01,302000.00
2010-04-01,351000.00
2010-05-01,307000.00
2010-06-01,353000.00
2010-07-01,339000.00
2010-08-01,373000.00
2010-09-01,341000.00
2010-10-01,362000.00
2010-11-01,296000.00
2010-12-01,392000.00
2011-01-01,371000.00
2011-02-01,391000.00
2011-03-01,389000.00
2011-04-01,359000.00
2011-05-01,366000.00
2011-06-01,350000.00
2011-07-01,382000.00
2011-08-01,391000.00
2011-09-01,390000.00
2011-10-01,353000.00
2011-11-01,367000.00
2011-12-01,348000.00
2012-01-01,357000.00
2012-02-01,393000.00
2012-03-01,407000.00
2012-04-01,369000.00
2012-05-01,404000.00
2012-06-01,369000.00
2012-07-01,339000.00
2012-08-01,348000.00
2012-09-01,347000.00
2012-10-01,323000.00
2012-11-01,346000.00
2012-12-01,412000.00
2013-01-01,357000.00
2013-02-01,360000.00
2013-03-01,370000.00
2013-04-01,421000.00
2013-05-01,423000.00
2013-06-01,494000.00
2013-07-01,501000.00
2013-08-01,459000.00
2013-09-01,476000.00
2013-10-01,472000.00
2013-11-01,491000.00
2013-12-01,448000.00
2014-01-01,460000.00
2014-02-01,439000.00
2014-03-01,529000.00
2014-04-01,457000.00
2014-05-01,440000.00
2014-06-01,429000.00
2014-07-01,458000.00
2014-08-01,446000.00
2014-09-01,560000.00
2014-10-01,540000.00
2014-11-01,448000.00
2014-12-01,403000.00
2015-01-01,546000.00
2015-02-01,514000.00
2015-03-01,510000.00
2015-04-01,508000.00
2015-05-01,503000.00
2015-06-01,514000.00
2015-07-01,476000.00
2015-08-01,539000.00
2015-09-01,477000.00
2015-10-01,543000.00
2015-11-01,553000.00
2015-12-01,593000.00
2016-01-01,591000.00
2016-02-01,600000.00
2016-03-01,576000.00
2016-04-01,593000.00
2016-05-01,636000.00
2016-06-01,606000.00
2016-07-01,656000.00
2016-08-01,646000.00
2016-09-01,631000.00
2016-10-01,617000.00
2016-11-01,593000.00
2016-12-01,580000.00
2017-01-01,624000.00
2017-02-01,567000.00
2017-03-01,590000.00
2017-04-01,602000.00
2017-05-01,605000.00
2017-06-01,624000.00
2017-07-01,630000.00
2017-08-01,652000.00
2017-09-01,713000.00
2017-10-01,641000.00
2017-11-01,712000.00
2017-12-01,747000.00
2018-01-01,641000.00
2018-02-01,690000.00
2018-03-01,715000.00
2018-04-01,709000.00
