Date,JTS6000HIL
2000-12-01,529000.00
2001-01-01,502000.00
2001-02-01,534000.00
2001-03-01,533000.00
2001-04-01,493000.00
2001-05-01,510000.00
2001-06-01,487000.00
2001-07-01,522000.00
2001-08-01,522000.00
2001-09-01,528000.00
2001-10-01,515000.00
2001-11-01,510000.00
2001-12-01,471000.00
2002-01-01,518000.00
2002-02-01,480000.00
2002-03-01,468000.00
2002-04-01,489000.00
2002-05-01,474000.00
2002-06-01,511000.00
2002-07-01,499000.00
2002-08-01,463000.00
2002-09-01,460000.00
2002-10-01,460000.00
2002-11-01,449000.00
2002-12-01,477000.00
2003-01-01,506000.00
2003-02-01,455000.00
2003-03-01,448000.00
2003-04-01,472000.00
2003-05-01,478000.00
2003-06-01,481000.00
2003-07-01,460000.00
2003-08-01,460000.00
2003-09-01,514000.00
2003-10-01,495000.00
2003-11-01,472000.00
2003-12-01,460000.00
2004-01-01,480000.00
2004-02-01,482000.00
2004-03-01,479000.00
2004-04-01,474000.00
2004-05-01,464000.00
2004-06-01,444000.00
2004-07-01,465000.00
2004-08-01,493000.00
2004-09-01,467000.00
2004-10-01,505000.00
2004-11-01,499000.00
2004-12-01,510000.00
2005-01-01,494000.00
2005-02-01,498000.00
2005-03-01,522000.00
2005-04-01,522000.00
2005-05-01,513000.00
2005-06-01,511000.00
2005-07-01,503000.00
2005-08-01,515000.00
2005-09-01,543000.00
2005-10-01,499000.00
2005-11-01,512000.00
2005-12-01,510000.00
2006-01-01,494000.00
2006-02-01,500000.00
2006-03-01,495000.00
2006-04-01,512000.00
2006-05-01,583000.00
2006-06-01,507000.00
2006-07-01,551000.00
2006-08-01,525000.00
2006-09-01,539000.00
2006-10-01,543000.00
2006-11-01,535000.00
2006-12-01,535000.00
2007-01-01,541000.00
2007-02-01,523000.00
2007-03-01,544000.00
2007-04-01,542000.00
2007-05-01,552000.00
2007-06-01,557000.00
2007-07-01,509000.00
2007-08-01,542000.00
2007-09-01,543000.00
2007-10-01,548000.00
2007-11-01,561000.00
2007-12-01,501000.00
2008-01-01,563000.00
2008-02-01,580000.00
2008-03-01,571000.00
2008-04-01,579000.00
2008-05-01,552000.00
2008-06-01,516000.00
2008-07-01,538000.00
2008-08-01,535000.00
2008-09-01,502000.00
2008-10-01,548000.00
2008-11-01,497000.00
2008-12-01,507000.00
2009-01-01,525000.00
2009-02-01,530000.00
2009-03-01,488000.00
2009-04-01,477000.00
2009-05-01,472000.00
2009-06-01,499000.00
2009-07-01,510000.00
2009-08-01,535000.00
2009-09-01,523000.00
2009-10-01,506000.00
2009-11-01,489000.00
2009-12-01,495000.00
2010-01-01,449000.00
2010-02-01,468000.00
2010-03-01,516000.00
2010-04-01,479000.00
2010-05-01,466000.00
2010-06-01,505000.00
2010-07-01,526000.00
2010-08-01,466000.00
2010-09-01,504000.00
2010-10-01,500000.00
2010-11-01,522000.00
2010-12-01,491000.00
2011-01-01,448000.00
2011-02-01,470000.00
2011-03-01,462000.00
2011-04-01,492000.00
2011-05-01,467000.00
2011-06-01,514000.00
2011-07-01,484000.00
2011-08-01,503000.00
2011-09-01,490000.00
2011-10-01,490000.00
2011-11-01,512000.00
2011-12-01,507000.00
2012-01-01,522000.00
2012-02-01,568000.00
2012-03-01,526000.00
2012-04-01,492000.00
2012-05-01,545000.00
2012-06-01,517000.00
2012-07-01,505000.00
2012-08-01,504000.00
2012-09-01,497000.00
2012-10-01,508000.00
2012-11-01,491000.00
2012-12-01,539000.00
2013-01-01,530000.00
2013-02-01,518000.00
2013-03-01,538000.00
2013-04-01,560000.00
2013-05-01,562000.00
2013-06-01,472000.00
2013-07-01,545000.00
2013-08-01,577000.00
2013-09-01,536000.00
2013-10-01,521000.00
2013-11-01,532000.00
2013-12-01,537000.00
2014-01-01,572000.00
2014-02-01,534000.00
2014-03-01,579000.00
2014-04-01,575000.00
2014-05-01,536000.00
2014-06-01,547000.00
2014-07-01,575000.00
2014-08-01,520000.00
2014-09-01,640000.00
2014-10-01,608000.00
2014-11-01,576000.00
2014-12-01,602000.00
2015-01-01,588000.00
2015-02-01,616000.00
2015-03-01,591000.00
2015-04-01,605000.00
2015-05-01,604000.00
2015-06-01,593000.00
2015-07-01,624000.00
2015-08-01,605000.00
2015-09-01,634000.00
2015-10-01,654000.00
2015-11-01,675000.00
2015-12-01,654000.00
2016-01-01,591000.00
2016-02-01,649000.00
2016-03-01,633000.00
2016-04-01,628000.00
2016-05-01,655000.00
2016-06-01,671000.00
2016-07-01,627000.00
2016-08-01,642000.00
2016-09-01,638000.00
2016-10-01,639000.00
2016-11-01,657000.00
2016-12-01,648000.00
2017-01-01,645000.00
2017-02-01,630000.00
2017-03-01,669000.00
2017-04-01,661000.00
2017-05-01,676000.00
2017-06-01,658000.00
2017-07-01,669000.00
2017-08-01,684000.00
2017-09-01,635000.00
2017-10-01,679000.00
2017-11-01,691000.00
2017-12-01,666000.00
2018-01-01,709000.00
2018-02-01,673000.00
2018-03-01,662000.00
2018-04-01,677000.00
