Date,JTS7000QUL
2000-12-01,611000.00
2001-01-01,688000.00
2001-02-01,586000.00
2001-03-01,616000.00
2001-04-01,623000.00
2001-05-01,606000.00
2001-06-01,577000.00
2001-07-01,590000.00
2001-08-01,582000.00
2001-09-01,594000.00
2001-10-01,563000.00
2001-11-01,483000.00
2001-12-01,465000.00
2002-01-01,566000.00
2002-02-01,554000.00
2002-03-01,544000.00
2002-04-01,545000.00
2002-05-01,519000.00
2002-06-01,520000.00
2002-07-01,520000.00
2002-08-01,514000.00
2002-09-01,520000.00
2002-10-01,484000.00
2002-11-01,452000.00
2002-12-01,501000.00
2003-01-01,475000.00
2003-02-01,514000.00
2003-03-01,460000.00
2003-04-01,486000.00
2003-05-01,464000.00
2003-06-01,495000.00
2003-07-01,478000.00
2003-08-01,471000.00
2003-09-01,455000.00
2003-10-01,506000.00
2003-11-01,525000.00
2003-12-01,469000.00
2004-01-01,473000.00
2004-02-01,491000.00
2004-03-01,525000.00
2004-04-01,521000.00
2004-05-01,539000.00
2004-06-01,518000.00
2004-07-01,505000.00
2004-08-01,527000.00
2004-09-01,510000.00
2004-10-01,496000.00
2004-11-01,560000.00
2004-12-01,554000.00
2005-01-01,573000.00
2005-02-01,512000.00
2005-03-01,513000.00
2005-04-01,515000.00
2005-05-01,561000.00
2005-06-01,529000.00
2005-07-01,597000.00
2005-08-01,597000.00
2005-09-01,633000.00
2005-10-01,673000.00
2005-11-01,644000.00
2005-12-01,575000.00
2006-01-01,657000.00
2006-02-01,677000.00
2006-03-01,646000.00
2006-04-01,517000.00
2006-05-01,620000.00
2006-06-01,680000.00
2006-07-01,584000.00
2006-08-01,590000.00
2006-09-01,601000.00
2006-10-01,613000.00
2006-11-01,611000.00
2006-12-01,662000.00
2007-01-01,607000.00
2007-02-01,652000.00
2007-03-01,635000.00
2007-04-01,630000.00
2007-05-01,595000.00
2007-06-01,619000.00
2007-07-01,642000.00
2007-08-01,624000.00
2007-09-01,498000.00
2007-10-01,638000.00
2007-11-01,670000.00
2007-12-01,625000.00
2008-01-01,600000.00
2008-02-01,603000.00
2008-03-01,594000.00
2008-04-01,583000.00
2008-05-01,594000.00
2008-06-01,582000.00
2008-07-01,556000.00
2008-08-01,507000.00
2008-09-01,538000.00
2008-10-01,525000.00
2008-11-01,454000.00
2008-12-01,443000.00
2009-01-01,436000.00
2009-02-01,422000.00
2009-03-01,383000.00
2009-04-01,395000.00
2009-05-01,370000.00
2009-06-01,388000.00
2009-07-01,369000.00
2009-08-01,375000.00
2009-09-01,318000.00
2009-10-01,351000.00
2009-11-01,387000.00
2009-12-01,356000.00
2010-01-01,395000.00
2010-02-01,363000.00
2010-03-01,374000.00
2010-04-01,373000.00
2010-05-01,377000.00
2010-06-01,357000.00
2010-07-01,356000.00
2010-08-01,376000.00
2010-09-01,370000.00
2010-10-01,383000.00
2010-11-01,341000.00
2010-12-01,381000.00
2011-01-01,371000.00
2011-02-01,362000.00
2011-03-01,399000.00
2011-04-01,394000.00
2011-05-01,393000.00
2011-06-01,416000.00
2011-07-01,403000.00
2011-08-01,442000.00
2011-09-01,424000.00
2011-10-01,377000.00
2011-11-01,369000.00
2011-12-01,397000.00
2012-01-01,392000.00
2012-02-01,410000.00
2012-03-01,474000.00
2012-04-01,432000.00
2012-05-01,464000.00
2012-06-01,459000.00
2012-07-01,444000.00
2012-08-01,427000.00
2012-09-01,400000.00
2012-10-01,429000.00
2012-11-01,423000.00
2012-12-01,434000.00
2013-01-01,484000.00
2013-02-01,494000.00
2013-03-01,462000.00
2013-04-01,505000.00
2013-05-01,471000.00
2013-06-01,439000.00
2013-07-01,460000.00
2013-08-01,437000.00
2013-09-01,471000.00
2013-10-01,528000.00
2013-11-01,498000.00
2013-12-01,459000.00
2014-01-01,491000.00
2014-02-01,536000.00
2014-03-01,510000.00
2014-04-01,523000.00
2014-05-01,500000.00
2014-06-01,546000.00
2014-07-01,532000.00
2014-08-01,558000.00
2014-09-01,582000.00
2014-10-01,598000.00
2014-11-01,590000.00
2014-12-01,572000.00
2015-01-01,583000.00
2015-02-01,555000.00
2015-03-01,603000.00
2015-04-01,554000.00
2015-05-01,563000.00
2015-06-01,608000.00
2015-07-01,642000.00
2015-08-01,652000.00
2015-09-01,616000.00
2015-10-01,620000.00
2015-11-01,623000.00
2015-12-01,635000.00
2016-01-01,626000.00
2016-02-01,662000.00
2016-03-01,642000.00
2016-04-01,673000.00
2016-05-01,695000.00
2016-06-01,672000.00
2016-07-01,675000.00
2016-08-01,687000.00
2016-09-01,686000.00
2016-10-01,678000.00
2016-11-01,693000.00
2016-12-01,686000.00
2017-01-01,655000.00
2017-02-01,640000.00
2017-03-01,677000.00
2017-04-01,675000.00
2017-05-01,688000.00
2017-06-01,659000.00
2017-07-01,667000.00
2017-08-01,652000.00
2017-09-01,665000.00
2017-10-01,646000.00
2017-11-01,652000.00
2017-12-01,676000.00
2018-01-01,672000.00
2018-02-01,694000.00
2018-03-01,731000.00
2018-04-01,709000.00
