Date,JTSQUL
2000-12-01,3012000.00
2001-01-01,3448000.00
2001-02-01,3241000.00
2001-03-01,3154000.00
2001-04-01,3214000.00
2001-05-01,3085000.00
2001-06-01,3003000.00
2001-07-01,2959000.00
2001-08-01,2869000.00
2001-09-01,2738000.00
2001-10-01,2861000.00
2001-11-01,2604000.00
2001-12-01,2531000.00
2002-01-01,2888000.00
2002-02-01,2626000.00
2002-03-01,2491000.00
2002-04-01,2713000.00
2002-05-01,2699000.00
2002-06-01,2613000.00
2002-07-01,2710000.00
2002-08-01,2649000.00
2002-09-01,2626000.00
2002-10-01,2578000.00
2002-11-01,2462000.00
2002-12-01,2565000.00
2003-01-01,2514000.00
2003-02-01,2471000.00
2003-03-01,2403000.00
2003-04-01,2406000.00
2003-05-01,2380000.00
2003-06-01,2382000.00
2003-07-01,2390000.00
2003-08-01,2406000.00
2003-09-01,2479000.00
2003-10-01,2529000.00
2003-11-01,2459000.00
2003-12-01,2472000.00
2004-01-01,2436000.00
2004-02-01,2443000.00
2004-03-01,2608000.00
2004-04-01,2664000.00
2004-05-01,2467000.00
2004-06-01,2679000.00
2004-07-01,2714000.00
2004-08-01,2691000.00
2004-09-01,2586000.00
2004-10-01,2661000.00
2004-11-01,2811000.00
2004-12-01,2700000.00
2005-01-01,2844000.00
2005-02-01,2660000.00
2005-03-01,2841000.00
2005-04-01,2801000.00
2005-05-01,2882000.00
2005-06-01,2821000.00
2005-07-01,2794000.00
2005-08-01,2966000.00
2005-09-01,3053000.00
2005-10-01,2967000.00
2005-11-01,2920000.00
2005-12-01,2805000.00
2006-01-01,2954000.00
2006-02-01,2975000.00
2006-03-01,3004000.00
2006-04-01,2789000.00
2006-05-01,3056000.00
2006-06-01,3050000.00
2006-07-01,2977000.00
2006-08-01,3003000.00
2006-09-01,2940000.00
2006-10-01,2931000.00
2006-11-01,3069000.00
2006-12-01,3046000.00
2007-01-01,2988000.00
2007-02-01,2993000.00
2007-03-01,2989000.00
2007-04-01,2901000.00
2007-05-01,3008000.00
2007-06-01,2841000.00
2007-07-01,2947000.00
2007-08-01,2950000.00
2007-09-01,2643000.00
2007-10-01,2884000.00
2007-11-01,2777000.00
2007-12-01,2792000.00
2008-01-01,2831000.00
2008-02-01,2789000.00
2008-03-01,2575000.00
2008-04-01,2882000.00
2008-05-01,2602000.00
2008-06-01,2662000.00
2008-07-01,2550000.00
2008-08-01,2416000.00
2008-09-01,2446000.00
2008-10-01,2412000.00
2008-11-01,2063000.00
2008-12-01,2104000.00
2009-01-01,2043000.00
2009-02-01,1906000.00
2009-03-01,1794000.00
2009-04-01,1734000.00
2009-05-01,1740000.00
2009-06-01,1782000.00
2009-07-01,1726000.00
2009-08-01,1676000.00
2009-09-01,1639000.00
2009-10-01,1671000.00
2009-11-01,1784000.00
2009-12-01,1697000.00
2010-01-01,1668000.00
2010-02-01,1724000.00
2010-03-01,1793000.00
2010-04-01,1914000.00
2010-05-01,1790000.00
2010-06-01,1940000.00
2010-07-01,1848000.00
2010-08-01,1904000.00
2010-09-01,1921000.00
2010-10-01,1852000.00
2010-11-01,1778000.00
2010-12-01,1937000.00
2011-01-01,1825000.00
2011-02-01,1872000.00
2011-03-01,1967000.00
2011-04-01,1925000.00
2011-05-01,2037000.00
2011-06-01,1949000.00
2011-07-01,1981000.00
2011-08-01,2087000.00
2011-09-01,2046000.00
2011-10-01,1953000.00
2011-11-01,1949000.00
2011-12-01,1955000.00
2012-01-01,1977000.00
2012-02-01,2080000.00
2012-03-01,2164000.00
2012-04-01,2104000.00
2012-05-01,2186000.00
2012-06-01,2186000.00
2012-07-01,2103000.00
2012-08-01,2173000.00
2012-09-01,1977000.00
2012-10-01,2047000.00
2012-11-01,2069000.00
2012-12-01,2088000.00
2013-01-01,2299000.00
2013-02-01,2267000.00
2013-03-01,2098000.00
2013-04-01,2313000.00
2013-05-01,2252000.00
2013-06-01,2260000.00
2013-07-01,2376000.00
2013-08-01,2403000.00
2013-09-01,2399000.00
2013-10-01,2415000.00
2013-11-01,2366000.00
2013-12-01,2248000.00
2014-01-01,2352000.00
2014-02-01,2390000.00
2014-03-01,2438000.00
2014-04-01,2467000.00
2014-05-01,2513000.00
2014-06-01,2486000.00
2014-07-01,2591000.00
2014-08-01,2558000.00
2014-09-01,2799000.00
2014-10-01,2772000.00
2014-11-01,2607000.00
2014-12-01,2585000.00
2015-01-01,2766000.00
2015-02-01,2674000.00
2015-03-01,2732000.00
2015-04-01,2716000.00
2015-05-01,2737000.00
2015-06-01,2803000.00
2015-07-01,2802000.00
2015-08-01,2926000.00
2015-09-01,2802000.00
2015-10-01,2836000.00
2015-11-01,2892000.00
2015-12-01,3032000.00
2016-01-01,2900000.00
2016-02-01,2957000.00
2016-03-01,2913000.00
2016-04-01,2997000.00
2016-05-01,3030000.00
2016-06-01,3066000.00
2016-07-01,3093000.00
2016-08-01,3161000.00
2016-09-01,3112000.00
2016-10-01,3093000.00
2016-11-01,3022000.00
2016-12-01,2958000.00
2017-01-01,3169000.00
2017-02-01,3018000.00
2017-03-01,3144000.00
2017-04-01,3072000.00
2017-05-01,3227000.00
2017-06-01,3166000.00
2017-07-01,3240000.00
2017-08-01,3173000.00
2017-09-01,3256000.00
2017-10-01,3224000.00
2017-11-01,3195000.00
2017-12-01,3340000.00
2018-01-01,3191000.00
2018-02-01,3208000.00
2018-03-01,3387000.00
2018-04-01,3351000.00
