Date,LNU02000060
1948-01-01,36540000.00
1948-02-01,36617000.00
1948-03-01,36746000.00
1948-04-01,37107000.00
1948-05-01,37265000.00
1948-06-01,37902000.00
1948-07-01,37830000.00
1948-08-01,37524000.00
1948-09-01,38026000.00
1948-10-01,38177000.00
1948-11-01,38080000.00
1948-12-01,37884000.00
1949-01-01,36970000.00
1949-02-01,36928000.00
1949-03-01,37116000.00
1949-04-01,37137000.00
1949-05-01,37553000.00
1949-06-01,37641000.00
1949-07-01,37164000.00
1949-08-01,37353000.00
1949-09-01,37667000.00
1949-10-01,37583000.00
1949-11-01,37950000.00
1949-12-01,37525000.00
1950-01-01,36836000.00
1950-02-01,36861000.00
1950-03-01,37208000.00
1950-04-01,37781000.00
1950-05-01,38327000.00
1950-06-01,38902000.00
1950-07-01,38306000.00
1950-08-01,38877000.00
1950-09-01,39017000.00
1950-10-01,39419000.00
1950-11-01,39323000.00
1950-12-01,38834000.00
1951-01-01,38486000.00
1951-02-01,38430000.00
1951-03-01,38961000.00
1951-04-01,38980000.00
1951-05-01,39576000.00
1951-06-01,39280000.00
1951-07-01,39420000.00
1951-08-01,39420000.00
1951-09-01,39644000.00
1951-10-01,40336000.00
1951-11-01,40128000.00
1951-12-01,40132000.00
1952-01-01,39506000.00
1952-02-01,39638000.00
1952-03-01,39848000.00
1952-04-01,39882000.00
1952-05-01,40430000.00
1952-06-01,40410000.00
1952-07-01,39923000.00
1952-08-01,39962000.00
1952-09-01,40828000.00
1952-10-01,40838000.00
1952-11-01,40986000.00
1952-12-01,40865000.00
1953-01-01,40777000.00
1953-02-01,40824000.00
1953-03-01,41192000.00
1953-04-01,41031000.00
1953-05-01,41149000.00
1953-06-01,41467000.00
1953-07-01,41176000.00
1953-08-01,41214000.00
1953-09-01,41514000.00
1953-10-01,41914000.00
1953-11-01,41843000.00
1953-12-01,41040000.00
1954-01-01,40193000.00
1954-02-01,40532000.00
1954-03-01,40365000.00
1954-04-01,40489000.00
1954-05-01,40794000.00
1954-06-01,40718000.00
1954-07-01,40336000.00
1954-08-01,40411000.00
1954-09-01,41023000.00
1954-10-01,41301000.00
1954-11-01,41348000.00
1954-12-01,40991000.00
1955-01-01,40691000.00
1955-02-01,40694000.00
1955-03-01,40866000.00
1955-04-01,41307000.00
1955-05-01,41960000.00
1955-06-01,42111000.00
1955-07-01,42125000.00
1955-08-01,42294000.00
1955-09-01,42737000.00
1955-10-01,42967000.00
1955-11-01,42721000.00
1955-12-01,42524000.00
1956-01-01,42015000.00
1956-02-01,41828000.00
1956-03-01,41914000.00
1956-04-01,42330000.00
1956-05-01,42826000.00
1956-06-01,42743000.00
1956-07-01,42457000.00
1956-08-01,42669000.00
1956-09-01,43211000.00
