Date,LREM64TTUSQ156N
1960-01-01,59.80
1960-04-01,62.15
1960-07-01,62.70
1960-10-01,61.46
1961-01-01,59.42
1961-04-01,61.08
1961-07-01,61.74
1961-10-01,61.27
1962-01-01,59.82
1962-04-01,61.86
1962-07-01,62.58
1962-10-01,61.66
1963-01-01,60.02
1963-04-01,61.82
1963-07-01,62.37
1963-10-01,61.72
1964-01-01,60.23
1964-04-01,62.26
1964-07-01,62.74
1964-10-01,61.96
1965-01-01,60.67
1965-04-01,62.59
1965-07-01,63.49
1965-10-01,62.91
1966-01-01,61.70
1966-04-01,63.44
1966-07-01,64.46
1966-10-01,63.92
1967-01-01,62.55
1967-04-01,63.76
1967-07-01,64.81
1967-10-01,64.10
1968-01-01,62.86
1968-04-01,64.35
1968-07-01,64.94
1968-10-01,64.18
1969-01-01,63.45
1969-04-01,64.59
1969-07-01,65.51
1969-10-01,64.91
1970-01-01,63.61
1970-04-01,64.17
1970-07-01,64.58
1970-10-01,63.62
1971-01-01,62.24
1971-04-01,63.01
1971-07-01,63.89
1971-10-01,63.56
1972-01-01,62.50
1972-04-01,63.73
1972-07-01,64.63
1972-10-01,64.23
1973-01-01,63.37
1973-04-01,64.78
1973-07-01,65.71
1973-10-01,65.54
1974-01-01,64.27
1974-04-01,65.19
1974-07-01,65.88
1974-10-01,64.64
1975-01-01,62.04
1975-04-01,62.88
1975-07-01,64.01
1975-10-01,63.43
1976-01-01,62.62
1976-04-01,64.24
1976-07-01,65.16
1976-10-01,64.58
1977-01-01,63.55
1977-04-01,65.35
1977-07-01,66.35
1977-10-01,66.33
1978-01-01,65.36
1978-04-01,67.12
1978-07-01,68.04
1978-10-01,67.87
1979-01-01,66.83
1979-04-01,67.78
1979-07-01,68.77
1979-10-01,68.27
1980-01-01,66.84
1980-04-01,67.12
1980-07-01,67.60
1980-10-01,67.19
1981-01-01,66.21
1981-04-01,67.47
1981-07-01,67.89
1981-10-01,66.75
1982-01-01,65.09
1982-04-01,66.01
1982-07-01,66.58
1982-10-01,65.40
1983-01-01,64.04
1983-04-01,65.59
1983-07-01,67.32
1983-10-01,67.08
1984-01-01,66.37
1984-04-01,68.35
1984-07-01,69.16
1984-10-01,68.66
1985-01-01,67.78
1985-04-01,68.95
1985-07-01,69.81
1985-10-01,69.46
1986-01-01,68.33
1986-04-01,69.60
1986-07-01,70.63
1986-10-01,70.17
1987-01-01,69.24
1987-04-01,70.74
1987-07-01,71.67
1987-10-01,71.32
1988-01-01,70.34
1988-04-01,71.59
1988-07-01,72.51
1988-10-01,72.14
1989-01-01,71.37
1989-04-01,72.54
1989-07-01,73.31
1989-10-01,72.76
1990-01-01,71.54
1990-04-01,72.53
1990-07-01,72.84
1990-10-01,71.86
1991-01-01,70.20
1991-04-01,71.17
1991-07-01,71.63
1991-10-01,70.87
1992-01-01,69.71
1992-04-01,71.01
1992-07-01,71.63
1992-10-01,70.88
1993-01-01,69.96
1993-04-01,71.29
1993-07-01,71.97
1993-10-01,71.62
1994-01-01,70.68
1994-04-01,71.92
1994-07-01,72.66
1994-10-01,72.75
1995-01-01,71.85
1995-04-01,72.61
1995-07-01,73.06
1995-10-01,72.62
1996-01-01,71.67
1996-04-01,72.84
1996-07-01,73.59
1996-10-01,73.34
1997-01-01,72.38
1997-04-01,73.58
1997-07-01,74.17
1997-10-01,73.88
1998-01-01,73.06
1998-04-01,73.98
1998-07-01,74.25
1998-10-01,74.08
1999-01-01,73.36
1999-04-01,74.03
1999-07-01,74.25
1999-10-01,74.15
2000-01-01,73.69
2000-04-01,74.39
2000-07-01,74.21
2000-10-01,74.09
2001-01-01,73.36
2001-04-01,73.49
2001-07-01,73.19
2001-10-01,72.50
2002-01-01,71.53
2002-04-01,72.07
2002-07-01,72.27
2002-10-01,71.85
2003-01-01,70.87
2003-04-01,71.40
2003-07-01,71.34
2003-10-01,71.29
2004-01-01,70.56
2004-04-01,71.27
2004-07-01,71.60
2004-10-01,71.46
2005-01-01,70.66
2005-04-01,71.62
2005-07-01,72.07
2005-10-01,71.77
2006-01-01,71.19
2006-04-01,72.02
2006-07-01,72.39
2006-10-01,72.38
2007-01-01,71.49
2007-04-01,71.88
2007-07-01,72.01
2007-10-01,71.75
2008-01-01,70.94
2008-04-01,71.42
2008-07-01,71.08
2008-10-01,70.11
2009-01-01,67.99
2009-04-01,68.11
2009-07-01,67.65
2009-10-01,66.75
2010-01-01,66.05
2010-04-01,67.04
2010-07-01,67.05
2010-10-01,66.61
2011-01-01,66.04
2011-04-01,66.72
2011-07-01,66.88
2011-10-01,66.95
2012-01-01,66.39
2012-04-01,67.26
2012-07-01,67.39
2012-10-01,67.51
2013-01-01,66.67
2013-04-01,67.55
2013-07-01,67.73
2013-10-01,67.49
2014-01-01,67.26
2014-04-01,68.25
2014-07-01,68.48
2014-10-01,68.61
2015-01-01,68.04
2015-04-01,68.93
2015-07-01,68.91
2015-10-01,68.96
2016-01-01,68.82
2016-04-01,69.42
2016-07-01,69.58
2016-10-01,69.57
2017-01-01,69.40
2017-04-01,70.25
2017-07-01,70.47
2017-10-01,70.33
2018-01-01,70.13
