Date,PPIACO
1913-01-01,12.10
1913-02-01,12.00
1913-03-01,12.00
1913-04-01,12.00
1913-05-01,11.90
1913-06-01,11.90
1913-07-01,12.00
1913-08-01,12.00
1913-09-01,12.20
1913-10-01,12.20
1913-11-01,12.10
1913-12-01,11.90
1914-01-01,11.80
1914-02-01,11.80
1914-03-01,11.70
1914-04-01,11.70
1914-05-01,11.60
1914-06-01,11.60
1914-07-01,11.60
1914-08-01,12.00
1914-09-01,12.10
1914-10-01,11.70
1914-11-01,11.70
1914-12-01,11.60
1915-01-01,11.80
1915-02-01,11.80
1915-03-01,11.80
1915-04-01,11.80
1915-05-01,11.90
1915-06-01,11.80
1915-07-01,11.90
1915-08-01,11.80
1915-09-01,11.80
1915-10-01,12.10
1915-11-01,12.30
1915-12-01,12.80
1916-01-01,13.30
1916-02-01,13.50
1916-03-01,13.90
1916-04-01,14.10
1916-05-01,14.20
1916-06-01,14.30
1916-07-01,14.40
1916-08-01,14.70
1916-09-01,15.00
1916-10-01,15.70
1916-11-01,16.80
1916-12-01,17.10
1917-01-01,17.60
1917-02-01,18.00
1917-03-01,18.50
1917-04-01,19.70
1917-05-01,20.80
1917-06-01,21.00
1917-07-01,21.20
1917-08-01,21.50
1917-09-01,21.30
1917-10-01,21.10
1917-11-01,21.20
1917-12-01,21.20
1918-01-01,21.60
1918-02-01,21.10
1918-03-01,21.80
1918-04-01,22.10
1918-05-01,22.10
1918-06-01,22.20
1918-07-01,22.70
1918-08-01,23.20
1918-09-01,23.70
1918-10-01,23.50
1918-11-01,23.50
1918-12-01,23.50
1919-01-01,23.20
1919-02-01,22.40
1919-03-01,22.60
1919-04-01,22.90
1919-05-01,23.30
1919-06-01,23.40
1919-07-01,24.30
1919-08-01,24.90
1919-09-01,24.30
1919-10-01,24.40
1919-11-01,24.90
1919-12-01,26.00
1920-01-01,27.20
1920-02-01,27.10
1920-03-01,27.30
1920-04-01,28.50
1920-05-01,28.80
1920-06-01,28.70
1920-07-01,28.60
1920-08-01,27.80
1920-09-01,26.80
1920-10-01,24.90
1920-11-01,23.00
1920-12-01,20.80
1921-01-01,19.60
1921-02-01,18.10
1921-03-01,17.70
1921-04-01,17.00
1921-05-01,16.60
1921-06-01,16.10
1921-07-01,16.10
1921-08-01,16.10
1921-09-01,16.10
1921-10-01,16.20
1921-11-01,16.20
1921-12-01,16.00
1922-01-01,15.70
1922-02-01,16.00
1922-03-01,16.00
1922-04-01,16.10
1922-05-01,16.60
1922-06-01,16.60
1922-07-01,17.10
1922-08-01,17.00
1922-09-01,17.10
1922-10-01,17.20
1922-11-01,17.30
1922-12-01,17.30
1923-01-01,17.60
1923-02-01,17.80
1923-03-01,18.00
1923-04-01,17.90
1923-05-01,17.50
1923-06-01,17.30
1923-07-01,17.00
1923-08-01,16.90
1923-09-01,17.20
1923-10-01,17.10
1923-11-01,17.00
1923-12-01,16.90
1924-01-01,17.20
1924-02-01,17.20
1924-03-01,17.00
1924-04-01,16.70
1924-05-01,16.50
1924-06-01,16.40
1924-07-01,16.50
1924-08-01,16.70
1924-09-01,16.70
1924-10-01,16.90
1924-11-01,17.10
1924-12-01,17.50
1925-01-01,17.70
1925-02-01,17.90
1925-03-01,17.90
1925-04-01,17.50
1925-05-01,17.50
1925-06-01,17.70
1925-07-01,18.00
1925-08-01,17.90
1925-09-01,17.80
1925-10-01,17.80
1925-11-01,18.00
1925-12-01,17.80
1926-01-01,17.80
1926-02-01,17.60
1926-03-01,17.30
1926-04-01,17.30
1926-05-01,17.30
1926-06-01,17.30
1926-07-01,17.10
1926-08-01,17.10
1926-09-01,17.20
1926-10-01,17.10
1926-11-01,17.00
1926-12-01,16.90
1927-01-01,16.40
1927-02-01,16.60
1927-03-01,16.50
1927-04-01,16.30
1927-05-01,16.20
1927-06-01,16.20
1927-07-01,16.20
1927-08-01,16.40
1927-09-01,16.60
1927-10-01,16.70
1927-11-01,16.60
1927-12-01,16.60
1928-01-01,16.60
1928-02-01,16.50
1928-03-01,16.50
1928-04-01,16.70
1928-05-01,16.80
1928-06-01,16.70
1928-07-01,16.80
1928-08-01,16.80
1928-09-01,17.00
1928-10-01,16.70
1928-11-01,16.50
1928-12-01,16.50
1929-01-01,16.50
1929-02-01,16.40
1929-03-01,16.60
1929-04-01,16.50
1929-05-01,16.30
1929-06-01,16.40
1929-07-01,16.60
1929-08-01,16.60
1929-09-01,16.60
1929-10-01,16.40
1929-11-01,16.10
1929-12-01,16.10
1930-01-01,15.90
1930-02-01,15.70
1930-03-01,15.50
1930-04-01,15.50
1930-05-01,15.30
1930-06-01,15.00
1930-07-01,14.50
1930-08-01,14.50
1930-09-01,14.50
1930-10-01,14.30
1930-11-01,14.00
1930-12-01,13.70
1931-01-01,13.50
1931-02-01,13.20
1931-03-01,13.10
1931-04-01,12.90
1931-05-01,12.60
1931-06-01,12.40
1931-07-01,12.40
1931-08-01,12.40
1931-09-01,12.30
1931-10-01,12.10
1931-11-01,12.10
1931-12-01,11.80
1932-01-01,11.60
1932-02-01,11.40
1932-03-01,11.40
1932-04-01,11.30
1932-05-01,11.10
1932-06-01,11.00
1932-07-01,11.10
1932-08-01,11.20
1932-09-01,11.30
1932-10-01,11.10
1932-11-01,11.00
1932-12-01,10.80
1933-01-01,10.50
1933-02-01,10.30
