Date,RTWVDCA684NMFRBDAL
1988-01-01,100.00
1988-02-01,100.29
1988-03-01,98.86
1988-04-01,97.80
1988-05-01,97.83
1988-06-01,99.14
1988-07-01,101.57
1988-08-01,102.27
1988-09-01,102.60
1988-10-01,100.45
1988-11-01,97.74
1988-12-01,97.34
1989-01-01,98.91
1989-02-01,99.29
1989-03-01,100.48
1989-04-01,100.40
1989-05-01,102.43
1989-06-01,104.31
1989-07-01,102.41
1989-08-01,102.81
1989-09-01,103.61
1989-10-01,102.12
1989-11-01,102.38
1989-12-01,101.19
1990-01-01,100.79
1990-02-01,100.75
1990-03-01,102.53
1990-04-01,102.18
1990-05-01,100.84
1990-06-01,101.46
1990-07-01,100.02
1990-08-01,98.68
1990-09-01,97.77
1990-10-01,95.72
1990-11-01,95.29
1990-12-01,96.11
1991-01-01,95.77
1991-02-01,94.41
1991-03-01,97.78
1991-04-01,98.72
1991-05-01,99.05
1991-06-01,100.55
1991-07-01,100.30
1991-08-01,99.20
1991-09-01,98.09
1991-10-01,97.17
1991-11-01,95.61
1991-12-01,94.52
1992-01-01,94.03
1992-02-01,94.93
1992-03-01,96.54
1992-04-01,95.81
1992-05-01,94.89
1992-06-01,93.87
1992-07-01,92.56
1992-08-01,92.08
1992-09-01,92.14
1992-10-01,93.82
1992-11-01,96.49
1992-12-01,96.53
1993-01-01,97.21
1993-02-01,97.33
1993-03-01,96.65
1993-04-01,94.84
1993-05-01,94.66
1993-06-01,95.00
1993-07-01,95.96
1993-08-01,95.66
1993-09-01,95.11
1993-10-01,95.83
1993-11-01,96.69
1993-12-01,96.45
1994-01-01,97.53
1994-02-01,96.65
1994-03-01,96.77
1994-04-01,96.53
1994-05-01,95.66
1994-06-01,95.15
1994-07-01,93.82
1994-08-01,93.53
1994-09-01,92.67
1994-10-01,91.99
1994-11-01,92.24
1994-12-01,94.27
1995-01-01,96.14
1995-02-01,95.69
1995-03-01,94.30
1995-04-01,90.74
1995-05-01,90.35
1995-06-01,90.32
1995-07-01,90.40
1995-08-01,92.55
1995-09-01,93.80
1995-10-01,93.80
1995-11-01,94.94
1995-12-01,94.99
1996-01-01,95.95
1996-02-01,95.64
1996-03-01,95.80
1996-04-01,95.67
1996-05-01,95.56
1996-06-01,96.09
1996-07-01,96.25
1996-08-01,95.47
1996-09-01,96.00
1996-10-01,96.76
1996-11-01,96.55
1996-12-01,97.02
1997-01-01,97.96
1997-02-01,99.54
1997-03-01,100.41
1997-04-01,100.63
1997-05-01,99.19
1997-06-01,98.69
1997-07-01,99.79
1997-08-01,101.53
1997-09-01,102.27
1997-10-01,103.19
1997-11-01,105.67
1997-12-01,110.49
1998-01-01,113.15
1998-02-01,111.30
1998-03-01,110.75
1998-04-01,110.51
1998-05-01,111.25
1998-06-01,113.62
1998-07-01,113.93
1998-08-01,115.95
1998-09-01,114.55
1998-10-01,111.16
1998-11-01,110.59
1998-12-01,109.53
1999-01-01,109.29
1999-02-01,110.46
1999-03-01,111.91
1999-04-01,111.35
1999-05-01,110.97
1999-06-01,111.59
1999-07-01,111.82
1999-08-01,110.52
1999-09-01,109.88
1999-10-01,109.50
1999-11-01,109.74
1999-12-01,109.38
2000-01-01,109.29
2000-02-01,110.87
2000-03-01,111.56
2000-04-01,111.84
2000-05-01,114.22
2000-06-01,113.62
2000-07-01,113.83
2000-08-01,114.09
2000-09-01,115.44
2000-10-01,117.29
2000-11-01,117.94
2000-12-01,117.02
2001-01-01,117.98
2001-02-01,118.65
2001-03-01,120.52
2001-04-01,121.27
2001-05-01,121.07
2001-06-01,121.98
2001-07-01,122.32
2001-08-01,120.03
2001-09-01,120.57
2001-10-01,121.06
2001-11-01,121.36
2001-12-01,121.29
2002-01-01,122.44
2002-02-01,122.86
2002-03-01,122.60
2002-04-01,122.35
2002-05-01,120.96
2002-06-01,119.60
2002-07-01,117.83
2002-08-01,119.06
2002-09-01,120.07
2002-10-01,121.19
2002-11-01,119.92
2002-12-01,119.02
2003-01-01,117.83
2003-02-01,118.68
2003-03-01,118.85
2003-04-01,117.63
2003-05-01,113.83
2003-06-01,113.87
2003-07-01,114.80
2003-08-01,116.15
2003-09-01,115.23
2003-10-01,113.04
2003-11-01,112.36
2003-12-01,110.82
2004-01-01,109.04
2004-02-01,109.56
2004-03-01,111.08
2004-04-01,111.75
2004-05-01,114.32
2004-06-01,113.45
2004-07-01,112.45
2004-08-01,112.38
2004-09-01,112.11
2004-10-01,110.97
2004-11-01,108.25
2004-12-01,106.46
2005-01-01,107.07
2005-02-01,107.21
2005-03-01,107.13
2005-04-01,108.47
2005-05-01,108.52
2005-06-01,109.52
2005-07-01,110.25
2005-08-01,109.20
2005-09-01,110.44
2005-10-01,111.91
2005-11-01,111.86
2005-12-01,110.43
2006-01-01,109.25
2006-02-01,109.47
2006-03-01,110.30
2006-04-01,110.26
2006-05-01,108.44
2006-06-01,110.19
2006-07-01,109.72
2006-08-01,108.85
2006-09-01,108.69
2006-10-01,108.53
2006-11-01,107.31
2006-12-01,106.30
2007-01-01,107.62
2007-02-01,107.61
2007-03-01,107.91
2007-04-01,106.86
2007-05-01,106.54
2007-06-01,106.46
2007-07-01,104.71
2007-08-01,104.67
2007-09-01,103.60
2007-10-01,101.43
2007-11-01,100.27
2007-12-01,100.89
2008-01-01,100.47
2008-02-01,99.12
2008-03-01,97.82
2008-04-01,97.55
2008-05-01,98.39
2008-06-01,99.03
2008-07-01,98.30
2008-08-01,100.15
2008-09-01,102.81
2008-10-01,109.63
2008-11-01,110.67
2008-12-01,108.86
2009-01-01,109.88
2009-02-01,112.98
2009-03-01,114.20
2009-04-01,110.72
2009-05-01,107.53
2009-06-01,107.11
2009-07-01,106.29
2009-08-01,104.69
2009-09-01,104.17
2009-10-01,102.60
2009-11-01,101.84
2009-12-01,101.74
2010-01-01,101.52
2010-02-01,102.42
2010-03-01,101.73
2010-04-01,100.79
2010-05-01,103.60
2010-06-01,104.24
2010-07-01,102.63
2010-08-01,101.45
2010-09-01,100.62
2010-10-01,97.57
2010-11-01,97.46
2010-12-01,98.01
2011-01-01,96.84
2011-02-01,96.16
2011-03-01,96.09
2011-04-01,94.74
2011-05-01,94.87
2011-06-01,94.80
2011-07-01,93.72
2011-08-01,94.59
2011-09-01,97.66
2011-10-01,98.67
2011-11-01,98.93
2011-12-01,99.41
2012-01-01,98.73
2012-02-01,96.84
2012-03-01,97.94
2012-04-01,98.35
2012-05-01,100.08
2012-06-01,101.45
2012-07-01,100.03
2012-08-01,99.21
2012-09-01,98.29
2012-10-01,97.73
2012-11-01,98.00
2012-12-01,96.99
2013-01-01,96.99
2013-02-01,97.93
2013-03-01,98.97
2013-04-01,98.30
2013-05-01,98.96
2013-06-01,100.21
2013-07-01,100.35
2013-08-01,100.25
2013-09-01,100.13
2013-10-01,98.73
2013-11-01,99.18
2013-12-01,99.32
2014-01-01,100.37
2014-02-01,100.43
2014-03-01,100.62
2014-04-01,99.87
2014-05-01,99.65
2014-06-01,99.78
2014-07-01,99.18
2014-08-01,99.98
2014-09-01,101.34
2014-10-01,102.47
2014-11-01,103.64
2014-12-01,105.31
2015-01-01,106.90
2015-02-01,108.11
2015-03-01,110.47
2015-04-01,109.86
2015-05-01,109.49
2015-06-01,110.63
2015-07-01,112.11
2015-08-01,113.92
2015-09-01,114.75
2015-10-01,113.62
2015-11-01,114.84
2015-12-01,115.31
2016-01-01,117.82
2016-02-01,116.65
2016-03-01,114.70
2016-04-01,113.15
2016-05-01,114.81
2016-06-01,115.48
2016-07-01,115.28
2016-08-01,114.14
2016-09-01,115.31
2016-10-01,116.30
2016-11-01,118.67
2016-12-01,120.72
2017-01-01,121.06
2017-02-01,119.10
2017-03-01,118.21
2017-04-01,117.02
2017-05-01,116.80
2017-06-01,115.32
2017-07-01,113.38
2017-08-01,112.25
2017-09-01,112.13
2017-10-01,113.98
2017-11-01,114.02
2017-12-01,113.31
2018-01-01,111.56
2018-02-01,110.55
2018-03-01,111.24
