Date,RTWVDCT684NMFRBDAL
1988-01-01,100.00
1988-02-01,100.70
1988-03-01,98.89
1988-04-01,97.71
1988-05-01,97.82
1988-06-01,99.51
1988-07-01,102.08
1988-08-01,103.10
1988-09-01,103.46
1988-10-01,101.09
1988-11-01,98.39
1988-12-01,97.87
1989-01-01,99.73
1989-02-01,100.16
1989-03-01,102.03
1989-04-01,101.99
1989-05-01,104.53
1989-06-01,106.57
1989-07-01,104.10
1989-08-01,104.55
1989-09-01,105.39
1989-10-01,103.64
1989-11-01,103.48
1989-12-01,102.04
1990-01-01,101.57
1990-02-01,101.57
1990-03-01,102.96
1990-04-01,102.11
1990-05-01,100.93
1990-06-01,101.30
1990-07-01,99.44
1990-08-01,97.67
1990-09-01,97.37
1990-10-01,95.28
1990-11-01,94.67
1990-12-01,95.59
1991-01-01,95.07
1991-02-01,94.03
1991-03-01,97.66
1991-04-01,98.97
1991-05-01,99.37
1991-06-01,100.94
1991-07-01,100.87
1991-08-01,99.67
1991-09-01,98.47
1991-10-01,97.78
1991-11-01,96.07
1991-12-01,95.14
1992-01-01,95.11
1992-02-01,96.62
1992-03-01,98.41
1992-04-01,97.62
1992-05-01,96.85
1992-06-01,95.76
1992-07-01,94.15
1992-08-01,93.59
1992-09-01,94.77
1992-10-01,97.18
1992-11-01,100.49
1992-12-01,100.45
1993-01-01,101.35
1993-02-01,101.81
1993-03-01,101.25
1993-04-01,99.46
1993-05-01,99.45
1993-06-01,100.42
1993-07-01,101.58
1993-08-01,101.91
1993-09-01,100.76
1993-10-01,101.42
1993-11-01,102.22
1993-12-01,102.14
1994-01-01,102.81
1994-02-01,103.04
1994-03-01,103.40
1994-04-01,104.05
1994-05-01,103.03
1994-06-01,102.23
1994-07-01,100.96
1994-08-01,100.82
1994-09-01,99.68
1994-10-01,98.74
1994-11-01,99.23
1994-12-01,101.25
1995-01-01,102.70
1995-02-01,102.01
1995-03-01,100.80
1995-04-01,97.86
1995-05-01,97.45
1995-06-01,97.61
1995-07-01,97.09
1995-08-01,98.72
1995-09-01,99.35
1995-10-01,99.02
1995-11-01,99.65
1995-12-01,100.29
1996-01-01,101.13
1996-02-01,101.20
1996-03-01,101.28
1996-04-01,101.42
1996-05-01,101.76
1996-06-01,101.78
1996-07-01,101.62
1996-08-01,101.17
1996-09-01,101.59
1996-10-01,101.80
1996-11-01,101.05
1996-12-01,101.96
1997-01-01,103.00
1997-02-01,104.99
1997-03-01,106.11
1997-04-01,106.66
1997-05-01,105.50
1997-06-01,105.47
1997-07-01,106.38
1997-08-01,108.19
1997-09-01,107.95
1997-10-01,108.03
1997-11-01,109.20
1997-12-01,112.85
1998-01-01,115.37
1998-02-01,114.22
1998-03-01,113.91
1998-04-01,113.84
1998-05-01,113.98
1998-06-01,115.68
1998-07-01,116.42
1998-08-01,117.99
1998-09-01,115.41
1998-10-01,113.05
1998-11-01,113.60
1998-12-01,112.89
1999-01-01,112.75
1999-02-01,114.30
1999-03-01,116.34
1999-04-01,116.43
1999-05-01,116.06
1999-06-01,117.17
1999-07-01,117.92
1999-08-01,116.52
1999-09-01,116.22
1999-10-01,115.31
1999-11-01,116.50
1999-12-01,116.78
2000-01-01,116.18
2000-02-01,118.15
2000-03-01,119.61
2000-04-01,120.54
2000-05-01,123.66
2000-06-01,121.52
2000-07-01,122.15
2000-08-01,123.67
2000-09-01,125.90
2000-10-01,127.87
2000-11-01,128.46
2000-12-01,125.71
2001-01-01,124.77
2001-02-01,126.49
2001-03-01,129.01
2001-04-01,130.40
2001-05-01,130.63
2001-06-01,132.13
2001-07-01,132.06
2001-08-01,129.08
2001-09-01,129.53
2001-10-01,130.18
2001-11-01,131.31
2001-12-01,130.46
2002-01-01,131.23
2002-02-01,132.11
2002-03-01,131.52
2002-04-01,130.77
2002-05-01,128.09
2002-06-01,125.64
2002-07-01,123.52
2002-08-01,125.17
2002-09-01,125.50
2002-10-01,126.10
2002-11-01,124.16
2002-12-01,122.61
2003-01-01,120.19
2003-02-01,120.00
2003-03-01,119.91
2003-04-01,119.13
2003-05-01,114.06
2003-06-01,113.32
2003-07-01,115.24
2003-08-01,116.76
2003-09-01,115.37
2003-10-01,112.24
2003-11-01,111.67
2003-12-01,108.75
2004-01-01,107.11
2004-02-01,107.67
2004-03-01,109.57
2004-04-01,110.79
2004-05-01,112.64
2004-06-01,111.62
2004-07-01,110.28
2004-08-01,110.37
2004-09-01,109.84
2004-10-01,107.94
2004-11-01,104.44
2004-12-01,102.37
2005-01-01,103.97
2005-02-01,104.50
2005-03-01,103.82
2005-04-01,105.56
2005-05-01,106.51
2005-06-01,108.46
2005-07-01,109.38
2005-08-01,107.82
2005-09-01,108.57
2005-10-01,110.18
2005-11-01,110.71
2005-12-01,109.35
2006-01-01,108.27
2006-02-01,108.79
2006-03-01,109.16
2006-04-01,108.31
2006-05-01,105.53
2006-06-01,107.08
2006-07-01,107.09
2006-08-01,106.07
2006-09-01,106.14
2006-10-01,106.19
2006-11-01,104.64
2006-12-01,103.31
2007-01-01,104.89
2007-02-01,104.52
2007-03-01,104.50
2007-04-01,102.92
2007-05-01,102.65
2007-06-01,102.68
2007-07-01,100.68
2007-08-01,101.02
2007-09-01,99.51
2007-10-01,96.94
2007-11-01,95.32
2007-12-01,96.11
2008-01-01,95.81
2008-02-01,94.88
2008-03-01,92.99
2008-04-01,92.62
2008-05-01,93.28
2008-06-01,93.87
2008-07-01,93.13
2008-08-01,95.78
2008-09-01,98.74
2008-10-01,105.78
2008-11-01,107.62
2008-12-01,104.86
2009-01-01,106.60
2009-02-01,109.57
2009-03-01,109.79
2009-04-01,107.19
2009-05-01,103.83
2009-06-01,102.64
2009-07-01,101.93
2009-08-01,100.36
2009-09-01,99.46
2009-10-01,97.87
2009-11-01,97.22
2009-12-01,97.70
2010-01-01,98.37
2010-02-01,100.14
2010-03-01,99.90
2010-04-01,99.38
2010-05-01,103.27
2010-06-01,104.49
2010-07-01,101.83
2010-08-01,100.74
2010-09-01,99.73
2010-10-01,96.19
2010-11-01,96.65
2010-12-01,97.83
2011-01-01,96.98
2011-02-01,96.03
2011-03-01,95.34
2011-04-01,93.69
2011-05-01,94.21
2011-06-01,94.08
2011-07-01,93.67
2011-08-01,94.17
2011-09-01,97.34
2011-10-01,97.85
2011-11-01,98.17
2011-12-01,99.25
2012-01-01,99.45
2012-02-01,97.45
2012-03-01,98.23
2012-04-01,98.60
2012-05-01,100.37
2012-06-01,101.95
2012-07-01,101.61
2012-08-01,100.71
2012-09-01,99.22
2012-10-01,98.72
2012-11-01,98.99
2012-12-01,97.61
2013-01-01,97.42
2013-02-01,98.21
2013-03-01,99.67
2013-04-01,99.12
2013-05-01,99.57
2013-06-01,100.10
2013-07-01,100.59
2013-08-01,99.96
2013-09-01,99.72
2013-10-01,98.29
2013-11-01,98.80
2013-12-01,98.41
2014-01-01,99.52
2014-02-01,99.42
2014-03-01,99.29
2014-04-01,98.93
2014-05-01,98.95
2014-06-01,99.22
2014-07-01,98.95
2014-08-01,99.73
2014-09-01,101.49
2014-10-01,102.70
2014-11-01,103.75
2014-12-01,104.83
2015-01-01,107.72
2015-02-01,109.13
2015-03-01,112.13
2015-04-01,111.65
2015-05-01,110.43
2015-06-01,111.14
2015-07-01,112.76
2015-08-01,113.34
2015-09-01,113.91
2015-10-01,113.30
2015-11-01,115.33
2015-12-01,115.18
2016-01-01,117.47
2016-02-01,115.84
2016-03-01,114.35
2016-04-01,112.84
2016-05-01,113.82
2016-06-01,114.49
2016-07-01,115.32
2016-08-01,114.19
2016-09-01,115.01
2016-10-01,116.63
2016-11-01,118.54
2016-12-01,120.14
2017-01-01,120.31
2017-02-01,118.99
2017-03-01,118.63
2017-04-01,117.89
2017-05-01,116.58
2017-06-01,115.17
2017-07-01,112.66
2017-08-01,111.19
2017-09-01,110.55
2017-10-01,112.23
2017-11-01,112.33
2017-12-01,111.37
2018-01-01,109.20
2018-02-01,108.44
2018-03-01,108.93
