Date,RTWVDMT684NMFRBDAL
1988-01-01,100.00
1988-02-01,100.84
1988-03-01,99.34
1988-04-01,98.12
1988-05-01,98.51
1988-06-01,100.13
1988-07-01,103.12
1988-08-01,104.49
1988-09-01,104.89
1988-10-01,101.82
1988-11-01,99.54
1988-12-01,99.21
1989-01-01,100.59
1989-02-01,100.93
1989-03-01,102.05
1989-04-01,102.03
1989-05-01,104.00
1989-06-01,105.90
1989-07-01,104.04
1989-08-01,104.01
1989-09-01,105.30
1989-10-01,103.78
1989-11-01,104.08
1989-12-01,103.15
1990-01-01,103.58
1990-02-01,104.52
1990-03-01,105.32
1990-04-01,104.88
1990-05-01,104.17
1990-06-01,104.66
1990-07-01,102.87
1990-08-01,101.88
1990-09-01,101.58
1990-10-01,99.62
1990-11-01,99.22
1990-12-01,100.00
1991-01-01,98.80
1991-02-01,97.91
1991-03-01,100.15
1991-04-01,100.37
1991-05-01,100.43
1991-06-01,101.05
1991-07-01,100.90
1991-08-01,100.29
1991-09-01,99.62
1991-10-01,98.21
1991-11-01,97.51
1991-12-01,97.81
1992-01-01,97.97
1992-02-01,99.99
1992-03-01,101.64
1992-04-01,101.05
1992-05-01,100.93
1992-06-01,99.99
1992-07-01,98.81
1992-08-01,98.67
1992-09-01,100.34
1992-10-01,102.24
1992-11-01,104.71
1992-12-01,104.76
1993-01-01,105.44
1993-02-01,104.61
1993-03-01,103.88
1993-04-01,103.86
1993-05-01,104.16
1993-06-01,104.81
1993-07-01,105.43
1993-08-01,106.49
1993-09-01,106.89
1993-10-01,107.85
1993-11-01,107.55
1993-12-01,108.11
1994-01-01,107.52
1994-02-01,108.62
1994-03-01,109.75
1994-04-01,110.73
1994-05-01,110.12
1994-06-01,109.95
1994-07-01,108.93
1994-08-01,108.86
1994-09-01,107.48
1994-10-01,106.79
1994-11-01,106.76
1994-12-01,108.68
1995-01-01,111.13
1995-02-01,110.56
1995-03-01,110.34
1995-04-01,107.02
1995-05-01,106.23
1995-06-01,106.78
1995-07-01,106.14
1995-08-01,107.60
1995-09-01,108.18
1995-10-01,108.23
1995-11-01,109.42
1995-12-01,109.91
1996-01-01,110.40
1996-02-01,110.51
1996-03-01,110.48
1996-04-01,110.25
1996-05-01,110.62
1996-06-01,110.81
1996-07-01,110.92
1996-08-01,110.15
1996-09-01,110.70
1996-10-01,110.83
1996-11-01,110.25
1996-12-01,111.31
1997-01-01,112.12
1997-02-01,114.20
1997-03-01,115.64
1997-04-01,116.82
1997-05-01,115.31
1997-06-01,115.33
1997-07-01,116.21
1997-08-01,118.08
1997-09-01,117.66
1997-10-01,117.79
1997-11-01,119.49
1997-12-01,122.22
1998-01-01,123.49
1998-02-01,122.91
1998-03-01,122.50
1998-04-01,123.01
1998-05-01,123.45
1998-06-01,125.62
1998-07-01,126.74
1998-08-01,129.68
1998-09-01,128.01
1998-10-01,126.29
1998-11-01,126.29
1998-12-01,125.67
1999-01-01,124.56
1999-02-01,124.15
1999-03-01,125.16
1999-04-01,123.39
1999-05-01,122.00
1999-06-01,122.61
1999-07-01,123.22
1999-08-01,122.61
1999-09-01,121.34
1999-10-01,121.38
1999-11-01,121.00
1999-12-01,120.88
2000-01-01,120.19
2000-02-01,121.21
2000-03-01,122.03
2000-04-01,122.90
2000-05-01,125.34
2000-06-01,124.07
2000-07-01,123.92
2000-08-01,124.43
2000-09-01,125.62
2000-10-01,127.72
2000-11-01,128.89
2000-12-01,126.85
2001-01-01,126.83
2001-02-01,128.11
2001-03-01,130.62
2001-04-01,130.61
2001-05-01,129.56
2001-06-01,129.44
