Date,RTWVDNC684NMFRBDAL
1988-01-01,100.00
1988-02-01,100.71
1988-03-01,99.41
1988-04-01,98.62
1988-05-01,98.92
1988-06-01,100.46
1988-07-01,102.86
1988-08-01,103.86
1988-09-01,104.16
1988-10-01,101.98
1988-11-01,99.56
1988-12-01,99.01
1989-01-01,100.86
1989-02-01,101.29
1989-03-01,103.12
1989-04-01,102.99
1989-05-01,105.43
1989-06-01,107.40
1989-07-01,104.89
1989-08-01,105.34
1989-09-01,106.20
1989-10-01,104.34
1989-11-01,104.25
1989-12-01,102.64
1990-01-01,102.21
1990-02-01,102.20
1990-03-01,103.66
1990-04-01,103.01
1990-05-01,101.84
1990-06-01,102.40
1990-07-01,100.48
1990-08-01,98.91
1990-09-01,98.41
1990-10-01,96.22
1990-11-01,95.50
1990-12-01,96.40
1991-01-01,96.09
1991-02-01,95.11
1991-03-01,98.42
1991-04-01,99.59
1991-05-01,99.97
1991-06-01,101.36
1991-07-01,101.28
1991-08-01,100.25
1991-09-01,99.08
1991-10-01,98.17
1991-11-01,96.71
1991-12-01,95.88
1992-01-01,95.66
1992-02-01,96.90
1992-03-01,98.52
1992-04-01,98.47
1992-05-01,97.76
1992-06-01,96.70
1992-07-01,95.33
1992-08-01,94.79
1992-09-01,95.36
1992-10-01,97.22
1992-11-01,100.04
1992-12-01,99.99
1993-01-01,100.85
1993-02-01,100.80
1993-03-01,100.15
1993-04-01,98.68
1993-05-01,98.64
1993-06-01,99.37
1993-07-01,100.30
1993-08-01,100.52
1993-09-01,100.13
1993-10-01,101.06
1993-11-01,101.75
1993-12-01,101.98
1994-01-01,102.59
1994-02-01,102.70
1994-03-01,103.02
1994-04-01,103.46
1994-05-01,102.66
1994-06-01,102.06
1994-07-01,100.95
1994-08-01,100.90
1994-09-01,99.97
1994-10-01,99.27
1994-11-01,99.67
1994-12-01,101.38
1995-01-01,102.64
1995-02-01,101.85
1995-03-01,100.92
1995-04-01,98.01
1995-05-01,97.58
1995-06-01,97.76
1995-07-01,97.29
1995-08-01,99.04
1995-09-01,99.79
1995-10-01,99.66
1995-11-01,100.57
1995-12-01,100.85
1996-01-01,101.52
1996-02-01,101.41
1996-03-01,101.55
1996-04-01,101.61
1996-05-01,101.81
1996-06-01,101.83
1996-07-01,101.68
1996-08-01,101.14
1996-09-01,101.56
1996-10-01,101.83
1996-11-01,101.18
1996-12-01,101.95
1997-01-01,102.64
1997-02-01,104.26
1997-03-01,105.26
1997-04-01,105.77
1997-05-01,104.50
1997-06-01,104.36
1997-07-01,105.05
1997-08-01,106.43
1997-09-01,106.32
1997-10-01,106.40
1997-11-01,107.64
1997-12-01,109.81
1998-01-01,111.09
1998-02-01,110.27
1998-03-01,110.11
1998-04-01,110.27
1998-05-01,110.68
1998-06-01,112.44
1998-07-01,113.02
1998-08-01,114.91
1998-09-01,113.11
1998-10-01,111.00
1998-11-01,111.14
1998-12-01,110.46
1999-01-01,110.32
1999-02-01,111.24
1999-03-01,112.48
1999-04-01,111.84
1999-05-01,111.14
1999-06-01,112.02
1999-07-01,112.54
1999-08-01,111.53
1999-09-01,110.89
1999-10-01,110.41
1999-11-01,110.79
1999-12-01,110.73
2000-01-01,110.35
2000-02-01,111.74
2000-03-01,112.53
2000-04-01,113.14
2000-05-01,115.54
2000-06-01,114.52
2000-07-01,114.56
2000-08-01,115.09
2000-09-01,116.47
2000-10-01,118.14
2000-11-01,118.94
2000-12-01,117.25
2001-01-01,117.45
2001-02-01,118.48
2001-03-01,120.36
2001-04-01,120.89
2001-05-01,120.55
2001-06-01,121.13
2001-07-01,121.34
2001-08-01,119.83
2001-09-01,120.63
2001-10-01,121.06
2001-11-01,121.66
2001-12-01,120.98
2002-01-01,122.15
2002-02-01,122.58
2002-03-01,122.15
2002-04-01,121.83
2002-05-01,120.15
2002-06-01,118.75
2002-07-01,117.42
2002-08-01,118.77
2002-09-01,119.55
2002-10-01,120.38
2002-11-01,119.25
2002-12-01,118.35
2003-01-01,116.93
2003-02-01,117.14
2003-03-01,116.69
2003-04-01,115.79
2003-05-01,111.92
2003-06-01,111.67
2003-07-01,113.09
2003-08-01,114.23
2003-09-01,112.96
2003-10-01,110.70
2003-11-01,110.06
2003-12-01,108.41
2004-01-01,107.17
2004-02-01,108.04
2004-03-01,109.12
2004-04-01,109.87
2004-05-01,112.23
2004-06-01,111.27
2004-07-01,109.70
2004-08-01,109.41
2004-09-01,108.67
2004-10-01,106.92
2004-11-01,103.83
2004-12-01,102.72
2005-01-01,103.52
2005-02-01,103.99
2005-03-01,103.54
2005-04-01,104.93
2005-05-01,105.43
2005-06-01,106.08
2005-07-01,106.38
2005-08-01,105.24
2005-09-01,105.72
2005-10-01,107.02
2005-11-01,107.07
2005-12-01,105.73
2006-01-01,104.93
2006-02-01,104.96
2006-03-01,105.58
2006-04-01,105.32
2006-05-01,103.21
2006-06-01,104.47
2006-07-01,104.52
2006-08-01,103.62
2006-09-01,103.61
2006-10-01,103.68
2006-11-01,102.73
2006-12-01,102.17
2007-01-01,103.42
2007-02-01,103.15
2007-03-01,103.23
2007-04-01,101.95
2007-05-01,101.14
2007-06-01,100.57
2007-07-01,98.96
2007-08-01,99.03
2007-09-01,97.72
2007-10-01,95.47
2007-11-01,94.33
2007-12-01,95.26
2008-01-01,94.58
2008-02-01,93.40
2008-03-01,91.69
2008-04-01,91.30
2008-05-01,92.12
2008-06-01,92.32
2008-07-01,91.46
2008-08-01,92.93
2008-09-01,95.60
2008-10-01,100.24
2008-11-01,101.09
2008-12-01,98.66
2009-01-01,99.42
2009-02-01,101.77
2009-03-01,102.50
2009-04-01,99.95
2009-05-01,96.68
2009-06-01,95.72
2009-07-01,95.08
2009-08-01,93.51
2009-09-01,92.82
2009-10-01,91.42
2009-11-01,90.90
2009-12-01,91.14
2010-01-01,91.15
2010-02-01,92.01
2010-03-01,91.38
2010-04-01,90.71
2010-05-01,93.28
2010-06-01,93.66
2010-07-01,92.08
2010-08-01,91.28
2010-09-01,90.62
2010-10-01,88.18
2010-11-01,88.18
2010-12-01,88.71
2011-01-01,87.79
2011-02-01,87.12
2011-03-01,86.76
2011-04-01,85.52
2011-05-01,85.82
2011-06-01,85.91
2011-07-01,84.92
2011-08-01,85.74
2011-09-01,88.04
2011-10-01,88.76
2011-11-01,88.96
2011-12-01,89.39
2012-01-01,88.90
2012-02-01,87.43
2012-03-01,88.25
2012-04-01,88.35
2012-05-01,89.79
2012-06-01,91.05
2012-07-01,90.05
2012-08-01,89.26
2012-09-01,88.48
2012-10-01,88.33
2012-11-01,88.63
2012-12-01,87.85
2013-01-01,87.83
2013-02-01,88.60
2013-03-01,89.67
2013-04-01,89.17
2013-05-01,89.65
2013-06-01,90.55
2013-07-01,90.82
2013-08-01,90.66
2013-09-01,90.58
2013-10-01,89.63
2013-11-01,90.16
2013-12-01,90.42
2014-01-01,91.50
2014-02-01,91.54
2014-03-01,91.70
2014-04-01,91.06
2014-05-01,90.85
2014-06-01,90.99
2014-07-01,90.44
2014-08-01,91.25
2014-09-01,92.59
2014-10-01,93.73
2014-11-01,94.73
2014-12-01,96.19
2015-01-01,98.45
2015-02-01,99.95
2015-03-01,102.14
2015-04-01,101.48
2015-05-01,100.78
2015-06-01,101.75
2015-07-01,103.49
2015-08-01,104.85
2015-09-01,105.63
2015-10-01,104.65
2015-11-01,105.90
2015-12-01,106.73
2016-01-01,108.95
2016-02-01,107.52
2016-03-01,105.54
2016-04-01,104.05
2016-05-01,105.14
2016-06-01,105.64
2016-07-01,106.09
2016-08-01,105.33
2016-09-01,106.30
2016-10-01,107.48
2016-11-01,109.40
2016-12-01,110.67
2017-01-01,110.70
2017-02-01,109.41
2017-03-01,109.18
2017-04-01,108.41
2017-05-01,108.12
2017-06-01,106.66
2017-07-01,104.24
2017-08-01,103.14
2017-09-01,102.64
2017-10-01,104.48
2017-11-01,104.85
2017-12-01,104.32
2018-01-01,102.34
2018-02-01,101.74
2018-03-01,102.62
