Date,RTWVDNV684NMFRBDAL
1988-01-01,100.00
1988-02-01,101.20
1988-03-01,100.01
1988-04-01,99.22
1988-05-01,99.86
1988-06-01,101.69
1988-07-01,104.87
1988-08-01,106.64
1988-09-01,106.97
1988-10-01,104.48
1988-11-01,101.33
1988-12-01,100.96
1989-01-01,103.39
1989-02-01,103.89
1989-03-01,105.86
1989-04-01,106.32
1989-05-01,109.52
1989-06-01,110.73
1989-07-01,107.66
1989-08-01,108.49
1989-09-01,109.52
1989-10-01,107.36
1989-11-01,106.67
1989-12-01,104.36
1990-01-01,104.11
1990-02-01,104.48
1990-03-01,105.09
1990-04-01,104.00
1990-05-01,103.26
1990-06-01,103.51
1990-07-01,101.56
1990-08-01,99.93
1990-09-01,100.38
1990-10-01,98.93
1990-11-01,98.32
1990-12-01,98.86
1991-01-01,98.16
1991-02-01,97.06
1991-03-01,101.57
1991-04-01,103.17
1991-05-01,103.54
1991-06-01,105.62
1991-07-01,105.83
1991-08-01,104.60
1991-09-01,103.19
1991-10-01,102.19
1991-11-01,100.25
1991-12-01,99.17
1992-01-01,99.33
1992-02-01,101.18
1992-03-01,103.32
1992-04-01,102.80
1992-05-01,102.01
1992-06-01,100.22
1992-07-01,97.84
1992-08-01,96.85
1992-09-01,97.19
1992-10-01,99.52
1992-11-01,103.37
1992-12-01,103.26
1993-01-01,105.23
1993-02-01,105.91
1993-03-01,105.50
1993-04-01,103.38
1993-05-01,103.21
1993-06-01,104.39
1993-07-01,105.91
1993-08-01,105.70
1993-09-01,103.73
1993-10-01,104.98
1993-11-01,106.68
1993-12-01,105.85
1994-01-01,106.64
1994-02-01,107.04
1994-03-01,107.17
1994-04-01,108.32
1994-05-01,107.29
1994-06-01,106.01
1994-07-01,104.24
1994-08-01,103.98
1994-09-01,102.57
1994-10-01,101.41
1994-11-01,102.36
1994-12-01,104.11
1995-01-01,104.31
1995-02-01,103.66
1995-03-01,101.63
1995-04-01,99.28
1995-05-01,99.61
1995-06-01,99.73
1995-07-01,99.53
1995-08-01,101.23
1995-09-01,101.61
1995-10-01,101.03
1995-11-01,101.66
1995-12-01,102.46
1996-01-01,103.69
1996-02-01,104.20
1996-03-01,104.31
1996-04-01,105.17
1996-05-01,106.45
1996-06-01,106.40
1996-07-01,105.80
1996-08-01,105.10
1996-09-01,106.12
1996-10-01,106.61
1996-11-01,106.02
1996-12-01,108.00
1997-01-01,109.78
1997-02-01,112.40
1997-03-01,113.56
1997-04-01,114.14
1997-05-01,112.89
1997-06-01,113.18
1997-07-01,114.70
1997-08-01,116.75
1997-09-01,116.10
1997-10-01,115.74
1997-11-01,115.77
1997-12-01,118.97
1998-01-01,120.63
1998-02-01,119.74
1998-03-01,119.22
1998-04-01,119.70
1998-05-01,120.34
1998-06-01,122.20
1998-07-01,123.53
1998-08-01,125.94
1998-09-01,123.69
1998-10-01,122.13
1998-11-01,122.32
1998-12-01,122.10
1999-01-01,121.32
1999-02-01,121.69
1999-03-01,123.43
1999-04-01,122.61
1999-05-01,121.54
1999-06-01,122.37
1999-07-01,123.36
1999-08-01,122.46
1999-09-01,121.68
1999-10-01,121.25
1999-11-01,121.71
1999-12-01,121.87
2000-01-01,121.34
2000-02-01,122.74
2000-03-01,123.65
2000-04-01,124.46
2000-05-01,127.16
