Date,RTWVDOH684NMFRBDAL
1988-01-01,100.00
1988-02-01,100.04
1988-03-01,98.58
1988-04-01,97.62
1988-05-01,97.77
1988-06-01,98.41
1988-07-01,99.86
1988-08-01,101.30
1988-09-01,101.72
1988-10-01,99.68
1988-11-01,98.15
1988-12-01,97.33
1989-01-01,98.59
1989-02-01,98.77
1989-03-01,100.29
1989-04-01,100.11
1989-05-01,101.77
1989-06-01,103.21
1989-07-01,101.04
1989-08-01,101.14
1989-09-01,101.94
1989-10-01,100.35
1989-11-01,100.09
1989-12-01,98.64
1990-01-01,98.67
1990-02-01,99.33
1990-03-01,99.76
1990-04-01,98.84
1990-05-01,98.38
1990-06-01,98.77
1990-07-01,97.12
1990-08-01,95.91
1990-09-01,96.17
1990-10-01,94.83
1990-11-01,94.38
1990-12-01,94.92
1991-01-01,93.96
1991-02-01,93.53
1991-03-01,96.17
1991-04-01,96.97
1991-05-01,97.11
1991-06-01,98.00
1991-07-01,98.00
1991-08-01,97.20
1991-09-01,96.30
1991-10-01,95.51
1991-11-01,94.39
1991-12-01,94.25
1992-01-01,94.29
1992-02-01,96.02
1992-03-01,97.63
1992-04-01,96.98
1992-05-01,96.62
1992-06-01,95.75
1992-07-01,94.49
1992-08-01,94.11
1992-09-01,95.23
1992-10-01,97.21
1992-11-01,100.02
1992-12-01,100.16
1993-01-01,100.95
1993-02-01,100.56
1993-03-01,100.10
1993-04-01,99.25
1993-05-01,99.35
1993-06-01,100.14
1993-07-01,101.02
1993-08-01,101.77
1993-09-01,101.58
1993-10-01,102.39
1993-11-01,102.66
1993-12-01,103.06
1994-01-01,103.50
1994-02-01,104.22
1994-03-01,104.87
1994-04-01,105.57
1994-05-01,105.00
1994-06-01,104.51
1994-07-01,103.41
1994-08-01,103.27
1994-09-01,101.97
1994-10-01,101.34
1994-11-01,101.82
1994-12-01,103.83
1995-01-01,105.11
1995-02-01,104.26
1995-03-01,103.28
1995-04-01,100.27
1995-05-01,99.83
1995-06-01,100.34
1995-07-01,99.73
1995-08-01,101.23
1995-09-01,101.89
1995-10-01,101.78
1995-11-01,102.31
1995-12-01,103.08
1996-01-01,103.89
1996-02-01,104.21
1996-03-01,104.06
1996-04-01,104.11
1996-05-01,104.47
1996-06-01,104.64
1996-07-01,104.79
1996-08-01,104.57
1996-09-01,104.95
1996-10-01,104.83
1996-11-01,104.04
1996-12-01,105.33
1997-01-01,105.62
1997-02-01,107.03
1997-03-01,108.17
1997-04-01,109.22
1997-05-01,107.85
1997-06-01,107.83
1997-07-01,108.29
1997-08-01,109.77
1997-09-01,109.78
1997-10-01,109.99
1997-11-01,111.81
1997-12-01,114.59
1998-01-01,116.01
1998-02-01,115.20
1998-03-01,114.51
1998-04-01,115.03
1998-05-01,115.65
1998-06-01,117.50
1998-07-01,118.62
1998-08-01,121.37
1998-09-01,120.02
1998-10-01,119.11
1998-11-01,119.04
1998-12-01,118.75
1999-01-01,118.00
1999-02-01,118.12
1999-03-01,119.64
1999-04-01,118.47
1999-05-01,117.13
1999-06-01,117.93
1999-07-01,118.98
1999-08-01,118.40
1999-09-01,117.61
1999-10-01,117.33
1999-11-01,117.52
1999-12-01,117.62
2000-01-01,116.89
2000-02-01,118.02
2000-03-01,118.94
2000-04-01,119.87
2000-05-01,122.36
2000-06-01,120.86
2000-07-01,120.93
2000-08-01,121.58
2000-09-01,122.88
2000-10-01,124.92
2000-11-01,126.26
2000-12-01,124.17
2001-01-01,124.14
2001-02-01,125.47
2001-03-01,127.89
2001-04-01,128.08
2001-05-01,127.22
2001-06-01,127.26
2001-07-01,127.55
2001-08-01,126.56
2001-09-01,128.10
2001-10-01,128.62
2001-11-01,130.06
2001-12-01,128.83
2002-01-01,130.28
2002-02-01,130.35
2002-03-01,129.63
2002-04-01,129.09
2002-05-01,126.85
2002-06-01,125.19
2002-07-01,124.48
2002-08-01,126.17
2002-09-01,126.93
2002-10-01,127.39
2002-11-01,126.10
2002-12-01,125.04
2003-01-01,123.16
2003-02-01,122.10
2003-03-01,120.71
2003-04-01,119.52
2003-05-01,113.93
2003-06-01,112.41
2003-07-01,114.32
2003-08-01,115.79
