Date,RTWVDOK684NMFRBDAL
1988-01-01,100.00
1988-02-01,99.94
1988-03-01,98.37
1988-04-01,97.24
1988-05-01,97.33
1988-06-01,98.19
1988-07-01,99.74
1988-08-01,100.73
1988-09-01,101.03
1988-10-01,98.90
1988-11-01,97.06
1988-12-01,96.12
1989-01-01,97.23
1989-02-01,97.35
1989-03-01,99.06
1989-04-01,98.87
1989-05-01,100.77
1989-06-01,102.24
1989-07-01,100.20
1989-08-01,100.64
1989-09-01,101.58
1989-10-01,100.19
1989-11-01,99.89
1989-12-01,98.90
1990-01-01,98.83
1990-02-01,99.00
1990-03-01,99.97
1990-04-01,99.04
1990-05-01,98.30
1990-06-01,98.75
1990-07-01,98.11
1990-08-01,96.53
1990-09-01,96.62
1990-10-01,95.24
1990-11-01,94.83
1990-12-01,95.53
1991-01-01,95.13
1991-02-01,94.94
1991-03-01,97.71
1991-04-01,98.59
1991-05-01,98.68
1991-06-01,99.73
1991-07-01,99.75
1991-08-01,98.77
1991-09-01,97.75
1991-10-01,97.18
1991-11-01,95.94
1991-12-01,95.47
1992-01-01,95.49
1992-02-01,96.85
1992-03-01,98.30
1992-04-01,97.66
1992-05-01,97.16
1992-06-01,96.28
1992-07-01,95.19
1992-08-01,94.87
1992-09-01,96.40
1992-10-01,98.46
1992-11-01,100.66
1992-12-01,100.42
1993-01-01,100.88
1993-02-01,100.35
1993-03-01,99.54
1993-04-01,98.55
1993-05-01,98.77
1993-06-01,98.34
1993-07-01,97.78
1993-08-01,97.31
1993-09-01,96.33
1993-10-01,95.96
1993-11-01,95.86
1993-12-01,95.42
1994-01-01,96.09
1994-02-01,96.31
1994-03-01,97.00
1994-04-01,97.67
1994-05-01,97.22
1994-06-01,97.06
1994-07-01,96.41
1994-08-01,96.07
1994-09-01,95.01
1994-10-01,94.29
1994-11-01,94.44
1994-12-01,96.35
1995-01-01,97.84
1995-02-01,97.11
1995-03-01,96.08
1995-04-01,93.12
1995-05-01,92.39
1995-06-01,92.45
1995-07-01,91.70
1995-08-01,92.88
1995-09-01,93.43
1995-10-01,91.46
1995-11-01,91.68
1995-12-01,92.13
1996-01-01,92.62
1996-02-01,92.35
1996-03-01,92.22
1996-04-01,92.30
1996-05-01,92.65
1996-06-01,92.67
1996-07-01,92.64
1996-08-01,92.30
1996-09-01,92.56
1996-10-01,92.65
1996-11-01,92.05
1996-12-01,92.64
1997-01-01,92.97
1997-02-01,94.11
1997-03-01,95.05
1997-04-01,95.70
1997-05-01,94.62
1997-06-01,94.61
1997-07-01,95.31
1997-08-01,96.75
1997-09-01,96.97
1997-10-01,97.50
1997-11-01,98.84
1997-12-01,101.41
1998-01-01,103.61
1998-02-01,102.28
1998-03-01,101.56
1998-04-01,101.36
1998-05-01,102.18
1998-06-01,104.19
1998-07-01,104.80
1998-08-01,106.96
1998-09-01,107.04
1998-10-01,105.68
1998-11-01,105.23
1998-12-01,105.00
1999-01-01,105.58
1999-02-01,105.94
1999-03-01,107.12
1999-04-01,106.54
1999-05-01,105.65
1999-06-01,106.32
1999-07-01,106.87
1999-08-01,106.38
1999-09-01,106.14
1999-10-01,105.70
1999-11-01,105.89
1999-12-01,105.99
2000-01-01,105.67
2000-02-01,106.75
2000-03-01,107.47
2000-04-01,108.07
2000-05-01,110.11
2000-06-01,108.93
2000-07-01,108.88
2000-08-01,109.32
2000-09-01,110.37
2000-10-01,111.92
2000-11-01,112.87
2000-12-01,111.29
2001-01-01,111.51
2001-02-01,112.67
2001-03-01,114.89
2001-04-01,115.40
2001-05-01,114.65
2001-06-01,114.91
2001-07-01,115.23
2001-08-01,114.19
2001-09-01,115.35
2001-10-01,115.88
2001-11-01,116.58
2001-12-01,115.46
2002-01-01,116.51
2002-02-01,117.01
2002-03-01,116.55
2002-04-01,115.94
2002-05-01,114.53
2002-06-01,113.74
2002-07-01,113.26
2002-08-01,114.66
2002-09-01,115.42
2002-10-01,116.22
2002-11-01,114.64
2002-12-01,113.53
2003-01-01,112.30
2003-02-01,111.98
2003-03-01,110.94
2003-04-01,109.65
2003-05-01,105.19
2003-06-01,104.10
2003-07-01,105.38
2003-08-01,106.70
2003-09-01,105.31
2003-10-01,102.91
2003-11-01,101.87
2003-12-01,100.84
2004-01-01,99.33
2004-02-01,100.87
2004-03-01,101.68
2004-04-01,102.48
2004-05-01,104.80
2004-06-01,103.90
2004-07-01,102.30
2004-08-01,102.06
2004-09-01,101.25
2004-10-01,99.54
2004-11-01,96.55
2004-12-01,95.97
2005-01-01,96.49
2005-02-01,97.12
2005-03-01,96.52
2005-04-01,97.99
2005-05-01,98.43
2005-06-01,98.30
2005-07-01,98.13
2005-08-01,97.17
2005-09-01,97.01
2005-10-01,97.78
2005-11-01,97.44
2005-12-01,96.01
2006-01-01,95.53
2006-02-01,95.44
2006-03-01,96.11
2006-04-01,95.97
2006-05-01,94.12
2006-06-01,95.22
2006-07-01,95.38
2006-08-01,94.43
2006-09-01,94.20
2006-10-01,94.17
2006-11-01,93.60
2006-12-01,93.59
2007-01-01,94.89
2007-02-01,94.61
2007-03-01,94.72
2007-04-01,93.21
2007-05-01,91.93
2007-06-01,91.05
2007-07-01,89.55
2007-08-01,89.89
2007-09-01,88.34
2007-10-01,85.64
