Date,RTWVDRI684NMFRBDAL
1988-01-01,100.00
1988-02-01,100.50
1988-03-01,98.84
1988-04-01,97.67
1988-05-01,98.03
1988-06-01,99.69
1988-07-01,102.18
1988-08-01,103.46
1988-09-01,103.76
1988-10-01,101.47
1988-11-01,99.16
1988-12-01,98.62
1989-01-01,100.06
1989-02-01,100.40
1989-03-01,101.57
1989-04-01,101.45
1989-05-01,103.51
1989-06-01,105.26
1989-07-01,102.78
1989-08-01,103.17
1989-09-01,103.86
1989-10-01,102.15
1989-11-01,101.81
1989-12-01,100.14
1990-01-01,99.45
1990-02-01,99.39
1990-03-01,100.20
1990-04-01,99.27
1990-05-01,98.36
1990-06-01,98.75
1990-07-01,96.94
1990-08-01,95.37
1990-09-01,95.39
1990-10-01,93.71
1990-11-01,92.92
1990-12-01,93.47
1991-01-01,92.78
1991-02-01,91.69
1991-03-01,95.27
1991-04-01,96.72
1991-05-01,97.13
1991-06-01,98.68
1991-07-01,98.82
1991-08-01,97.70
1991-09-01,96.39
1991-10-01,95.71
1991-11-01,94.03
1991-12-01,93.20
1992-01-01,93.21
1992-02-01,94.91
1992-03-01,96.81
1992-04-01,96.07
1992-05-01,95.32
1992-06-01,94.10
1992-07-01,92.29
1992-08-01,91.57
1992-09-01,92.67
1992-10-01,95.26
1992-11-01,98.74
1992-12-01,98.83
1993-01-01,99.87
1993-02-01,100.30
1993-03-01,99.83
1993-04-01,98.49
1993-05-01,98.67
1993-06-01,99.94
1993-07-01,101.34
1993-08-01,101.97
1993-09-01,101.10
1993-10-01,102.01
1993-11-01,102.75
1993-12-01,102.97
1994-01-01,103.53
1994-02-01,104.20
1994-03-01,104.48
1994-04-01,105.23
1994-05-01,104.08
1994-06-01,103.34
1994-07-01,102.10
1994-08-01,101.98
1994-09-01,100.76
1994-10-01,99.67
1994-11-01,100.26
1994-12-01,101.88
1995-01-01,102.70
1995-02-01,101.92
1995-03-01,100.73
1995-04-01,98.13
1995-05-01,97.65
1995-06-01,97.70
1995-07-01,97.03
1995-08-01,98.45
1995-09-01,98.83
1995-10-01,98.35
1995-11-01,98.78
1995-12-01,99.56
1996-01-01,100.23
1996-02-01,100.43
1996-03-01,100.38
1996-04-01,100.41
1996-05-01,100.78
1996-06-01,100.76
1996-07-01,100.77
1996-08-01,100.45
1996-09-01,100.80
1996-10-01,100.76
1996-11-01,99.94
1996-12-01,101.03
1997-01-01,101.78
1997-02-01,103.58
1997-03-01,104.69
1997-04-01,105.31
1997-05-01,104.15
1997-06-01,104.08
1997-07-01,104.94
1997-08-01,106.82
1997-09-01,106.93
1997-10-01,107.16
1997-11-01,108.45
1997-12-01,111.83
1998-01-01,114.19
1998-02-01,112.77
1998-03-01,112.23
1998-04-01,112.45
1998-05-01,112.99
1998-06-01,115.03
1998-07-01,116.04
1998-08-01,118.36
1998-09-01,116.16
1998-10-01,114.17
1998-11-01,114.11
1998-12-01,113.54
1999-01-01,113.13
1999-02-01,113.79
1999-03-01,115.19
1999-04-01,114.53
1999-05-01,113.76
1999-06-01,114.55
1999-07-01,115.21
1999-08-01,114.42
1999-09-01,113.89
1999-10-01,113.51
1999-11-01,113.92
1999-12-01,113.99
2000-01-01,113.59
2000-02-01,115.06
2000-03-01,116.16
2000-04-01,116.98
2000-05-01,119.63
2000-06-01,118.16
2000-07-01,118.40
2000-08-01,119.29
2000-09-01,121.05
2000-10-01,123.01
2000-11-01,123.86
2000-12-01,121.69
2001-01-01,121.38
2001-02-01,122.65
2001-03-01,124.76
2001-04-01,125.59
2001-05-01,125.54
2001-06-01,126.45
2001-07-01,126.54
2001-08-01,124.58
2001-09-01,125.22
2001-10-01,125.79
2001-11-01,126.82
2001-12-01,125.95
2002-01-01,127.10
2002-02-01,127.42
2002-03-01,126.94
2002-04-01,126.53
2002-05-01,124.25
2002-06-01,122.34
2002-07-01,120.90
2002-08-01,122.42
2002-09-01,123.02
2002-10-01,123.64
2002-11-01,122.27
2002-12-01,121.06
2003-01-01,119.18
2003-02-01,118.74
2003-03-01,118.17
2003-04-01,117.31
2003-05-01,112.53
2003-06-01,111.67
2003-07-01,113.52
2003-08-01,114.82
2003-09-01,113.36
2003-10-01,110.78
2003-11-01,110.04
2003-12-01,108.17
2004-01-01,106.98
2004-02-01,107.97
2004-03-01,109.12
2004-04-01,109.95
2004-05-01,112.19
2004-06-01,111.26
2004-07-01,109.42
2004-08-01,109.14
2004-09-01,108.17
2004-10-01,106.13
2004-11-01,102.74
2004-12-01,101.79
2005-01-01,102.68
2005-02-01,103.16
2005-03-01,102.45
2005-04-01,104.04
2005-05-01,104.85
2005-06-01,105.46
2005-07-01,105.56
2005-08-01,104.32
2005-09-01,104.56
2005-10-01,105.72
2005-11-01,105.68
2005-12-01,104.24
2006-01-01,103.54
2006-02-01,103.48
2006-03-01,104.04
2006-04-01,103.54
2006-05-01,101.49
2006-06-01,102.91
2006-07-01,103.05
