Date,RTWVDTX684NMFRBDAL
1988-01-01,100.00
1988-02-01,98.43
1988-03-01,96.45
1988-04-01,94.80
1988-05-01,94.34
1988-06-01,94.29
1988-07-01,94.75
1988-08-01,94.85
1988-09-01,96.16
1988-10-01,94.77
1988-11-01,92.87
1988-12-01,91.90
1989-01-01,92.28
1989-02-01,92.34
1989-03-01,94.61
1989-04-01,94.31
1989-05-01,95.45
1989-06-01,96.40
1989-07-01,95.38
1989-08-01,96.28
1989-09-01,96.75
1989-10-01,95.96
1989-11-01,96.09
1989-12-01,94.97
1990-01-01,94.03
1990-02-01,93.73
1990-03-01,94.47
1990-04-01,93.98
1990-05-01,93.25
1990-06-01,93.34
1990-07-01,92.80
1990-08-01,92.01
1990-09-01,91.86
1990-10-01,90.92
1990-11-01,90.20
1990-12-01,89.76
1991-01-01,89.20
1991-02-01,88.69
1991-03-01,89.95
1991-04-01,90.19
1991-05-01,90.16
1991-06-01,90.80
1991-07-01,90.80
1991-08-01,90.22
1991-09-01,89.49
1991-10-01,88.90
1991-11-01,87.53
1991-12-01,86.17
1992-01-01,85.37
1992-02-01,85.48
1992-03-01,86.57
1992-04-01,85.96
1992-05-01,85.68
1992-06-01,85.33
1992-07-01,84.55
1992-08-01,84.02
1992-09-01,84.27
1992-10-01,85.49
1992-11-01,86.34
1992-12-01,85.71
1993-01-01,85.50
1993-02-01,85.24
1993-03-01,85.13
1993-04-01,84.05
1993-05-01,84.08
1993-06-01,83.87
1993-07-01,83.78
1993-08-01,83.44
1993-09-01,82.89
1993-10-01,82.97
1993-11-01,83.38
1993-12-01,82.31
1994-01-01,82.60
1994-02-01,82.60
1994-03-01,84.59
1994-04-01,85.62
1994-05-01,84.83
1994-06-01,84.90
1994-07-01,84.98
1994-08-01,84.30
1994-09-01,83.78
1994-10-01,83.35
1994-11-01,83.42
1994-12-01,88.37
1995-01-01,98.01
1995-02-01,97.37
1995-03-01,100.37
1995-04-01,94.28
1995-05-01,90.92
1995-06-01,91.21
1995-07-01,89.93
1995-08-01,90.54
1995-09-01,90.88
1995-10-01,92.02
1995-11-01,95.67
1995-12-01,95.55
1996-01-01,94.14
1996-02-01,93.12
1996-03-01,92.85
1996-04-01,91.70
1996-05-01,91.26
1996-06-01,91.16
1996-07-01,90.98
1996-08-01,89.70
1996-09-01,89.54
1996-10-01,89.93
1996-11-01,90.20
1996-12-01,89.21
1997-01-01,88.44
1997-02-01,88.36
1997-03-01,89.20
1997-04-01,88.74
1997-05-01,87.90
1997-06-01,87.71
1997-07-01,87.50
1997-08-01,87.62
1997-09-01,87.55
1997-10-01,87.94
1997-11-01,90.33
1997-12-01,91.00
1998-01-01,91.73
1998-02-01,91.80
1998-03-01,91.44
1998-04-01,90.66
1998-05-01,91.08
1998-06-01,93.01
1998-07-01,92.96
1998-08-01,94.99
1998-09-01,97.95
1998-10-01,96.25
1998-11-01,94.58
1998-12-01,92.98
1999-01-01,93.56
1999-02-01,93.29
1999-03-01,92.58
1999-04-01,90.72
1999-05-01,89.85
1999-06-01,90.69
1999-07-01,90.10
1999-08-01,89.85
1999-09-01,89.33
1999-10-01,89.91
1999-11-01,89.11
1999-12-01,88.54
2000-01-01,88.23
2000-02-01,88.47
2000-03-01,88.34
2000-04-01,88.64
2000-05-01,90.05
2000-06-01,90.97
2000-07-01,89.70
2000-08-01,88.79
2000-09-01,89.45
2000-10-01,90.80
2000-11-01,90.86
2000-12-01,89.72
2001-01-01,91.22
2001-02-01,91.45
2001-03-01,91.72
2001-04-01,90.89
2001-05-01,90.14
2001-06-01,90.23
2001-07-01,90.61
2001-08-01,89.67
2001-09-01,90.99
2001-10-01,90.78
2001-11-01,90.05
2001-12-01,89.26
2002-01-01,89.32
2002-02-01,89.49
2002-03-01,89.34
2002-04-01,89.32
2002-05-01,90.23
2002-06-01,90.85
2002-07-01,90.65
2002-08-01,91.45
2002-09-01,92.65
2002-10-01,93.35
2002-11-01,92.70
2002-12-01,92.02
2003-01-01,92.91
2003-02-01,94.48
