Date,RTWVDUT684NMFRBDAL
1988-01-01,100.00
1988-02-01,99.94
1988-03-01,98.48
1988-04-01,97.63
1988-05-01,97.71
1988-06-01,98.59
1988-07-01,100.36
1988-08-01,101.27
1988-09-01,101.57
1988-10-01,99.74
1988-11-01,97.83
1988-12-01,97.23
1989-01-01,98.85
1989-02-01,99.19
1989-03-01,100.35
1989-04-01,100.33
1989-05-01,102.31
1989-06-01,104.19
1989-07-01,102.24
1989-08-01,102.48
1989-09-01,103.37
1989-10-01,101.84
1989-11-01,102.10
1989-12-01,101.06
1990-01-01,101.16
1990-02-01,101.31
1990-03-01,102.58
1990-04-01,101.96
1990-05-01,100.99
1990-06-01,101.45
1990-07-01,99.85
1990-08-01,98.66
1990-09-01,98.42
1990-10-01,96.68
1990-11-01,96.35
1990-12-01,97.19
1991-01-01,96.86
1991-02-01,96.07
1991-03-01,99.40
1991-04-01,100.11
1991-05-01,100.43
1991-06-01,102.12
1991-07-01,102.05
1991-08-01,100.84
1991-09-01,99.64
1991-10-01,98.91
1991-11-01,97.39
1991-12-01,96.47
1992-01-01,95.90
1992-02-01,96.63
1992-03-01,98.29
1992-04-01,97.21
1992-05-01,96.10
1992-06-01,95.05
1992-07-01,94.13
1992-08-01,94.07
1992-09-01,94.34
1992-10-01,96.66
1992-11-01,99.60
1992-12-01,99.43
1993-01-01,100.31
1993-02-01,100.70
1993-03-01,100.23
1993-04-01,98.36
1993-05-01,98.24
1993-06-01,98.74
1993-07-01,100.14
1993-08-01,99.98
1993-09-01,98.85
1993-10-01,99.62
1993-11-01,100.67
1993-12-01,100.40
1994-01-01,101.05
1994-02-01,100.23
1994-03-01,100.13
1994-04-01,99.89
1994-05-01,99.07
1994-06-01,98.59
1994-07-01,97.05
1994-08-01,96.72
1994-09-01,95.83
1994-10-01,95.11
1994-11-01,95.52
1994-12-01,97.01
1995-01-01,96.87
1995-02-01,96.31
1995-03-01,93.70
1995-04-01,90.85
1995-05-01,91.33
1995-06-01,91.09
1995-07-01,91.28
1995-08-01,93.72
1995-09-01,94.77
1995-10-01,94.24
1995-11-01,94.80
1995-12-01,95.24
1996-01-01,96.72
1996-02-01,96.57
1996-03-01,96.89
1996-04-01,97.27
1996-05-01,97.47
1996-06-01,97.78
1996-07-01,97.88
1996-08-01,97.27
1996-09-01,97.83
1996-10-01,98.34
1996-11-01,97.39
1996-12-01,98.23
1997-01-01,99.60
1997-02-01,101.83
1997-03-01,102.70
1997-04-01,102.86
1997-05-01,101.35
1997-06-01,100.73
1997-07-01,101.79
1997-08-01,104.32
1997-09-01,104.97
1997-10-01,105.13
1997-11-01,105.85
1997-12-01,109.91
1998-01-01,113.03
1998-02-01,111.10
1998-03-01,110.45
1998-04-01,110.42
1998-05-01,111.27
1998-06-01,112.96
1998-07-01,113.95
1998-08-01,115.44
1998-09-01,111.85
1998-10-01,108.91
1998-11-01,109.32
1998-12-01,108.33
1999-01-01,108.52
1999-02-01,110.20
1999-03-01,112.01
1999-04-01,112.42
1999-05-01,112.20
1999-06-01,113.21
1999-07-01,114.30
1999-08-01,112.40
1999-09-01,111.75
1999-10-01,110.60
1999-11-01,112.10
1999-12-01,112.27
2000-01-01,112.27
2000-02-01,114.48
2000-03-01,115.74
2000-04-01,116.18
2000-05-01,119.17
2000-06-01,117.14
2000-07-01,117.95
2000-08-01,119.52
2000-09-01,121.43
2000-10-01,123.26
2000-11-01,124.10
2000-12-01,121.88
2001-01-01,121.65
2001-02-01,123.26
2001-03-01,125.65
2001-04-01,127.12
2001-05-01,127.50
2001-06-01,128.85
2001-07-01,128.75
2001-08-01,125.91
2001-09-01,125.35
2001-10-01,125.92
2001-11-01,126.75
2001-12-01,126.39
2002-01-01,127.92
2002-02-01,129.12
2002-03-01,128.56
2002-04-01,127.52
2002-05-01,124.26
2002-06-01,121.84
2002-07-01,118.68
2002-08-01,120.35
2002-09-01,120.44
2002-10-01,120.91
2002-11-01,119.33
2002-12-01,117.89
2003-01-01,115.15
2003-02-01,115.18
2003-03-01,115.29
2003-04-01,114.91
2003-05-01,110.38
2003-06-01,110.11
2003-07-01,112.43
2003-08-01,113.94
2003-09-01,112.73
2003-10-01,109.00
2003-11-01,108.63
2003-12-01,105.49
2004-01-01,103.98
2004-02-01,104.65
2004-03-01,106.60
2004-04-01,107.36
2004-05-01,109.11
2004-06-01,107.71
2004-07-01,106.73
2004-08-01,107.06
2004-09-01,106.79
2004-10-01,105.11
2004-11-01,101.53
2004-12-01,99.89
2005-01-01,101.50
2005-02-01,101.98
2005-03-01,101.63
2005-04-01,103.07
2005-05-01,104.02
2005-06-01,106.03
2005-07-01,107.78
2005-08-01,106.18
2005-09-01,107.06
2005-10-01,108.81
2005-11-01,109.50
2005-12-01,108.21
2006-01-01,107.49
2006-02-01,108.19
2006-03-01,108.73
2006-04-01,107.84
2006-05-01,104.05
2006-06-01,105.56
2006-07-01,105.77
2006-08-01,104.18
2006-09-01,104.20
2006-10-01,104.25
2006-11-01,102.61
2006-12-01,100.97
2007-01-01,102.37
2007-02-01,102.23
2007-03-01,102.59
2007-04-01,101.02
2007-05-01,100.76
2007-06-01,100.53
2007-07-01,98.68
2007-08-01,98.82
2007-09-01,97.88
2007-10-01,95.75
