Date,S42343M144NCEN
1997-01-01,10635000000.00
1997-02-01,10286000000.00
1997-03-01,11743000000.00
1997-04-01,11153000000.00
1997-05-01,10745000000.00
1997-06-01,12320000000.00
1997-07-01,11724000000.00
1997-08-01,11714000000.00
1997-09-01,13415000000.00
1997-10-01,12882000000.00
1997-11-01,11498000000.00
1997-12-01,13945000000.00
1998-01-01,11809000000.00
1998-02-01,11639000000.00
1998-03-01,14225000000.00
1998-04-01,13087000000.00
1998-05-01,12063000000.00
1998-06-01,14814000000.00
1998-07-01,13513000000.00
1998-08-01,13184000000.00
1998-09-01,14204000000.00
1998-10-01,13356000000.00
1998-11-01,11758000000.00
1998-12-01,14184000000.00
1999-01-01,12128000000.00
1999-02-01,12502000000.00
1999-03-01,15868000000.00
1999-04-01,13333000000.00
1999-05-01,13434000000.00
1999-06-01,15419000000.00
1999-07-01,14478000000.00
1999-08-01,15315000000.00
1999-09-01,16474000000.00
1999-10-01,15483000000.00
1999-11-01,14307000000.00
1999-12-01,17038000000.00
2000-01-01,13608000000.00
2000-02-01,13698000000.00
2000-03-01,16877000000.00
2000-04-01,13597000000.00
2000-05-01,14489000000.00
2000-06-01,15189000000.00
2000-07-01,13579000000.00
2000-08-01,15530000000.00
2000-09-01,15606000000.00
2000-10-01,15066000000.00
2000-11-01,13687000000.00
2000-12-01,13922000000.00
2001-01-01,13032000000.00
2001-02-01,11951000000.00
2001-03-01,14174000000.00
2001-04-01,11855000000.00
2001-05-01,13053000000.00
2001-06-01,13889000000.00
2001-07-01,12405000000.00
2001-08-01,12991000000.00
2001-09-01,13540000000.00
2001-10-01,12697000000.00
2001-11-01,11164000000.00
2001-12-01,13094000000.00
2002-01-01,11390000000.00
2002-02-01,10592000000.00
2002-03-01,12373000000.00
2002-04-01,10975000000.00
2002-05-01,12261000000.00
2002-06-01,13658000000.00
2002-07-01,13023000000.00
2002-08-01,13294000000.00
2002-09-01,14530000000.00
2002-10-01,13543000000.00
2002-11-01,11302000000.00
2002-12-01,13677000000.00
2003-01-01,11483000000.00
2003-02-01,10774000000.00
2003-03-01,12836000000.00
2003-04-01,11998000000.00
2003-05-01,11565000000.00
2003-06-01,13126000000.00
2003-07-01,12414000000.00
2003-08-01,11433000000.00
2003-09-01,13803000000.00
2003-10-01,13096000000.00
2003-11-01,11245000000.00
2003-12-01,14917000000.00
2004-01-01,12195000000.00
2004-02-01,11840000000.00
2004-03-01,14933000000.00
2004-04-01,12683000000.00
2004-05-01,12422000000.00
2004-06-01,15442000000.00
2004-07-01,14084000000.00
2004-08-01,13049000000.00
2004-09-01,15190000000.00
2004-10-01,13332000000.00
2004-11-01,13537000000.00
2004-12-01,17444000000.00
2005-01-01,13107000000.00
2005-02-01,12785000000.00
2005-03-01,15899000000.00
2005-04-01,13313000000.00
2005-05-01,14168000000.00
2005-06-01,16329000000.00
2005-07-01,13817000000.00
2005-08-01,15389000000.00
2005-09-01,17725000000.00
2005-10-01,14950000000.00
2005-11-01,14180000000.00
2005-12-01,17382000000.00
2006-01-01,13505000000.00
2006-02-01,12998000000.00
2006-03-01,16840000000.00
2006-04-01,13209000000.00
2006-05-01,14247000000.00
2006-06-01,16615000000.00
2006-07-01,14033000000.00
2006-08-01,15169000000.00
2006-09-01,17166000000.00
2006-10-01,16057000000.00
2006-11-01,15521000000.00
2006-12-01,18298000000.00
2007-01-01,14762000000.00
2007-02-01,13280000000.00
2007-03-01,17388000000.00
2007-04-01,14035000000.00
2007-05-01,15504000000.00
2007-06-01,18841000000.00
2007-07-01,15870000000.00
2007-08-01,16591000000.00
2007-09-01,17560000000.00
2007-10-01,18062000000.00
2007-11-01,17340000000.00
2007-12-01,19573000000.00
2008-01-01,15303000000.00
2008-02-01,14597000000.00
2008-03-01,17614000000.00
2008-04-01,15253000000.00
2008-05-01,15301000000.00
2008-06-01,18762000000.00
2008-07-01,16083000000.00
2008-08-01,15478000000.00
2008-09-01,19441000000.00
2008-10-01,17082000000.00
2008-11-01,14424000000.00
2008-12-01,18848000000.00
2009-01-01,12635000000.00
2009-02-01,12001000000.00
2009-03-01,15790000000.00
2009-04-01,13219000000.00
2009-05-01,12675000000.00
2009-06-01,16722000000.00
2009-07-01,14817000000.00
2009-08-01,13823000000.00
2009-09-01,17093000000.00
2009-10-01,16683000000.00
2009-11-01,15859000000.00
2009-12-01,20768000000.00
2010-01-01,15105000000.00
2010-02-01,14143000000.00
2010-03-01,18963000000.00
2010-04-01,17025000000.00
2010-05-01,16524000000.00
2010-06-01,20835000000.00
2010-07-01,18345000000.00
2010-08-01,17443000000.00
2010-09-01,20918000000.00
2010-10-01,19534000000.00
2010-11-01,18870000000.00
2010-12-01,22370000000.00
2011-01-01,17189000000.00
2011-02-01,15666000000.00
2011-03-01,20560000000.00
2011-04-01,18075000000.00
2011-05-01,16432000000.00
2011-06-01,20344000000.00
2011-07-01,18456000000.00
2011-08-01,18054000000.00
2011-09-01,19816000000.00
2011-10-01,19091000000.00
2011-11-01,17958000000.00
2011-12-01,20530000000.00
2012-01-01,16102000000.00
2012-02-01,15771000000.00
2012-03-01,19449000000.00
2012-04-01,17234000000.00
2012-05-01,17218000000.00
2012-06-01,19923000000.00
2012-07-01,17829000000.00
2012-08-01,17389000000.00
2012-09-01,18506000000.00
2012-10-01,19441000000.00
2012-11-01,18609000000.00
2012-12-01,20467000000.00
2013-01-01,16847000000.00
2013-02-01,15164000000.00
2013-03-01,18770000000.00
2013-04-01,18027000000.00
2013-05-01,17289000000.00
2013-06-01,20477000000.00
2013-07-01,19527000000.00
2013-08-01,18951000000.00
2013-09-01,19493000000.00
2013-10-01,21187000000.00
2013-11-01,17752000000.00
2013-12-01,21085000000.00
2014-01-01,17213000000.00
2014-02-01,14715000000.00
2014-03-01,18999000000.00
2014-04-01,19046000000.00
2014-05-01,17461000000.00
2014-06-01,20757000000.00
2014-07-01,20204000000.00
2014-08-01,17794000000.00
2014-09-01,20497000000.00
2014-10-01,21478000000.00
2014-11-01,18511000000.00
2014-12-01,22172000000.00
2015-01-01,17438000000.00
2015-02-01,15393000000.00
2015-03-01,19817000000.00
2015-04-01,18709000000.00
2015-05-01,16688000000.00
2015-06-01,21638000000.00
2015-07-01,20613000000.00
2015-08-01,17438000000.00
2015-09-01,21428000000.00
2015-10-01,21416000000.00
2015-11-01,18447000000.00
2015-12-01,22923000000.00
2016-01-01,16088000000.00
2016-02-01,15508000000.00
2016-03-01,20498000000.00
2016-04-01,17728000000.00
2016-05-01,17682000000.00
2016-06-01,22641000000.00
2016-07-01,20149000000.00
2016-08-01,18835000000.00
2016-09-01,21738000000.00
2016-10-01,20608000000.00
2016-11-01,18946000000.00
2016-12-01,23388000000.00
2017-01-01,17240000000.00
2017-02-01,15920000000.00
2017-03-01,21382000000.00
2017-04-01,18753000000.00
2017-05-01,19665000000.00
2017-06-01,23691000000.00
2017-07-01,21346000000.00
2017-08-01,21699000000.00
2017-09-01,22871000000.00
2017-10-01,21040000000.00
2017-11-01,21216000000.00
2017-12-01,23048000000.00
2018-01-01,19436000000.00
2018-02-01,17168000000.00
2018-03-01,22426000000.00
2018-04-01,20169000000.00
