Date,S4241SM144NCEN
1992-01-01,4151000000.00
1992-02-01,3657000000.00
1992-03-01,4103000000.00
1992-04-01,4011000000.00
1992-05-01,3824000000.00
1992-06-01,4036000000.00
1992-07-01,4209000000.00
1992-08-01,3931000000.00
1992-09-01,3998000000.00
1992-10-01,4294000000.00
1992-11-01,3898000000.00
1992-12-01,4017000000.00
1993-01-01,3908000000.00
1993-02-01,3741000000.00
1993-03-01,4308000000.00
1993-04-01,4102000000.00
1993-05-01,3960000000.00
1993-06-01,4342000000.00
1993-07-01,4050000000.00
1993-08-01,4287000000.00
1993-09-01,4312000000.00
1993-10-01,4517000000.00
1993-11-01,4399000000.00
1993-12-01,4286000000.00
1994-01-01,4209000000.00
1994-02-01,3986000000.00
1994-03-01,4675000000.00
1994-04-01,4358000000.00
1994-05-01,4457000000.00
1994-06-01,4726000000.00
1994-07-01,4413000000.00
1994-08-01,5059000000.00
1994-09-01,4833000000.00
1994-10-01,5032000000.00
1994-11-01,4766000000.00
1994-12-01,4921000000.00
1995-01-01,5195000000.00
1995-02-01,4964000000.00
1995-03-01,5788000000.00
1995-04-01,5145000000.00
1995-05-01,5604000000.00
1995-06-01,5827000000.00
1995-07-01,5524000000.00
1995-08-01,6031000000.00
1995-09-01,5654000000.00
1995-10-01,5780000000.00
1995-11-01,5431000000.00
1995-12-01,5126000000.00
1996-01-01,5359000000.00
1996-02-01,5182000000.00
1996-03-01,5478000000.00
1996-04-01,5416000000.00
1996-05-01,5452000000.00
1996-06-01,5183000000.00
1996-07-01,5549000000.00
1996-08-01,5705000000.00
1996-09-01,5400000000.00
1996-10-01,5881000000.00
1996-11-01,5091000000.00
1996-12-01,5148000000.00
1997-01-01,5490000000.00
1997-02-01,5251000000.00
1997-03-01,5566000000.00
1997-04-01,5659000000.00
1997-05-01,5197000000.00
1997-06-01,5319000000.00
1997-07-01,5458000000.00
1997-08-01,5686000000.00
1997-09-01,5905000000.00
1997-10-01,6157000000.00
1997-11-01,5322000000.00
1997-12-01,5482000000.00
1998-01-01,5422000000.00
1998-02-01,5171000000.00
1998-03-01,6029000000.00
1998-04-01,5769000000.00
1998-05-01,5500000000.00
1998-06-01,5977000000.00
1998-07-01,5769000000.00
1998-08-01,5857000000.00
1998-09-01,6111000000.00
1998-10-01,6138000000.00
1998-11-01,5555000000.00
1998-12-01,5804000000.00
1999-01-01,5489000000.00
1999-02-01,5409000000.00
1999-03-01,6091000000.00
1999-04-01,5888000000.00
1999-05-01,5800000000.00
1999-06-01,6355000000.00
1999-07-01,5998000000.00
1999-08-01,6519000000.00
1999-09-01,6573000000.00
1999-10-01,6585000000.00
1999-11-01,6354000000.00
1999-12-01,6097000000.00
2000-01-01,6011000000.00
2000-02-01,6056000000.00
2000-03-01,6913000000.00
2000-04-01,5966000000.00
2000-05-01,6619000000.00
2000-06-01,6609000000.00
2000-07-01,6179000000.00
2000-08-01,7061000000.00
2000-09-01,6613000000.00
2000-10-01,6937000000.00
2000-11-01,6546000000.00
2000-12-01,6264000000.00
2001-01-01,6675000000.00
2001-02-01,6052000000.00
2001-03-01,6708000000.00
2001-04-01,6286000000.00
2001-05-01,6640000000.00
2001-06-01,6473000000.00
2001-07-01,6209000000.00
2001-08-01,6828000000.00
2001-09-01,5895000000.00
2001-10-01,6563000000.00
2001-11-01,6138000000.00
2001-12-01,5765000000.00
2002-01-01,5986000000.00
2002-02-01,5489000000.00
2002-03-01,5933000000.00
2002-04-01,5934000000.00
2002-05-01,6120000000.00
2002-06-01,5941000000.00
2002-07-01,6261000000.00
2002-08-01,6351000000.00
2002-09-01,6136000000.00
2002-10-01,6572000000.00
2002-11-01,5940000000.00
2002-12-01,5983000000.00
2003-01-01,6180000000.00
2003-02-01,5587000000.00
2003-03-01,6216000000.00
2003-04-01,6056000000.00
2003-05-01,5975000000.00
2003-06-01,6215000000.00
2003-07-01,6205000000.00
2003-08-01,6051000000.00
2003-09-01,6466000000.00
2003-10-01,6856000000.00
2003-11-01,5771000000.00
2003-12-01,6474000000.00
2004-01-01,6015000000.00
2004-02-01,5970000000.00
2004-03-01,7070000000.00
2004-04-01,6605000000.00
2004-05-01,6483000000.00
2004-06-01,7146000000.00
2004-07-01,6656000000.00
2004-08-01,7131000000.00
2004-09-01,7295000000.00
2004-10-01,7169000000.00
2004-11-01,7107000000.00
2004-12-01,7257000000.00
2005-01-01,6761000000.00
2005-02-01,6640000000.00
2005-03-01,7455000000.00
2005-04-01,6846000000.00
2005-05-01,7093000000.00
2005-06-01,7349000000.00
