Date,S4245SM144NCEN
1992-01-01,9867000000.00
1992-02-01,8578000000.00
1992-03-01,9888000000.00
1992-04-01,8733000000.00
1992-05-01,8740000000.00
1992-06-01,8306000000.00
1992-07-01,8802000000.00
1992-08-01,8651000000.00
1992-09-01,9611000000.00
1992-10-01,9727000000.00
1992-11-01,8925000000.00
1992-12-01,9999000000.00
1993-01-01,9129000000.00
1993-02-01,8290000000.00
1993-03-01,9627000000.00
1993-04-01,8424000000.00
1993-05-01,8948000000.00
1993-06-01,7977000000.00
1993-07-01,7550000000.00
1993-08-01,8013000000.00
1993-09-01,7560000000.00
1993-10-01,8431000000.00
1993-11-01,8442000000.00
1993-12-01,9616000000.00
1994-01-01,8646000000.00
1994-02-01,7702000000.00
1994-03-01,9335000000.00
1994-04-01,7976000000.00
1994-05-01,8949000000.00
1994-06-01,8199000000.00
1994-07-01,7682000000.00
1994-08-01,8662000000.00
1994-09-01,7862000000.00
1994-10-01,9355000000.00
1994-11-01,9337000000.00
1994-12-01,9936000000.00
1995-01-01,10951000000.00
1995-02-01,9852000000.00
1995-03-01,10975000000.00
1995-04-01,9607000000.00
1995-05-01,10346000000.00
1995-06-01,9791000000.00
1995-07-01,9223000000.00
1995-08-01,10492000000.00
1995-09-01,9891000000.00
1995-10-01,11709000000.00
1995-11-01,11644000000.00
1995-12-01,11067000000.00
1996-01-01,13220000000.00
1996-02-01,11701000000.00
1996-03-01,12304000000.00
1996-04-01,11850000000.00
1996-05-01,11709000000.00
1996-06-01,10869000000.00
1996-07-01,12022000000.00
1996-08-01,12097000000.00
1996-09-01,11182000000.00
1996-10-01,12950000000.00
1996-11-01,12198000000.00
1996-12-01,12863000000.00
1997-01-01,12321000000.00
1997-02-01,11071000000.00
1997-03-01,10801000000.00
1997-04-01,11021000000.00
1997-05-01,10862000000.00
1997-06-01,9863000000.00
1997-07-01,9608000000.00
1997-08-01,9377000000.00
1997-09-01,10938000000.00
1997-10-01,13723000000.00
1997-11-01,10982000000.00
1997-12-01,12316000000.00
1998-01-01,11215000000.00
1998-02-01,9236000000.00
1998-03-01,9768000000.00
1998-04-01,8733000000.00
1998-05-01,8632000000.00
1998-06-01,8434000000.00
1998-07-01,7975000000.00
1998-08-01,7755000000.00
1998-09-01,8666000000.00
1998-10-01,9715000000.00
1998-11-01,9327000000.00
1998-12-01,10586000000.00
1999-01-01,8572000000.00
1999-02-01,8181000000.00
1999-03-01,9095000000.00
1999-04-01,7688000000.00
1999-05-01,8270000000.00
1999-06-01,8522000000.00
1999-07-01,7351000000.00
1999-08-01,7496000000.00
1999-09-01,8065000000.00
1999-10-01,8977000000.00
1999-11-01,9254000000.00
1999-12-01,8940000000.00
2000-01-01,8307000000.00
2000-02-01,8340000000.00
2000-03-01,8953000000.00
2000-04-01,7917000000.00
2000-05-01,8886000000.00
2000-06-01,8369000000.00
2000-07-01,7514000000.00
2000-08-01,8141000000.00
2000-09-01,7873000000.00
2000-10-01,9646000000.00
2000-11-01,9143000000.00
2000-12-01,9577000000.00
2001-01-01,10010000000.00
2001-02-01,8890000000.00
2001-03-01,9511000000.00
2001-04-01,8077000000.00
2001-05-01,8490000000.00
2001-06-01,7275000000.00
2001-07-01,7502000000.00
2001-08-01,7945000000.00
2001-09-01,7236000000.00
2001-10-01,9249000000.00
2001-11-01,8566000000.00
2001-12-01,8135000000.00
2002-01-01,9106000000.00
2002-02-01,7687000000.00
2002-03-01,7790000000.00
2002-04-01,8089000000.00
2002-05-01,7700000000.00
2002-06-01,7218000000.00
2002-07-01,7881000000.00
2002-08-01,7874000000.00
2002-09-01,7996000000.00
2002-10-01,10499000000.00
2002-11-01,10330000000.00
2002-12-01,11233000000.00
2003-01-01,10742000000.00
2003-02-01,8949000000.00
2003-03-01,8553000000.00
2003-04-01,8691000000.00
2003-05-01,8090000000.00
2003-06-01,8263000000.00
2003-07-01,7708000000.00
2003-08-01,7625000000.00
2003-09-01,8516000000.00
2003-10-01,11644000000.00
2003-11-01,10956000000.00
2003-12-01,12021000000.00
2004-01-01,11001000000.00
2004-02-01,9846000000.00
2004-03-01,11029000000.00
2004-04-01,10348000000.00
2004-05-01,9036000000.00
2004-06-01,8969000000.00
2004-07-01,8003000000.00
2004-08-01,8158000000.00
2004-09-01,8521000000.00
2004-10-01,10005000000.00
2004-11-01,10226000000.00
2004-12-01,10437000000.00
2005-01-01,9399000000.00
2005-02-01,8567000000.00
2005-03-01,9298000000.00
2005-04-01,8765000000.00
2005-05-01,8479000000.00
2005-06-01,8113000000.00
2005-07-01,7694000000.00
2005-08-01,7816000000.00
2005-09-01,8319000000.00
2005-10-01,9774000000.00
2005-11-01,10355000000.00
2005-12-01,9373000000.00
2006-01-01,9332000000.00
2006-02-01,8575000000.00
2006-03-01,9950000000.00
2006-04-01,8936000000.00
2006-05-01,9504000000.00
2006-06-01,8739000000.00
2006-07-01,8394000000.00
2006-08-01,8627000000.00
2006-09-01,8616000000.00
2006-10-01,10803000000.00
2006-11-01,10492000000.00
2006-12-01,9917000000.00
2007-01-01,11145000000.00
2007-02-01,10111000000.00
2007-03-01,11260000000.00
2007-04-01,10617000000.00
2007-05-01,11965000000.00
2007-06-01,10736000000.00
2007-07-01,10644000000.00
2007-08-01,12203000000.00
2007-09-01,12286000000.00
2007-10-01,15125000000.00
2007-11-01,15320000000.00
2007-12-01,14375000000.00
2008-01-01,18751000000.00
2008-02-01,15940000000.00
2008-03-01,18451000000.00
2008-04-01,17203000000.00
2008-05-01,17252000000.00
2008-06-01,16046000000.00
2008-07-01,17365000000.00
2008-08-01,15339000000.00
2008-09-01,15333000000.00
2008-10-01,17319000000.00
2008-11-01,14456000000.00
2008-12-01,14157000000.00
2009-01-01,13735000000.00
2009-02-01,12972000000.00
2009-03-01,13374000000.00
2009-04-01,14483000000.00
2009-05-01,13414000000.00
2009-06-01,13619000000.00
2009-07-01,12869000000.00
2009-08-01,11461000000.00
2009-09-01,12005000000.00
2009-10-01,15063000000.00
2009-11-01,17721000000.00
2009-12-01,17401000000.00
2010-01-01,15594000000.00
2010-02-01,14954000000.00
2010-03-01,16565000000.00
2010-04-01,14470000000.00
2010-05-01,12359000000.00
2010-06-01,12644000000.00
2010-07-01,11536000000.00
2010-08-01,12920000000.00
2010-09-01,14397000000.00
2010-10-01,20260000000.00
2010-11-01,21719000000.00
2010-12-01,20878000000.00
2011-01-01,20882000000.00
2011-02-01,18894000000.00
2011-03-01,22220000000.00
2011-04-01,19913000000.00
2011-05-01,20998000000.00
2011-06-01,19872000000.00
2011-07-01,16368000000.00
2011-08-01,17107000000.00
2011-09-01,16046000000.00
2011-10-01,21005000000.00
2011-11-01,21251000000.00
2011-12-01,19566000000.00
2012-01-01,20418000000.00
2012-02-01,18904000000.00
2012-03-01,20112000000.00
2012-04-01,20526000000.00
2012-05-01,20488000000.00
2012-06-01,18033000000.00
2012-07-01,18504000000.00
2012-08-01,19398000000.00
2012-09-01,19566000000.00
2012-10-01,26968000000.00
2012-11-01,27575000000.00
2012-12-01,24038000000.00
2013-01-01,24753000000.00
2013-02-01,21384000000.00
2013-03-01,21920000000.00
2013-04-01,23118000000.00
2013-05-01,23409000000.00
2013-06-01,19822000000.00
2013-07-01,20719000000.00
2013-08-01,19509000000.00
2013-09-01,19200000000.00
2013-10-01,25640000000.00
2013-11-01,25936000000.00
2013-12-01,25326000000.00
2014-01-01,24351000000.00
2014-02-01,19725000000.00
2014-03-01,22882000000.00
2014-04-01,23293000000.00
2014-05-01,24335000000.00
2014-06-01,19688000000.00
2014-07-01,19634000000.00
2014-08-01,16394000000.00
2014-09-01,16872000000.00
2014-10-01,23236000000.00
2014-11-01,21391000000.00
2014-12-01,23076000000.00
2015-01-01,20657000000.00
2015-02-01,18278000000.00
2015-03-01,18036000000.00
2015-04-01,19832000000.00
2015-05-01,17496000000.00
2015-06-01,17898000000.00
2015-07-01,16564000000.00
2015-08-01,14627000000.00
2015-09-01,16730000000.00
2015-10-01,21786000000.00
2015-11-01,18232000000.00
2015-12-01,18936000000.00
2016-01-01,16234000000.00
2016-02-01,15441000000.00
2016-03-01,17504000000.00
2016-04-01,15972000000.00
2016-05-01,15775000000.00
2016-06-01,16570000000.00
2016-07-01,15808000000.00
2016-08-01,17245000000.00
2016-09-01,14873000000.00
2016-10-01,20317000000.00
2016-11-01,20511000000.00
2016-12-01,18788000000.00
2017-01-01,17699000000.00
2017-02-01,16303000000.00
2017-03-01,19240000000.00
2017-04-01,16124000000.00
2017-05-01,17450000000.00
2017-06-01,16413000000.00
2017-07-01,14849000000.00
2017-08-01,15792000000.00
2017-09-01,14748000000.00
2017-10-01,20328000000.00
2017-11-01,19779000000.00
2017-12-01,18307000000.00
2018-01-01,17686000000.00
2018-02-01,15807000000.00
2018-03-01,18859000000.00
2018-04-01,19426000000.00
