Date,S424SMM144NCEN
1992-01-01,74450000000.00
1992-02-01,69434000000.00
1992-03-01,77000000000.00
1992-04-01,75618000000.00
1992-05-01,74032000000.00
1992-06-01,75760000000.00
1992-07-01,77575000000.00
1992-08-01,74795000000.00
1992-09-01,76902000000.00
1992-10-01,79952000000.00
1992-11-01,73565000000.00
1992-12-01,76865000000.00
1993-01-01,71872000000.00
1993-02-01,69172000000.00
1993-03-01,79281000000.00
1993-04-01,76897000000.00
1993-05-01,77708000000.00
1993-06-01,77198000000.00
1993-07-01,74311000000.00
1993-08-01,76608000000.00
1993-09-01,76224000000.00
1993-10-01,76961000000.00
1993-11-01,76223000000.00
1993-12-01,75815000000.00
1994-01-01,71265000000.00
1994-02-01,69604000000.00
1994-03-01,81767000000.00
1994-04-01,75608000000.00
1994-05-01,78459000000.00
1994-06-01,79718000000.00
1994-07-01,74989000000.00
1994-08-01,82861000000.00
1994-09-01,78939000000.00
1994-10-01,81681000000.00
1994-11-01,80774000000.00
1994-12-01,81596000000.00
1995-01-01,79568000000.00
1995-02-01,76566000000.00
1995-03-01,86910000000.00
1995-04-01,81322000000.00
1995-05-01,88289000000.00
1995-06-01,87163000000.00
1995-07-01,82363000000.00
1995-08-01,89330000000.00
1995-09-01,83313000000.00
1995-10-01,89877000000.00
1995-11-01,87461000000.00
1995-12-01,85117000000.00
1996-01-01,87297000000.00
1996-02-01,84799000000.00
1996-03-01,88891000000.00
1996-04-01,91525000000.00
1996-05-01,94447000000.00
1996-06-01,87676000000.00
1996-07-01,93879000000.00
1996-08-01,94346000000.00
1996-09-01,89205000000.00
1996-10-01,99382000000.00
1996-11-01,90428000000.00
1996-12-01,92126000000.00
1997-01-01,92661000000.00
1997-02-01,87638000000.00
1997-03-01,95289000000.00
1997-04-01,94352000000.00
1997-05-01,96240000000.00
1997-06-01,92694000000.00
1997-07-01,93401000000.00
1997-08-01,91268000000.00
1997-09-01,93663000000.00
1997-10-01,99761000000.00
1997-11-01,88416000000.00
1997-12-01,96078000000.00
1998-01-01,89461000000.00
1998-02-01,85747000000.00
1998-03-01,95876000000.00
1998-04-01,94585000000.00
1998-05-01,93092000000.00
1998-06-01,94957000000.00
1998-07-01,94012000000.00
1998-08-01,90656000000.00
1998-09-01,93824000000.00
1998-10-01,97871000000.00
1998-11-01,92163000000.00
1998-12-01,98331000000.00
1999-01-01,87076000000.00
1999-02-01,86355000000.00
1999-03-01,102055000000.00
1999-04-01,97697000000.00
1999-05-01,98878000000.00
1999-06-01,102927000000.00
1999-07-01,98152000000.00
1999-08-01,101759000000.00
1999-09-01,102458000000.00
1999-10-01,103346000000.00
1999-11-01,104859000000.00
1999-12-01,107226000000.00
2000-01-01,98533000000.00
2000-02-01,102520000000.00
2000-03-01,115213000000.00
2000-04-01,104710000000.00
2000-05-01,114883000000.00
2000-06-01,115082000000.00
2000-07-01,106978000000.00
2000-08-01,114997000000.00
2000-09-01,110261000000.00
2000-10-01,117072000000.00
2000-11-01,113643000000.00
2000-12-01,113989000000.00
2001-01-01,115361000000.00
2001-02-01,106931000000.00
2001-03-01,117200000000.00
2001-04-01,111952000000.00
2001-05-01,119780000000.00
2001-06-01,112664000000.00
2001-07-01,111285000000.00
2001-08-01,117652000000.00
2001-09-01,109271000000.00
2001-10-01,119709000000.00
2001-11-01,111941000000.00
2001-12-01,109211000000.00
2002-01-01,111353000000.00
2002-02-01,104550000000.00
2002-03-01,115092000000.00
2002-04-01,117639000000.00
2002-05-01,120922000000.00
2002-06-01,113694000000.00
2002-07-01,119857000000.00
2002-08-01,121849000000.00
2002-09-01,117003000000.00
2002-10-01,128537000000.00
2002-11-01,120205000000.00
2002-12-01,123324000000.00
2003-01-01,124063000000.00
2003-02-01,118441000000.00
2003-03-01,129052000000.00
2003-04-01,125245000000.00
2003-05-01,124008000000.00
2003-06-01,123059000000.00
2003-07-01,126887000000.00
2003-08-01,124639000000.00
2003-09-01,125858000000.00
2003-10-01,135712000000.00
2003-11-01,121339000000.00
2003-12-01,133821000000.00
2004-01-01,125886000000.00
2004-02-01,124168000000.00
2004-03-01,144223000000.00
