Date,SLMNTO02USQ189N
1960-01-01,31620000000.00
1960-04-01,31596333333.33
1960-07-01,29996333333.33
1960-10-01,30299000000.00
1961-01-01,29341000000.00
1961-04-01,31149666666.67
1961-07-01,30719000000.00
1961-10-01,32479333333.33
1962-01-01,32989666666.67
1962-04-01,34074000000.00
1962-07-01,32668333333.33
1962-10-01,33699333333.33
1963-01-01,33891666666.67
1963-04-01,35813333333.33
1963-07-01,34588666666.67
1963-10-01,35936333333.33
1964-01-01,36314666666.67
1964-04-01,38180666666.67
1964-07-01,36747666666.67
1964-10-01,38079666666.67
1965-01-01,39662333333.33
1965-04-01,41781666666.67
1965-07-01,40139000000.00
1965-10-01,42396333333.33
1966-01-01,43757666666.67
1966-04-01,45997333333.33
1966-07-01,43983666666.67
1966-10-01,45740000000.00
1967-01-01,45444333333.33
1967-04-01,47208000000.00
1967-07-01,45499000000.00
1967-10-01,47794000000.00
1968-01-01,48846666666.67
1968-04-01,51254666666.67
1968-07-01,49064000000.00
1968-10-01,51749333333.33
1969-01-01,52195666666.67
1969-04-01,54401666666.67
1969-07-01,52933333333.33
1969-10-01,54473666666.67
1970-01-01,52891000000.00
1970-04-01,54476000000.00
1970-07-01,52234000000.00
1970-10-01,51620000000.00
1971-01-01,54138666666.67
1971-04-01,57552000000.00
1971-07-01,54981333333.33
1971-10-01,56953666666.67
1972-01-01,59339666666.67
1972-04-01,63529000000.00
1972-07-01,62505333333.33
1972-10-01,66733000000.00
1973-01-01,69682333333.33
1973-04-01,74123666666.67
1973-07-01,72177333333.33
1973-10-01,75741000000.00
1974-01-01,78771000000.00
1974-04-01,86031666666.67
1974-07-01,86684000000.00
1974-10-01,87672333333.33
1975-01-01,82799000000.00
1975-04-01,87042000000.00
1975-07-01,87053666666.67
1975-10-01,89460333333.33
1976-01-01,93656000000.00
1976-04-01,100798333333.33
1976-07-01,98673000000.00
1976-10-01,102060333333.33
1977-01-01,107913666666.67
1977-04-01,115595000000.00
1977-07-01,112273333333.33
1977-10-01,117023333333.33
1978-01-01,118542333333.33
1978-04-01,129506333333.33
1978-07-01,125874333333.33
1978-10-01,133696333333.33
1979-01-01,138766000000.00
1979-04-01,145638666666.67
1979-07-01,143013000000.00
1979-10-01,148327000000.00
1980-01-01,154115000000.00
1980-04-01,150958000000.00
1980-07-01,150064666666.67
1980-10-01,162425333333.33
1981-01-01,166274333333.33
1981-04-01,174945333333.33
1981-07-01,167529666666.67
1981-10-01,163765333333.33
1982-01-01,163561000000.00
1982-04-01,169666666666.67
1982-07-01,162102666666.67
1982-10-01,158074333333.33
1983-01-01,160902666666.67
1983-04-01,173297666666.67
1983-07-01,173944333333.33
1983-10-01,182043333333.33
1984-01-01,185893000000.00
1984-04-01,194991000000.00
1984-07-01,189132333333.33
1984-10-01,192711666666.67
1985-01-01,191346000000.00
1985-04-01,198705333333.33
1985-07-01,191956333333.33
1985-10-01,196144333333.33
1986-01-01,192405000000.00
1986-04-01,198681666666.67
1986-07-01,191149666666.67
1986-10-01,196390666666.67
1987-01-01,198478000000.00
1987-04-01,208173333333.33
1987-07-01,205515333333.33
1987-10-01,213135333333.33
1988-01-01,213268000000.00
1988-04-01,228088333333.33
1988-07-01,224375666666.67
1988-10-01,232745333333.33
1989-01-01,233197666666.67
1989-04-01,243664333333.33
1989-07-01,233273000000.00
1989-10-01,236656666666.67
1990-01-01,234101333333.33
1990-04-01,247423000000.00
1990-07-01,243493333333.33
1990-10-01,245725000000.00
1991-01-01,228354666666.67
1991-04-01,244434666666.67
1991-07-01,241273000000.00
1991-10-01,245326666666.67
1992-01-01,230596666666.67
1992-04-01,248583666666.67
1992-07-01,241115666666.67
1992-10-01,247712000000.00
1993-01-01,245028333333.33
1993-04-01,257032666666.67
1993-07-01,247422333333.33
1993-10-01,257349000000.00
1994-01-01,256793666666.67
1994-04-01,272221333333.33
1994-07-01,269411666666.67
1994-10-01,280944000000.00
1995-01-01,283222000000.00
1995-04-01,294195666666.67
1995-07-01,287332000000.00
1995-10-01,295142666666.67
1996-01-01,286651000000.00
1996-04-01,305940000000.00
1996-07-01,299433333333.33
1996-10-01,307038333333.33
1997-01-01,306820333333.33
1997-04-01,324796333333.33
1997-07-01,319763000000.00
1997-10-01,326853333333.33
1998-01-01,320620666666.67
1998-04-01,330263666666.67
1998-07-01,320043666666.67
1998-10-01,329009666666.67
1999-01-01,323910666666.67
1999-04-01,340426000000.00
1999-07-01,335374666666.67
1999-10-01,344251000000.00
2000-01-01,344086333333.33
2000-04-01,361241000000.00
2000-07-01,349030666666.67
2000-10-01,348503333333.33
2001-01-01,336446333333.33
2001-04-01,341144000000.00
2001-07-01,324419000000.00
2001-10-01,321490333333.33
2002-01-01,312850000000.00
2002-04-01,335674333333.33
2002-07-01,327858000000.00
2002-10-01,328525333333.33
2003-01-01,325083000000.00
2003-04-01,336640666666.67
2003-07-01,335818666666.67
2003-10-01,340920333333.33
2004-01-01,340446333333.33
2004-04-01,361977333333.33
2004-07-01,361632666666.67
2004-10-01,372267000000.00
2005-01-01,371851000000.00
2005-04-01,400366000000.00
2005-07-01,400974666666.67
2005-10-01,407500666666.67
2006-01-01,403785000000.00
2006-04-01,430973000000.00
2006-07-01,421764000000.00
2006-10-01,415328666666.67
2007-01-01,413525333333.33
2007-04-01,453701666666.67
2007-07-01,449219666666.67
2007-10-01,456705666666.67
2008-01-01,449965000000.00
2008-04-01,492082666666.67
2008-07-01,477092333333.33
2008-10-01,403858000000.00
2009-01-01,350839333333.33
2009-04-01,366193333333.33
2009-07-01,375068333333.33
2009-10-01,382492000000.00
2010-01-01,381885000000.00
2010-04-01,415506666666.67
2010-07-01,418163666666.67
2010-10-01,421537000000.00
2011-01-01,432074000000.00
2011-04-01,469304000000.00
2011-07-01,469247000000.00
2011-10-01,460006333333.33
2012-01-01,463806666666.67
2012-04-01,484621333333.33
2012-07-01,476532666666.67
2012-10-01,473948666666.67
2013-01-01,467597333333.33
2013-04-01,493387666666.67
2013-07-01,490728666666.67
2013-10-01,484868000000.00
2014-01-01,474406333333.33
2014-04-01,506722333333.33
2014-07-01,502484333333.33
2014-10-01,478906666666.67
2015-01-01,448926333333.33
2015-04-01,477515000000.00
2015-07-01,466831333333.33
2015-10-01,446400666666.67
2016-01-01,430864000000.00
2016-04-01,455110666666.67
2016-07-01,451467333333.33
2016-10-01,447456000000.00
2017-01-01,446607333333.33
2017-04-01,473102333333.33
2017-07-01,471814000000.00
2017-10-01,476781666666.67
2018-01-01,475707000000.00
