Date,SUUR0000SAE1
1999-12-01,100.00
2000-01-01,100.60
2000-02-01,100.90
2000-03-01,101.00
2000-04-01,101.10
2000-05-01,101.30
2000-06-01,101.70
2000-07-01,102.00
2000-08-01,103.20
2000-09-01,104.90
2000-10-01,105.30
2000-11-01,105.40
2000-12-01,105.60
2001-01-01,105.80
2001-02-01,105.90
2001-03-01,106.00
2001-04-01,106.10
2001-05-01,106.40
2001-06-01,106.90
2001-07-01,107.30
2001-08-01,109.50
2001-09-01,111.60
2001-10-01,112.10
2001-11-01,112.20
2001-12-01,112.10
2002-01-01,112.60
2002-02-01,113.20
2002-03-01,113.20
2002-04-01,113.30
2002-05-01,113.40
2002-06-01,114.10
2002-07-01,114.50
2002-08-01,117.10
2002-09-01,119.40
2002-10-01,119.60
2002-11-01,119.70
2002-12-01,119.70
2003-01-01,120.20
2003-02-01,120.60
2003-03-01,120.70
2003-04-01,120.80
2003-05-01,121.00
2003-06-01,121.50
2003-07-01,122.10
2003-08-01,125.90
2003-09-01,128.10
2003-10-01,128.40
2003-11-01,128.40
2003-12-01,128.70
2004-01-01,129.50
2004-02-01,129.70
2004-03-01,129.90
2004-04-01,130.00
2004-05-01,130.10
2004-06-01,130.80
2004-07-01,131.40
2004-08-01,134.60
2004-09-01,137.20
2004-10-01,137.70
2004-11-01,137.80
2004-12-01,137.90
2005-01-01,138.10
2005-02-01,138.40
2005-03-01,138.60
2005-04-01,138.80
2005-05-01,139.10
2005-06-01,139.70
2005-07-01,140.40
2005-08-01,143.00
2005-09-01,146.10
2005-10-01,146.30
2005-11-01,146.40
2005-12-01,146.50
2006-01-01,147.20
2006-02-01,147.20
2006-03-01,147.20
2006-04-01,147.50
2006-05-01,147.70
2006-06-01,148.30
2006-07-01,149.00
2006-08-01,152.10
2006-09-01,154.80
2006-10-01,155.20
2006-11-01,155.40
2006-12-01,155.50
2007-01-01,155.48
2007-02-01,155.82
2007-03-01,155.95
2007-04-01,156.07
2007-05-01,156.24
2007-06-01,156.49
2007-07-01,157.03
2007-08-01,160.40
2007-09-01,162.79
2007-10-01,163.32
2007-11-01,163.55
2007-12-01,163.72
2008-01-01,164.00
2008-02-01,164.03
2008-03-01,163.97
2008-04-01,164.15
2008-05-01,164.27
2008-06-01,164.70
2008-07-01,165.36
2008-08-01,169.57
2008-09-01,172.23
2008-10-01,172.79
2008-11-01,172.82
2008-12-01,172.98
2009-01-01,173.12
2009-02-01,173.01
2009-03-01,173.10
2009-04-01,173.18
2009-05-01,173.48
2009-06-01,173.69
2009-07-01,174.59
2009-08-01,178.36
2009-09-01,180.65
2009-10-01,181.01
2009-11-01,180.76
2009-12-01,180.75
2010-01-01,180.89
2010-02-01,181.15
2010-03-01,181.53
2010-04-01,181.96
2010-05-01,181.94
2010-06-01,182.35
2010-07-01,183.12
2010-08-01,186.16
2010-09-01,187.58
2010-10-01,187.29
2010-11-01,187.35
2010-12-01,187.55
2011-01-01,188.12
2011-02-01,188.30
2011-03-01,188.35
2011-04-01,188.48
2011-05-01,188.77
2011-06-01,188.85
2011-07-01,190.01
2011-08-01,194.35
2011-09-01,196.76
2011-10-01,197.46
2011-11-01,197.35
2011-12-01,197.36
2012-01-01,197.59
2012-02-01,197.54
2012-03-01,197.63
2012-04-01,197.63
2012-05-01,197.90
2012-06-01,197.98
2012-07-01,199.34
2012-08-01,202.23
2012-09-01,204.29
2012-10-01,204.59
2012-11-01,204.62
2012-12-01,204.64
2013-01-01,205.35
2013-02-01,205.27
2013-03-01,205.38
2013-04-01,205.42
2013-05-01,205.58
2013-06-01,205.62
2013-07-01,206.67
2013-08-01,209.40
2013-09-01,210.73
2013-10-01,211.03
2013-11-01,211.24
2013-12-01,211.30
2014-01-01,211.20
2014-02-01,211.55
2014-03-01,211.88
2014-04-01,212.00
2014-05-01,212.29
2014-06-01,212.63
2014-07-01,213.39
2014-08-01,215.87
2014-09-01,217.34
2014-10-01,218.15
2014-11-01,218.36
2014-12-01,218.35
2015-01-01,219.06
2015-02-01,219.10
2015-03-01,219.63
2015-04-01,219.97
2015-05-01,220.20
2015-06-01,220.67
2015-07-01,221.42
2015-08-01,223.75
2015-09-01,226.01
2015-10-01,226.27
2015-11-01,226.37
2015-12-01,226.23
2016-01-01,226.12
2016-02-01,226.21
2016-03-01,226.25
2016-04-01,226.45
2016-05-01,226.69
2016-06-01,227.08
2016-07-01,227.69
2016-08-01,229.91
2016-09-01,231.46
2016-10-01,232.19
2016-11-01,232.19
2016-12-01,232.45
2017-01-01,231.96
2017-02-01,232.15
2017-03-01,232.11
2017-04-01,232.04
2017-05-01,232.10
2017-06-01,232.89
2017-07-01,233.29
2017-08-01,234.84
2017-09-01,236.67
2017-10-01,237.28
2017-11-01,237.54
2017-12-01,237.30
2018-01-01,236.99
2018-02-01,237.11
2018-03-01,236.48
2018-04-01,236.43
2018-05-01,236.90
