Date,SUUR0000SAF11
1999-12-01,100.00
2000-01-01,100.60
2000-02-01,100.60
2000-03-01,100.70
2000-04-01,100.80
2000-05-01,101.30
2000-06-01,101.00
2000-07-01,101.40
2000-08-01,101.70
2000-09-01,101.90
2000-10-01,101.90
2000-11-01,101.60
2000-12-01,102.40
2001-01-01,103.10
2001-02-01,103.40
2001-03-01,103.50
2001-04-01,103.60
2001-05-01,103.90
2001-06-01,104.10
2001-07-01,104.20
2001-08-01,104.20
2001-09-01,104.30
2001-10-01,104.90
2001-11-01,104.60
2001-12-01,104.60
2002-01-01,105.40
2002-02-01,105.30
2002-03-01,105.40
2002-04-01,105.60
2002-05-01,105.00
2002-06-01,104.50
2002-07-01,104.60
2002-08-01,104.30
2002-09-01,104.60
2002-10-01,104.50
2002-11-01,104.60
2002-12-01,104.80
2003-01-01,105.20
2003-02-01,105.60
2003-03-01,105.70
2003-04-01,105.40
2003-05-01,105.80
2003-06-01,106.30
2003-07-01,106.20
2003-08-01,106.60
2003-09-01,106.90
2003-10-01,107.50
2003-11-01,107.70
2003-12-01,108.60
2004-01-01,108.60
2004-02-01,108.60
2004-03-01,108.70
2004-04-01,108.60
2004-05-01,110.00
2004-06-01,109.90
2004-07-01,109.70
2004-08-01,109.40
2004-09-01,109.20
2004-10-01,110.20
2004-11-01,110.10
2004-12-01,110.00
2005-01-01,110.50
2005-02-01,110.00
2005-03-01,110.10
2005-04-01,111.00
2005-05-01,111.20
2005-06-01,110.60
2005-07-01,110.70
2005-08-01,110.50
2005-09-01,110.80
2005-10-01,111.30
2005-11-01,111.20
2005-12-01,111.50
2006-01-01,112.50
2006-02-01,112.10
2006-03-01,112.10
2006-04-01,111.50
2006-05-01,111.70
2006-06-01,111.80
2006-07-01,112.00
2006-08-01,112.10
2006-09-01,112.70
2006-10-01,113.20
2006-11-01,112.70
2006-12-01,112.70
2007-01-01,114.08
2007-02-01,114.93
2007-03-01,115.24
2007-04-01,115.33
2007-05-01,116.11
2007-06-01,116.28
2007-07-01,116.29
2007-08-01,116.72
2007-09-01,117.34
2007-10-01,118.01
2007-11-01,118.00
2007-12-01,118.15
2008-01-01,119.75
2008-02-01,119.98
2008-03-01,119.91
2008-04-01,121.42
2008-05-01,122.01
2008-06-01,122.54
2008-07-01,123.90
2008-08-01,124.67
2008-09-01,125.47
2008-10-01,126.02
2008-11-01,125.61
2008-12-01,125.33
2009-01-01,125.97
2009-02-01,125.18
2009-03-01,124.40
2009-04-01,123.67
2009-05-01,123.30
2009-06-01,122.99
2009-07-01,122.33
2009-08-01,122.10
2009-09-01,121.90
2009-10-01,122.05
2009-11-01,121.29
2009-12-01,121.54
2010-01-01,122.57
2010-02-01,122.51
2010-03-01,122.76
2010-04-01,122.78
2010-05-01,122.76
2010-06-01,122.39
2010-07-01,122.13
2010-08-01,122.26
2010-09-01,122.69
2010-10-01,122.84
2010-11-01,122.53
2010-12-01,122.78
2011-01-01,124.44
2011-02-01,125.21
2011-03-01,126.42
2011-04-01,126.83
2011-05-01,127.38
2011-06-01,127.36
2011-07-01,128.08
2011-08-01,128.93
2011-09-01,129.70
2011-10-01,129.94
2011-11-01,129.26
2011-12-01,129.39
2012-01-01,130.41
2012-02-01,130.06
2012-03-01,130.18
2012-04-01,130.37
2012-05-01,130.17
2012-06-01,130.14
2012-07-01,129.80
2012-08-01,130.01
2012-09-01,130.03
2012-10-01,130.44
2012-11-01,130.26
2012-12-01,130.52
2013-01-01,131.34
2013-02-01,131.23
2013-03-01,131.15
2013-04-01,131.19
2013-05-01,130.78
2013-06-01,130.69
2013-07-01,130.65
2013-08-01,130.89
2013-09-01,130.92
2013-10-01,131.03
2013-11-01,130.43
2013-12-01,130.46
2014-01-01,131.30
2014-02-01,131.69
2014-03-01,132.23
2014-04-01,132.74
2014-05-01,133.48
2014-06-01,133.08
2014-07-01,133.40
2014-08-01,133.76
2014-09-01,134.23
2014-10-01,134.48
2014-11-01,134.14
2014-12-01,134.49
2015-01-01,134.94
2015-02-01,134.73
2015-03-01,134.16
2015-04-01,134.10
2015-05-01,133.92
2015-06-01,133.83
2015-07-01,133.98
2015-08-01,134.47
2015-09-01,134.96
2015-10-01,135.09
2015-11-01,134.14
2015-12-01,133.63
2016-01-01,134.01
2016-02-01,134.02
2016-03-01,133.03
2016-04-01,133.16
2016-05-01,132.45
2016-06-01,131.77
2016-07-01,131.63
2016-08-01,131.64
2016-09-01,131.65
2016-10-01,131.60
2016-11-01,130.79
2016-12-01,130.54
2017-01-01,131.01
2017-02-01,131.38
2017-03-01,131.55
2017-04-01,131.88
2017-05-01,131.95
2017-06-01,131.35
2017-07-01,131.71
2017-08-01,131.63
2017-09-01,131.80
2017-10-01,132.03
2017-11-01,131.40
2017-12-01,131.50
2018-01-01,132.14
2018-02-01,131.81
2018-03-01,131.79
2018-04-01,132.32
2018-05-01,131.84
