Date,SUUR0000SAF1
1999-12-01,100.00
2000-01-01,100.40
2000-02-01,100.60
2000-03-01,100.70
2000-04-01,100.80
2000-05-01,101.20
2000-06-01,101.10
2000-07-01,101.50
2000-08-01,101.70
2000-09-01,102.00
2000-10-01,102.00
2000-11-01,101.80
2000-12-01,102.40
2001-01-01,102.90
2001-02-01,103.20
2001-03-01,103.40
2001-04-01,103.60
2001-05-01,103.90
2001-06-01,104.10
2001-07-01,104.30
2001-08-01,104.50
2001-09-01,104.60
2001-10-01,105.10
2001-11-01,105.00
2001-12-01,105.00
2002-01-01,105.60
2002-02-01,105.70
2002-03-01,105.80
2002-04-01,105.90
2002-05-01,105.70
2002-06-01,105.50
2002-07-01,105.70
2002-08-01,105.50
2002-09-01,105.80
2002-10-01,105.90
2002-11-01,106.00
2002-12-01,106.20
2003-01-01,106.40
2003-02-01,106.80
2003-03-01,107.00
2003-04-01,106.80
2003-05-01,107.20
2003-06-01,107.60
2003-07-01,107.50
2003-08-01,107.90
2003-09-01,108.10
2003-10-01,108.60
2003-11-01,108.80
2003-12-01,109.50
2004-01-01,109.60
2004-02-01,109.70
2004-03-01,109.90
2004-04-01,109.90
2004-05-01,110.90
2004-06-01,110.90
2004-07-01,111.00
2004-08-01,111.00
2004-09-01,111.00
2004-10-01,111.60
2004-11-01,111.60
2004-12-01,111.70
2005-01-01,112.20
2005-02-01,112.00
2005-03-01,112.20
2005-04-01,112.70
2005-05-01,113.00
2005-06-01,112.80
2005-07-01,112.90
2005-08-01,113.00
2005-09-01,113.30
2005-10-01,113.70
2005-11-01,113.80
2005-12-01,114.00
2006-01-01,114.80
2006-02-01,114.70
2006-03-01,114.80
2006-04-01,114.60
2006-05-01,114.90
2006-06-01,115.10
2006-07-01,115.30
2006-08-01,115.50
2006-09-01,115.90
2006-10-01,116.40
2006-11-01,116.20
2006-12-01,116.30
2007-01-01,117.44
2007-02-01,118.12
2007-03-01,118.36
2007-04-01,118.56
2007-05-01,119.15
2007-06-01,119.44
2007-07-01,119.66
2007-08-01,120.12
2007-09-01,120.71
2007-10-01,121.25
2007-11-01,121.35
2007-12-01,121.53
2008-01-01,122.69
2008-02-01,123.02
2008-03-01,123.13
2008-04-01,124.17
2008-05-01,124.75
2008-06-01,125.35
2008-07-01,126.45
2008-08-01,127.07
2008-09-01,127.85
2008-10-01,128.41
2008-11-01,128.32
2008-12-01,128.29
2009-01-01,128.82
2009-02-01,128.49
2009-03-01,128.09
2009-04-01,127.77
2009-05-01,127.59
2009-06-01,127.47
2009-07-01,127.13
2009-08-01,127.05
2009-09-01,126.98
2009-10-01,127.13
2009-11-01,126.75
2009-12-01,126.94
2010-01-01,127.61
2010-02-01,127.58
2010-03-01,127.74
2010-04-01,127.83
2010-05-01,127.87
2010-06-01,127.65
2010-07-01,127.45
2010-08-01,127.78
2010-09-01,128.26
2010-10-01,128.39
2010-11-01,128.25
2010-12-01,128.47
2011-01-01,129.62
2011-02-01,130.19
2011-03-01,131.11
2011-04-01,131.55
2011-05-01,131.98
2011-06-01,132.12
2011-07-01,132.67
2011-08-01,133.39
2011-09-01,134.00
2011-10-01,134.24
2011-11-01,133.95
2011-12-01,134.13
2012-01-01,134.93
2012-02-01,134.80
2012-03-01,134.98
2012-04-01,135.25
2012-05-01,135.27
2012-06-01,135.38
2012-07-01,135.30
2012-08-01,135.59
2012-09-01,135.70
2012-10-01,136.00
2012-11-01,135.96
2012-12-01,136.18
2013-01-01,136.77
2013-02-01,136.75
2013-03-01,136.81
2013-04-01,137.02
2013-05-01,136.87
2013-06-01,136.90
2013-07-01,136.96
2013-08-01,137.21
2013-09-01,137.28
2013-10-01,137.43
2013-11-01,137.16
2013-12-01,137.25
2014-01-01,137.82
2014-02-01,138.19
2014-03-01,138.69
2014-04-01,139.16
2014-05-01,139.70
2014-06-01,139.57
2014-07-01,139.96
2014-08-01,140.32
2014-09-01,140.78
2014-10-01,141.07
2014-11-01,141.06
2014-12-01,141.43
2015-01-01,141.78
2015-02-01,141.81
2015-03-01,141.56
2015-04-01,141.68
2015-05-01,141.71
2015-06-01,141.77
2015-07-01,141.85
2015-08-01,142.30
2015-09-01,143.02
2015-10-01,143.23
2015-11-01,142.77
2015-12-01,142.51
2016-01-01,142.93
2016-02-01,143.01
2016-03-01,142.55
2016-04-01,142.78
2016-05-01,142.48
2016-06-01,142.16
2016-07-01,142.21
2016-08-01,142.37
2016-09-01,142.50
2016-10-01,142.56
2016-11-01,142.12
2016-12-01,142.06
2017-01-01,142.61
2017-02-01,142.97
2017-03-01,143.16
2017-04-01,143.51
2017-05-01,143.68
2017-06-01,143.35
2017-07-01,143.67
2017-08-01,143.82
2017-09-01,144.12
2017-10-01,144.32
2017-11-01,144.03
2017-12-01,144.25
2018-01-01,144.86
2018-02-01,144.81
2018-03-01,144.87
2018-04-01,145.35
2018-05-01,145.26
