Date,SUUR0000SAM1
1999-12-01,100.00
2000-01-01,100.20
2000-02-01,100.30
2000-03-01,100.70
2000-04-01,101.00
2000-05-01,101.20
2000-06-01,101.50
2000-07-01,101.70
2000-08-01,101.80
2000-09-01,101.90
2000-10-01,102.10
2000-11-01,102.20
2000-12-01,102.60
2001-01-01,103.30
2001-02-01,103.90
2001-03-01,104.30
2001-04-01,104.70
2001-05-01,105.10
2001-06-01,105.70
2001-07-01,105.90
2001-08-01,106.20
2001-09-01,106.50
2001-10-01,106.80
2001-11-01,107.00
2001-12-01,107.40
2002-01-01,107.80
2002-02-01,108.20
2002-03-01,108.50
2002-04-01,108.70
2002-05-01,109.00
2002-06-01,109.50
2002-07-01,109.80
2002-08-01,109.80
2002-09-01,110.00
2002-10-01,110.20
2002-11-01,110.50
2002-12-01,110.70
2003-01-01,110.90
2003-02-01,111.10
2003-03-01,111.50
2003-04-01,111.40
2003-05-01,111.50
2003-06-01,111.60
2003-07-01,112.30
2003-08-01,112.40
2003-09-01,112.70
2003-10-01,112.60
2003-11-01,112.20
2003-12-01,112.70
2004-01-01,113.00
2004-02-01,113.50
2004-03-01,113.80
2004-04-01,114.10
2004-05-01,114.40
2004-06-01,114.50
2004-07-01,114.60
2004-08-01,114.60
2004-09-01,115.00
2004-10-01,115.30
2004-11-01,115.00
2004-12-01,114.90
2005-01-01,115.30
2005-02-01,115.70
2005-03-01,115.80
2005-04-01,116.00
2005-05-01,116.50
2005-06-01,116.90
2005-07-01,117.20
2005-08-01,117.40
2005-09-01,117.70
2005-10-01,118.20
2005-11-01,118.90
2005-12-01,119.00
2006-01-01,119.50
2006-02-01,120.10
2006-03-01,120.60
2006-04-01,121.10
2006-05-01,121.50
2006-06-01,121.50
2006-07-01,121.80
2006-08-01,122.00
2006-09-01,122.30
2006-10-01,122.10
2006-11-01,121.40
2006-12-01,121.20
2007-01-01,121.91
2007-02-01,121.70
2007-03-01,121.53
2007-04-01,121.93
2007-05-01,122.23
2007-06-01,122.26
2007-07-01,122.87
2007-08-01,123.20
2007-09-01,123.40
2007-10-01,123.76
2007-11-01,124.19
2007-12-01,124.39
2008-01-01,124.96
2008-02-01,125.58
2008-03-01,125.69
2008-04-01,125.50
2008-05-01,124.81
2008-06-01,124.92
2008-07-01,124.80
2008-08-01,124.91
2008-09-01,125.06
2008-10-01,125.39
2008-11-01,125.81
2008-12-01,126.20
2009-01-01,126.88
2009-02-01,127.87
2009-03-01,127.97
2009-04-01,128.40
2009-05-01,128.57
2009-06-01,128.59
2009-07-01,128.41
2009-08-01,129.11
2009-09-01,129.83
2009-10-01,130.02
2009-11-01,130.05
2009-12-01,130.06
2010-01-01,131.05
2010-02-01,131.88
2010-03-01,132.36
2010-04-01,132.57
2010-05-01,132.71
2010-06-01,132.64
2010-07-01,132.40
2010-08-01,132.61
2010-09-01,132.88
2010-10-01,132.92
2010-11-01,133.16
2010-12-01,133.39
2011-01-01,134.15
2011-02-01,134.96
2011-03-01,135.51
2011-04-01,136.07
2011-05-01,136.04
2011-06-01,135.96
2011-07-01,136.04
2011-08-01,136.19
2011-09-01,136.41
2011-10-01,136.73
2011-11-01,137.00
2011-12-01,137.44
2012-01-01,138.28
2012-02-01,139.19
2012-03-01,139.76
2012-04-01,139.60
2012-05-01,139.66
2012-06-01,139.84
2012-07-01,140.58
2012-08-01,140.74
2012-09-01,140.67
2012-10-01,140.64
2012-11-01,139.99
2012-12-01,139.41
2013-01-01,139.82
2013-02-01,139.96
2013-03-01,140.24
2013-04-01,140.25
2013-05-01,139.43
2013-06-01,139.63
2013-07-01,139.92
2013-08-01,140.40
2013-09-01,140.66
2013-10-01,141.02
2013-11-01,140.82
2013-12-01,139.43
2014-01-01,140.61
2014-02-01,141.94
2014-03-01,141.53
2014-04-01,141.96
2014-05-01,142.37
2014-06-01,143.10
2014-07-01,143.63
2014-08-01,143.67
2014-09-01,144.38
2014-10-01,144.38
2014-11-01,144.88
2014-12-01,145.76
2015-01-01,146.02
2015-02-01,147.60
2015-03-01,147.69
2015-04-01,147.79
2015-05-01,147.89
2015-06-01,147.75
2015-07-01,148.05
2015-08-01,148.67
2015-09-01,148.38
2015-10-01,148.40
2015-11-01,148.53
2015-12-01,147.93
2016-01-01,148.82
2016-02-01,150.41
2016-03-01,150.71
2016-04-01,151.08
2016-05-01,150.00
2016-06-01,151.17
2016-07-01,152.24
2016-08-01,154.50
2016-09-01,155.34
2016-10-01,155.34
2016-11-01,154.46
2016-12-01,154.51
2017-01-01,155.47
2017-02-01,156.12
2017-03-01,156.24
2017-04-01,154.99
2017-05-01,155.12
2017-06-01,156.08
2017-07-01,157.74
2017-08-01,158.07
2017-09-01,156.68
2017-10-01,156.38
2017-11-01,156.92
2017-12-01,157.62
2018-01-01,157.91
2018-02-01,158.38
2018-03-01,158.29
2018-04-01,157.76
2018-05-01,159.08
