Date,SUUR0000SAT1
1999-12-01,100.00
2000-01-01,99.90
2000-02-01,100.70
2000-03-01,103.00
2000-04-01,102.70
2000-05-01,102.70
2000-06-01,104.10
2000-07-01,103.70
2000-08-01,102.50
2000-09-01,103.70
2000-10-01,103.80
2000-11-01,104.20
2000-12-01,103.60
2001-01-01,103.50
2001-02-01,103.70
2001-03-01,103.10
2001-04-01,104.70
2001-05-01,106.70
2001-06-01,106.00
2001-07-01,103.30
2001-08-01,102.60
2001-09-01,104.20
2001-10-01,102.30
2001-11-01,101.00
2001-12-01,99.50
2002-01-01,99.70
2002-02-01,99.50
2002-03-01,101.00
2002-04-01,103.20
2002-05-01,103.10
2002-06-01,102.80
2002-07-01,103.10
2002-08-01,103.20
2002-09-01,103.40
2002-10-01,104.10
2002-11-01,104.20
2002-12-01,103.40
2003-01-01,104.40
2003-02-01,106.70
2003-03-01,108.00
2003-04-01,106.70
2003-05-01,105.10
2003-06-01,104.80
2003-07-01,104.60
2003-08-01,105.70
2003-09-01,106.50
2003-10-01,105.00
2003-11-01,104.10
2003-12-01,103.50
2004-01-01,105.30
2004-02-01,106.50
2004-03-01,107.80
2004-04-01,108.80
2004-05-01,111.10
2004-06-01,111.30
2004-07-01,110.00
2004-08-01,109.40
2004-09-01,109.70
2004-10-01,112.00
2004-11-01,112.50
2004-12-01,111.00
2005-01-01,110.50
2005-02-01,111.80
2005-03-01,113.60
2005-04-01,116.50
2005-05-01,115.70
2005-06-01,115.20
2005-07-01,116.70
2005-08-01,118.90
2005-09-01,124.70
2005-10-01,123.40
2005-11-01,117.40
2005-12-01,115.20
2006-01-01,117.50
2006-02-01,117.30
2006-03-01,118.50
2006-04-01,123.40
2006-05-01,125.80
2006-06-01,125.50
2006-07-01,126.50
2006-08-01,126.30
2006-09-01,121.30
2006-10-01,117.10
2006-11-01,116.60
2006-12-01,117.80
2007-01-01,117.01
2007-02-01,117.11
2007-03-01,121.32
2007-04-01,124.76
2007-05-01,127.96
2007-06-01,127.27
2007-07-01,126.43
2007-08-01,124.41
2007-09-01,124.59
2007-10-01,124.94
2007-11-01,129.10
2007-12-01,128.56
2008-01-01,129.10
2008-02-01,128.87
2008-03-01,132.34
2008-04-01,135.19
2008-05-01,140.25
2008-06-01,144.53
2008-07-01,145.07
2008-08-01,140.96
2008-09-01,139.35
2008-10-01,132.12
2008-11-01,116.66
2008-12-01,108.76
2009-01-01,110.65
2009-02-01,113.11
2009-03-01,113.25
2009-04-01,115.15
2009-05-01,118.40
2009-06-01,124.23
2009-07-01,123.27
2009-08-01,124.36
2009-09-01,124.14
2009-10-01,125.06
2009-11-01,127.19
2009-12-01,127.00
2010-01-01,129.02
2010-02-01,128.16
2010-03-01,130.04
2010-04-01,131.21
2010-05-01,131.66
2010-06-01,129.78
2010-07-01,130.04
2010-08-01,130.47
2010-09-01,129.71
2010-10-01,131.05
2010-11-01,131.72
2010-12-01,133.67
2011-01-01,135.72
2011-02-01,137.15
2011-03-01,143.20
2011-04-01,147.25
2011-05-01,149.58
2011-06-01,146.95
2011-07-01,146.35
2011-08-01,146.31
2011-09-01,145.83
2011-10-01,143.59
2011-11-01,142.99
2011-12-01,140.87
2012-01-01,142.82
2012-02-01,145.71
2012-03-01,150.35
2012-04-01,151.61
2012-05-01,150.02
2012-06-01,147.02
2012-07-01,145.76
2012-08-01,149.19
2012-09-01,150.89
2012-10-01,149.77
2012-11-01,145.90
2012-12-01,143.96
2013-01-01,144.28
2013-02-01,149.49
2013-03-01,150.42
2013-04-01,148.82
2013-05-01,149.16
2013-06-01,149.48
2013-07-01,149.65
2013-08-01,149.48
2013-09-01,148.68
2013-10-01,146.45
2013-11-01,144.84
2013-12-01,145.27
2014-01-01,145.91
2014-02-01,146.67
2014-03-01,149.42
2014-04-01,151.61
2014-05-01,152.09
2014-06-01,152.16
2014-07-01,151.72
2014-08-01,149.91
2014-09-01,148.66
2014-10-01,145.79
2014-11-01,141.37
2014-12-01,136.48
2015-01-01,129.98
2015-02-01,132.43
2015-03-01,136.80
2015-04-01,137.34
2015-05-01,140.95
2015-06-01,141.89
2015-07-01,141.90
2015-08-01,139.90
2015-09-01,136.12
2015-10-01,134.42
2015-11-01,133.19
2015-12-01,131.54
2016-01-01,130.49
2016-02-01,127.70
2016-03-01,131.18
2016-04-01,134.18
2016-05-01,136.13
2016-06-01,137.36
2016-07-01,135.53
2016-08-01,134.37
2016-09-01,134.58
2016-10-01,135.17
2016-11-01,134.35
2016-12-01,135.22
2017-01-01,137.61
2017-02-01,137.23
2017-03-01,137.87
2017-04-01,139.31
2017-05-01,139.05
2017-06-01,138.46
2017-07-01,137.41
2017-08-01,138.90
2017-09-01,142.50
2017-10-01,140.24
2017-11-01,141.49
2017-12-01,140.78
2018-01-01,142.43
2018-02-01,143.65
2018-03-01,143.98
2018-04-01,145.83
2018-05-01,147.99
