Date,TLEDUCON
2002-01-01,5125000000.00
2002-02-01,5134000000.00
2002-03-01,5256000000.00
2002-04-01,5838000000.00
2002-05-01,6288000000.00
2002-06-01,6686000000.00
2002-07-01,7168000000.00
2002-08-01,7551000000.00
2002-09-01,6914000000.00
2002-10-01,6524000000.00
2002-11-01,5981000000.00
2002-12-01,5398000000.00
2003-01-01,5289000000.00
2003-02-01,5032000000.00
2003-03-01,5403000000.00
2003-04-01,5751000000.00
2003-05-01,6294000000.00
2003-06-01,7125000000.00
2003-07-01,7479000000.00
2003-08-01,7609000000.00
2003-09-01,6878000000.00
2003-10-01,6375000000.00
2003-11-01,5707000000.00
2003-12-01,5373000000.00
2004-01-01,4974000000.00
2004-02-01,4987000000.00
2004-03-01,5424000000.00
2004-04-01,5799000000.00
2004-05-01,6118000000.00
2004-06-01,7203000000.00
2004-07-01,7465000000.00
2004-08-01,7598000000.00
2004-09-01,6956000000.00
2004-10-01,6274000000.00
2004-11-01,5934000000.00
2004-12-01,5519000000.00
2005-01-01,5152000000.00
2005-02-01,5169000000.00
2005-03-01,5652000000.00
2005-04-01,6204000000.00
2005-05-01,6719000000.00
2005-06-01,7675000000.00
2005-07-01,7962000000.00
2005-08-01,8222000000.00
2005-09-01,7352000000.00
2005-10-01,6865000000.00
2005-11-01,6548000000.00
2005-12-01,6167000000.00
2006-01-01,5806000000.00
2006-02-01,5785000000.00
2006-03-01,6226000000.00
2006-04-01,6463000000.00
2006-05-01,7003000000.00
2006-06-01,8039000000.00
2006-07-01,8359000000.00
2006-08-01,8482000000.00
2006-09-01,7738000000.00
2006-10-01,7234000000.00
2006-11-01,7061000000.00
2006-12-01,6733000000.00
2007-01-01,6300000000.00
2007-02-01,6089000000.00
2007-03-01,6627000000.00
2007-04-01,7345000000.00
2007-05-01,8017000000.00
2007-06-01,9353000000.00
2007-07-01,9830000000.00
2007-08-01,10190000000.00
2007-09-01,8980000000.00
2007-10-01,8414000000.00
2007-11-01,8239000000.00
2007-12-01,7374000000.00
2008-01-01,7101000000.00
2008-02-01,6912000000.00
2008-03-01,7430000000.00
2008-04-01,8100000000.00
2008-05-01,8835000000.00
2008-06-01,10064000000.00
2008-07-01,10615000000.00
2008-08-01,11053000000.00
2008-09-01,9611000000.00
2008-10-01,9068000000.00
2008-11-01,8411000000.00
2008-12-01,7691000000.00
2009-01-01,7348000000.00
2009-02-01,7403000000.00
2009-03-01,8121000000.00
2009-04-01,8581000000.00
2009-05-01,9081000000.00
2009-06-01,10450000000.00
2009-07-01,10656000000.00
2009-08-01,10360000000.00
2009-09-01,9011000000.00
2009-10-01,8069000000.00
2009-11-01,7407000000.00
2009-12-01,6716000000.00
2010-01-01,6366000000.00
2010-02-01,6205000000.00
2010-03-01,6622000000.00
2010-04-01,7016000000.00
2010-05-01,7463000000.00
2010-06-01,8758000000.00
2010-07-01,9138000000.00
2010-08-01,9153000000.00
2010-09-01,8237000000.00
2010-10-01,6950000000.00
2010-11-01,6530000000.00
2010-12-01,5967000000.00
2011-01-01,5626000000.00
2011-02-01,5526000000.00
2011-03-01,6184000000.00
2011-04-01,6568000000.00
2011-05-01,7064000000.00
2011-06-01,8278000000.00
2011-07-01,8507000000.00
2011-08-01,8972000000.00
2011-09-01,8069000000.00
2011-10-01,7218000000.00
2011-11-01,6685000000.00
2011-12-01,6289000000.00
2012-01-01,5977000000.00
2012-02-01,5959000000.00
2012-03-01,6321000000.00
2012-04-01,6544000000.00
2012-05-01,7044000000.00
2012-06-01,8447000000.00
2012-07-01,8964000000.00
2012-08-01,8792000000.00
2012-09-01,7553000000.00
2012-10-01,6879000000.00
2012-11-01,6331000000.00
2012-12-01,5862000000.00
2013-01-01,5486000000.00
2013-02-01,5547000000.00
2013-03-01,5658000000.00
2013-04-01,6062000000.00
2013-05-01,6702000000.00
2013-06-01,7805000000.00
2013-07-01,8363000000.00
2013-08-01,8260000000.00
2013-09-01,7032000000.00
2013-10-01,6615000000.00
2013-11-01,6075000000.00
2013-12-01,5454000000.00
2014-01-01,5223000000.00
2014-02-01,5176000000.00
2014-03-01,5563000000.00
2014-04-01,6326000000.00
2014-05-01,6844000000.00
2014-06-01,8134000000.00
2014-07-01,8353000000.00
2014-08-01,8424000000.00
2014-09-01,7078000000.00
2014-10-01,6744000000.00
2014-11-01,6078000000.00
2014-12-01,5738000000.00
2015-01-01,5306000000.00
2015-02-01,5389000000.00
2015-03-01,5859000000.00
2015-04-01,6654000000.00
2015-05-01,7290000000.00
2015-06-01,8824000000.00
2015-07-01,9187000000.00
2015-08-01,9007000000.00
2015-09-01,7750000000.00
2015-10-01,6896000000.00
2015-11-01,6504000000.00
2015-12-01,6107000000.00
2016-01-01,5863000000.00
2016-02-01,6158000000.00
2016-03-01,6538000000.00
2016-04-01,6955000000.00
2016-05-01,7439000000.00
2016-06-01,9171000000.00
2016-07-01,9202000000.00
2016-08-01,9079000000.00
2016-09-01,7992000000.00
2016-10-01,7411000000.00
2016-11-01,7094000000.00
2016-12-01,6490000000.00
2017-01-01,6305000000.00
2017-02-01,6408000000.00
2017-03-01,6706000000.00
2017-04-01,6980000000.00
2017-05-01,7930000000.00
2017-06-01,8930000000.00
2017-07-01,8791000000.00
2017-08-01,9192000000.00
2017-09-01,8247000000.00
2017-10-01,7830000000.00
2017-11-01,7250000000.00
2017-12-01,6798000000.00
2018-01-01,6516000000.00
2018-02-01,6584000000.00
2018-03-01,7038000000.00
2018-04-01,7570000000.00
