Date,TRUCKD11
2000-01-01,80.30
2000-02-01,79.80
2000-03-01,74.10
2000-04-01,72.80
2000-05-01,73.00
2000-06-01,74.90
2000-07-01,72.60
2000-08-01,74.70
2000-09-01,74.10
2000-10-01,74.20
2000-11-01,74.80
2000-12-01,74.20
2001-01-01,74.80
2001-02-01,75.30
2001-03-01,74.20
2001-04-01,73.50
2001-05-01,75.30
2001-06-01,74.30
2001-07-01,74.10
2001-08-01,75.20
2001-09-01,74.40
2001-10-01,74.50
2001-11-01,74.60
2001-12-01,74.30
2002-01-01,75.30
2002-02-01,76.80
2002-03-01,75.30
2002-04-01,76.00
2002-05-01,77.10
2002-06-01,76.90
2002-07-01,78.20
2002-08-01,78.20
2002-09-01,79.10
2002-10-01,79.10
2002-11-01,79.30
2002-12-01,80.10
2003-01-01,79.30
2003-02-01,79.20
2003-03-01,79.40
2003-04-01,79.60
2003-05-01,78.60
2003-06-01,78.80
2003-07-01,79.80
2003-08-01,79.00
2003-09-01,80.10
2003-10-01,81.50
2003-11-01,81.20
2003-12-01,83.20
2004-01-01,82.10
2004-02-01,82.70
2004-03-01,85.10
2004-04-01,85.00
2004-05-01,84.40
2004-06-01,85.50
2004-07-01,85.30
2004-08-01,84.60
2004-09-01,84.80
2004-10-01,84.50
2004-11-01,85.40
2004-12-01,84.90
2005-01-01,88.30
2005-02-01,86.40
2005-03-01,85.60
2005-04-01,86.60
2005-05-01,85.80
2005-06-01,85.70
2005-07-01,85.40
2005-08-01,86.90
2005-09-01,86.50
2005-10-01,86.10
2005-11-01,88.60
2005-12-01,86.40
2006-01-01,86.50
2006-02-01,85.50
2006-03-01,85.00
2006-04-01,84.90
2006-05-01,87.30
2006-06-01,86.30
2006-07-01,85.40
2006-08-01,82.70
2006-09-01,85.40
2006-10-01,84.70
2006-11-01,82.30
2006-12-01,84.20
2007-01-01,83.80
2007-02-01,84.20
2007-03-01,85.50
2007-04-01,83.70
2007-05-01,83.80
2007-06-01,82.80
2007-07-01,82.80
2007-08-01,83.60
2007-09-01,82.50
2007-10-01,84.60
2007-11-01,84.50
2007-12-01,84.60
2008-01-01,87.50
2008-02-01,85.80
2008-03-01,85.80
2008-04-01,86.60
2008-05-01,86.40
2008-06-01,86.90
2008-07-01,86.20
2008-08-01,84.40
2008-09-01,84.40
2008-10-01,82.90
2008-11-01,81.60
2008-12-01,79.40
2009-01-01,77.50
2009-02-01,79.40
2009-03-01,75.70
2009-04-01,74.80
2009-05-01,76.40
2009-06-01,75.30
2009-07-01,76.90
2009-08-01,78.00
2009-09-01,78.40
2009-10-01,78.00
2009-11-01,79.30
2009-12-01,80.10
2010-01-01,80.50
2010-02-01,81.40
2010-03-01,81.80
2010-04-01,82.10
2010-05-01,81.60
2010-06-01,81.60
2010-07-01,81.90
2010-08-01,81.40
2010-09-01,82.10
2010-10-01,83.10
2010-11-01,82.90
2010-12-01,84.00
2011-01-01,85.30
2011-02-01,84.70
2011-03-01,86.90
2011-04-01,86.10
2011-05-01,84.80
2011-06-01,86.40
2011-07-01,85.70
2011-08-01,86.60
2011-09-01,87.30
2011-10-01,87.50
2011-11-01,88.20
2011-12-01,91.70
2012-01-01,87.70
2012-02-01,88.70
2012-03-01,89.20
2012-04-01,88.60
2012-05-01,88.40
2012-06-01,89.50
2012-07-01,89.60
2012-08-01,89.10
2012-09-01,88.60
2012-10-01,87.00
2012-11-01,88.60
2012-12-01,89.40
2013-01-01,91.80
2013-02-01,92.70
2013-03-01,92.70
2013-04-01,93.10
2013-05-01,94.60
2013-06-01,94.30
2013-07-01,94.40
2013-08-01,94.70
2013-09-01,95.40
2013-10-01,94.70
2013-11-01,97.30
2013-12-01,95.60
2014-01-01,93.00
2014-02-01,95.40
2014-03-01,96.10
2014-04-01,96.80
2014-05-01,97.20
2014-06-01,97.10
2014-07-01,97.40
2014-08-01,98.60
2014-09-01,98.90
2014-10-01,99.40
2014-11-01,100.20
2014-12-01,99.50
2015-01-01,99.10
2015-02-01,98.50
2015-03-01,100.90
2015-04-01,98.40
2015-05-01,99.50
2015-06-01,99.60
2015-07-01,100.20
2015-08-01,100.90
2015-09-01,100.70
2015-10-01,100.90
2015-11-01,100.00
2015-12-01,101.00
2016-01-01,102.50
2016-02-01,101.90
2016-03-01,101.50
2016-04-01,103.00
2016-05-01,102.00
2016-06-01,102.70
2016-07-01,105.10
2016-08-01,101.40
2016-09-01,99.90
2016-10-01,102.10
2016-11-01,102.80
2016-12-01,103.00
2017-01-01,102.60
2017-02-01,103.70
2017-03-01,102.80
2017-04-01,104.20
2017-05-01,104.70
2017-06-01,104.40
2017-07-01,107.50
2017-08-01,108.10
2017-09-01,108.30
2017-10-01,110.00
2017-11-01,110.90
2017-12-01,111.70
2018-01-01,108.50
2018-02-01,111.10
2018-03-01,112.30
2018-04-01,111.20
