Date,U12SVS
1992-01-01,5485000000.00
1992-02-01,6006000000.00
1992-03-01,7975000000.00
1992-04-01,6222000000.00
1992-05-01,7364000000.00
1992-06-01,9715000000.00
1992-07-01,6897000000.00
1992-08-01,6497000000.00
1992-09-01,8859000000.00
1992-10-01,6088000000.00
1992-11-01,6991000000.00
1992-12-01,7588000000.00
1993-01-01,5495000000.00
1993-02-01,5690000000.00
1993-03-01,7642000000.00
1993-04-01,5760000000.00
1993-05-01,7197000000.00
1993-06-01,8014000000.00
1993-07-01,6747000000.00
1993-08-01,6330000000.00
1993-09-01,7310000000.00
1993-10-01,5932000000.00
1993-11-01,6309000000.00
1993-12-01,6801000000.00
1994-01-01,5974000000.00
1994-02-01,6375000000.00
1994-03-01,6848000000.00
1994-04-01,6876000000.00
1994-05-01,7206000000.00
1994-06-01,7770000000.00
1994-07-01,6935000000.00
1994-08-01,7528000000.00
1994-09-01,7107000000.00
1994-10-01,6868000000.00
1994-11-01,6899000000.00
1994-12-01,7048000000.00
1995-01-01,6163000000.00
1995-02-01,6659000000.00
1995-03-01,7168000000.00
1995-04-01,7315000000.00
1995-05-01,7958000000.00
1995-06-01,8035000000.00
1995-07-01,7561000000.00
1995-08-01,8235000000.00
1995-09-01,7570000000.00
1995-10-01,7457000000.00
1995-11-01,7494000000.00
1995-12-01,7330000000.00
1996-01-01,6777000000.00
1996-02-01,7074000000.00
1996-03-01,7836000000.00
1996-04-01,7760000000.00
1996-05-01,8236000000.00
1996-06-01,8417000000.00
1996-07-01,8264000000.00
1996-08-01,8565000000.00
1996-09-01,7875000000.00
1996-10-01,7817000000.00
1996-11-01,7842000000.00
1996-12-01,7570000000.00
1997-01-01,7095000000.00
1997-02-01,7144000000.00
1997-03-01,8020000000.00
1997-04-01,7729000000.00
1997-05-01,8507000000.00
1997-06-01,8539000000.00
1997-07-01,8297000000.00
1997-08-01,8562000000.00
1997-09-01,8376000000.00
1997-10-01,8448000000.00
1997-11-01,8393000000.00
1997-12-01,7861000000.00
1998-01-01,7367000000.00
1998-02-01,8106000000.00
1998-03-01,8419000000.00
1998-04-01,8371000000.00
1998-05-01,8895000000.00
1998-06-01,9509000000.00
1998-07-01,8735000000.00
1998-08-01,9097000000.00
1998-09-01,8813000000.00
1998-10-01,8671000000.00
1998-11-01,7950000000.00
1998-12-01,8426000000.00
1999-01-01,7969000000.00
1999-02-01,8405000000.00
1999-03-01,9139000000.00
1999-04-01,8699000000.00
1999-05-01,9074000000.00
1999-06-01,9829000000.00
1999-07-01,9028000000.00
1999-08-01,9298000000.00
1999-09-01,8930000000.00
1999-10-01,9180000000.00
1999-11-01,9056000000.00
1999-12-01,8313000000.00
2000-01-01,8260000000.00
2000-02-01,8506000000.00
2000-03-01,9500000000.00
2000-04-01,8882000000.00
2000-05-01,10174000000.00
2000-06-01,9935000000.00
2000-07-01,9322000000.00
2000-08-01,10068000000.00
2000-09-01,9268000000.00
2000-10-01,9394000000.00
2000-11-01,9440000000.00
2000-12-01,8943000000.00
2001-01-01,8854000000.00
2001-02-01,9230000000.00
2001-03-01,9717000000.00
2001-04-01,9375000000.00
2001-05-01,11106000000.00
2001-06-01,10541000000.00
2001-07-01,10239000000.00
2001-08-01,11340000000.00
2001-09-01,9581000000.00
2001-10-01,10473000000.00
2001-11-01,9139000000.00
2001-12-01,9191000000.00
2002-01-01,8556000000.00
2002-02-01,8158000000.00
2002-03-01,9112000000.00
2002-04-01,8647000000.00
2002-05-01,9619000000.00
2002-06-01,9287000000.00
2002-07-01,9027000000.00
2002-08-01,9312000000.00
2002-09-01,8666000000.00
2002-10-01,8619000000.00
2002-11-01,8354000000.00
2002-12-01,8099000000.00
2003-01-01,7833000000.00
2003-02-01,8003000000.00
2003-03-01,9216000000.00
2003-04-01,9018000000.00
2003-05-01,9762000000.00
2003-06-01,9775000000.00
2003-07-01,9613000000.00
2003-08-01,9621000000.00
2003-09-01,9270000000.00
2003-10-01,9328000000.00
2003-11-01,8760000000.00
2003-12-01,8881000000.00
2004-01-01,8126000000.00
2004-02-01,8320000000.00
2004-03-01,9733000000.00
2004-04-01,9297000000.00
2004-05-01,9900000000.00
2004-06-01,10411000000.00
2004-07-01,9667000000.00
2004-08-01,10117000000.00
2004-09-01,9783000000.00
2004-10-01,9567000000.00
2004-11-01,9420000000.00
2004-12-01,9396000000.00
2005-01-01,8654000000.00
2005-02-01,8907000000.00
2005-03-01,9701000000.00
2005-04-01,10089000000.00
2005-05-01,11263000000.00
2005-06-01,11281000000.00
2005-07-01,10799000000.00
2005-08-01,11646000000.00
2005-09-01,10523000000.00
2005-10-01,10525000000.00
2005-11-01,10484000000.00
2005-12-01,10213000000.00
2006-01-01,9425000000.00
2006-02-01,9462000000.00
2006-03-01,10267000000.00
2006-04-01,10019000000.00
2006-05-01,11526000000.00
2006-06-01,11219000000.00
2006-07-01,10291000000.00
2006-08-01,11280000000.00
2006-09-01,10047000000.00
2006-10-01,10378000000.00
2006-11-01,10464000000.00
2006-12-01,9654000000.00
2007-01-01,9312000000.00
2007-02-01,9494000000.00
2007-03-01,10613000000.00
2007-04-01,10441000000.00
2007-05-01,11926000000.00
2007-06-01,11517000000.00
2007-07-01,10856000000.00
2007-08-01,11853000000.00
2007-09-01,10398000000.00
2007-10-01,11158000000.00
2007-11-01,10700000000.00
2007-12-01,9863000000.00
2008-01-01,9321000000.00
