Date,U22ATI
1992-01-01,6452000000.00
1992-02-01,6497000000.00
1992-03-01,6439000000.00
1992-04-01,6568000000.00
1992-05-01,6606000000.00
1992-06-01,6548000000.00
1992-07-01,6471000000.00
1992-08-01,6504000000.00
1992-09-01,6412000000.00
1992-10-01,6452000000.00
1992-11-01,6497000000.00
1992-12-01,6340000000.00
1993-01-01,6415000000.00
1993-02-01,6452000000.00
1993-03-01,6486000000.00
1993-04-01,6504000000.00
1993-05-01,6486000000.00
1993-06-01,6393000000.00
1993-07-01,6383000000.00
1993-08-01,6396000000.00
1993-09-01,6324000000.00
1993-10-01,6317000000.00
1993-11-01,6296000000.00
1993-12-01,6378000000.00
1994-01-01,6488000000.00
1994-02-01,6547000000.00
1994-03-01,6614000000.00
1994-04-01,6642000000.00
1994-05-01,6648000000.00
1994-06-01,6445000000.00
1994-07-01,6400000000.00
1994-08-01,6381000000.00
1994-09-01,6243000000.00
1994-10-01,6170000000.00
1994-11-01,6195000000.00
1994-12-01,6185000000.00
1995-01-01,6397000000.00
1995-02-01,6498000000.00
1995-03-01,6585000000.00
1995-04-01,6748000000.00
1995-05-01,6859000000.00
1995-06-01,6921000000.00
1995-07-01,7135000000.00
1995-08-01,7337000000.00
1995-09-01,7502000000.00
1995-10-01,7650000000.00
1995-11-01,7840000000.00
1995-12-01,7946000000.00
1996-01-01,8141000000.00
1996-02-01,8288000000.00
1996-03-01,8290000000.00
1996-04-01,7983000000.00
1996-05-01,7769000000.00
1996-06-01,7799000000.00
1996-07-01,7724000000.00
1996-08-01,7793000000.00
1996-09-01,7611000000.00
1996-10-01,7459000000.00
1996-11-01,7386000000.00
1996-12-01,7277000000.00
1997-01-01,7321000000.00
1997-02-01,7358000000.00
1997-03-01,7235000000.00
1997-04-01,7166000000.00
1997-05-01,7157000000.00
1997-06-01,6912000000.00
1997-07-01,6886000000.00
1997-08-01,6925000000.00
1997-09-01,6890000000.00
1997-10-01,6778000000.00
1997-11-01,6854000000.00
1997-12-01,6851000000.00
1998-01-01,7013000000.00
1998-02-01,7001000000.00
1998-03-01,6922000000.00
1998-04-01,6890000000.00
1998-05-01,6897000000.00
1998-06-01,6871000000.00
1998-07-01,6861000000.00
1998-08-01,6897000000.00
1998-09-01,6831000000.00
1998-10-01,6812000000.00
1998-11-01,6809000000.00
1998-12-01,6778000000.00
1999-01-01,6791000000.00
1999-02-01,6846000000.00
