Date,U22STI
1992-01-01,13664000000.00
1992-02-01,13679000000.00
1992-03-01,13670000000.00
1992-04-01,13830000000.00
1992-05-01,13823000000.00
1992-06-01,13569000000.00
1992-07-01,13553000000.00
1992-08-01,13530000000.00
1992-09-01,13383000000.00
1992-10-01,13403000000.00
1992-11-01,13500000000.00
1992-12-01,13246000000.00
1993-01-01,13462000000.00
1993-02-01,13546000000.00
1993-03-01,13597000000.00
1993-04-01,13675000000.00
1993-05-01,13588000000.00
1993-06-01,13375000000.00
1993-07-01,13430000000.00
1993-08-01,13456000000.00
1993-09-01,13194000000.00
1993-10-01,13158000000.00
1993-11-01,13154000000.00
1993-12-01,13266000000.00
1994-01-01,13426000000.00
1994-02-01,13578000000.00
1994-03-01,13553000000.00
1994-04-01,13692000000.00
1994-05-01,13703000000.00
1994-06-01,13476000000.00
1994-07-01,13528000000.00
1994-08-01,13561000000.00
1994-09-01,13388000000.00
1994-10-01,13337000000.00
1994-11-01,13465000000.00
1994-12-01,13559000000.00
1995-01-01,14036000000.00
1995-02-01,14391000000.00
1995-03-01,14705000000.00
1995-04-01,15103000000.00
1995-05-01,15365000000.00
1995-06-01,15632000000.00
1995-07-01,15951000000.00
1995-08-01,16016000000.00
1995-09-01,16110000000.00
1995-10-01,16228000000.00
1995-11-01,16275000000.00
1995-12-01,16404000000.00
1996-01-01,16596000000.00
1996-02-01,16752000000.00
1996-03-01,16678000000.00
1996-04-01,16372000000.00
1996-05-01,16012000000.00
1996-06-01,15778000000.00
1996-07-01,15661000000.00
1996-08-01,15724000000.00
1996-09-01,15481000000.00
1996-10-01,15264000000.00
1996-11-01,15147000000.00
1996-12-01,15120000000.00
1997-01-01,15195000000.00
1997-02-01,15204000000.00
1997-03-01,15344000000.00
1997-04-01,15164000000.00
1997-05-01,15157000000.00
1997-06-01,14685000000.00
1997-07-01,14694000000.00
1997-08-01,14768000000.00
1997-09-01,14826000000.00
1997-10-01,14714000000.00
1997-11-01,14802000000.00
1997-12-01,15042000000.00
1998-01-01,15331000000.00
1998-02-01,15403000000.00
1998-03-01,15376000000.00
1998-04-01,15445000000.00
1998-05-01,15448000000.00
1998-06-01,15302000000.00
1998-07-01,15340000000.00
1998-08-01,15415000000.00
1998-09-01,15150000000.00
1998-10-01,14996000000.00
1998-11-01,14960000000.00
1998-12-01,14688000000.00
1999-01-01,14933000000.00
1999-02-01,14911000000.00
1999-03-01,14932000000.00
1999-04-01,14873000000.00
1999-05-01,14920000000.00
1999-06-01,14775000000.00
1999-07-01,14714000000.00
1999-08-01,14913000000.00
1999-09-01,15033000000.00
1999-10-01,14942000000.00
1999-11-01,14999000000.00
1999-12-01,15034000000.00
2000-01-01,15432000000.00
2000-02-01,15621000000.00
2000-03-01,15594000000.00
2000-04-01,15766000000.00
2000-05-01,15821000000.00
2000-06-01,15680000000.00
2000-07-01,15909000000.00
2000-08-01,15857000000.00
2000-09-01,15616000000.00
2000-10-01,15467000000.00
2000-11-01,15362000000.00
2000-12-01,15205000000.00
2001-01-01,15355000000.00
2001-02-01,15389000000.00
2001-03-01,14976000000.00
2001-04-01,14859000000.00
2001-05-01,14693000000.00
2001-06-01,14453000000.00
2001-07-01,14334000000.00
2001-08-01,14148000000.00
2001-09-01,14137000000.00
2001-10-01,14071000000.00
2001-11-01,14116000000.00
2001-12-01,14027000000.00
2002-01-01,14174000000.00
2002-02-01,14191000000.00
2002-03-01,14114000000.00
2002-04-01,14051000000.00
2002-05-01,13954000000.00
2002-06-01,13958000000.00
2002-07-01,13880000000.00
2002-08-01,13860000000.00
2002-09-01,14008000000.00
2002-10-01,14064000000.00
2002-11-01,14249000000.00
2002-12-01,14286000000.00
2003-01-01,14528000000.00
2003-02-01,14541000000.00
2003-03-01,14126000000.00
2003-04-01,14248000000.00
2003-05-01,14212000000.00
2003-06-01,14113000000.00
2003-07-01,14018000000.00
2003-08-01,13932000000.00
2003-09-01,13873000000.00
2003-10-01,13718000000.00
2003-11-01,13710000000.00
2003-12-01,13444000000.00
2004-01-01,13633000000.00
2004-02-01,13660000000.00
2004-03-01,13524000000.00
2004-04-01,13532000000.00
2004-05-01,13733000000.00
2004-06-01,13645000000.00
2004-07-01,13971000000.00
2004-08-01,13954000000.00
2004-09-01,13929000000.00
2004-10-01,14117000000.00
2004-11-01,14240000000.00
2004-12-01,14145000000.00
2005-01-01,14656000000.00
2005-02-01,14880000000.00
2005-03-01,14833000000.00
2005-04-01,14924000000.00
2005-05-01,14945000000.00
2005-06-01,14830000000.00
2005-07-01,14930000000.00
2005-08-01,14727000000.00
2005-09-01,14593000000.00
2005-10-01,14545000000.00
2005-11-01,14404000000.00
2005-12-01,14351000000.00
2006-01-01,14604000000.00
2006-02-01,14933000000.00
2006-03-01,15070000000.00
2006-04-01,15198000000.00
2006-05-01,15216000000.00
2006-06-01,14928000000.00
2006-07-01,15128000000.00
2006-08-01,15042000000.00
2006-09-01,15065000000.00
2006-10-01,14967000000.00
2006-11-01,15082000000.00
2006-12-01,14937000000.00
2007-01-01,15185000000.00
2007-02-01,15315000000.00
2007-03-01,15189000000.00
2007-04-01,15176000000.00
2007-05-01,15133000000.00
2007-06-01,14852000000.00
2007-07-01,14983000000.00
2007-08-01,14927000000.00
2007-09-01,14880000000.00
2007-10-01,14787000000.00
2007-11-01,14862000000.00
2007-12-01,15134000000.00
2008-01-01,15127000000.00
2008-02-01,15332000000.00
2008-03-01,15611000000.00
2008-04-01,15712000000.00
2008-05-01,15859000000.00
2008-06-01,15833000000.00
2008-07-01,15863000000.00
2008-08-01,16009000000.00
2008-09-01,15998000000.00
2008-10-01,16298000000.00
2008-11-01,16402000000.00
2008-12-01,15633000000.00
2009-01-01,15476000000.00
2009-02-01,15424000000.00
2009-03-01,15103000000.00
2009-04-01,14774000000.00
2009-05-01,14423000000.00
2009-06-01,14286000000.00
2009-07-01,14180000000.00
2009-08-01,14258000000.00
2009-09-01,14126000000.00
2009-10-01,13863000000.00
2009-11-01,13896000000.00
2009-12-01,13653000000.00
2010-01-01,13703000000.00
2010-02-01,13845000000.00
2010-03-01,13770000000.00
2010-04-01,13967000000.00
2010-05-01,14067000000.00
2010-06-01,14024000000.00
2010-07-01,14039000000.00
2010-08-01,14187000000.00
2010-09-01,14227000000.00
2010-10-01,14347000000.00
2010-11-01,14529000000.00
2010-12-01,14299000000.00
2011-01-01,14528000000.00
2011-02-01,14746000000.00
2011-03-01,14772000000.00
2011-04-01,14810000000.00
2011-05-01,14850000000.00
2011-06-01,14712000000.00
2011-07-01,14945000000.00
2011-08-01,15091000000.00
2011-09-01,15146000000.00
2011-10-01,15154000000.00
2011-11-01,15136000000.00
2011-12-01,15028000000.00
2012-01-01,15190000000.00
2012-02-01,15296000000.00
2012-03-01,15313000000.00
2012-04-01,15362000000.00
2012-05-01,15331000000.00
2012-06-01,15285000000.00
2012-07-01,15355000000.00
2012-08-01,15276000000.00
2012-09-01,15156000000.00
2012-10-01,15057000000.00
2012-11-01,15091000000.00
2012-12-01,15220000000.00
2013-01-01,15325000000.00
2013-02-01,15450000000.00
2013-03-01,15409000000.00
2013-04-01,15454000000.00
2013-05-01,15402000000.00
2013-06-01,15338000000.00
2013-07-01,15571000000.00
2013-08-01,15648000000.00
2013-09-01,15495000000.00
2013-10-01,15261000000.00
2013-11-01,15264000000.00
2013-12-01,15202000000.00
2014-01-01,15356000000.00
2014-02-01,15438000000.00
2014-03-01,15502000000.00
2014-04-01,15344000000.00
2014-05-01,15846000000.00
2014-06-01,15817000000.00
2014-07-01,15932000000.00
2014-08-01,16014000000.00
2014-09-01,15991000000.00
2014-10-01,15830000000.00
2014-11-01,15973000000.00
2014-12-01,15620000000.00
2015-01-01,16010000000.00
2015-02-01,16057000000.00
2015-03-01,15955000000.00
2015-04-01,16273000000.00
2015-05-01,16265000000.00
2015-06-01,16140000000.00
2015-07-01,16224000000.00
2015-08-01,16219000000.00
