Date,U24ATI
1992-01-01,9442000000.00
1992-02-01,9316000000.00
1992-03-01,9491000000.00
1992-04-01,9586000000.00
1992-05-01,10001000000.00
1992-06-01,10282000000.00
1992-07-01,10388000000.00
1992-08-01,10272000000.00
1992-09-01,10543000000.00
1992-10-01,10502000000.00
1992-11-01,10172000000.00
1992-12-01,9731000000.00
1993-01-01,9769000000.00
1993-02-01,9729000000.00
1993-03-01,9785000000.00
1993-04-01,10108000000.00
1993-05-01,10127000000.00
1993-06-01,9914000000.00
1993-07-01,9821000000.00
1993-08-01,9691000000.00
1993-09-01,9547000000.00
1993-10-01,9686000000.00
1993-11-01,9449000000.00
1993-12-01,8658000000.00
1994-01-01,8573000000.00
1994-02-01,8748000000.00
1994-03-01,8874000000.00
1994-04-01,9099000000.00
1994-05-01,9508000000.00
1994-06-01,9603000000.00
1994-07-01,9983000000.00
1994-08-01,9806000000.00
1994-09-01,9488000000.00
1994-10-01,9795000000.00
1994-11-01,9927000000.00
1994-12-01,9440000000.00
1995-01-01,9872000000.00
1995-02-01,9951000000.00
1995-03-01,9805000000.00
1995-04-01,10083000000.00
1995-05-01,10456000000.00
1995-06-01,10265000000.00
1995-07-01,9889000000.00
1995-08-01,9739000000.00
1995-09-01,9825000000.00
1995-10-01,9549000000.00
1995-11-01,9540000000.00
1995-12-01,9510000000.00
1996-01-01,9720000000.00
1996-02-01,9907000000.00
1996-03-01,10329000000.00
1996-04-01,10715000000.00
1996-05-01,10856000000.00
1996-06-01,10755000000.00
1996-07-01,10916000000.00
1996-08-01,10877000000.00
1996-09-01,11114000000.00
1996-10-01,11250000000.00
1996-11-01,11076000000.00
1996-12-01,10718000000.00
1997-01-01,11295000000.00
1997-02-01,11011000000.00
1997-03-01,11193000000.00
1997-04-01,11130000000.00
1997-05-01,11273000000.00
1997-06-01,10844000000.00
1997-07-01,10534000000.00
1997-08-01,10808000000.00
1997-09-01,10824000000.00
1997-10-01,10791000000.00
1997-11-01,10635000000.00
1997-12-01,10015000000.00
1998-01-01,9169000000.00
1998-02-01,9225000000.00
1998-03-01,9115000000.00
1998-04-01,9355000000.00
1998-05-01,9283000000.00
1998-06-01,8877000000.00
1998-07-01,8835000000.00
1998-08-01,8504000000.00
1998-09-01,8585000000.00
1998-10-01,8724000000.00
1998-11-01,8588000000.00
1998-12-01,7802000000.00
1999-01-01,7913000000.00
1999-02-01,7739000000.00
1999-03-01,8384000000.00
1999-04-01,8782000000.00
1999-05-01,8962000000.00
1999-06-01,8941000000.00
1999-07-01,9257000000.00
1999-08-01,9661000000.00
1999-09-01,10081000000.00
1999-10-01,10184000000.00
1999-11-01,10253000000.00
1999-12-01,10007000000.00
2000-01-01,10585000000.00
2000-02-01,10927000000.00
2000-03-01,11065000000.00
2000-04-01,11659000000.00
2000-05-01,12040000000.00
2000-06-01,12067000000.00
2000-07-01,12171000000.00
2000-08-01,11925000000.00
2000-09-01,12611000000.00
2000-10-01,12792000000.00
2000-11-01,12534000000.00
2000-12-01,11484000000.00
2001-01-01,11885000000.00
2001-02-01,12034000000.00
2001-03-01,12172000000.00
2001-04-01,12814000000.00
2001-05-01,12984000000.00
2001-06-01,12458000000.00
2001-07-01,12440000000.00
2001-08-01,12695000000.00
2001-09-01,12761000000.00
2001-10-01,12153000000.00
2001-11-01,11595000000.00
2001-12-01,11089000000.00
2002-01-01,10987000000.00
2002-02-01,10438000000.00
2002-03-01,11172000000.00
2002-04-01,12068000000.00
2002-05-01,12324000000.00
2002-06-01,12340000000.00
2002-07-01,12863000000.00
2002-08-01,12860000000.00
2002-09-01,13505000000.00
2002-10-01,13383000000.00
2002-11-01,12768000000.00
2002-12-01,12681000000.00
2003-01-01,13545000000.00
2003-02-01,14170000000.00
2003-03-01,14332000000.00
2003-04-01,15034000000.00
2003-05-01,14508000000.00
2003-06-01,14821000000.00
2003-07-01,14877000000.00
2003-08-01,15550000000.00
2003-09-01,15894000000.00
2003-10-01,15768000000.00
2003-11-01,14873000000.00
2003-12-01,14214000000.00
2004-01-01,15705000000.00
2004-02-01,16344000000.00
2004-03-01,16533000000.00
2004-04-01,17453000000.00
2004-05-01,18765000000.00
2004-06-01,18422000000.00
2004-07-01,19509000000.00
2004-08-01,19131000000.00
2004-09-01,19290000000.00
2004-10-01,20411000000.00
2004-11-01,20422000000.00
2004-12-01,17840000000.00
2005-01-01,20278000000.00
2005-02-01,20940000000.00
2005-03-01,22065000000.00
2005-04-01,23349000000.00
2005-05-01,22930000000.00
2005-06-01,23551000000.00
2005-07-01,25869000000.00
2005-08-01,26126000000.00
2005-09-01,26825000000.00
2005-10-01,28259000000.00
2005-11-01,26443000000.00
2005-12-01,25301000000.00
2006-01-01,26755000000.00
2006-02-01,26926000000.00
2006-03-01,27969000000.00
2006-04-01,30838000000.00
2006-05-01,33114000000.00
2006-06-01,32910000000.00
2006-07-01,33608000000.00
2006-08-01,33407000000.00
2006-09-01,31781000000.00
2006-10-01,29624000000.00
2006-11-01,28613000000.00
2006-12-01,27461000000.00
2007-01-01,27202000000.00
2007-02-01,28254000000.00
2007-03-01,30120000000.00
2007-04-01,32934000000.00
2007-05-01,34851000000.00
2007-06-01,35184000000.00
2007-07-01,35904000000.00
2007-08-01,35525000000.00
2007-09-01,38435000000.00
2007-10-01,38730000000.00
2007-11-01,39317000000.00
2007-12-01,38426000000.00
2008-01-01,42770000000.00
2008-02-01,43644000000.00
2008-03-01,47444000000.00
2008-04-01,46742000000.00
2008-05-01,48885000000.00
2008-06-01,53313000000.00
2008-07-01,52825000000.00
2008-08-01,51914000000.00
2008-09-01,47359000000.00
2008-10-01,40238000000.00
2008-11-01,34768000000.00
2008-12-01,25300000000.00
2009-01-01,25315000000.00
2009-02-01,24405000000.00
2009-03-01,26602000000.00
2009-04-01,26932000000.00
2009-05-01,29346000000.00
2009-06-01,31385000000.00
2009-07-01,32063000000.00
2009-08-01,33233000000.00
2009-09-01,31502000000.00
