Date,U24AVS
1992-01-01,9858000000.00
1992-02-01,9931000000.00
1992-03-01,10145000000.00
1992-04-01,11064000000.00
1992-05-01,11584000000.00
1992-06-01,12344000000.00
1992-07-01,12113000000.00
1992-08-01,11897000000.00
1992-09-01,11875000000.00
1992-10-01,12118000000.00
1992-11-01,11810000000.00
1992-12-01,11298000000.00
1993-01-01,10647000000.00
1993-02-01,10831000000.00
1993-03-01,10865000000.00
1993-04-01,11163000000.00
1993-05-01,11488000000.00
1993-06-01,11430000000.00
1993-07-01,10873000000.00
1993-08-01,10662000000.00
1993-09-01,10622000000.00
1993-10-01,11143000000.00
1993-11-01,10340000000.00
1993-12-01,9431000000.00
1994-01-01,9103000000.00
1994-02-01,9461000000.00
1994-03-01,9377000000.00
1994-04-01,10280000000.00
1994-05-01,10667000000.00
1994-06-01,11522000000.00
1994-07-01,11408000000.00
1994-08-01,11931000000.00
1994-09-01,11099000000.00
1994-10-01,10868000000.00
1994-11-01,11398000000.00
1994-12-01,11108000000.00
1995-01-01,10284000000.00
1995-02-01,10806000000.00
1995-03-01,10526000000.00
1995-04-01,11821000000.00
1995-05-01,12374000000.00
1995-06-01,12243000000.00
1995-07-01,11395000000.00
1995-08-01,11569000000.00
1995-09-01,11302000000.00
1995-10-01,10912000000.00
1995-11-01,11082000000.00
1995-12-01,11378000000.00
1996-01-01,10900000000.00
1996-02-01,11165000000.00
1996-03-01,11905000000.00
1996-04-01,13773000000.00
1996-05-01,13770000000.00
1996-06-01,13241000000.00
1996-07-01,12927000000.00
1996-08-01,13363000000.00
1996-09-01,13772000000.00
1996-10-01,14384000000.00
1996-11-01,14221000000.00
1996-12-01,14115000000.00
1997-01-01,13466000000.00
1997-02-01,13209000000.00
1997-03-01,12632000000.00
1997-04-01,13239000000.00
1997-05-01,13678000000.00
1997-06-01,13430000000.00
1997-07-01,13146000000.00
1997-08-01,14215000000.00
1997-09-01,13509000000.00
1997-10-01,13566000000.00
1997-11-01,12657000000.00
1997-12-01,11921000000.00
1998-01-01,10324000000.00
1998-02-01,9936000000.00
1998-03-01,9730000000.00
1998-04-01,10505000000.00
1998-05-01,10757000000.00
