Date,U31ANO
1992-02-01,4977000000.00
1992-03-01,5525000000.00
1992-04-01,4914000000.00
1992-05-01,4736000000.00
1992-06-01,5033000000.00
1992-07-01,4460000000.00
1992-08-01,4425000000.00
1992-09-01,4274000000.00
1992-10-01,4266000000.00
1992-11-01,4209000000.00
1992-12-01,4971000000.00
1993-01-01,5665000000.00
1993-02-01,5719000000.00
1993-03-01,7037000000.00
1993-04-01,5041000000.00
1993-05-01,4931000000.00
1993-06-01,5188000000.00
1993-07-01,4544000000.00
1993-08-01,4696000000.00
1993-09-01,4801000000.00
1993-10-01,5111000000.00
1993-11-01,4971000000.00
1993-12-01,4876000000.00
1994-01-01,5598000000.00
1994-02-01,6054000000.00
1994-03-01,6036000000.00
1994-04-01,5576000000.00
1994-05-01,5350000000.00
1994-06-01,5585000000.00
1994-07-01,4961000000.00
1994-08-01,5441000000.00
1994-09-01,5801000000.00
1994-10-01,5661000000.00
1994-11-01,5674000000.00
1994-12-01,5882000000.00
1995-01-01,6950000000.00
1995-02-01,6806000000.00
1995-03-01,7133000000.00
1995-04-01,5815000000.00
1995-05-01,5793000000.00
1995-06-01,5717000000.00
1995-07-01,4900000000.00
1995-08-01,6052000000.00
1995-09-01,5501000000.00
1995-10-01,6162000000.00
1995-11-01,5995000000.00
1995-12-01,5776000000.00
1996-01-01,6656000000.00
1996-02-01,6454000000.00
1996-03-01,5886000000.00
1996-04-01,5740000000.00
1996-05-01,6225000000.00
1996-06-01,5948000000.00
1996-07-01,5631000000.00
1996-08-01,5987000000.00
1996-09-01,5711000000.00
1996-10-01,5876000000.00
1996-11-01,5489000000.00
1996-12-01,5698000000.00
1997-01-01,6970000000.00
1997-02-01,6878000000.00
1997-03-01,6330000000.00
1997-04-01,6809000000.00
1997-05-01,6291000000.00
1997-06-01,6509000000.00
1997-07-01,6166000000.00
1997-08-01,6256000000.00
1997-09-01,6319000000.00
1997-10-01,6784000000.00
1997-11-01,6597000000.00
1997-12-01,6668000000.00
1998-01-01,7056000000.00
1998-02-01,7489000000.00
1998-03-01,6937000000.00
1998-04-01,6363000000.00
1998-05-01,6379000000.00
1998-06-01,6114000000.00
1998-07-01,5003000000.00
1998-08-01,5725000000.00
1998-09-01,5303000000.00
1998-10-01,5032000000.00
1998-11-01,5568000000.00
1998-12-01,5409000000.00
1999-01-01,5520000000.00
1999-02-01,6671000000.00
1999-03-01,6228000000.00
1999-04-01,6065000000.00
1999-05-01,5900000000.00
1999-06-01,5915000000.00
1999-07-01,5336000000.00
1999-08-01,5987000000.00
1999-09-01,5662000000.00
1999-10-01,5817000000.00
1999-11-01,6084000000.00
1999-12-01,5739000000.00
2000-01-01,6647000000.00
2000-02-01,6785000000.00
2000-03-01,6626000000.00
2000-04-01,5866000000.00
2000-05-01,5742000000.00
2000-06-01,5823000000.00
2000-07-01,4987000000.00
2000-08-01,5553000000.00
2000-09-01,5419000000.00
2000-10-01,5170000000.00
2000-11-01,4980000000.00
2000-12-01,4583000000.00
2001-01-01,5491000000.00
2001-02-01,5610000000.00
2001-03-01,5579000000.00
2001-04-01,5116000000.00
2001-05-01,5582000000.00
2001-06-01,5808000000.00
2001-07-01,4675000000.00
2001-08-01,5008000000.00
2001-09-01,4759000000.00
2001-10-01,4433000000.00
2001-11-01,4463000000.00
2001-12-01,4625000000.00
2002-01-01,5267000000.00
2002-02-01,5492000000.00
2002-03-01,5440000000.00
2002-04-01,5719000000.00
2002-05-01,5949000000.00
2002-06-01,5561000000.00
2002-07-01,5021000000.00
2002-08-01,5643000000.00
2002-09-01,5254000000.00
2002-10-01,5204000000.00
2002-11-01,4450000000.00
2002-12-01,4631000000.00
2003-01-01,5379000000.00
2003-02-01,5832000000.00
2003-03-01,4789000000.00
2003-04-01,5273000000.00
2003-05-01,5519000000.00
2003-06-01,5320000000.00
2003-07-01,4970000000.00
2003-08-01,5818000000.00
2003-09-01,5033000000.00
2003-10-01,6395000000.00
2003-11-01,5987000000.00
2003-12-01,5744000000.00
2004-01-01,6382000000.00
2004-02-01,7348000000.00
2004-03-01,8399000000.00
2004-04-01,7543000000.00
2004-05-01,8149000000.00
2004-06-01,8310000000.00
2004-07-01,8788000000.00
2004-08-01,9784000000.00
2004-09-01,8541000000.00
2004-10-01,7113000000.00
2004-11-01,8648000000.00
2004-12-01,8610000000.00
2005-01-01,8523000000.00
2005-02-01,9590000000.00
2005-03-01,9714000000.00
2005-04-01,7881000000.00
2005-05-01,8163000000.00
2005-06-01,7855000000.00
2005-07-01,7383000000.00
2005-08-01,10019000000.00
2005-09-01,9708000000.00
2005-10-01,9695000000.00
2005-11-01,9804000000.00
2005-12-01,9435000000.00
2006-01-01,9813000000.00
2006-02-01,9231000000.00
2006-03-01,10307000000.00
2006-04-01,9568000000.00
2006-05-01,10249000000.00
2006-06-01,10073000000.00
2006-07-01,9195000000.00
2006-08-01,10246000000.00
2006-09-01,8843000000.00
2006-10-01,9000000000.00
2006-11-01,8652000000.00
2006-12-01,8564000000.00
2007-01-01,10756000000.00
2007-02-01,9908000000.00
2007-03-01,11558000000.00
2007-04-01,11929000000.00
2007-05-01,10996000000.00
2007-06-01,8775000000.00
2007-07-01,9203000000.00
2007-08-01,10758000000.00
2007-09-01,10102000000.00
2007-10-01,10899000000.00
2007-11-01,11459000000.00
2007-12-01,11101000000.00
2008-01-01,13382000000.00
2008-02-01,13059000000.00
2008-03-01,14508000000.00
2008-04-01,15281000000.00
2008-05-01,14412000000.00
2008-06-01,15438000000.00
2008-07-01,16097000000.00
2008-08-01,13273000000.00
2008-09-01,10415000000.00
2008-10-01,7322000000.00
2008-11-01,6052000000.00
2008-12-01,5637000000.00
2009-01-01,5906000000.00
2009-02-01,5583000000.00
2009-03-01,4649000000.00
2009-04-01,5018000000.00
2009-05-01,5424000000.00
2009-06-01,7141000000.00
2009-07-01,7001000000.00
2009-08-01,7306000000.00
2009-09-01,6785000000.00
2009-10-01,6649000000.00
2009-11-01,6454000000.00
2009-12-01,6701000000.00
2010-01-01,9610000000.00
2010-02-01,9579000000.00
2010-03-01,10623000000.00
2010-04-01,10220000000.00
2010-05-01,10271000000.00
2010-06-01,9725000000.00
2010-07-01,10725000000.00
2010-08-01,10417000000.00
2010-09-01,9461000000.00
2010-10-01,8219000000.00
2010-11-01,11064000000.00
2010-12-01,10301000000.00
2011-01-01,12619000000.00
2011-02-01,10179000000.00
2011-03-01,13069000000.00
2011-04-01,11051000000.00
2011-05-01,12119000000.00
2011-06-01,10561000000.00
2011-07-01,11166000000.00
2011-08-01,12149000000.00
2011-09-01,11564000000.00
2011-10-01,10786000000.00
2011-11-01,11933000000.00
2011-12-01,12391000000.00
2012-01-01,12675000000.00
2012-02-01,12264000000.00
2012-03-01,12767000000.00
2012-04-01,12023000000.00
2012-05-01,11084000000.00
2012-06-01,11000000000.00
2012-07-01,10485000000.00
2012-08-01,10831000000.00
2012-09-01,9949000000.00
2012-10-01,11127000000.00
2012-11-01,10403000000.00
2012-12-01,10409000000.00
2013-01-01,11021000000.00
2013-02-01,11770000000.00
2013-03-01,10971000000.00
2013-04-01,11548000000.00
2013-05-01,10858000000.00
2013-06-01,10654000000.00
2013-07-01,10577000000.00
2013-08-01,10624000000.00
2013-09-01,10345000000.00
2013-10-01,11422000000.00
2013-11-01,11075000000.00
2013-12-01,9923000000.00
2014-01-01,11668000000.00
2014-02-01,11006000000.00
2014-03-01,12093000000.00
2014-04-01,11450000000.00
2014-05-01,11391000000.00
2014-06-01,11938000000.00
2014-07-01,11325000000.00
2014-08-01,10691000000.00
2014-09-01,11609000000.00
2014-10-01,11471000000.00
2014-11-01,10040000000.00
2014-12-01,10290000000.00
2015-01-01,10311000000.00
2015-02-01,9239000000.00
2015-03-01,9488000000.00
2015-04-01,9560000000.00
2015-05-01,8992000000.00
2015-06-01,9330000000.00
2015-07-01,8340000000.00
2015-08-01,8541000000.00
2015-09-01,7858000000.00
2015-10-01,8557000000.00
2015-11-01,7632000000.00
2015-12-01,7467000000.00
2016-01-01,8515000000.00
