Date,U31AVS
1992-01-01,4663000000.00
1992-02-01,4832000000.00
1992-03-01,5038000000.00
1992-04-01,4964000000.00
1992-05-01,4907000000.00
1992-06-01,5053000000.00
1992-07-01,4304000000.00
1992-08-01,4572000000.00
1992-09-01,4664000000.00
1992-10-01,4664000000.00
1992-11-01,4373000000.00
1992-12-01,3913000000.00
1993-01-01,4379000000.00
1993-02-01,4580000000.00
1993-03-01,5451000000.00
1993-04-01,5209000000.00
1993-05-01,5097000000.00
1993-06-01,5318000000.00
1993-07-01,4552000000.00
1993-08-01,5058000000.00
1993-09-01,5115000000.00
1993-10-01,5181000000.00
1993-11-01,4976000000.00
1993-12-01,4716000000.00
1994-01-01,4915000000.00
1994-02-01,5463000000.00
1994-03-01,5537000000.00
1994-04-01,5466000000.00
1994-05-01,5632000000.00
1994-06-01,5730000000.00
1994-07-01,5022000000.00
1994-08-01,5837000000.00
1994-09-01,5870000000.00
1994-10-01,5913000000.00
1994-11-01,5788000000.00
1994-12-01,5914000000.00
1995-01-01,5869000000.00
1995-02-01,6288000000.00
1995-03-01,6622000000.00
1995-04-01,6084000000.00
1995-05-01,6230000000.00
1995-06-01,6247000000.00
1995-07-01,5193000000.00
1995-08-01,5951000000.00
1995-09-01,6166000000.00
1995-10-01,6225000000.00
1995-11-01,5777000000.00
1995-12-01,5367000000.00
1996-01-01,5669000000.00
1996-02-01,6045000000.00
1996-03-01,6032000000.00
1996-04-01,6092000000.00
1996-05-01,6152000000.00
1996-06-01,6229000000.00
1996-07-01,5528000000.00
1996-08-01,6043000000.00
1996-09-01,6214000000.00
1996-10-01,6275000000.00
1996-11-01,5885000000.00
1996-12-01,5650000000.00
1997-01-01,6156000000.00
1997-02-01,6568000000.00
1997-03-01,6515000000.00
1997-04-01,6596000000.00
1997-05-01,6395000000.00
1997-06-01,6760000000.00
1997-07-01,5913000000.00
1997-08-01,6365000000.00
1997-09-01,6576000000.00
1997-10-01,6684000000.00
1997-11-01,6250000000.00
1997-12-01,6122000000.00
1998-01-01,6488000000.00
1998-02-01,7008000000.00
1998-03-01,6989000000.00
1998-04-01,6868000000.00
1998-05-01,6649000000.00
1998-06-01,6737000000.00
1998-07-01,5740000000.00
1998-08-01,6354000000.00
1998-09-01,6288000000.00
1998-10-01,6113000000.00
1998-11-01,5545000000.00
1998-12-01,5092000000.00
1999-01-01,5410000000.00
1999-02-01,5972000000.00
1999-03-01,6091000000.00
1999-04-01,5851000000.00
1999-05-01,5925000000.00
1999-06-01,6059000000.00
1999-07-01,5261000000.00
1999-08-01,5982000000.00
1999-09-01,6019000000.00
1999-10-01,6075000000.00
1999-11-01,5848000000.00
1999-12-01,5594000000.00
2000-01-01,6035000000.00
2000-02-01,6393000000.00
2000-03-01,6663000000.00
2000-04-01,6170000000.00
2000-05-01,6258000000.00
2000-06-01,6414000000.00
2000-07-01,5415000000.00
2000-08-01,5918000000.00
2000-09-01,5741000000.00
2000-10-01,5755000000.00
2000-11-01,5193000000.00
2000-12-01,4515000000.00
2001-01-01,5145000000.00
2001-02-01,5275000000.00
2001-03-01,5504000000.00
2001-04-01,5101000000.00
2001-05-01,5501000000.00
2001-06-01,5337000000.00
2001-07-01,4759000000.00
2001-08-01,5275000000.00
2001-09-01,4849000000.00
2001-10-01,5167000000.00
2001-11-01,4564000000.00
2001-12-01,4082000000.00
2002-01-01,4810000000.00
2002-02-01,4768000000.00
2002-03-01,5173000000.00
2002-04-01,5340000000.00
2002-05-01,5523000000.00
