Date,U31CUO
1992-01-01,2457000000.00
1992-02-01,2359000000.00
1992-03-01,2400000000.00
1992-04-01,2416000000.00
1992-05-01,2427000000.00
1992-06-01,2407000000.00
1992-07-01,2302000000.00
1992-08-01,2388000000.00
1992-09-01,2270000000.00
1992-10-01,2237000000.00
1992-11-01,2246000000.00
1992-12-01,2224000000.00
1993-01-01,2266000000.00
1993-02-01,2207000000.00
1993-03-01,2093000000.00
1993-04-01,2069000000.00
1993-05-01,2037000000.00
1993-06-01,1922000000.00
1993-07-01,1979000000.00
1993-08-01,1915000000.00
1993-09-01,1961000000.00
1993-10-01,1999000000.00
1993-11-01,2022000000.00
1993-12-01,2008000000.00
1994-01-01,2087000000.00
1994-02-01,2077000000.00
1994-03-01,2171000000.00
1994-04-01,2101000000.00
1994-05-01,2135000000.00
1994-06-01,2143000000.00
1994-07-01,2155000000.00
1994-08-01,2070000000.00
1994-09-01,2025000000.00
1994-10-01,2036000000.00
1994-11-01,2004000000.00
1994-12-01,2118000000.00
1995-01-01,2202000000.00
1995-02-01,2293000000.00
1995-03-01,2220000000.00
1995-04-01,2233000000.00
1995-05-01,2151000000.00
1995-06-01,2132000000.00
1995-07-01,2082000000.00
1995-08-01,2040000000.00
1995-09-01,2025000000.00
1995-10-01,2107000000.00
1995-11-01,2096000000.00
1995-12-01,2032000000.00
1996-01-01,2112000000.00
1996-02-01,2246000000.00
1996-03-01,2242000000.00
1996-04-01,2214000000.00
1996-05-01,2165000000.00
1996-06-01,2224000000.00
1996-07-01,2240000000.00
1996-08-01,2253000000.00
1996-09-01,2218000000.00
1996-10-01,2159000000.00
1996-11-01,2163000000.00
1996-12-01,2257000000.00
1997-01-01,2333000000.00
1997-02-01,2401000000.00
1997-03-01,2444000000.00
1997-04-01,2428000000.00
1997-05-01,2435000000.00
1997-06-01,2457000000.00
1997-07-01,2482000000.00
1997-08-01,2463000000.00
1997-09-01,2505000000.00
1997-10-01,2465000000.00
1997-11-01,2549000000.00
1997-12-01,2685000000.00
1998-01-01,2777000000.00
1998-02-01,2870000000.00
1998-03-01,2962000000.00
1998-04-01,2875000000.00
1998-05-01,2823000000.00
1998-06-01,2684000000.00
1998-07-01,2614000000.00
1998-08-01,2615000000.00
1998-09-01,2500000000.00
1998-10-01,2495000000.00
1998-11-01,2488000000.00
1998-12-01,2474000000.00
1999-01-01,2504000000.00
1999-02-01,2473000000.00
1999-03-01,2443000000.00
1999-04-01,2407000000.00
1999-05-01,2292000000.00
1999-06-01,2188000000.00
1999-07-01,2178000000.00
1999-08-01,2204000000.00
1999-09-01,2117000000.00
1999-10-01,2092000000.00
1999-11-01,2007000000.00
1999-12-01,2053000000.00
2000-01-01,2120000000.00
2000-02-01,2155000000.00
2000-03-01,2207000000.00
2000-04-01,2210000000.00
2000-05-01,2237000000.00
2000-06-01,2269000000.00
2000-07-01,2295000000.00
2000-08-01,2265000000.00
2000-09-01,2185000000.00
2000-10-01,2213000000.00
2000-11-01,2262000000.00
2000-12-01,2405000000.00
2001-01-01,2419000000.00
2001-02-01,2452000000.00
2001-03-01,2422000000.00
2001-04-01,2494000000.00
2001-05-01,2541000000.00
2001-06-01,2529000000.00
2001-07-01,2496000000.00
2001-08-01,2572000000.00
2001-09-01,2494000000.00
2001-10-01,2490000000.00
2001-11-01,2424000000.00
2001-12-01,2489000000.00
2002-01-01,2595000000.00
2002-02-01,2574000000.00
2002-03-01,2540000000.00
2002-04-01,2509000000.00
2002-05-01,2406000000.00
2002-06-01,2349000000.00
2002-07-01,2272000000.00
2002-08-01,2281000000.00
2002-09-01,2246000000.00
2002-10-01,2285000000.00
2002-11-01,2481000000.00
2002-12-01,2473000000.00
2003-01-01,2588000000.00
2003-02-01,2664000000.00
2003-03-01,2633000000.00
2003-04-01,2630000000.00
2003-05-01,2564000000.00
