Date,U31SNO
1992-02-01,10703000000.00
1992-03-01,11420000000.00
1992-04-01,10672000000.00
1992-05-01,10573000000.00
1992-06-01,11135000000.00
1992-07-01,9677000000.00
1992-08-01,10069000000.00
1992-09-01,9471000000.00
1992-10-01,9909000000.00
1992-11-01,9800000000.00
1992-12-01,10309000000.00
1993-01-01,11404000000.00
1993-02-01,11462000000.00
1993-03-01,13179000000.00
1993-04-01,10663000000.00
1993-05-01,10259000000.00
1993-06-01,10912000000.00
1993-07-01,9151000000.00
1993-08-01,9839000000.00
1993-09-01,10292000000.00
1993-10-01,10695000000.00
1993-11-01,10647000000.00
1993-12-01,10392000000.00
1994-01-01,11465000000.00
1994-02-01,12167000000.00
1994-03-01,13120000000.00
1994-04-01,11674000000.00
1994-05-01,11902000000.00
1994-06-01,12301000000.00
1994-07-01,10584000000.00
1994-08-01,11703000000.00
1994-09-01,12537000000.00
1994-10-01,12913000000.00
1994-11-01,12841000000.00
1994-12-01,13296000000.00
1995-01-01,14655000000.00
1995-02-01,14454000000.00
1995-03-01,15133000000.00
1995-04-01,13336000000.00
1995-05-01,13017000000.00
1995-06-01,12965000000.00
1995-07-01,10890000000.00
1995-08-01,13309000000.00
1995-09-01,12663000000.00
1995-10-01,13671000000.00
1995-11-01,13124000000.00
1995-12-01,12740000000.00
1996-01-01,13799000000.00
1996-02-01,14151000000.00
1996-03-01,13506000000.00
1996-04-01,13524000000.00
1996-05-01,13931000000.00
1996-06-01,13451000000.00
1996-07-01,12160000000.00
1996-08-01,13011000000.00
1996-09-01,12339000000.00
1996-10-01,12960000000.00
1996-11-01,12567000000.00
1996-12-01,12667000000.00
1997-01-01,14572000000.00
1997-02-01,14967000000.00
1997-03-01,14512000000.00
1997-04-01,14871000000.00
1997-05-01,14147000000.00
1997-06-01,14318000000.00
1997-07-01,13052000000.00
1997-08-01,13860000000.00
1997-09-01,14348000000.00
1997-10-01,14702000000.00
1997-11-01,14296000000.00
1997-12-01,13762000000.00
1998-01-01,14751000000.00
1998-02-01,15530000000.00
1998-03-01,14829000000.00
1998-04-01,14193000000.00
1998-05-01,13682000000.00
1998-06-01,13567000000.00
