Date,U32SNO
1992-02-01,13971000000.00
1992-03-01,14238000000.00
1992-04-01,13333000000.00
1992-05-01,14245000000.00
1992-06-01,15315000000.00
1992-07-01,13113000000.00
1992-08-01,13987000000.00
1992-09-01,15044000000.00
1992-10-01,14869000000.00
1992-11-01,13699000000.00
1992-12-01,14139000000.00
1993-01-01,13376000000.00
1993-02-01,14497000000.00
1993-03-01,15165000000.00
1993-04-01,14311000000.00
1993-05-01,14341000000.00
1993-06-01,15403000000.00
1993-07-01,13627000000.00
1993-08-01,14824000000.00
1993-09-01,15626000000.00
1993-10-01,15433000000.00
1993-11-01,14111000000.00
1993-12-01,15276000000.00
1994-01-01,14946000000.00
1994-02-01,15532000000.00
1994-03-01,17283000000.00
1994-04-01,15637000000.00
1994-05-01,16550000000.00
1994-06-01,17492000000.00
1994-07-01,15132000000.00
1994-08-01,17150000000.00
1994-09-01,16887000000.00
1994-10-01,17123000000.00
1994-11-01,16712000000.00
1994-12-01,16123000000.00
1995-01-01,17512000000.00
1995-02-01,18213000000.00
1995-03-01,18747000000.00
1995-04-01,17413000000.00
1995-05-01,18583000000.00
1995-06-01,18627000000.00
1995-07-01,16196000000.00
1995-08-01,18218000000.00
1995-09-01,18296000000.00
1995-10-01,18566000000.00
1995-11-01,17570000000.00
1995-12-01,16547000000.00
1996-01-01,17316000000.00
1996-02-01,18086000000.00
1996-03-01,18829000000.00
1996-04-01,19102000000.00
1996-05-01,19543000000.00
1996-06-01,20208000000.00
1996-07-01,17978000000.00
1996-08-01,19769000000.00
1996-09-01,20519000000.00
1996-10-01,19776000000.00
1996-11-01,18762000000.00
1996-12-01,17559000000.00
1997-01-01,18520000000.00
1997-02-01,20531000000.00
1997-03-01,20714000000.00
1997-04-01,21280000000.00
1997-05-01,20539000000.00
1997-06-01,22381000000.00
1997-07-01,19452000000.00
1997-08-01,20829000000.00
1997-09-01,22382000000.00
1997-10-01,21829000000.00
1997-11-01,20040000000.00
1997-12-01,19342000000.00
1998-01-01,19878000000.00
1998-02-01,22016000000.00
1998-03-01,22246000000.00
1998-04-01,21865000000.00
1998-05-01,21348000000.00
1998-06-01,22858000000.00
1998-07-01,20141000000.00
1998-08-01,20891000000.00
1998-09-01,21627000000.00
1998-10-01,20757000000.00
1998-11-01,20915000000.00
1998-12-01,19305000000.00
1999-01-01,19795000000.00
1999-02-01,21729000000.00
1999-03-01,22384000000.00
1999-04-01,21018000000.00
1999-05-01,21687000000.00
1999-06-01,22786000000.00
1999-07-01,20244000000.00
1999-08-01,22075000000.00
1999-09-01,22354000000.00
1999-10-01,21482000000.00
1999-11-01,21465000000.00
1999-12-01,21097000000.00
2000-01-01,21221000000.00
2000-02-01,22451000000.00
2000-03-01,24273000000.00
2000-04-01,22928000000.00
2000-05-01,23370000000.00
2000-06-01,24042000000.00
2000-07-01,21003000000.00
2000-08-01,23426000000.00
2000-09-01,22792000000.00
2000-10-01,22800000000.00
2000-11-01,21365000000.00
2000-12-01,20350000000.00
2001-01-01,20787000000.00
2001-02-01,21172000000.00
2001-03-01,22652000000.00
2001-04-01,20752000000.00
2001-05-01,24132000000.00
2001-06-01,22040000000.00
2001-07-01,20197000000.00
2001-08-01,21907000000.00
2001-09-01,19543000000.00
2001-10-01,20436000000.00
2001-11-01,18855000000.00
2001-12-01,18236000000.00
2002-01-01,18943000000.00
2002-02-01,19701000000.00
2002-03-01,21093000000.00
2002-04-01,20839000000.00
2002-05-01,22222000000.00
2002-06-01,20758000000.00
2002-07-01,20394000000.00
2002-08-01,20587000000.00
2002-09-01,21228000000.00
2002-10-01,21616000000.00
2002-11-01,19455000000.00
2002-12-01,17556000000.00
2003-01-01,18677000000.00
2003-02-01,21977000000.00
2003-03-01,21646000000.00
2003-04-01,19924000000.00
2003-05-01,21245000000.00
2003-06-01,21173000000.00
2003-07-01,20421000000.00
2003-08-01,20572000000.00
2003-09-01,21490000000.00
2003-10-01,22388000000.00
2003-11-01,20111000000.00
2003-12-01,19482000000.00
2004-01-01,20769000000.00
2004-02-01,21575000000.00
2004-03-01,24865000000.00
2004-04-01,23193000000.00
2004-05-01,22539000000.00
2004-06-01,22802000000.00
2004-07-01,20860000000.00
2004-08-01,23504000000.00
2004-09-01,22223000000.00
2004-10-01,23661000000.00
2004-11-01,22228000000.00
2004-12-01,21268000000.00
2005-01-01,22247000000.00
2005-02-01,23689000000.00
2005-03-01,25671000000.00
2005-04-01,24653000000.00
2005-05-01,26360000000.00
2005-06-01,26227000000.00
2005-07-01,22831000000.00
2005-08-01,26468000000.00
2005-09-01,26500000000.00
2005-10-01,26076000000.00
2005-11-01,24344000000.00
2005-12-01,23685000000.00
2006-01-01,25298000000.00
2006-02-01,26100000000.00
2006-03-01,29436000000.00
2006-04-01,26811000000.00
2006-05-01,29549000000.00
2006-06-01,29076000000.00
2006-07-01,25260000000.00
2006-08-01,28465000000.00
2006-09-01,27879000000.00
2006-10-01,26851000000.00
2006-11-01,24782000000.00
2006-12-01,25270000000.00
2007-01-01,27709000000.00
2007-02-01,27255000000.00
2007-03-01,30520000000.00
2007-04-01,29391000000.00
2007-05-01,31422000000.00
2007-06-01,29980000000.00
2007-07-01,28062000000.00
2007-08-01,31422000000.00
2007-09-01,28980000000.00
2007-10-01,31012000000.00
2007-11-01,27647000000.00
2007-12-01,27423000000.00
2008-01-01,29495000000.00
2008-02-01,29621000000.00
2008-03-01,33370000000.00
2008-04-01,32168000000.00
2008-05-01,32919000000.00
2008-06-01,31960000000.00
2008-07-01,29957000000.00
2008-08-01,31082000000.00
2008-09-01,30163000000.00
2008-10-01,29480000000.00
2008-11-01,23832000000.00
2008-12-01,23678000000.00
2009-01-01,20693000000.00
2009-02-01,20761000000.00
2009-03-01,23679000000.00
2009-04-01,22144000000.00
2009-05-01,22263000000.00
2009-06-01,21093000000.00
2009-07-01,21593000000.00
2009-08-01,22757000000.00
2009-09-01,24268000000.00
2009-10-01,24372000000.00
2009-11-01,21456000000.00
2009-12-01,21475000000.00
2010-01-01,22052000000.00
2010-02-01,23572000000.00
2010-03-01,27529000000.00
2010-04-01,25935000000.00
2010-05-01,25651000000.00
2010-06-01,26019000000.00
2010-07-01,24712000000.00
2010-08-01,27175000000.00
2010-09-01,26803000000.00
2010-10-01,25172000000.00
2010-11-01,24867000000.00
2010-12-01,24730000000.00
