Date,U33MTI
1992-01-01,1987000000.00
1992-02-01,1975000000.00
1992-03-01,1967000000.00
1992-04-01,1934000000.00
1992-05-01,1920000000.00
1992-06-01,1917000000.00
1992-07-01,1885000000.00
1992-08-01,1831000000.00
1992-09-01,1812000000.00
1992-10-01,1810000000.00
1992-11-01,1828000000.00
1992-12-01,1894000000.00
1993-01-01,1879000000.00
1993-02-01,1881000000.00
1993-03-01,1859000000.00
1993-04-01,1842000000.00
1993-05-01,1852000000.00
1993-06-01,1847000000.00
1993-07-01,1849000000.00
1993-08-01,1854000000.00
1993-09-01,1821000000.00
1993-10-01,1846000000.00
1993-11-01,1874000000.00
1993-12-01,1958000000.00
1994-01-01,2029000000.00
1994-02-01,2020000000.00
1994-03-01,2118000000.00
1994-04-01,2128000000.00
1994-05-01,2155000000.00
1994-06-01,2209000000.00
1994-07-01,2197000000.00
1994-08-01,2227000000.00
1994-09-01,2194000000.00
1994-10-01,2230000000.00
1994-11-01,2251000000.00
1994-12-01,2244000000.00
1995-01-01,2298000000.00
1995-02-01,2353000000.00
1995-03-01,2393000000.00
1995-04-01,2483000000.00
1995-05-01,2548000000.00
1995-06-01,2520000000.00
1995-07-01,2544000000.00
1995-08-01,2519000000.00
1995-09-01,2519000000.00
1995-10-01,2534000000.00
1995-11-01,2489000000.00
1995-12-01,2415000000.00
1996-01-01,2489000000.00
1996-02-01,2522000000.00
1996-03-01,2467000000.00
1996-04-01,2486000000.00
1996-05-01,2498000000.00
1996-06-01,2446000000.00
1996-07-01,2358000000.00
1996-08-01,2437000000.00
1996-09-01,2415000000.00
1996-10-01,2449000000.00
1996-11-01,2461000000.00
1996-12-01,2401000000.00
1997-01-01,2451000000.00
1997-02-01,2412000000.00
1997-03-01,2358000000.00
1997-04-01,2369000000.00
1997-05-01,2346000000.00
1997-06-01,2331000000.00
1997-07-01,2359000000.00
1997-08-01,2298000000.00
1997-09-01,2250000000.00
1997-10-01,2278000000.00
1997-11-01,2242000000.00
1997-12-01,2250000000.00
1998-01-01,2341000000.00
1998-02-01,2393000000.00
1998-03-01,2425000000.00
1998-04-01,2389000000.00
1998-05-01,2411000000.00
1998-06-01,2358000000.00
1998-07-01,2372000000.00
1998-08-01,2391000000.00
1998-09-01,2428000000.00
1998-10-01,2488000000.00
1998-11-01,2503000000.00
1998-12-01,2474000000.00
1999-01-01,2528000000.00
1999-02-01,2516000000.00
1999-03-01,2536000000.00
1999-04-01,2579000000.00
1999-05-01,2578000000.00
1999-06-01,2506000000.00
1999-07-01,2494000000.00
