Date,U34HUO
1992-01-01,8941000000.00
1992-02-01,8911000000.00
1992-03-01,8742000000.00
1992-04-01,8910000000.00
1992-05-01,8855000000.00
1992-06-01,8865000000.00
1992-07-01,8766000000.00
1992-08-01,8838000000.00
1992-09-01,8885000000.00
1992-10-01,8799000000.00
1992-11-01,8812000000.00
1992-12-01,9326000000.00
1993-01-01,9397000000.00
1993-02-01,9416000000.00
1993-03-01,9601000000.00
1993-04-01,9467000000.00
1993-05-01,9268000000.00
1993-06-01,9049000000.00
1993-07-01,8936000000.00
1993-08-01,8828000000.00
1993-09-01,8659000000.00
1993-10-01,8726000000.00
1993-11-01,8554000000.00
1993-12-01,8356000000.00
1994-01-01,8735000000.00
1994-02-01,8887000000.00
1994-03-01,8951000000.00
1994-04-01,9165000000.00
1994-05-01,9005000000.00
1994-06-01,8919000000.00
1994-07-01,8890000000.00
1994-08-01,8797000000.00
1994-09-01,8854000000.00
1994-10-01,8864000000.00
1994-11-01,9011000000.00
1994-12-01,9243000000.00
1995-01-01,9733000000.00
1995-02-01,9946000000.00
1995-03-01,9694000000.00
1995-04-01,9801000000.00
1995-05-01,9991000000.00
1995-06-01,9982000000.00
1995-07-01,10174000000.00
1995-08-01,9953000000.00
1995-09-01,10285000000.00
1995-10-01,10324000000.00
1995-11-01,10111000000.00
1995-12-01,10118000000.00
1996-01-01,10741000000.00
1996-02-01,10769000000.00
1996-03-01,10334000000.00
1996-04-01,10079000000.00
1996-05-01,9917000000.00
1996-06-01,9681000000.00
1996-07-01,9797000000.00
1996-08-01,9754000000.00
1996-09-01,9577000000.00
1996-10-01,9632000000.00
1996-11-01,9654000000.00
1996-12-01,9345000000.00
1997-01-01,9833000000.00
1997-02-01,10082000000.00
1997-03-01,10310000000.00
1997-04-01,10321000000.00
1997-05-01,10408000000.00
1997-06-01,10457000000.00
1997-07-01,10493000000.00
1997-08-01,10654000000.00
1997-09-01,10644000000.00
1997-10-01,10539000000.00
1997-11-01,10219000000.00
1997-12-01,10346000000.00
1998-01-01,11021000000.00
1998-02-01,10950000000.00
1998-03-01,10406000000.00
1998-04-01,10403000000.00
1998-05-01,9987000000.00
1998-06-01,9981000000.00
1998-07-01,10294000000.00
1998-08-01,10348000000.00
1998-09-01,10201000000.00
1998-10-01,10276000000.00
1998-11-01,10227000000.00
1998-12-01,10218000000.00
1999-01-01,10629000000.00
1999-02-01,10857000000.00
1999-03-01,10968000000.00
1999-04-01,11166000000.00
1999-05-01,11335000000.00
1999-06-01,11604000000.00
1999-07-01,12143000000.00
1999-08-01,12936000000.00
1999-09-01,13364000000.00
1999-10-01,14705000000.00
1999-11-01,15047000000.00
1999-12-01,15215000000.00
2000-01-01,16124000000.00
2000-02-01,17107000000.00
2000-03-01,17728000000.00
2000-04-01,19009000000.00
2000-05-01,19548000000.00
2000-06-01,20107000000.00
2000-07-01,20980000000.00
2000-08-01,22062000000.00
2000-09-01,22662000000.00
2000-10-01,22327000000.00
2000-11-01,21860000000.00
2000-12-01,21606000000.00
2001-01-01,22095000000.00
2001-02-01,20964000000.00
2001-03-01,18974000000.00
2001-04-01,17936000000.00
2001-05-01,17138000000.00
2001-06-01,16973000000.00
2001-07-01,16813000000.00
2001-08-01,16379000000.00
2001-09-01,15936000000.00
2001-10-01,15676000000.00
2001-11-01,15178000000.00
2001-12-01,15006000000.00
2002-01-01,15389000000.00
2002-02-01,14919000000.00
2002-03-01,14843000000.00
2002-04-01,15039000000.00
2002-05-01,14500000000.00
2002-06-01,14540000000.00
2002-07-01,14553000000.00
2002-08-01,14267000000.00
2002-09-01,13217000000.00
2002-10-01,13166000000.00
2002-11-01,12685000000.00
2002-12-01,12659000000.00
2003-01-01,12762000000.00
2003-02-01,12608000000.00
2003-03-01,11819000000.00
2003-04-01,10971000000.00
2003-05-01,10873000000.00
2003-06-01,10735000000.00
2003-07-01,10579000000.00
2003-08-01,10705000000.00
2003-09-01,10680000000.00
2003-10-01,10875000000.00
2003-11-01,11003000000.00
2003-12-01,11212000000.00
2004-01-01,11506000000.00
2004-02-01,11840000000.00
2004-03-01,11922000000.00
2004-04-01,12021000000.00
2004-05-01,12355000000.00
2004-06-01,12568000000.00
2004-07-01,12268000000.00
2004-08-01,12709000000.00
2004-09-01,12528000000.00
2004-10-01,12020000000.00
2004-11-01,11585000000.00
2004-12-01,11719000000.00
2005-01-01,11861000000.00
2005-02-01,12179000000.00
2005-03-01,11907000000.00
2005-04-01,11677000000.00
2005-05-01,11700000000.00
2005-06-01,11686000000.00
2005-07-01,11543000000.00
2005-08-01,11937000000.00
2005-09-01,11809000000.00
2005-10-01,11770000000.00
2005-11-01,11419000000.00
2005-12-01,11745000000.00
2006-01-01,11762000000.00
2006-02-01,11893000000.00
2006-03-01,11968000000.00
2006-04-01,12527000000.00
2006-05-01,12553000000.00
2006-06-01,12633000000.00
2006-07-01,12866000000.00
2006-08-01,12878000000.00
2006-09-01,12873000000.00
2006-10-01,13054000000.00
2006-11-01,12542000000.00
2006-12-01,12590000000.00
2007-01-01,12846000000.00
2007-02-01,13382000000.00
2007-03-01,13021000000.00
2007-04-01,12901000000.00
2007-05-01,12940000000.00
2007-06-01,12640000000.00
2007-07-01,12866000000.00
2007-08-01,13371000000.00
2007-09-01,13001000000.00
2007-10-01,13292000000.00
2007-11-01,13059000000.00
2007-12-01,12761000000.00
2008-01-01,12945000000.00
2008-02-01,13373000000.00
2008-03-01,13491000000.00
2008-04-01,13402000000.00
2008-05-01,13199000000.00
2008-06-01,13226000000.00
2008-07-01,13030000000.00
2008-08-01,13281000000.00
2008-09-01,13124000000.00
2008-10-01,12871000000.00
2008-11-01,12448000000.00
2008-12-01,12157000000.00
2009-01-01,11918000000.00
2009-02-01,11733000000.00
2009-03-01,11446000000.00
2009-04-01,11269000000.00
2009-05-01,10973000000.00
2009-06-01,10905000000.00
2009-07-01,10970000000.00
2009-08-01,11154000000.00
2009-09-01,11196000000.00
2009-10-01,10986000000.00
2009-11-01,11104000000.00
2009-12-01,11025000000.00
2010-01-01,11334000000.00
2010-02-01,11750000000.00
2010-03-01,11821000000.00
2010-04-01,12024000000.00
2010-05-01,12115000000.00
2010-06-01,12172000000.00
2010-07-01,12198000000.00
2010-08-01,12260000000.00
2010-09-01,12155000000.00
2010-10-01,12133000000.00
2010-11-01,12117000000.00
2010-12-01,12185000000.00
2011-01-01,12185000000.00
2011-02-01,12185000000.00
2011-03-01,12044000000.00
2011-04-01,12265000000.00
2011-05-01,12143000000.00
2011-06-01,11964000000.00
2011-07-01,12019000000.00
2011-08-01,12036000000.00
2011-09-01,12037000000.00
2011-10-01,12084000000.00
2011-11-01,11969000000.00
2011-12-01,11830000000.00
2012-01-01,11812000000.00
2012-02-01,11877000000.00
2012-03-01,11676000000.00
2012-04-01,11587000000.00
2012-05-01,11515000000.00
2012-06-01,11161000000.00
2012-07-01,11096000000.00
2012-08-01,10993000000.00
2012-09-01,10826000000.00
2012-10-01,10799000000.00
2012-11-01,10690000000.00
2012-12-01,10640000000.00
2013-01-01,10827000000.00
2013-02-01,11062000000.00
2013-03-01,11052000000.00
2013-04-01,11249000000.00
2013-05-01,11224000000.00
2013-06-01,11086000000.00
2013-07-01,11307000000.00
2013-08-01,11266000000.00
2013-09-01,11098000000.00
2013-10-01,11274000000.00
2013-11-01,11213000000.00
2013-12-01,11114000000.00
2014-01-01,11077000000.00
2014-02-01,11245000000.00
2014-03-01,11083000000.00
2014-04-01,11115000000.00
2014-05-01,11035000000.00
2014-06-01,10902000000.00
2014-07-01,10872000000.00
2014-08-01,10876000000.00
2014-09-01,10691000000.00
2014-10-01,10716000000.00
2014-11-01,10615000000.00
2014-12-01,10548000000.00
2015-01-01,10800000000.00
2015-02-01,11089000000.00
2015-03-01,10994000000.00
2015-04-01,11158000000.00
2015-05-01,11186000000.00
2015-06-01,11180000000.00
2015-07-01,11269000000.00
2015-08-01,11399000000.00
2015-09-01,11291000000.00
2015-10-01,11426000000.00
2015-11-01,11331000000.00
2015-12-01,11528000000.00
2016-01-01,11608000000.00
2016-02-01,11675000000.00
2016-03-01,11586000000.00
2016-04-01,11592000000.00
2016-05-01,11539000000.00
2016-06-01,11267000000.00
2016-07-01,11378000000.00
2016-08-01,11348000000.00
2016-09-01,11251000000.00
2016-10-01,11186000000.00
2016-11-01,10996000000.00
2016-12-01,11112000000.00
2017-01-01,11375000000.00
2017-02-01,11513000000.00
2017-03-01,11386000000.00
2017-04-01,11567000000.00
2017-05-01,11626000000.00
2017-06-01,11363000000.00
2017-07-01,11503000000.00
2017-08-01,11587000000.00
2017-09-01,11590000000.00
2017-10-01,11673000000.00
2017-11-01,11589000000.00
2017-12-01,11822000000.00
2018-01-01,12160000000.00
2018-02-01,12389000000.00
2018-03-01,12289000000.00
2018-04-01,12436000000.00
