Date,U34JUO
1992-01-01,40136000000.00
1992-02-01,40462000000.00
1992-03-01,40134000000.00
1992-04-01,38424000000.00
1992-05-01,37809000000.00
1992-06-01,36886000000.00
1992-07-01,36651000000.00
1992-08-01,35793000000.00
1992-09-01,35460000000.00
1992-10-01,34970000000.00
1992-11-01,35205000000.00
1992-12-01,36437000000.00
1993-01-01,37157000000.00
1993-02-01,36744000000.00
1993-03-01,36842000000.00
1993-04-01,36383000000.00
1993-05-01,36062000000.00
1993-06-01,34883000000.00
1993-07-01,34769000000.00
1993-08-01,34867000000.00
1993-09-01,35172000000.00
1993-10-01,35250000000.00
1993-11-01,34565000000.00
1993-12-01,34564000000.00
1994-01-01,34937000000.00
1994-02-01,34651000000.00
1994-03-01,33800000000.00
1994-04-01,32916000000.00
1994-05-01,32328000000.00
1994-06-01,32170000000.00
1994-07-01,32379000000.00
1994-08-01,31810000000.00
1994-09-01,31973000000.00
1994-10-01,32255000000.00
1994-11-01,31602000000.00
1994-12-01,32284000000.00
1995-01-01,32206000000.00
1995-02-01,31763000000.00
1995-03-01,31680000000.00
1995-04-01,31378000000.00
1995-05-01,31008000000.00
1995-06-01,30828000000.00
1995-07-01,30325000000.00
1995-08-01,30280000000.00
1995-09-01,30134000000.00
1995-10-01,30183000000.00
1995-11-01,29945000000.00
1995-12-01,31045000000.00
1996-01-01,30834000000.00
1996-02-01,31095000000.00
1996-03-01,31504000000.00
1996-04-01,31185000000.00
1996-05-01,31010000000.00
1996-06-01,30817000000.00
1996-07-01,30282000000.00
1996-08-01,29889000000.00
1996-09-01,29929000000.00
1996-10-01,29753000000.00
1996-11-01,29966000000.00
1996-12-01,31217000000.00
1997-01-01,30801000000.00
1997-02-01,31054000000.00
1997-03-01,31502000000.00
1997-04-01,31288000000.00
1997-05-01,30465000000.00
1997-06-01,30757000000.00
1997-07-01,30370000000.00
1997-08-01,29865000000.00
1997-09-01,29427000000.00
1997-10-01,28851000000.00
1997-11-01,28816000000.00
1997-12-01,29789000000.00
1998-01-01,29670000000.00
1998-02-01,29717000000.00
1998-03-01,29662000000.00
1998-04-01,29407000000.00
1998-05-01,29022000000.00
1998-06-01,28781000000.00
1998-07-01,28191000000.00
1998-08-01,27701000000.00
1998-09-01,27740000000.00
1998-10-01,27230000000.00
1998-11-01,27189000000.00
1998-12-01,27977000000.00
1999-01-01,28277000000.00
1999-02-01,27907000000.00
1999-03-01,28408000000.00
1999-04-01,29246000000.00
1999-05-01,29138000000.00
1999-06-01,29215000000.00
1999-07-01,28658000000.00
1999-08-01,28327000000.00
1999-09-01,28376000000.00
1999-10-01,28081000000.00
1999-11-01,27915000000.00
1999-12-01,29363000000.00
2000-01-01,29798000000.00
2000-02-01,29945000000.00
2000-03-01,30458000000.00
2000-04-01,30450000000.00
2000-05-01,30281000000.00
2000-06-01,32219000000.00
2000-07-01,31741000000.00
2000-08-01,31425000000.00
2000-09-01,31263000000.00
2000-10-01,31019000000.00
2000-11-01,31671000000.00
2000-12-01,32343000000.00
2001-01-01,32478000000.00
2001-02-01,32952000000.00
2001-03-01,33640000000.00
2001-04-01,33164000000.00
2001-05-01,32507000000.00
2001-06-01,32295000000.00
2001-07-01,31747000000.00
2001-08-01,31322000000.00
2001-09-01,33004000000.00
2001-10-01,32471000000.00
2001-11-01,32157000000.00
2001-12-01,33123000000.00
2002-01-01,32838000000.00
2002-02-01,32475000000.00
2002-03-01,32642000000.00
2002-04-01,32488000000.00
2002-05-01,32000000000.00
2002-06-01,32174000000.00
2002-07-01,31309000000.00
2002-08-01,30602000000.00
2002-09-01,32085000000.00
2002-10-01,30534000000.00
2002-11-01,30403000000.00
2002-12-01,31953000000.00
2003-01-01,32262000000.00
2003-02-01,32498000000.00
2003-03-01,32826000000.00
2003-04-01,33315000000.00
2003-05-01,32500000000.00
2003-06-01,32581000000.00
2003-07-01,31948000000.00
2003-08-01,32330000000.00
2003-09-01,32416000000.00
2003-10-01,32936000000.00
2003-11-01,32851000000.00
2003-12-01,35092000000.00
2004-01-01,36093000000.00
2004-02-01,36671000000.00
2004-03-01,37599000000.00
2004-04-01,37744000000.00
2004-05-01,37243000000.00
2004-06-01,37649000000.00
2004-07-01,37095000000.00
2004-08-01,36454000000.00
2004-09-01,36777000000.00
2004-10-01,36584000000.00
2004-11-01,36630000000.00
2004-12-01,37502000000.00
2005-01-01,37996000000.00
2005-02-01,38380000000.00
2005-03-01,39355000000.00
2005-04-01,38791000000.00
2005-05-01,37930000000.00
2005-06-01,39127000000.00
2005-07-01,38452000000.00
2005-08-01,38297000000.00
2005-09-01,38521000000.00
2005-10-01,38007000000.00
2005-11-01,37880000000.00
2005-12-01,38430000000.00
2006-01-01,38418000000.00
2006-02-01,38344000000.00
2006-03-01,39996000000.00
2006-04-01,40517000000.00
2006-05-01,39931000000.00
2006-06-01,40224000000.00
2006-07-01,40607000000.00
2006-08-01,40437000000.00
2006-09-01,40888000000.00
2006-10-01,41239000000.00
2006-11-01,41694000000.00
2006-12-01,43518000000.00
2007-01-01,43048000000.00
2007-02-01,44320000000.00
2007-03-01,43335000000.00
2007-04-01,43591000000.00
