Date,U35AVS
1992-01-01,650000000.00
1992-02-01,794000000.00
1992-03-01,865000000.00
1992-04-01,753000000.00
1992-05-01,807000000.00
1992-06-01,892000000.00
1992-07-01,701000000.00
1992-08-01,795000000.00
1992-09-01,923000000.00
1992-10-01,803000000.00
1992-11-01,880000000.00
1992-12-01,921000000.00
1993-01-01,678000000.00
1993-02-01,829000000.00
1993-03-01,947000000.00
1993-04-01,746000000.00
1993-05-01,836000000.00
1993-06-01,921000000.00
1993-07-01,724000000.00
1993-08-01,826000000.00
1993-09-01,877000000.00
1993-10-01,847000000.00
1993-11-01,920000000.00
1993-12-01,881000000.00
1994-01-01,729000000.00
1994-02-01,883000000.00
1994-03-01,921000000.00
1994-04-01,850000000.00
1994-05-01,892000000.00
1994-06-01,971000000.00
1994-07-01,814000000.00
1994-08-01,957000000.00
1994-09-01,1027000000.00
1994-10-01,952000000.00
1994-11-01,1018000000.00
1994-12-01,1010000000.00
1995-01-01,808000000.00
1995-02-01,965000000.00
1995-03-01,994000000.00
1995-04-01,855000000.00
1995-05-01,911000000.00
1995-06-01,967000000.00
1995-07-01,788000000.00
1995-08-01,960000000.00
1995-09-01,1061000000.00
1995-10-01,932000000.00
1995-11-01,1028000000.00
1995-12-01,1069000000.00
1996-01-01,803000000.00
1996-02-01,993000000.00
1996-03-01,1078000000.00
1996-04-01,886000000.00
1996-05-01,979000000.00
1996-06-01,1047000000.00
1996-07-01,809000000.00
1996-08-01,997000000.00
1996-09-01,1101000000.00
1996-10-01,964000000.00
1996-11-01,1125000000.00
1996-12-01,1146000000.00
1997-01-01,833000000.00
1997-02-01,1030000000.00
1997-03-01,1067000000.00
1997-04-01,959000000.00
1997-05-01,1046000000.00
1997-06-01,1070000000.00
1997-07-01,887000000.00
1997-08-01,1047000000.00
1997-09-01,1269000000.00
1997-10-01,1019000000.00
1997-11-01,1181000000.00
1997-12-01,1302000000.00
1998-01-01,910000000.00
1998-02-01,1137000000.00
1998-03-01,1229000000.00
1998-04-01,1048000000.00
1998-05-01,1087000000.00
1998-06-01,1116000000.00
1998-07-01,890000000.00
1998-08-01,1096000000.00
1998-09-01,1310000000.00
1998-10-01,1087000000.00
1998-11-01,1199000000.00
1998-12-01,1371000000.00
1999-01-01,895000000.00
1999-02-01,1061000000.00
1999-03-01,1200000000.00
1999-04-01,960000000.00
1999-05-01,1083000000.00
1999-06-01,1235000000.00
1999-07-01,897000000.00
1999-08-01,1178000000.00
1999-09-01,1317000000.00
1999-10-01,1070000000.00
1999-11-01,1199000000.00
1999-12-01,1367000000.00
2000-01-01,945000000.00
2000-02-01,1099000000.00
2000-03-01,1224000000.00
2000-04-01,974000000.00
2000-05-01,1073000000.00
2000-06-01,1264000000.00
2000-07-01,929000000.00
2000-08-01,1074000000.00
2000-09-01,1227000000.00
2000-10-01,1013000000.00
2000-11-01,1075000000.00
2000-12-01,1232000000.00
2001-01-01,942000000.00
2001-02-01,1116000000.00
2001-03-01,1104000000.00
2001-04-01,985000000.00
2001-05-01,1033000000.00
2001-06-01,1125000000.00
2001-07-01,845000000.00
2001-08-01,1057000000.00
2001-09-01,1049000000.00
2001-10-01,1043000000.00
2001-11-01,992000000.00
2001-12-01,1207000000.00
2002-01-01,886000000.00
2002-02-01,1060000000.00
2002-03-01,1118000000.00
2002-04-01,981000000.00
2002-05-01,1042000000.00
2002-06-01,1121000000.00
2002-07-01,856000000.00
2002-08-01,1015000000.00
2002-09-01,1105000000.00
2002-10-01,1017000000.00
2002-11-01,1025000000.00
2002-12-01,1176000000.00
2003-01-01,908000000.00
2003-02-01,993000000.00
2003-03-01,1064000000.00
2003-04-01,896000000.00
2003-05-01,966000000.00
2003-06-01,1051000000.00
2003-07-01,813000000.00
2003-08-01,873000000.00
2003-09-01,1080000000.00
2003-10-01,952000000.00
2003-11-01,979000000.00
2003-12-01,1126000000.00
2004-01-01,833000000.00
2004-02-01,974000000.00
2004-03-01,1148000000.00
2004-04-01,964000000.00
2004-05-01,1002000000.00
2004-06-01,1025000000.00
2004-07-01,883000000.00
2004-08-01,1011000000.00
2004-09-01,1183000000.00
2004-10-01,1010000000.00
2004-11-01,1069000000.00
2004-12-01,1176000000.00
2005-01-01,959000000.00
2005-02-01,1039000000.00
2005-03-01,1140000000.00
2005-04-01,1025000000.00
2005-05-01,1025000000.00
2005-06-01,1104000000.00
2005-07-01,883000000.00
2005-08-01,1071000000.00
2005-09-01,1195000000.00
2005-10-01,1069000000.00
2005-11-01,1081000000.00
2005-12-01,1124000000.00
2006-01-01,956000000.00
2006-02-01,1057000000.00
2006-03-01,1172000000.00
2006-04-01,992000000.00
2006-05-01,1088000000.00
2006-06-01,1156000000.00
2006-07-01,1004000000.00
2006-08-01,1196000000.00
2006-09-01,1178000000.00
2006-10-01,1101000000.00
2006-11-01,1050000000.00
2006-12-01,1119000000.00
2007-01-01,996000000.00
2007-02-01,1099000000.00
2007-03-01,1201000000.00
2007-04-01,1126000000.00
2007-05-01,1174000000.00
2007-06-01,1224000000.00
2007-07-01,1056000000.00
2007-08-01,1194000000.00
2007-09-01,1246000000.00
2007-10-01,1172000000.00
2007-11-01,1112000000.00
2007-12-01,1222000000.00
2008-01-01,1051000000.00
2008-02-01,1117000000.00
2008-03-01,1172000000.00
2008-04-01,1167000000.00
2008-05-01,1182000000.00
2008-06-01,1245000000.00
2008-07-01,1123000000.00
2008-08-01,1200000000.00
2008-09-01,1328000000.00
2008-10-01,1155000000.00
2008-11-01,1002000000.00
2008-12-01,1095000000.00
2009-01-01,866000000.00
2009-02-01,944000000.00
2009-03-01,1039000000.00
2009-04-01,886000000.00
2009-05-01,891000000.00
2009-06-01,923000000.00
2009-07-01,852000000.00
2009-08-01,884000000.00
2009-09-01,941000000.00
2009-10-01,970000000.00
2009-11-01,934000000.00
2009-12-01,983000000.00
2010-01-01,833000000.00
2010-02-01,878000000.00
2010-03-01,937000000.00
2010-04-01,891000000.00
2010-05-01,898000000.00
2010-06-01,932000000.00
2010-07-01,883000000.00
2010-08-01,923000000.00
2010-09-01,964000000.00
2010-10-01,972000000.00
2010-11-01,949000000.00
2010-12-01,991000000.00
2011-01-01,869000000.00
2011-02-01,915000000.00
2011-03-01,984000000.00
2011-04-01,932000000.00
2011-05-01,959000000.00
2011-06-01,1036000000.00
2011-07-01,962000000.00
2011-08-01,1036000000.00
2011-09-01,1044000000.00
2011-10-01,984000000.00
2011-11-01,987000000.00
2011-12-01,1059000000.00
2012-01-01,998000000.00
2012-02-01,1023000000.00
2012-03-01,1135000000.00
2012-04-01,1053000000.00
2012-05-01,1083000000.00
2012-06-01,971000000.00
2012-07-01,917000000.00
2012-08-01,958000000.00
2012-09-01,931000000.00
2012-10-01,965000000.00
2012-11-01,906000000.00
2012-12-01,972000000.00
2013-01-01,898000000.00
2013-02-01,903000000.00
2013-03-01,935000000.00
2013-04-01,941000000.00
2013-05-01,890000000.00
2013-06-01,957000000.00
2013-07-01,930000000.00
2013-08-01,974000000.00
2013-09-01,1218000000.00
2013-10-01,1101000000.00
2013-11-01,1090000000.00
2013-12-01,1126000000.00
2014-01-01,904000000.00
2014-02-01,944000000.00
2014-03-01,1138000000.00
2014-04-01,951000000.00
2014-05-01,989000000.00
2014-06-01,1027000000.00
2014-07-01,996000000.00
2014-08-01,1021000000.00
2014-09-01,1068000000.00
2014-10-01,1061000000.00
2014-11-01,1030000000.00
2014-12-01,1072000000.00
2015-01-01,872000000.00
2015-02-01,921000000.00
2015-03-01,1003000000.00
2015-04-01,968000000.00
2015-05-01,915000000.00
2015-06-01,988000000.00
2015-07-01,1011000000.00
2015-08-01,1058000000.00
2015-09-01,1099000000.00
2015-10-01,1116000000.00
