Date,U35CUO
1992-01-01,7125000000.00
1992-02-01,7088000000.00
1992-03-01,6911000000.00
1992-04-01,6942000000.00
1992-05-01,6853000000.00
1992-06-01,6740000000.00
1992-07-01,6698000000.00
1992-08-01,6758000000.00
1992-09-01,6490000000.00
1992-10-01,6520000000.00
1992-11-01,6567000000.00
1992-12-01,6336000000.00
1993-01-01,6541000000.00
1993-02-01,6599000000.00
1993-03-01,6544000000.00
1993-04-01,6669000000.00
1993-05-01,6658000000.00
1993-06-01,6580000000.00
1993-07-01,6590000000.00
1993-08-01,6637000000.00
1993-09-01,6645000000.00
1993-10-01,6636000000.00
1993-11-01,6665000000.00
1993-12-01,6616000000.00
1994-01-01,6756000000.00
1994-02-01,6876000000.00
1994-03-01,6927000000.00
1994-04-01,7060000000.00
1994-05-01,6997000000.00
1994-06-01,6923000000.00
1994-07-01,7086000000.00
1994-08-01,7019000000.00
1994-09-01,6813000000.00
1994-10-01,7162000000.00
1994-11-01,7078000000.00
1994-12-01,6832000000.00
1995-01-01,7112000000.00
1995-02-01,7196000000.00
1995-03-01,7099000000.00
1995-04-01,7205000000.00
1995-05-01,7233000000.00
1995-06-01,7113000000.00
1995-07-01,7224000000.00
1995-08-01,7252000000.00
1995-09-01,6817000000.00
1995-10-01,7082000000.00
1995-11-01,7053000000.00
1995-12-01,6790000000.00
1996-01-01,6779000000.00
1996-02-01,6943000000.00
1996-03-01,6960000000.00
1996-04-01,6829000000.00
1996-05-01,6889000000.00
1996-06-01,6830000000.00
1996-07-01,7118000000.00
1996-08-01,7266000000.00
1996-09-01,7150000000.00
1996-10-01,7271000000.00
1996-11-01,7386000000.00
1996-12-01,7192000000.00
1997-01-01,7488000000.00
1997-02-01,7687000000.00
1997-03-01,7846000000.00
1997-04-01,7899000000.00
1997-05-01,7918000000.00
1997-06-01,7626000000.00
1997-07-01,7853000000.00
1997-08-01,7785000000.00
1997-09-01,7624000000.00
1997-10-01,7121000000.00
1997-11-01,7254000000.00
1997-12-01,7417000000.00
1998-01-01,7548000000.00
1998-02-01,7671000000.00
1998-03-01,7682000000.00
1998-04-01,7708000000.00
1998-05-01,7732000000.00
1998-06-01,7705000000.00
1998-07-01,7719000000.00
1998-08-01,7731000000.00
1998-09-01,7584000000.00
1998-10-01,7694000000.00
1998-11-01,7639000000.00
1998-12-01,7435000000.00
1999-01-01,7510000000.00
1999-02-01,7629000000.00
1999-03-01,7730000000.00
1999-04-01,7769000000.00
1999-05-01,7838000000.00
1999-06-01,7755000000.00
1999-07-01,7880000000.00
1999-08-01,8465000000.00
1999-09-01,8342000000.00
1999-10-01,8638000000.00
1999-11-01,8639000000.00
1999-12-01,8531000000.00
2000-01-01,8750000000.00
2000-02-01,8854000000.00
2000-03-01,8763000000.00
2000-04-01,8970000000.00
2000-05-01,8844000000.00
2000-06-01,9270000000.00
2000-07-01,9269000000.00
2000-08-01,9143000000.00
2000-09-01,8987000000.00
2000-10-01,9113000000.00
2000-11-01,9441000000.00
2000-12-01,9378000000.00
2001-01-01,9335000000.00
2001-02-01,9376000000.00
2001-03-01,9231000000.00
2001-04-01,9062000000.00
2001-05-01,9058000000.00
2001-06-01,8891000000.00
2001-07-01,9073000000.00
2001-08-01,9011000000.00
2001-09-01,8877000000.00
2001-10-01,8898000000.00
2001-11-01,9054000000.00
2001-12-01,8930000000.00
2002-01-01,8784000000.00
2002-02-01,9022000000.00
2002-03-01,8673000000.00
2002-04-01,8713000000.00
2002-05-01,8782000000.00
2002-06-01,8858000000.00
2002-07-01,8432000000.00
2002-08-01,8353000000.00
2002-09-01,8194000000.00
2002-10-01,8152000000.00
2002-11-01,8032000000.00
2002-12-01,7932000000.00
2003-01-01,7867000000.00
2003-02-01,7944000000.00
2003-03-01,8057000000.00
2003-04-01,8104000000.00
2003-05-01,8143000000.00
2003-06-01,8151000000.00
2003-07-01,8150000000.00
2003-08-01,8107000000.00
2003-09-01,8118000000.00
2003-10-01,8330000000.00
2003-11-01,8208000000.00
2003-12-01,7934000000.00
2004-01-01,8043000000.00
2004-02-01,8184000000.00
2004-03-01,8151000000.00
2004-04-01,8472000000.00
2004-05-01,8471000000.00
2004-06-01,8436000000.00
2004-07-01,8439000000.00
2004-08-01,8310000000.00
2004-09-01,8326000000.00
2004-10-01,8462000000.00
2004-11-01,8421000000.00
2004-12-01,8222000000.00
2005-01-01,8447000000.00
2005-02-01,8734000000.00
2005-03-01,8685000000.00
2005-04-01,8762000000.00
2005-05-01,8953000000.00
2005-06-01,8919000000.00
2005-07-01,9180000000.00
2005-08-01,9380000000.00
2005-09-01,9523000000.00
2005-10-01,9434000000.00
2005-11-01,9553000000.00
2005-12-01,9727000000.00
2006-01-01,10072000000.00
2006-02-01,10437000000.00
2006-03-01,10334000000.00
2006-04-01,10688000000.00
2006-05-01,10808000000.00
2006-06-01,11360000000.00
2006-07-01,11914000000.00
2006-08-01,11822000000.00
2006-09-01,12016000000.00
2006-10-01,12303000000.00
2006-11-01,12572000000.00
2006-12-01,12277000000.00
2007-01-01,12714000000.00
2007-02-01,13126000000.00
2007-03-01,13311000000.00
2007-04-01,13428000000.00
2007-05-01,13690000000.00
2007-06-01,13896000000.00
2007-07-01,13852000000.00
2007-08-01,13881000000.00
2007-09-01,13773000000.00
2007-10-01,13943000000.00
2007-11-01,14027000000.00
2007-12-01,13525000000.00
2008-01-01,14337000000.00
2008-02-01,15200000000.00
2008-03-01,14042000000.00
2008-04-01,14174000000.00
2008-05-01,14256000000.00
2008-06-01,14616000000.00
2008-07-01,14517000000.00
2008-08-01,14252000000.00
2008-09-01,13864000000.00
2008-10-01,13586000000.00
2008-11-01,13239000000.00
2008-12-01,12647000000.00
2009-01-01,12230000000.00
2009-02-01,11870000000.00
2009-03-01,11219000000.00
2009-04-01,11031000000.00
2009-05-01,10772000000.00
2009-06-01,10468000000.00
2009-07-01,10382000000.00
2009-08-01,10040000000.00
2009-09-01,9628000000.00
2009-10-01,9490000000.00
2009-11-01,9411000000.00
2009-12-01,9045000000.00
2010-01-01,9144000000.00
2010-02-01,9078000000.00
2010-03-01,8995000000.00
2010-04-01,8871000000.00
2010-05-01,8699000000.00
2010-06-01,8642000000.00
2010-07-01,8495000000.00
2010-08-01,8298000000.00
2010-09-01,7929000000.00
2010-10-01,7751000000.00
2010-11-01,7728000000.00
2010-12-01,7578000000.00
2011-01-01,7817000000.00
2011-02-01,7898000000.00
2011-03-01,7981000000.00
2011-04-01,8074000000.00
2011-05-01,8143000000.00
2011-06-01,8145000000.00
2011-07-01,8194000000.00
2011-08-01,8011000000.00
2011-09-01,7737000000.00
2011-10-01,7746000000.00
2011-11-01,7891000000.00
2011-12-01,7725000000.00
2012-01-01,8006000000.00
2012-02-01,8115000000.00
2012-03-01,8050000000.00
2012-04-01,8141000000.00
2012-05-01,8215000000.00
2012-06-01,8122000000.00
2012-07-01,8037000000.00
2012-08-01,7970000000.00
2012-09-01,7686000000.00
2012-10-01,7750000000.00
2012-11-01,7858000000.00
2012-12-01,7796000000.00
2013-01-01,7932000000.00
2013-02-01,7938000000.00
2013-03-01,7827000000.00
2013-04-01,7786000000.00
2013-05-01,7785000000.00
2013-06-01,7693000000.00
2013-07-01,7664000000.00
2013-08-01,7587000000.00
2013-09-01,7417000000.00
2013-10-01,7437000000.00
2013-11-01,7311000000.00
2013-12-01,7192000000.00
2014-01-01,7417000000.00
2014-02-01,7535000000.00
2014-03-01,7581000000.00
2014-04-01,7689000000.00
2014-05-01,7769000000.00
2014-06-01,7881000000.00
2014-07-01,8012000000.00
2014-08-01,8012000000.00
2014-09-01,8040000000.00
2014-10-01,8310000000.00
2014-11-01,8375000000.00
2014-12-01,8383000000.00
2015-01-01,8571000000.00
2015-02-01,8613000000.00
2015-03-01,8596000000.00
2015-04-01,8610000000.00
2015-05-01,8565000000.00
2015-06-01,8576000000.00
2015-07-01,8648000000.00
2015-08-01,8612000000.00
2015-09-01,8417000000.00
2015-10-01,8362000000.00
2015-11-01,8309000000.00
2015-12-01,8124000000.00
2016-01-01,8192000000.00
2016-02-01,8226000000.00
2016-03-01,8189000000.00
2016-04-01,8187000000.00
2016-05-01,8111000000.00
2016-06-01,7972000000.00
2016-07-01,8050000000.00
2016-08-01,8009000000.00
2016-09-01,7908000000.00
2016-10-01,7909000000.00
2016-11-01,7889000000.00
2016-12-01,7811000000.00
2017-01-01,8005000000.00
2017-02-01,8142000000.00
2017-03-01,8100000000.00
2017-04-01,8100000000.00
2017-05-01,8121000000.00
2017-06-01,7864000000.00
2017-07-01,7729000000.00
2017-08-01,7719000000.00
2017-09-01,7580000000.00
2017-10-01,7809000000.00
2017-11-01,7851000000.00
2017-12-01,7835000000.00
2018-01-01,7840000000.00
2018-02-01,7898000000.00
2018-03-01,7776000000.00
2018-04-01,7838000000.00
