Date,U35DVS
1992-01-01,322000000.00
1992-02-01,328000000.00
1992-03-01,360000000.00
1992-04-01,346000000.00
1992-05-01,368000000.00
1992-06-01,433000000.00
1992-07-01,383000000.00
1992-08-01,453000000.00
1992-09-01,542000000.00
1992-10-01,595000000.00
1992-11-01,581000000.00
1992-12-01,503000000.00
1993-01-01,342000000.00
1993-02-01,387000000.00
1993-03-01,414000000.00
1993-04-01,389000000.00
1993-05-01,415000000.00
1993-06-01,456000000.00
1993-07-01,405000000.00
1993-08-01,488000000.00
1993-09-01,581000000.00
1993-10-01,623000000.00
1993-11-01,653000000.00
1993-12-01,505000000.00
1994-01-01,418000000.00
1994-02-01,427000000.00
1994-03-01,431000000.00
1994-04-01,400000000.00
1994-05-01,423000000.00
1994-06-01,472000000.00
1994-07-01,424000000.00
1994-08-01,465000000.00
1994-09-01,543000000.00
1994-10-01,618000000.00
1994-11-01,666000000.00
1994-12-01,539000000.00
1995-01-01,396000000.00
1995-02-01,402000000.00
1995-03-01,431000000.00
1995-04-01,433000000.00
1995-05-01,470000000.00
1995-06-01,476000000.00
1995-07-01,371000000.00
1995-08-01,529000000.00
1995-09-01,587000000.00
1995-10-01,616000000.00
1995-11-01,642000000.00
1995-12-01,539000000.00
1996-01-01,387000000.00
1996-02-01,473000000.00
1996-03-01,434000000.00
1996-04-01,436000000.00
1996-05-01,495000000.00
1996-06-01,555000000.00
1996-07-01,442000000.00
1996-08-01,489000000.00
1996-09-01,623000000.00
1996-10-01,641000000.00
1996-11-01,656000000.00
1996-12-01,574000000.00
1997-01-01,444000000.00
1997-02-01,487000000.00
1997-03-01,466000000.00
1997-04-01,481000000.00
1997-05-01,515000000.00
1997-06-01,597000000.00
1997-07-01,444000000.00
1997-08-01,549000000.00
1997-09-01,749000000.00
1997-10-01,647000000.00
1997-11-01,846000000.00
1997-12-01,598000000.00
1998-01-01,418000000.00
1998-02-01,497000000.00
1998-03-01,496000000.00
1998-04-01,435000000.00
1998-05-01,513000000.00
1998-06-01,554000000.00
1998-07-01,454000000.00
1998-08-01,555000000.00
1998-09-01,721000000.00
1998-10-01,711000000.00
1998-11-01,873000000.00
1998-12-01,659000000.00
1999-01-01,462000000.00
1999-02-01,584000000.00
1999-03-01,588000000.00
1999-04-01,555000000.00
1999-05-01,603000000.00
1999-06-01,673000000.00
1999-07-01,476000000.00
1999-08-01,640000000.00
1999-09-01,797000000.00
1999-10-01,749000000.00
1999-11-01,817000000.00
1999-12-01,699000000.00
2000-01-01,589000000.00
2000-02-01,587000000.00
2000-03-01,669000000.00
2000-04-01,579000000.00
2000-05-01,626000000.00
2000-06-01,736000000.00
2000-07-01,473000000.00
2000-08-01,680000000.00
2000-09-01,757000000.00
2000-10-01,671000000.00
2000-11-01,766000000.00
2000-12-01,683000000.00
2001-01-01,468000000.00
2001-02-01,513000000.00
2001-03-01,561000000.00
2001-04-01,477000000.00
2001-05-01,552000000.00
2001-06-01,645000000.00
2001-07-01,481000000.00
2001-08-01,581000000.00
2001-09-01,700000000.00
2001-10-01,646000000.00
2001-11-01,693000000.00
2001-12-01,569000000.00
2002-01-01,433000000.00
2002-02-01,462000000.00
2002-03-01,546000000.00
2002-04-01,518000000.00
2002-05-01,569000000.00
2002-06-01,592000000.00
2002-07-01,417000000.00
2002-08-01,482000000.00
2002-09-01,617000000.00
2002-10-01,581000000.00
2002-11-01,677000000.00
2002-12-01,527000000.00
2003-01-01,425000000.00
2003-02-01,434000000.00
2003-03-01,528000000.00
2003-04-01,473000000.00
2003-05-01,463000000.00
2003-06-01,531000000.00
2003-07-01,487000000.00
2003-08-01,503000000.00
2003-09-01,634000000.00
2003-10-01,602000000.00
2003-11-01,693000000.00
2003-12-01,513000000.00
2004-01-01,449000000.00
2004-02-01,425000000.00
2004-03-01,491000000.00
2004-04-01,445000000.00
2004-05-01,452000000.00
2004-06-01,535000000.00
2004-07-01,400000000.00
2004-08-01,495000000.00
2004-09-01,618000000.00
2004-10-01,575000000.00
2004-11-01,660000000.00
2004-12-01,476000000.00
2005-01-01,428000000.00
2005-02-01,420000000.00
2005-03-01,501000000.00
2005-04-01,459000000.00
2005-05-01,511000000.00
2005-06-01,591000000.00
2005-07-01,437000000.00
2005-08-01,535000000.00
2005-09-01,645000000.00
2005-10-01,603000000.00
2005-11-01,709000000.00
2005-12-01,508000000.00
2006-01-01,477000000.00
2006-02-01,461000000.00
2006-03-01,597000000.00
2006-04-01,478000000.00
2006-05-01,552000000.00
2006-06-01,570000000.00
2006-07-01,469000000.00
2006-08-01,618000000.00
2006-09-01,609000000.00
2006-10-01,678000000.00
2006-11-01,790000000.00
2006-12-01,734000000.00
2007-01-01,760000000.00
2007-02-01,547000000.00
2007-03-01,663000000.00
2007-04-01,608000000.00
2007-05-01,700000000.00
2007-06-01,680000000.00
2007-07-01,661000000.00
2007-08-01,722000000.00
2007-09-01,749000000.00
2007-10-01,872000000.00
2007-11-01,894000000.00
2007-12-01,824000000.00
2008-01-01,764000000.00
2008-02-01,674000000.00
2008-03-01,763000000.00
2008-04-01,791000000.00
2008-05-01,784000000.00
2008-06-01,778000000.00
2008-07-01,794000000.00
2008-08-01,833000000.00
2008-09-01,930000000.00
2008-10-01,974000000.00
2008-11-01,853000000.00
2008-12-01,776000000.00
2009-01-01,631000000.00
2009-02-01,597000000.00
2009-03-01,643000000.00
2009-04-01,680000000.00
2009-05-01,668000000.00
2009-06-01,801000000.00
2009-07-01,802000000.00
2009-08-01,853000000.00
2009-09-01,853000000.00
2009-10-01,1072000000.00
2009-11-01,963000000.00
2009-12-01,760000000.00
2010-01-01,700000000.00
2010-02-01,736000000.00
2010-03-01,845000000.00
2010-04-01,808000000.00
2010-05-01,771000000.00
2010-06-01,878000000.00
2010-07-01,838000000.00
2010-08-01,939000000.00
2010-09-01,1036000000.00
2010-10-01,1093000000.00
2010-11-01,1070000000.00
2010-12-01,941000000.00
2011-01-01,773000000.00
2011-02-01,793000000.00
2011-03-01,956000000.00
2011-04-01,910000000.00
2011-05-01,918000000.00
2011-06-01,989000000.00
2011-07-01,810000000.00
2011-08-01,1027000000.00
2011-09-01,1103000000.00
2011-10-01,1156000000.00
2011-11-01,1176000000.00
2011-12-01,946000000.00
2012-01-01,806000000.00
2012-02-01,813000000.00
2012-03-01,884000000.00
2012-04-01,838000000.00
2012-05-01,863000000.00
2012-06-01,895000000.00
2012-07-01,833000000.00
2012-08-01,998000000.00
2012-09-01,940000000.00
2012-10-01,1040000000.00
2012-11-01,1151000000.00
2012-12-01,895000000.00
2013-01-01,761000000.00
2013-02-01,759000000.00
2013-03-01,822000000.00
2013-04-01,853000000.00
2013-05-01,851000000.00
2013-06-01,855000000.00
2013-07-01,769000000.00
2013-08-01,871000000.00
2013-09-01,915000000.00
2013-10-01,970000000.00
2013-11-01,987000000.00
2013-12-01,997000000.00
2014-01-01,819000000.00
2014-02-01,790000000.00
2014-03-01,896000000.00
2014-04-01,901000000.00
2014-05-01,907000000.00
2014-06-01,907000000.00
2014-07-01,867000000.00
2014-08-01,998000000.00
2014-09-01,1183000000.00
2014-10-01,1123000000.00
2014-11-01,1084000000.00
2014-12-01,1116000000.00
2015-01-01,869000000.00
2015-02-01,853000000.00
2015-03-01,939000000.00
2015-04-01,925000000.00
2015-05-01,886000000.00
2015-06-01,1019000000.00
2015-07-01,862000000.00
2015-08-01,955000000.00
2015-09-01,1044000000.00
2015-10-01,1190000000.00
2015-11-01,1097000000.00
2015-12-01,1014000000.00
2016-01-01,831000000.00
2016-02-01,853000000.00
2016-03-01,918000000.00
2016-04-01,878000000.00
2016-05-01,848000000.00
2016-06-01,947000000.00
2016-07-01,791000000.00
2016-08-01,1006000000.00
2016-09-01,954000000.00
2016-10-01,1019000000.00
2016-11-01,1016000000.00
2016-12-01,972000000.00
2017-01-01,825000000.00
2017-02-01,791000000.00
2017-03-01,876000000.00
2017-04-01,809000000.00
2017-05-01,922000000.00
2017-06-01,889000000.00
2017-07-01,805000000.00
2017-08-01,1027000000.00
2017-09-01,989000000.00
2017-10-01,1130000000.00
2017-11-01,1067000000.00
2017-12-01,932000000.00
2018-01-01,871000000.00
2018-02-01,796000000.00
2018-03-01,886000000.00
2018-04-01,900000000.00
