Date,U35SNO
1992-02-01,6390000000.00
1992-03-01,6842000000.00
1992-04-01,6783000000.00
1992-05-01,6558000000.00
1992-06-01,7064000000.00
1992-07-01,6311000000.00
1992-08-01,6897000000.00
1992-09-01,7373000000.00
1992-10-01,7148000000.00
1992-11-01,6894000000.00
1992-12-01,6821000000.00
1993-01-01,6499000000.00
1993-02-01,7213000000.00
1993-03-01,7537000000.00
1993-04-01,7074000000.00
1993-05-01,7089000000.00
1993-06-01,7662000000.00
1993-07-01,6787000000.00
1993-08-01,7565000000.00
1993-09-01,8319000000.00
1993-10-01,7526000000.00
1993-11-01,7617000000.00
1993-12-01,7375000000.00
1994-01-01,7037000000.00
1994-02-01,7962000000.00
1994-03-01,8199000000.00
1994-04-01,7863000000.00
1994-05-01,7945000000.00
1994-06-01,8730000000.00
1994-07-01,7497000000.00
1994-08-01,8021000000.00
1994-09-01,8899000000.00
1994-10-01,8617000000.00
1994-11-01,8027000000.00
1994-12-01,8122000000.00
1995-01-01,7897000000.00
1995-02-01,8428000000.00
1995-03-01,9059000000.00
1995-04-01,7726000000.00
1995-05-01,8067000000.00
1995-06-01,8953000000.00
1995-07-01,7768000000.00
1995-08-01,8722000000.00
1995-09-01,9230000000.00
1995-10-01,8576000000.00
1995-11-01,8486000000.00
1995-12-01,8497000000.00
1996-01-01,7410000000.00
1996-02-01,8332000000.00
1996-03-01,9190000000.00
1996-04-01,8227000000.00
1996-05-01,8386000000.00
1996-06-01,9768000000.00
1996-07-01,8126000000.00
1996-08-01,8903000000.00
1996-09-01,9634000000.00
1996-10-01,9061000000.00
1996-11-01,9034000000.00
1996-12-01,8766000000.00
1997-01-01,8460000000.00
1997-02-01,9141000000.00
1997-03-01,9988000000.00
1997-04-01,9234000000.00
1997-05-01,8881000000.00
1997-06-01,9926000000.00
1997-07-01,8881000000.00
1997-08-01,9365000000.00
1997-09-01,11590000000.00
1997-10-01,8920000000.00
1997-11-01,9381000000.00
1997-12-01,9644000000.00
1998-01-01,8472000000.00
1998-02-01,10483000000.00
1998-03-01,9820000000.00
1998-04-01,9231000000.00
1998-05-01,9186000000.00
1998-06-01,10614000000.00
1998-07-01,8699000000.00
1998-08-01,9453000000.00
1998-09-01,10807000000.00
1998-10-01,9391000000.00
1998-11-01,9613000000.00
1998-12-01,9942000000.00
1999-01-01,8417000000.00
1999-02-01,9843000000.00
1999-03-01,10691000000.00
1999-04-01,9524000000.00
1999-05-01,9526000000.00
1999-06-01,10986000000.00
1999-07-01,9800000000.00
1999-08-01,10842000000.00
1999-09-01,11228000000.00
1999-10-01,9881000000.00
1999-11-01,9688000000.00
1999-12-01,10348000000.00
2000-01-01,9813000000.00
2000-02-01,10607000000.00
2000-03-01,11049000000.00
2000-04-01,9862000000.00
2000-05-01,10405000000.00
2000-06-01,11945000000.00
2000-07-01,9644000000.00
