Date,U36BVS
1992-01-01,3448000000.00
1992-02-01,4518000000.00
1992-03-01,4439000000.00
1992-04-01,4758000000.00
1992-05-01,5157000000.00
1992-06-01,4602000000.00
1992-07-01,2954000000.00
1992-08-01,4086000000.00
1992-09-01,4107000000.00
1992-10-01,5203000000.00
1992-11-01,4784000000.00
1992-12-01,3984000000.00
1993-01-01,4560000000.00
1993-02-01,5493000000.00
1993-03-01,5107000000.00
1993-04-01,5401000000.00
1993-05-01,5447000000.00
1993-06-01,5340000000.00
1993-07-01,2885000000.00
1993-08-01,4306000000.00
1993-09-01,4727000000.00
1993-10-01,5978000000.00
1993-11-01,5505000000.00
1993-12-01,4709000000.00
1994-01-01,5386000000.00
1994-02-01,6338000000.00
1994-03-01,6009000000.00
1994-04-01,6280000000.00
1994-05-01,6497000000.00
1994-06-01,6291000000.00
1994-07-01,3300000000.00
1994-08-01,6344000000.00
1994-09-01,6334000000.00
1994-10-01,6419000000.00
1994-11-01,6806000000.00
1994-12-01,5770000000.00
1995-01-01,6153000000.00
1995-02-01,7509000000.00
1995-03-01,7311000000.00
1995-04-01,6887000000.00
1995-05-01,7046000000.00
1995-06-01,6920000000.00
1995-07-01,3387000000.00
1995-08-01,6463000000.00
1995-09-01,6857000000.00
1995-10-01,7457000000.00
1995-11-01,6711000000.00
1995-12-01,5702000000.00
1996-01-01,5985000000.00
1996-02-01,7671000000.00
1996-03-01,6133000000.00
1996-04-01,7750000000.00
1996-05-01,7990000000.00
1996-06-01,7337000000.00
1996-07-01,4223000000.00
1996-08-01,7338000000.00
1996-09-01,8021000000.00
1996-10-01,8419000000.00
1996-11-01,7957000000.00
1996-12-01,6523000000.00
1997-01-01,7903000000.00
1997-02-01,9141000000.00
1997-03-01,8955000000.00
1997-04-01,9796000000.00
1997-05-01,9526000000.00
1997-06-01,9658000000.00
1997-07-01,5800000000.00
1997-08-01,9909000000.00
1997-09-01,10209000000.00
1997-10-01,10844000000.00
1997-11-01,9888000000.00
1997-12-01,8549000000.00
1998-01-01,7758000000.00
1998-02-01,10335000000.00
1998-03-01,10187000000.00
1998-04-01,9935000000.00
1998-05-01,10275000000.00
1998-06-01,8340000000.00
1998-07-01,4346000000.00
1998-08-01,9807000000.00
1998-09-01,10525000000.00
1998-10-01,11979000000.00
1998-11-01,11067000000.00
1998-12-01,9941000000.00
1999-01-01,10671000000.00
1999-02-01,13217000000.00
1999-03-01,13738000000.00
1999-04-01,12633000000.00
1999-05-01,13028000000.00
1999-06-01,13937000000.00
1999-07-01,6441000000.00
1999-08-01,12992000000.00
1999-09-01,13401000000.00
1999-10-01,13034000000.00
1999-11-01,11926000000.00
1999-12-01,10311000000.00
2000-01-01,10831000000.00
2000-02-01,11674000000.00
2000-03-01,12351000000.00
2000-04-01,10584000000.00
2000-05-01,11073000000.00
2000-06-01,11910000000.00
2000-07-01,5286000000.00
2000-08-01,9400000000.00
2000-09-01,10577000000.00
2000-10-01,10584000000.00
2000-11-01,9135000000.00
2000-12-01,7780000000.00
2001-01-01,7626000000.00
2001-02-01,9391000000.00
2001-03-01,11475000000.00
2001-04-01,9554000000.00
2001-05-01,11495000000.00
2001-06-01,10829000000.00
2001-07-01,5727000000.00
2001-08-01,11012000000.00
2001-09-01,9401000000.00
2001-10-01,10728000000.00
2001-11-01,10364000000.00
2001-12-01,8866000000.00
2002-01-01,10328000000.00
2002-02-01,10295000000.00
2002-03-01,10442000000.00
2002-04-01,11775000000.00
2002-05-01,12692000000.00
2002-06-01,11898000000.00
2002-07-01,7417000000.00
2002-08-01,13234000000.00
2002-09-01,12485000000.00
2002-10-01,14549000000.00
2002-11-01,11700000000.00
2002-12-01,10255000000.00
2003-01-01,12961000000.00
2003-02-01,13187000000.00
2003-03-01,14784000000.00
2003-04-01,12610000000.00
2003-05-01,14098000000.00
2003-06-01,14215000000.00
2003-07-01,8806000000.00
2003-08-01,13428000000.00
2003-09-01,15711000000.00
2003-10-01,16764000000.00
2003-11-01,13064000000.00
2003-12-01,12613000000.00
2004-01-01,12110000000.00
2004-02-01,14679000000.00
2004-03-01,17249000000.00
2004-04-01,13549000000.00
2004-05-01,12720000000.00
2004-06-01,13865000000.00
2004-07-01,6080000000.00
2004-08-01,12622000000.00
2004-09-01,13553000000.00
2004-10-01,13568000000.00
2004-11-01,12226000000.00
2004-12-01,12548000000.00
2005-01-01,10417000000.00
2005-02-01,12401000000.00
2005-03-01,13342000000.00
2005-04-01,12000000000.00
2005-05-01,12582000000.00
2005-06-01,13875000000.00
2005-07-01,6916000000.00
2005-08-01,13155000000.00
2005-09-01,15433000000.00
2005-10-01,14083000000.00
2005-11-01,11549000000.00
2005-12-01,11881000000.00
2006-01-01,10440000000.00
2006-02-01,11800000000.00
2006-03-01,15011000000.00
2006-04-01,10359000000.00
2006-05-01,13242000000.00
2006-06-01,14107000000.00
2006-07-01,5644000000.00
2006-08-01,11691000000.00
2006-09-01,10691000000.00
2006-10-01,11829000000.00
2006-11-01,10991000000.00
2006-12-01,12437000000.00
2007-01-01,9884000000.00
2007-02-01,11944000000.00
2007-03-01,14237000000.00
2007-04-01,12478000000.00
2007-05-01,14663000000.00
2007-06-01,15065000000.00
2007-07-01,8625000000.00
2007-08-01,15469000000.00
2007-09-01,13027000000.00
2007-10-01,14546000000.00
2007-11-01,12654000000.00
2007-12-01,11444000000.00
2008-01-01,10457000000.00
2008-02-01,12070000000.00
2008-03-01,10356000000.00
2008-04-01,9286000000.00
2008-05-01,9243000000.00
2008-06-01,9872000000.00
2008-07-01,5428000000.00
2008-08-01,8417000000.00
2008-09-01,8921000000.00
2008-10-01,9148000000.00
2008-11-01,7264000000.00
2008-12-01,7249000000.00
2009-01-01,5911000000.00
2009-02-01,6255000000.00
2009-03-01,7489000000.00
2009-04-01,6446000000.00
2009-05-01,6133000000.00
2009-06-01,5143000000.00
2009-07-01,4100000000.00
2009-08-01,7227000000.00
2009-09-01,7803000000.00
2009-10-01,8066000000.00
2009-11-01,7605000000.00
2009-12-01,8248000000.00
2010-01-01,7587000000.00
2010-02-01,7230000000.00
2010-03-01,8921000000.00
2010-04-01,7988000000.00
2010-05-01,8362000000.00
2010-06-01,9918000000.00
2010-07-01,6893000000.00
2010-08-01,10927000000.00
2010-09-01,11970000000.00
2010-10-01,11796000000.00
2010-11-01,9671000000.00
2010-12-01,11045000000.00
2011-01-01,9240000000.00
2011-02-01,10761000000.00
2011-03-01,13102000000.00
2011-04-01,9525000000.00
2011-05-01,9590000000.00
2011-06-01,11018000000.00
2011-07-01,7905000000.00
2011-08-01,10563000000.00
2011-09-01,10221000000.00
2011-10-01,11120000000.00
2011-11-01,9660000000.00
2011-12-01,9040000000.00
2012-01-01,8554000000.00
2012-02-01,10001000000.00
2012-03-01,10943000000.00
2012-04-01,10593000000.00
2012-05-01,10882000000.00
2012-06-01,11419000000.00
2012-07-01,7872000000.00
2012-08-01,11765000000.00
2012-09-01,10608000000.00
2012-10-01,10918000000.00
2012-11-01,9653000000.00
2012-12-01,8967000000.00
2013-01-01,9246000000.00
2013-02-01,10958000000.00
2013-03-01,11770000000.00
2013-04-01,11444000000.00
2013-05-01,12000000000.00
2013-06-01,11834000000.00
2013-07-01,8764000000.00
2013-08-01,12682000000.00
