Date,UANMUO
1992-01-01,7652000000.00
1992-02-01,7895000000.00
1992-03-01,8011000000.00
1992-04-01,7896000000.00
1992-05-01,7724000000.00
1992-06-01,7713000000.00
1992-07-01,7780000000.00
1992-08-01,7619000000.00
1992-09-01,7097000000.00
1992-10-01,6898000000.00
1992-11-01,6908000000.00
1992-12-01,7095000000.00
1993-01-01,7479000000.00
1993-02-01,7431000000.00
1993-03-01,7757000000.00
1993-04-01,7558000000.00
1993-05-01,7361000000.00
1993-06-01,7143000000.00
1993-07-01,6960000000.00
1993-08-01,6629000000.00
1993-09-01,6266000000.00
1993-10-01,6078000000.00
1993-11-01,5955000000.00
1993-12-01,6270000000.00
1994-01-01,6649000000.00
1994-02-01,6857000000.00
1994-03-01,7649000000.00
1994-04-01,7699000000.00
1994-05-01,7886000000.00
1994-06-01,7884000000.00
1994-07-01,8014000000.00
1994-08-01,7832000000.00
1994-09-01,7902000000.00
1994-10-01,8255000000.00
1994-11-01,8532000000.00
1994-12-01,9155000000.00
1995-01-01,9463000000.00
1995-02-01,9414000000.00
1995-03-01,9558000000.00
1995-04-01,9442000000.00
1995-05-01,9023000000.00
1995-06-01,8409000000.00
1995-07-01,8030000000.00
1995-08-01,7855000000.00
1995-09-01,7569000000.00
1995-10-01,7537000000.00
1995-11-01,7462000000.00
1995-12-01,7843000000.00
1996-01-01,8103000000.00
1996-02-01,8293000000.00
1996-03-01,8464000000.00
1996-04-01,8713000000.00
1996-05-01,8771000000.00
1996-06-01,8923000000.00
1996-07-01,9084000000.00
1996-08-01,8979000000.00
1996-09-01,8496000000.00
1996-10-01,8323000000.00
1996-11-01,8133000000.00
1996-12-01,8559000000.00
1997-01-01,8997000000.00
1997-02-01,9215000000.00
1997-03-01,9590000000.00
1997-04-01,9702000000.00
1997-05-01,9717000000.00
1997-06-01,9485000000.00
1997-07-01,9571000000.00
1997-08-01,9586000000.00
1997-09-01,9573000000.00
1997-10-01,9595000000.00
1997-11-01,9635000000.00
1997-12-01,9743000000.00
1998-01-01,9940000000.00
1998-02-01,9710000000.00
1998-03-01,9342000000.00
1998-04-01,9251000000.00
1998-05-01,8843000000.00
1998-06-01,8680000000.00
1998-07-01,8650000000.00
1998-08-01,8620000000.00
1998-09-01,8359000000.00
1998-10-01,7947000000.00
1998-11-01,7925000000.00
1998-12-01,8081000000.00
1999-01-01,8245000000.00
1999-02-01,8476000000.00
1999-03-01,8350000000.00
1999-04-01,8460000000.00
1999-05-01,8383000000.00
1999-06-01,8274000000.00
1999-07-01,8737000000.00
1999-08-01,8673000000.00
1999-09-01,8291000000.00
1999-10-01,8115000000.00
1999-11-01,8036000000.00
1999-12-01,7985000000.00
2000-01-01,8145000000.00
2000-02-01,8493000000.00
2000-03-01,8558000000.00
2000-04-01,8424000000.00
2000-05-01,8109000000.00
2000-06-01,7726000000.00
2000-07-01,7685000000.00
2000-08-01,7415000000.00
2000-09-01,7295000000.00
2000-10-01,7040000000.00
2000-11-01,6927000000.00
2000-12-01,6949000000.00
2001-01-01,7476000000.00
2001-02-01,7484000000.00
2001-03-01,7468000000.00
2001-04-01,7326000000.00
2001-05-01,7222000000.00
2001-06-01,7134000000.00
2001-07-01,7135000000.00
2001-08-01,7001000000.00
2001-09-01,6701000000.00
2001-10-01,6327000000.00
2001-11-01,6194000000.00
2001-12-01,6130000000.00
2002-01-01,6210000000.00
2002-02-01,6304000000.00
2002-03-01,6088000000.00
2002-04-01,5831000000.00
2002-05-01,5672000000.00
2002-06-01,5545000000.00
2002-07-01,5472000000.00
2002-08-01,5353000000.00
2002-09-01,5170000000.00
2002-10-01,5090000000.00
2002-11-01,4894000000.00
2002-12-01,5032000000.00
2003-01-01,5342000000.00
2003-02-01,5355000000.00
2003-03-01,5322000000.00
2003-04-01,5305000000.00
2003-05-01,5105000000.00
2003-06-01,5181000000.00
2003-07-01,5221000000.00
2003-08-01,5096000000.00
2003-09-01,5023000000.00
2003-10-01,4941000000.00
2003-11-01,5004000000.00
2003-12-01,5261000000.00
2004-01-01,5834000000.00
2004-02-01,6396000000.00
2004-03-01,6834000000.00
2004-04-01,6706000000.00
2004-05-01,6785000000.00
2004-06-01,6876000000.00
2004-07-01,7150000000.00
2004-08-01,7091000000.00
2004-09-01,6907000000.00
2004-10-01,6856000000.00
2004-11-01,6727000000.00
2004-12-01,6968000000.00
2005-01-01,7404000000.00
2005-02-01,7591000000.00
2005-03-01,7790000000.00
2005-04-01,7857000000.00
2005-05-01,7845000000.00
2005-06-01,7749000000.00
2005-07-01,7738000000.00
2005-08-01,7816000000.00
2005-09-01,8305000000.00
2005-10-01,8082000000.00
2005-11-01,8347000000.00
2005-12-01,8567000000.00
2006-01-01,9007000000.00
2006-02-01,9270000000.00
2006-03-01,9345000000.00
2006-04-01,9366000000.00
2006-05-01,9682000000.00
2006-06-01,9596000000.00
2006-07-01,9636000000.00
2006-08-01,9690000000.00
2006-09-01,9788000000.00
2006-10-01,10002000000.00
2006-11-01,10032000000.00
2006-12-01,10477000000.00
2007-01-01,10733000000.00
2007-02-01,10797000000.00
2007-03-01,10865000000.00
2007-04-01,11077000000.00
2007-05-01,10970000000.00
2007-06-01,10717000000.00
2007-07-01,10688000000.00
2007-08-01,10663000000.00
2007-09-01,10396000000.00
2007-10-01,10219000000.00
2007-11-01,10251000000.00
2007-12-01,11096000000.00
2008-01-01,11272000000.00
2008-02-01,11863000000.00
2008-03-01,12088000000.00
2008-04-01,12196000000.00
2008-05-01,11891000000.00
2008-06-01,12152000000.00
2008-07-01,11557000000.00
2008-08-01,11187000000.00
2008-09-01,10664000000.00
2008-10-01,9839000000.00
2008-11-01,9706000000.00
2008-12-01,9532000000.00
2009-01-01,9077000000.00
2009-02-01,8711000000.00
2009-03-01,8503000000.00
2009-04-01,8137000000.00
2009-05-01,7870000000.00
2009-06-01,7719000000.00
2009-07-01,7882000000.00
2009-08-01,7966000000.00
2009-09-01,7842000000.00
2009-10-01,8068000000.00
2009-11-01,8245000000.00
2009-12-01,8529000000.00
2010-01-01,8846000000.00
2010-02-01,9157000000.00
2010-03-01,10045000000.00
2010-04-01,10218000000.00
