Date,UCNGTI
1992-01-01,78568000000.00
1992-02-01,78821000000.00
1992-03-01,78217000000.00
1992-04-01,79062000000.00
1992-05-01,80224000000.00
1992-06-01,79356000000.00
1992-07-01,80407000000.00
1992-08-01,81966000000.00
1992-09-01,81929000000.00
1992-10-01,83556000000.00
1992-11-01,82531000000.00
1992-12-01,81231000000.00
1993-01-01,82810000000.00
1993-02-01,82468000000.00
1993-03-01,81881000000.00
1993-04-01,82570000000.00
1993-05-01,82949000000.00
1993-06-01,82469000000.00
1993-07-01,82622000000.00
1993-08-01,83624000000.00
1993-09-01,83415000000.00
1993-10-01,84439000000.00
1993-11-01,83702000000.00
1993-12-01,81791000000.00
1994-01-01,82837000000.00
1994-02-01,82923000000.00
1994-03-01,82998000000.00
1994-04-01,83730000000.00
1994-05-01,84446000000.00
1994-06-01,83768000000.00
1994-07-01,85093000000.00
1994-08-01,86022000000.00
1994-09-01,85631000000.00
1994-10-01,86757000000.00
1994-11-01,86255000000.00
1994-12-01,84390000000.00
1995-01-01,86271000000.00
1995-02-01,86758000000.00
1995-03-01,86518000000.00
1995-04-01,87125000000.00
1995-05-01,87904000000.00
1995-06-01,87647000000.00
1995-07-01,87760000000.00
1995-08-01,88871000000.00
1995-09-01,90259000000.00
1995-10-01,91353000000.00
1995-11-01,90655000000.00
1995-12-01,89977000000.00
1996-01-01,91211000000.00
1996-02-01,91450000000.00
1996-03-01,91081000000.00
1996-04-01,91242000000.00
1996-05-01,90840000000.00
1996-06-01,90113000000.00
1996-07-01,90298000000.00
1996-08-01,91178000000.00
1996-09-01,92130000000.00
1996-10-01,93012000000.00
1996-11-01,92316000000.00
1996-12-01,90539000000.00
1997-01-01,91325000000.00
1997-02-01,91487000000.00
1997-03-01,90884000000.00
1997-04-01,91826000000.00
1997-05-01,92110000000.00
1997-06-01,91297000000.00
1997-07-01,91300000000.00
1997-08-01,92609000000.00
1997-09-01,94026000000.00
1997-10-01,96422000000.00
1997-11-01,95672000000.00
1997-12-01,93729000000.00
1998-01-01,94425000000.00
1998-02-01,94770000000.00
1998-03-01,93610000000.00
1998-04-01,93783000000.00
1998-05-01,93445000000.00
1998-06-01,92209000000.00
1998-07-01,92670000000.00
1998-08-01,92798000000.00
1998-09-01,93039000000.00
1998-10-01,95300000000.00
1998-11-01,94968000000.00
1998-12-01,91578000000.00
1999-01-01,92365000000.00
1999-02-01,92474000000.00
1999-03-01,91719000000.00
1999-04-01,92863000000.00
1999-05-01,93787000000.00
1999-06-01,93001000000.00
1999-07-01,93392000000.00
1999-08-01,94642000000.00
1999-09-01,96153000000.00
1999-10-01,98793000000.00
1999-11-01,98452000000.00
1999-12-01,96911000000.00
2000-01-01,98845000000.00
2000-02-01,100130000000.00
2000-03-01,99599000000.00
2000-04-01,100639000000.00
2000-05-01,101048000000.00
2000-06-01,101070000000.00
2000-07-01,102552000000.00
2000-08-01,102978000000.00
2000-09-01,104276000000.00
2000-10-01,106180000000.00
2000-11-01,105253000000.00
2000-12-01,102040000000.00
2001-01-01,104126000000.00
2001-02-01,102099000000.00
2001-03-01,100710000000.00
2001-04-01,100780000000.00
2001-05-01,100553000000.00
2001-06-01,98715000000.00
2001-07-01,98715000000.00
2001-08-01,98609000000.00
2001-09-01,99081000000.00
2001-10-01,99404000000.00
2001-11-01,97293000000.00
2001-12-01,94560000000.00
2002-01-01,95059000000.00
2002-02-01,94539000000.00
2002-03-01,94071000000.00
2002-04-01,95273000000.00
2002-05-01,95293000000.00
2002-06-01,95281000000.00
2002-07-01,96665000000.00
2002-08-01,98157000000.00
2002-09-01,99975000000.00
2002-10-01,101407000000.00
2002-11-01,100121000000.00
2002-12-01,97048000000.00
2003-01-01,98311000000.00
2003-02-01,100526000000.00
2003-03-01,99185000000.00
2003-04-01,99765000000.00
2003-05-01,99412000000.00
2003-06-01,99051000000.00
2003-07-01,99814000000.00
2003-08-01,101150000000.00
2003-09-01,102004000000.00
2003-10-01,103794000000.00
2003-11-01,101922000000.00
2003-12-01,97604000000.00
2004-01-01,99039000000.00
2004-02-01,101338000000.00
2004-03-01,101654000000.00
2004-04-01,103122000000.00
2004-05-01,104884000000.00
2004-06-01,104965000000.00
2004-07-01,106642000000.00
2004-08-01,107498000000.00
