Date,UDEFUO
1992-01-01,152901000000.00
1992-02-01,151045000000.00
1992-03-01,149684000000.00
1992-04-01,147724000000.00
1992-05-01,146207000000.00
1992-06-01,143857000000.00
1992-07-01,139952000000.00
1992-08-01,136648000000.00
1992-09-01,134492000000.00
1992-10-01,137031000000.00
1992-11-01,136947000000.00
1992-12-01,139914000000.00
1993-01-01,140255000000.00
1993-02-01,138393000000.00
1993-03-01,139199000000.00
1993-04-01,137465000000.00
1993-05-01,134484000000.00
1993-06-01,131442000000.00
1993-07-01,130388000000.00
1993-08-01,129660000000.00
1993-09-01,127766000000.00
1993-10-01,126512000000.00
1993-11-01,124359000000.00
1993-12-01,125861000000.00
1994-01-01,129628000000.00
1994-02-01,127810000000.00
1994-03-01,127247000000.00
1994-04-01,124250000000.00
1994-05-01,122806000000.00
1994-06-01,122069000000.00
1994-07-01,120338000000.00
1994-08-01,118408000000.00
1994-09-01,117276000000.00
1994-10-01,117593000000.00
1994-11-01,117074000000.00
1994-12-01,121787000000.00
1995-01-01,121126000000.00
1995-02-01,120941000000.00
1995-03-01,122441000000.00
1995-04-01,121027000000.00
1995-05-01,118655000000.00
1995-06-01,117695000000.00
1995-07-01,115793000000.00
1995-08-01,114955000000.00
1995-09-01,114453000000.00
1995-10-01,112646000000.00
1995-11-01,111522000000.00
1995-12-01,114923000000.00
1996-01-01,116208000000.00
1996-02-01,114978000000.00
1996-03-01,122281000000.00
1996-04-01,121682000000.00
1996-05-01,121462000000.00
1996-06-01,121633000000.00
1996-07-01,118783000000.00
1996-08-01,116452000000.00
1996-09-01,115287000000.00
1996-10-01,114897000000.00
1996-11-01,122006000000.00
1996-12-01,129691000000.00
1997-01-01,129653000000.00
1997-02-01,128492000000.00
1997-03-01,128319000000.00
1997-04-01,128110000000.00
1997-05-01,125552000000.00
1997-06-01,124095000000.00
1997-07-01,121998000000.00
1997-08-01,120275000000.00
1997-09-01,118629000000.00
1997-10-01,116638000000.00
1997-11-01,116145000000.00
1997-12-01,117927000000.00
1998-01-01,119206000000.00
1998-02-01,117231000000.00
1998-03-01,116336000000.00
1998-04-01,116083000000.00
1998-05-01,112564000000.00
1998-06-01,110739000000.00
1998-07-01,108629000000.00
1998-08-01,106168000000.00
1998-09-01,106828000000.00
1998-10-01,104858000000.00
1998-11-01,104113000000.00
1998-12-01,107364000000.00
1999-01-01,110143000000.00
1999-02-01,109665000000.00
1999-03-01,111717000000.00
1999-04-01,110390000000.00
1999-05-01,108809000000.00
1999-06-01,107045000000.00
1999-07-01,106644000000.00
1999-08-01,103689000000.00
1999-09-01,101786000000.00
1999-10-01,103072000000.00
1999-11-01,100818000000.00
1999-12-01,104309000000.00
2000-01-01,107689000000.00
2000-02-01,107345000000.00
2000-03-01,106395000000.00
2000-04-01,104063000000.00
2000-05-01,102434000000.00
2000-06-01,121512000000.00
2000-07-01,119487000000.00
2000-08-01,118232000000.00
2000-09-01,116587000000.00
2000-10-01,115621000000.00
2000-11-01,116321000000.00
2000-12-01,116856000000.00
2001-01-01,116868000000.00
2001-02-01,116844000000.00
2001-03-01,121104000000.00
2001-04-01,120697000000.00
2001-05-01,119657000000.00
2001-06-01,117170000000.00
2001-07-01,115304000000.00
2001-08-01,112848000000.00
2001-09-01,113223000000.00
2001-10-01,124626000000.00
2001-11-01,123944000000.00
2001-12-01,127115000000.00
2002-01-01,125956000000.00
2002-02-01,128456000000.00
2002-03-01,133406000000.00
2002-04-01,132918000000.00
2002-05-01,130677000000.00
2002-06-01,129193000000.00
2002-07-01,126488000000.00
2002-08-01,126010000000.00
2002-09-01,126254000000.00
2002-10-01,123952000000.00
2002-11-01,122508000000.00
2002-12-01,127334000000.00
2003-01-01,128153000000.00
2003-02-01,130367000000.00
2003-03-01,134828000000.00
2003-04-01,136712000000.00
2003-05-01,136273000000.00
2003-06-01,136221000000.00
2003-07-01,133583000000.00
2003-08-01,134436000000.00
2003-09-01,133171000000.00
2003-10-01,134313000000.00
2003-11-01,135141000000.00
2003-12-01,142216000000.00
2004-01-01,145025000000.00
2004-02-01,145891000000.00
2004-03-01,150103000000.00
2004-04-01,150627000000.00
2004-05-01,147813000000.00
2004-06-01,148711000000.00
2004-07-01,146176000000.00
2004-08-01,144499000000.00
2004-09-01,144191000000.00
2004-10-01,146296000000.00
2004-11-01,146402000000.00
2004-12-01,149986000000.00
2005-01-01,150566000000.00
2005-02-01,149629000000.00
2005-03-01,151277000000.00
2005-04-01,149220000000.00
2005-05-01,146334000000.00
2005-06-01,146529000000.00
2005-07-01,143873000000.00
2005-08-01,140976000000.00
2005-09-01,138682000000.00
2005-10-01,139791000000.00
2005-11-01,138587000000.00
2005-12-01,140834000000.00
2006-01-01,138225000000.00
2006-02-01,140488000000.00
2006-03-01,144746000000.00
2006-04-01,143523000000.00
2006-05-01,140529000000.00
2006-06-01,143305000000.00
2006-07-01,142041000000.00
2006-08-01,142148000000.00
2006-09-01,147511000000.00
2006-10-01,146764000000.00
2006-11-01,149818000000.00
2006-12-01,154402000000.00
2007-01-01,156982000000.00
2007-02-01,157937000000.00
2007-03-01,157983000000.00
2007-04-01,156274000000.00
2007-05-01,154249000000.00
2007-06-01,152256000000.00
2007-07-01,150897000000.00
2007-08-01,152798000000.00
2007-09-01,150834000000.00
2007-10-01,152082000000.00
2007-11-01,149409000000.00
2007-12-01,158354000000.00
2008-01-01,160853000000.00
2008-02-01,162483000000.00
2008-03-01,164902000000.00
2008-04-01,162262000000.00
2008-05-01,160481000000.00
2008-06-01,162264000000.00
2008-07-01,159768000000.00
2008-08-01,159471000000.00
2008-09-01,162705000000.00
2008-10-01,161360000000.00
2008-11-01,159810000000.00
2008-12-01,170390000000.00
2009-01-01,170539000000.00
2009-02-01,169450000000.00
2009-03-01,169636000000.00
2009-04-01,168080000000.00
2009-05-01,167523000000.00
2009-06-01,163992000000.00
2009-07-01,160657000000.00
2009-08-01,158344000000.00
2009-09-01,156373000000.00
2009-10-01,153030000000.00
2009-11-01,148695000000.00
2009-12-01,150896000000.00
2010-01-01,153517000000.00
2010-02-01,153901000000.00
2010-03-01,156782000000.00
2010-04-01,156444000000.00
2010-05-01,156133000000.00
2010-06-01,156312000000.00
2010-07-01,154809000000.00
2010-08-01,154933000000.00
2010-09-01,155754000000.00
2010-10-01,154135000000.00
2010-11-01,153494000000.00
2010-12-01,158018000000.00
2011-01-01,164102000000.00
2011-02-01,164445000000.00
2011-03-01,167797000000.00
2011-04-01,168469000000.00
2011-05-01,168789000000.00
2011-06-01,170752000000.00
2011-07-01,170124000000.00
2011-08-01,170317000000.00
2011-09-01,172081000000.00
2011-10-01,170615000000.00
2011-11-01,169166000000.00
2011-12-01,170476000000.00
2012-01-01,170360000000.00
2012-02-01,170900000000.00
2012-03-01,172978000000.00
2012-04-01,170617000000.00
2012-05-01,167115000000.00
2012-06-01,171212000000.00
2012-07-01,172104000000.00
2012-08-01,168163000000.00
2012-09-01,167979000000.00
2012-10-01,165009000000.00
2012-11-01,161261000000.00
2012-12-01,174060000000.00
2013-01-01,171736000000.00
2013-02-01,170947000000.00
2013-03-01,167611000000.00
2013-04-01,163646000000.00
2013-05-01,160431000000.00
2013-06-01,163556000000.00
2013-07-01,161260000000.00
2013-08-01,157523000000.00
