Date,UITINO
1992-02-01,18710000000.00
1992-03-01,21213000000.00
1992-04-01,15892000000.00
1992-05-01,18013000000.00
1992-06-01,21469000000.00
1992-07-01,16637000000.00
1992-08-01,17117000000.00
1992-09-01,22372000000.00
1992-10-01,18214000000.00
1992-11-01,20994000000.00
1992-12-01,25370000000.00
1993-01-01,17476000000.00
1993-02-01,18114000000.00
1993-03-01,21508000000.00
1993-04-01,17120000000.00
1993-05-01,18004000000.00
1993-06-01,21132000000.00
1993-07-01,17131000000.00
1993-08-01,18930000000.00
1993-09-01,23610000000.00
1993-10-01,20406000000.00
1993-11-01,21414000000.00
1993-12-01,24542000000.00
1994-01-01,17924000000.00
1994-02-01,20029000000.00
1994-03-01,21963000000.00
1994-04-01,18740000000.00
1994-05-01,19718000000.00
1994-06-01,25789000000.00
1994-07-01,19181000000.00
1994-08-01,20188000000.00
1994-09-01,26803000000.00
1994-10-01,22746000000.00
1994-11-01,22914000000.00
1994-12-01,29015000000.00
1995-01-01,20276000000.00
1995-02-01,22034000000.00
1995-03-01,27163000000.00
1995-04-01,21410000000.00
1995-05-01,23026000000.00
1995-06-01,27638000000.00
1995-07-01,19889000000.00
1995-08-01,22223000000.00
1995-09-01,29599000000.00
1995-10-01,25994000000.00
1995-11-01,25924000000.00
1995-12-01,32429000000.00
1996-01-01,20769000000.00
1996-02-01,25328000000.00
1996-03-01,29488000000.00
1996-04-01,21986000000.00
1996-05-01,23189000000.00
1996-06-01,28737000000.00
1996-07-01,21793000000.00
1996-08-01,23632000000.00
1996-09-01,28851000000.00
1996-10-01,27233000000.00
1996-11-01,27047000000.00
1996-12-01,32021000000.00
1997-01-01,22665000000.00
1997-02-01,28166000000.00
1997-03-01,32814000000.00
1997-04-01,24763000000.00
1997-05-01,25579000000.00
1997-06-01,34640000000.00
1997-07-01,26784000000.00
1997-08-01,26973000000.00
1997-09-01,36627000000.00
1997-10-01,27964000000.00
1997-11-01,28385000000.00
1997-12-01,37340000000.00
1998-01-01,25413000000.00
1998-02-01,30028000000.00
1998-03-01,35301000000.00
1998-04-01,25973000000.00
1998-05-01,28429000000.00
1998-06-01,36707000000.00
1998-07-01,24455000000.00
1998-08-01,26490000000.00
1998-09-01,35985000000.00
1998-10-01,28456000000.00
1998-11-01,29627000000.00
1998-12-01,38859000000.00
1999-01-01,25057000000.00
1999-02-01,28896000000.00
1999-03-01,36937000000.00
1999-04-01,28453000000.00
1999-05-01,29638000000.00
1999-06-01,36890000000.00
1999-07-01,28643000000.00
1999-08-01,28888000000.00
1999-09-01,39357000000.00
1999-10-01,31569000000.00
1999-11-01,31810000000.00
1999-12-01,43022000000.00
2000-01-01,28598000000.00
2000-02-01,29515000000.00
2000-03-01,38661000000.00
2000-04-01,29597000000.00
2000-05-01,30266000000.00
2000-06-01,44703000000.00
2000-07-01,28627000000.00
2000-08-01,30003000000.00
2000-09-01,41092000000.00
2000-10-01,33492000000.00
2000-11-01,33476000000.00
2000-12-01,41470000000.00
2001-01-01,27227000000.00
2001-02-01,30596000000.00
2001-03-01,36584000000.00
2001-04-01,25205000000.00
2001-05-01,25768000000.00
2001-06-01,32163000000.00
2001-07-01,23118000000.00
2001-08-01,23519000000.00
2001-09-01,30296000000.00
2001-10-01,24090000000.00
2001-11-01,24886000000.00
2001-12-01,33483000000.00
2002-01-01,19705000000.00
2002-02-01,22828000000.00
2002-03-01,26981000000.00
2002-04-01,21630000000.00
2002-05-01,22224000000.00
2002-06-01,26062000000.00
2002-07-01,19137000000.00
2002-08-01,20203000000.00
2002-09-01,26122000000.00
2002-10-01,19929000000.00
2002-11-01,21406000000.00
2002-12-01,27561000000.00
2003-01-01,20187000000.00
2003-02-01,20881000000.00
2003-03-01,26639000000.00
2003-04-01,20667000000.00
2003-05-01,20601000000.00
2003-06-01,25935000000.00
2003-07-01,19888000000.00
2003-08-01,21008000000.00
2003-09-01,28112000000.00
2003-10-01,24689000000.00
2003-11-01,22614000000.00
2003-12-01,31068000000.00
2004-01-01,21110000000.00
2004-02-01,23086000000.00
2004-03-01,29669000000.00
2004-04-01,21946000000.00
2004-05-01,22189000000.00
2004-06-01,26415000000.00
2004-07-01,20303000000.00
2004-08-01,20701000000.00
2004-09-01,29943000000.00
2004-10-01,24389000000.00
2004-11-01,23548000000.00
2004-12-01,30537000000.00
2005-01-01,22058000000.00
2005-02-01,22931000000.00
2005-03-01,29740000000.00
2005-04-01,21494000000.00
2005-05-01,21390000000.00
2005-06-01,30026000000.00
2005-07-01,20413000000.00
2005-08-01,23480000000.00
2005-09-01,29570000000.00
2005-10-01,24390000000.00
2005-11-01,23645000000.00
2005-12-01,31230000000.00
2006-01-01,22593000000.00
2006-02-01,24673000000.00
2006-03-01,33800000000.00
2006-04-01,24770000000.00
2006-05-01,24103000000.00
2006-06-01,31148000000.00
2006-07-01,24577000000.00
2006-08-01,25405000000.00
2006-09-01,32845000000.00
2006-10-01,25792000000.00
2006-11-01,28746000000.00
2006-12-01,34197000000.00
2007-01-01,22480000000.00
2007-02-01,26058000000.00
2007-03-01,29601000000.00
2007-04-01,24415000000.00
2007-05-01,25279000000.00
2007-06-01,29500000000.00
2007-07-01,23123000000.00
2007-08-01,25472000000.00
2007-09-01,32185000000.00
2007-10-01,26188000000.00
2007-11-01,25793000000.00
2007-12-01,34154000000.00
2008-01-01,23961000000.00
2008-02-01,25864000000.00
2008-03-01,30638000000.00
2008-04-01,24132000000.00
2008-05-01,26001000000.00
2008-06-01,31558000000.00
2008-07-01,23443000000.00
2008-08-01,24185000000.00
2008-09-01,30857000000.00
2008-10-01,24082000000.00
2008-11-01,24127000000.00
2008-12-01,29723000000.00
2009-01-01,18939000000.00
2009-02-01,21190000000.00
2009-03-01,26363000000.00
2009-04-01,19035000000.00
2009-05-01,19487000000.00
2009-06-01,24535000000.00
2009-07-01,19944000000.00
2009-08-01,20041000000.00
2009-09-01,26181000000.00
2009-10-01,21982000000.00
2009-11-01,21004000000.00
2009-12-01,26901000000.00
2010-01-01,18867000000.00
2010-02-01,19877000000.00
2010-03-01,26641000000.00
2010-04-01,20656000000.00
2010-05-01,20512000000.00
2010-06-01,24987000000.00
2010-07-01,19708000000.00
2010-08-01,21889000000.00
2010-09-01,27951000000.00
2010-10-01,20632000000.00
2010-11-01,22213000000.00
2010-12-01,28884000000.00
2011-01-01,20864000000.00
2011-02-01,22678000000.00
2011-03-01,26775000000.00
2011-04-01,20558000000.00
2011-05-01,21989000000.00
2011-06-01,26885000000.00
2011-07-01,20171000000.00
2011-08-01,22923000000.00
2011-09-01,28726000000.00
2011-10-01,23480000000.00
2011-11-01,21979000000.00
2011-12-01,29052000000.00
2012-01-01,20340000000.00
2012-02-01,23563000000.00
2012-03-01,27354000000.00
2012-04-01,21951000000.00
2012-05-01,22779000000.00
2012-06-01,25160000000.00
2012-07-01,19129000000.00
2012-08-01,20118000000.00
2012-09-01,25127000000.00
2012-10-01,20855000000.00
2012-11-01,20662000000.00
2012-12-01,27216000000.00
2013-01-01,17656000000.00
2013-02-01,19581000000.00
2013-03-01,23701000000.00
2013-04-01,19807000000.00
2013-05-01,21853000000.00
2013-06-01,25558000000.00
2013-07-01,17799000000.00
2013-08-01,19032000000.00
2013-09-01,25964000000.00
2013-10-01,20488000000.00
2013-11-01,19575000000.00
2013-12-01,25168000000.00
2014-01-01,18545000000.00
2014-02-01,19715000000.00
2014-03-01,25538000000.00
2014-04-01,19888000000.00
2014-05-01,19742000000.00
2014-06-01,25633000000.00
2014-07-01,18404000000.00
2014-08-01,20266000000.00
2014-09-01,25228000000.00
2014-10-01,20198000000.00
2014-11-01,19206000000.00
2014-12-01,24686000000.00
2015-01-01,17567000000.00
2015-02-01,18885000000.00
2015-03-01,26179000000.00
2015-04-01,19795000000.00
2015-05-01,19680000000.00
2015-06-01,24556000000.00
2015-07-01,18830000000.00
2015-08-01,20155000000.00
2015-09-01,24863000000.00
