Date,UITIVS
1992-01-01,16376000000.00
1992-02-01,18265000000.00
1992-03-01,21706000000.00
1992-04-01,18015000000.00
1992-05-01,18546000000.00
1992-06-01,22516000000.00
1992-07-01,17149000000.00
1992-08-01,18379000000.00
1992-09-01,22540000000.00
1992-10-01,19135000000.00
1992-11-01,19937000000.00
1992-12-01,23451000000.00
1993-01-01,16499000000.00
1993-02-01,18424000000.00
1993-03-01,22255000000.00
1993-04-01,17274000000.00
1993-05-01,18435000000.00
1993-06-01,22654000000.00
1993-07-01,17112000000.00
1993-08-01,19062000000.00
1993-09-01,23633000000.00
1993-10-01,19980000000.00
1993-11-01,21344000000.00
1993-12-01,25008000000.00
1994-01-01,17392000000.00
1994-02-01,19922000000.00
1994-03-01,23466000000.00
1994-04-01,19348000000.00
1994-05-01,20358000000.00
1994-06-01,25064000000.00
1994-07-01,18601000000.00
1994-08-01,20971000000.00
1994-09-01,25970000000.00
1994-10-01,21622000000.00
1994-11-01,23589000000.00
1994-12-01,27789000000.00
1995-01-01,19272000000.00
1995-02-01,21861000000.00
1995-03-01,26734000000.00
1995-04-01,20891000000.00
1995-05-01,22695000000.00
1995-06-01,28257000000.00
1995-07-01,19657000000.00
1995-08-01,23006000000.00
1995-09-01,29024000000.00
1995-10-01,23970000000.00
1995-11-01,25522000000.00
1995-12-01,30996000000.00
1996-01-01,19950000000.00
1996-02-01,24063000000.00
1996-03-01,29356000000.00
1996-04-01,22014000000.00
1996-05-01,23768000000.00
1996-06-01,29751000000.00
1996-07-01,21458000000.00
1996-08-01,24579000000.00
1996-09-01,30554000000.00
1996-10-01,25138000000.00
1996-11-01,27073000000.00
1996-12-01,33324000000.00
1997-01-01,21992000000.00
1997-02-01,25888000000.00
1997-03-01,32510000000.00
1997-04-01,24888000000.00
1997-05-01,26157000000.00
1997-06-01,34771000000.00
1997-07-01,25241000000.00
1997-08-01,27921000000.00
1997-09-01,35537000000.00
1997-10-01,28680000000.00
1997-11-01,28825000000.00
1997-12-01,37436000000.00
1998-01-01,23588000000.00
1998-02-01,28080000000.00
1998-03-01,35393000000.00
1998-04-01,26148000000.00
1998-05-01,27294000000.00
1998-06-01,36790000000.00
1998-07-01,25162000000.00
1998-08-01,27526000000.00
1998-09-01,36124000000.00
1998-10-01,28650000000.00
1998-11-01,30202000000.00
1998-12-01,37607000000.00
1999-01-01,24309000000.00
1999-02-01,28153000000.00
1999-03-01,35932000000.00
1999-04-01,27320000000.00
1999-05-01,29095000000.00
1999-06-01,37673000000.00
1999-07-01,28066000000.00
1999-08-01,29598000000.00
1999-09-01,37019000000.00
1999-10-01,29853000000.00
1999-11-01,30408000000.00
1999-12-01,36958000000.00
2000-01-01,26246000000.00
2000-02-01,29393000000.00
2000-03-01,37356000000.00
2000-04-01,28917000000.00
2000-05-01,30600000000.00
2000-06-01,39058000000.00
2000-07-01,28630000000.00
2000-08-01,31086000000.00
