Date,UMDMVS
1992-01-01,106893000000.00
1992-02-01,122878000000.00
1992-03-01,133930000000.00
1992-04-01,126208000000.00
1992-05-01,127327000000.00
1992-06-01,139203000000.00
1992-07-01,110693000000.00
1992-08-01,124045000000.00
1992-09-01,134851000000.00
1992-10-01,132868000000.00
1992-11-01,128267000000.00
1992-12-01,131699000000.00
1993-01-01,114536000000.00
1993-02-01,131279000000.00
1993-03-01,142985000000.00
1993-04-01,132232000000.00
1993-05-01,132660000000.00
1993-06-01,145403000000.00
1993-07-01,111370000000.00
1993-08-01,129791000000.00
1993-09-01,143857000000.00
1993-10-01,141325000000.00
1993-11-01,138602000000.00
1993-12-01,140504000000.00
1994-01-01,125146000000.00
1994-02-01,142097000000.00
1994-03-01,153265000000.00
1994-04-01,142817000000.00
1994-05-01,146511000000.00
1994-06-01,159229000000.00
1994-07-01,123377000000.00
1994-08-01,149497000000.00
1994-09-01,159505000000.00
1994-10-01,153918000000.00
1994-11-01,153573000000.00
1994-12-01,155126000000.00
1995-01-01,140564000000.00
1995-02-01,158052000000.00
1995-03-01,170129000000.00
1995-04-01,153614000000.00
1995-05-01,157599000000.00
1995-06-01,171958000000.00
1995-07-01,129693000000.00
1995-08-01,158264000000.00
1995-09-01,173601000000.00
1995-10-01,165167000000.00
1995-11-01,161308000000.00
1995-12-01,162866000000.00
1996-01-01,141398000000.00
1996-02-01,161490000000.00
1996-03-01,171359000000.00
1996-04-01,161334000000.00
1996-05-01,168036000000.00
1996-06-01,179901000000.00
1996-07-01,140068000000.00
1996-08-01,165318000000.00
1996-09-01,181050000000.00
1996-10-01,171012000000.00
1996-11-01,169165000000.00
1996-12-01,168466000000.00
1997-01-01,151038000000.00
1997-02-01,173675000000.00
1997-03-01,187799000000.00
1997-04-01,176538000000.00
1997-05-01,175427000000.00
1997-06-01,196548000000.00
1997-07-01,155229000000.00
1997-08-01,177838000000.00
1997-09-01,199063000000.00
1997-10-01,187614000000.00
1997-11-01,180798000000.00
1997-12-01,185817000000.00
1998-01-01,158479000000.00
1998-02-01,186761000000.00
1998-03-01,203671000000.00
1998-04-01,183084000000.00
1998-05-01,183534000000.00
1998-06-01,199706000000.00
1998-07-01,154236000000.00
1998-08-01,182302000000.00
1998-09-01,203857000000.00
1998-10-01,194552000000.00
1998-11-01,189234000000.00
1998-12-01,192172000000.00
1999-01-01,166364000000.00
1999-02-01,190696000000.00
1999-03-01,209807000000.00
1999-04-01,190368000000.00
1999-05-01,193746000000.00
1999-06-01,212530000000.00
1999-07-01,164221000000.00
1999-08-01,196883000000.00
1999-09-01,211190000000.00
1999-10-01,198501000000.00
1999-11-01,194312000000.00
1999-12-01,198118000000.00
2000-01-01,176995000000.00
2000-02-01,194393000000.00
2000-03-01,217830000000.00
2000-04-01,194064000000.00
2000-05-01,201975000000.00
2000-06-01,222270000000.00
2000-07-01,167634000000.00
2000-08-01,197158000000.00
2000-09-01,216918000000.00
2000-10-01,198879000000.00
2000-11-01,190592000000.00
2000-12-01,194980000000.00
2001-01-01,167837000000.00
2001-02-01,184951000000.00
2001-03-01,206934000000.00
2001-04-01,176021000000.00
2001-05-01,190817000000.00
2001-06-01,200866000000.00
2001-07-01,154525000000.00
2001-08-01,183584000000.00
2001-09-01,183821000000.00
2001-10-01,179150000000.00
2001-11-01,171982000000.00
2001-12-01,173918000000.00
2002-01-01,156548000000.00
2002-02-01,168302000000.00
2002-03-01,188181000000.00
2002-04-01,178082000000.00
2002-05-01,185730000000.00
2002-06-01,190763000000.00
2002-07-01,155943000000.00
2002-08-01,182831000000.00
2002-09-01,189131000000.00
2002-10-01,185242000000.00
2002-11-01,173699000000.00
2002-12-01,169169000000.00
2003-01-01,159686000000.00
2003-02-01,169900000000.00
2003-03-01,191730000000.00
2003-04-01,172388000000.00
2003-05-01,179432000000.00
2003-06-01,192136000000.00
2003-07-01,157284000000.00
2003-08-01,176426000000.00
2003-09-01,195375000000.00
2003-10-01,190905000000.00
2003-11-01,175253000000.00
2003-12-01,182074000000.00
2004-01-01,160928000000.00
2004-02-01,177993000000.00
2004-03-01,209206000000.00
2004-04-01,185404000000.00
2004-05-01,186309000000.00
2004-06-01,204163000000.00
2004-07-01,164145000000.00
2004-08-01,192872000000.00
2004-09-01,204079000000.00
2004-10-01,194247000000.00
2004-11-01,188136000000.00
2004-12-01,197185000000.00
2005-01-01,176001000000.00
2005-02-01,187565000000.00
2005-03-01,214567000000.00
2005-04-01,197842000000.00
2005-05-01,202163000000.00
2005-06-01,219068000000.00
2005-07-01,172301000000.00
2005-08-01,209001000000.00
2005-09-01,219679000000.00
2005-10-01,210399000000.00
2005-11-01,202942000000.00
2005-12-01,213316000000.00
2006-01-01,187907000000.00
2006-02-01,201196000000.00
2006-03-01,235992000000.00
2006-04-01,201362000000.00
2006-05-01,221415000000.00
2006-06-01,236395000000.00
2006-07-01,184784000000.00
2006-08-01,223749000000.00
2006-09-01,224816000000.00
