Date,UMXTVS
1992-01-01,179824000000.00
1992-02-01,195796000000.00
1992-03-01,210850000000.00
1992-04-01,202181000000.00
1992-05-01,205296000000.00
1992-06-01,222794000000.00
1992-07-01,195260000000.00
1992-08-01,205803000000.00
1992-09-01,223769000000.00
1992-10-01,213281000000.00
1992-11-01,207858000000.00
1992-12-01,207701000000.00
1993-01-01,190009000000.00
1993-02-01,207196000000.00
1993-03-01,223321000000.00
1993-04-01,209373000000.00
1993-05-01,211735000000.00
1993-06-01,229570000000.00
1993-07-01,198214000000.00
1993-08-01,213958000000.00
1993-09-01,230822000000.00
1993-10-01,221455000000.00
1993-11-01,217008000000.00
1993-12-01,214399000000.00
1994-01-01,197401000000.00
1994-02-01,216326000000.00
1994-03-01,233019000000.00
1994-04-01,219932000000.00
1994-05-01,225228000000.00
1994-06-01,242445000000.00
1994-07-01,211326000000.00
1994-08-01,234937000000.00
1994-09-01,248057000000.00
1994-10-01,239250000000.00
1994-11-01,237073000000.00
1994-12-01,238373000000.00
1995-01-01,220507000000.00
1995-02-01,240190000000.00
1995-03-01,255870000000.00
1995-04-01,239791000000.00
1995-05-01,245922000000.00
1995-06-01,264594000000.00
1995-07-01,227296000000.00
1995-08-01,252676000000.00
1995-09-01,267831000000.00
1995-10-01,256639000000.00
1995-11-01,250244000000.00
1995-12-01,249846000000.00
1996-01-01,225510000000.00
1996-02-01,245318000000.00
1996-03-01,264176000000.00
1996-04-01,250263000000.00
1996-05-01,257012000000.00
1996-06-01,272827000000.00
1996-07-01,239699000000.00
1996-08-01,260323000000.00
1996-09-01,276435000000.00
1996-10-01,267720000000.00
1996-11-01,262564000000.00
1996-12-01,259311000000.00
1997-01-01,239182000000.00
1997-02-01,261532000000.00
1997-03-01,279827000000.00
1997-04-01,266529000000.00
1997-05-01,267833000000.00
1997-06-01,290465000000.00
1997-07-01,254329000000.00
1997-08-01,273446000000.00
1997-09-01,296119000000.00
1997-10-01,282673000000.00
1997-11-01,272004000000.00
1997-12-01,275453000000.00
1998-01-01,247790000000.00
1998-02-01,271022000000.00
1998-03-01,291534000000.00
1998-04-01,270254000000.00
1998-05-01,270552000000.00
1998-06-01,296372000000.00
1998-07-01,255580000000.00
1998-08-01,272425000000.00
1998-09-01,292845000000.00
1998-10-01,277326000000.00
1998-11-01,268448000000.00
1998-12-01,272783000000.00
1999-01-01,243465000000.00
1999-02-01,266813000000.00
1999-03-01,290040000000.00
1999-04-01,270238000000.00
1999-05-01,273915000000.00
1999-06-01,299370000000.00
1999-07-01,262229000000.00
1999-08-01,284077000000.00
1999-09-01,302881000000.00
1999-10-01,289102000000.00
1999-11-01,285642000000.00
1999-12-01,287787000000.00
2000-01-01,263127000000.00
2000-02-01,286519000000.00
2000-03-01,314166000000.00
2000-04-01,289937000000.00
2000-05-01,298328000000.00
2000-06-01,321378000000.00
2000-07-01,279318000000.00
2000-08-01,302120000000.00
2000-09-01,319837000000.00
2000-10-01,303035000000.00
2000-11-01,293858000000.00
2000-12-01,297100000000.00
2001-01-01,271321000000.00
2001-02-01,283196000000.00
2001-03-01,305326000000.00
2001-04-01,276456000000.00
2001-05-01,290625000000.00
2001-06-01,296461000000.00
2001-07-01,262297000000.00
2001-08-01,286794000000.00
2001-09-01,284146000000.00
2001-10-01,279950000000.00
2001-11-01,265603000000.00
2001-12-01,265829000000.00
2002-01-01,247089000000.00
2002-02-01,255579000000.00
2002-03-01,281854000000.00
2002-04-01,270229000000.00
2002-05-01,280202000000.00
2002-06-01,287194000000.00
2002-07-01,261029000000.00
2002-08-01,280657000000.00
2002-09-01,289019000000.00
2002-10-01,283996000000.00
2002-11-01,270858000000.00
2002-12-01,270306000000.00
2003-01-01,255459000000.00
2003-02-01,262695000000.00
2003-03-01,292408000000.00
2003-04-01,271263000000.00
2003-05-01,278499000000.00
2003-06-01,292276000000.00
2003-07-01,271342000000.00
2003-08-01,283916000000.00
2003-09-01,297228000000.00
