Date,UNAPTI
1992-01-01,24830000000.00
1992-02-01,25088000000.00
1992-03-01,24720000000.00
1992-04-01,24838000000.00
1992-05-01,24406000000.00
1992-06-01,24206000000.00
1992-07-01,24330000000.00
1992-08-01,24949000000.00
1992-09-01,24476000000.00
1992-10-01,24531000000.00
1992-11-01,24631000000.00
1992-12-01,23713000000.00
1993-01-01,23877000000.00
1993-02-01,24673000000.00
1993-03-01,24776000000.00
1993-04-01,24674000000.00
1993-05-01,24517000000.00
1993-06-01,24146000000.00
1993-07-01,24458000000.00
1993-08-01,23357000000.00
1993-09-01,23904000000.00
1993-10-01,23575000000.00
1993-11-01,23525000000.00
1993-12-01,22184000000.00
1994-01-01,22756000000.00
1994-02-01,22629000000.00
1994-03-01,22795000000.00
1994-04-01,23003000000.00
1994-05-01,24223000000.00
1994-06-01,23484000000.00
1994-07-01,23659000000.00
1994-08-01,24166000000.00
1994-09-01,23538000000.00
1994-10-01,23406000000.00
1994-11-01,23512000000.00
1994-12-01,22488000000.00
1995-01-01,22306000000.00
1995-02-01,22390000000.00
1995-03-01,22766000000.00
1995-04-01,22842000000.00
1995-05-01,23342000000.00
1995-06-01,22388000000.00
1995-07-01,22557000000.00
1995-08-01,23019000000.00
1995-09-01,22621000000.00
1995-10-01,22835000000.00
1995-11-01,23551000000.00
1995-12-01,22230000000.00
1996-01-01,23489000000.00
1996-02-01,24161000000.00
1996-03-01,24252000000.00
1996-04-01,24495000000.00
1996-05-01,25150000000.00
1996-06-01,24825000000.00
1996-07-01,25159000000.00
1996-08-01,25903000000.00
1996-09-01,26179000000.00
1996-10-01,27314000000.00
1996-11-01,28254000000.00
1996-12-01,27264000000.00
1997-01-01,28204000000.00
1997-02-01,29618000000.00
1997-03-01,29345000000.00
1997-04-01,29555000000.00
1997-05-01,29913000000.00
1997-06-01,29649000000.00
1997-07-01,30171000000.00
1997-08-01,31158000000.00
1997-09-01,29915000000.00
1997-10-01,31540000000.00
1997-11-01,31452000000.00
1997-12-01,29129000000.00
1998-01-01,30716000000.00
1998-02-01,31803000000.00
1998-03-01,31567000000.00
1998-04-01,33291000000.00
1998-05-01,34191000000.00
1998-06-01,34762000000.00
1998-07-01,35420000000.00
1998-08-01,37194000000.00
1998-09-01,37230000000.00
1998-10-01,39069000000.00
1998-11-01,38551000000.00
1998-12-01,35545000000.00
1999-01-01,36059000000.00
1999-02-01,36782000000.00
1999-03-01,36177000000.00
1999-04-01,35883000000.00
1999-05-01,35330000000.00
1999-06-01,34577000000.00
1999-07-01,35357000000.00
1999-08-01,34603000000.00
1999-09-01,34943000000.00
1999-10-01,35083000000.00
1999-11-01,35360000000.00
1999-12-01,31547000000.00
2000-01-01,30599000000.00
2000-02-01,31558000000.00
2000-03-01,32808000000.00
2000-04-01,31809000000.00
2000-05-01,30303000000.00
2000-06-01,29229000000.00
2000-07-01,29707000000.00
2000-08-01,29364000000.00
2000-09-01,28780000000.00
2000-10-01,29026000000.00
2000-11-01,29040000000.00
2000-12-01,26668000000.00
2001-01-01,27548000000.00
2001-02-01,27629000000.00
2001-03-01,27233000000.00
2001-04-01,27922000000.00
2001-05-01,27858000000.00
2001-06-01,27288000000.00
2001-07-01,27924000000.00
2001-08-01,28408000000.00
2001-09-01,28677000000.00
2001-10-01,29374000000.00
2001-11-01,28850000000.00
2001-12-01,26240000000.00
2002-01-01,26936000000.00
2002-02-01,27263000000.00
2002-03-01,25454000000.00
2002-04-01,25184000000.00
2002-05-01,25233000000.00
2002-06-01,24728000000.00
2002-07-01,24876000000.00
2002-08-01,25075000000.00
2002-09-01,24395000000.00
2002-10-01,24916000000.00
2002-11-01,24293000000.00
2002-12-01,24035000000.00
2003-01-01,25011000000.00
2003-02-01,24687000000.00
2003-03-01,23955000000.00
2003-04-01,24487000000.00
2003-05-01,24926000000.00
2003-06-01,23547000000.00
2003-07-01,23342000000.00
2003-08-01,23516000000.00
2003-09-01,23401000000.00
2003-10-01,23777000000.00
2003-11-01,22848000000.00
2003-12-01,21308000000.00
2004-01-01,21949000000.00
2004-02-01,22098000000.00
2004-03-01,21275000000.00
2004-04-01,21727000000.00
2004-05-01,21419000000.00
2004-06-01,20721000000.00
2004-07-01,21900000000.00
2004-08-01,21947000000.00
2004-09-01,20599000000.00
2004-10-01,20851000000.00
2004-11-01,21245000000.00
2004-12-01,19355000000.00
2005-01-01,20348000000.00
2005-02-01,21519000000.00
2005-03-01,21255000000.00
2005-04-01,20911000000.00
2005-05-01,21439000000.00
2005-06-01,20225000000.00
2005-07-01,21686000000.00
2005-08-01,21438000000.00
2005-09-01,21810000000.00
2005-10-01,22596000000.00
2005-11-01,22577000000.00
2005-12-01,21508000000.00
2006-01-01,22974000000.00
2006-02-01,23270000000.00
2006-03-01,23138000000.00
2006-04-01,24175000000.00
2006-05-01,24416000000.00
2006-06-01,24549000000.00
2006-07-01,25851000000.00
2006-08-01,24873000000.00
2006-09-01,25692000000.00
2006-10-01,26928000000.00
2006-11-01,26905000000.00
2006-12-01,26086000000.00
2007-01-01,27476000000.00
2007-02-01,28431000000.00
2007-03-01,28794000000.00
2007-04-01,30242000000.00
2007-05-01,30990000000.00
2007-06-01,30812000000.00
2007-07-01,31901000000.00
2007-08-01,32512000000.00
2007-09-01,32617000000.00
2007-10-01,33402000000.00
2007-11-01,34526000000.00
2007-12-01,33498000000.00
2008-01-01,35027000000.00
2008-02-01,35076000000.00
2008-03-01,35102000000.00
2008-04-01,35040000000.00
2008-05-01,35013000000.00
2008-06-01,33700000000.00
2008-07-01,34579000000.00
2008-08-01,34541000000.00
2008-09-01,33384000000.00
2008-10-01,34068000000.00
2008-11-01,34746000000.00
2008-12-01,34181000000.00
2009-01-01,34844000000.00
2009-02-01,35873000000.00
2009-03-01,35431000000.00
2009-04-01,36373000000.00
2009-05-01,36809000000.00
2009-06-01,36633000000.00
2009-07-01,38194000000.00
2009-08-01,36774000000.00
2009-09-01,35323000000.00
2009-10-01,36739000000.00
2009-11-01,37243000000.00
2009-12-01,34570000000.00
2010-01-01,36218000000.00
2010-02-01,37214000000.00
2010-03-01,37393000000.00
2010-04-01,38899000000.00
2010-05-01,39565000000.00
2010-06-01,39563000000.00
2010-07-01,40305000000.00
2010-08-01,40861000000.00
2010-09-01,41857000000.00
2010-10-01,42751000000.00
2010-11-01,43428000000.00
2010-12-01,42687000000.00
2011-01-01,44653000000.00
2011-02-01,45408000000.00
2011-03-01,46589000000.00
2011-04-01,47998000000.00
2011-05-01,48927000000.00
2011-06-01,48986000000.00
2011-07-01,50189000000.00
2011-08-01,50733000000.00
2011-09-01,49420000000.00
2011-10-01,50105000000.00
2011-11-01,50471000000.00
2011-12-01,49324000000.00
2012-01-01,50662000000.00
2012-02-01,51569000000.00
2012-03-01,52209000000.00
2012-04-01,52813000000.00
2012-05-01,54071000000.00
2012-06-01,53834000000.00
2012-07-01,54961000000.00
2012-08-01,56056000000.00
2012-09-01,55611000000.00
2012-10-01,56621000000.00
2012-11-01,56663000000.00
2012-12-01,54226000000.00
2013-01-01,56649000000.00
2013-02-01,58183000000.00
2013-03-01,57808000000.00
2013-04-01,59658000000.00
2013-05-01,59224000000.00
2013-06-01,58107000000.00
2013-07-01,58729000000.00
2013-08-01,59229000000.00
2013-09-01,58439000000.00
2013-10-01,59177000000.00
2013-11-01,59495000000.00
2013-12-01,57340000000.00
2014-01-01,59289000000.00
2014-02-01,60517000000.00
2014-03-01,60180000000.00
2014-04-01,61170000000.00
2014-05-01,62861000000.00
2014-06-01,61380000000.00
2014-07-01,62436000000.00
2014-08-01,62173000000.00
2014-09-01,61504000000.00
2014-10-01,62141000000.00
2014-11-01,62580000000.00
2014-12-01,60290000000.00
2015-01-01,62376000000.00
2015-02-01,63720000000.00
2015-03-01,63428000000.00
2015-04-01,64709000000.00
2015-05-01,65270000000.00
2015-06-01,65359000000.00
2015-07-01,67000000000.00
2015-08-01,67289000000.00
2015-09-01,67101000000.00
2015-10-01,68492000000.00
2015-11-01,68315000000.00
2015-12-01,67354000000.00
2016-01-01,68860000000.00
2016-02-01,69792000000.00
2016-03-01,68840000000.00
2016-04-01,70039000000.00
2016-05-01,69632000000.00
2016-06-01,66073000000.00
2016-07-01,66333000000.00
2016-08-01,66445000000.00
2016-09-01,65703000000.00
2016-10-01,65772000000.00
2016-11-01,65807000000.00
2016-12-01,63247000000.00
2017-01-01,64504000000.00
2017-02-01,65656000000.00
2017-03-01,65331000000.00
2017-04-01,65146000000.00
2017-05-01,64999000000.00
2017-06-01,63088000000.00
2017-07-01,63139000000.00
2017-08-01,63407000000.00
2017-09-01,63888000000.00
2017-10-01,64702000000.00
2017-11-01,65020000000.00
2017-12-01,62611000000.00
2018-01-01,65088000000.00
2018-02-01,66847000000.00
2018-03-01,65098000000.00
2018-04-01,66556000000.00
2018-05-01,66669000000.00
