Date,UNDETI
1992-01-01,96554000000.00
1992-02-01,97403000000.00
1992-03-01,95966000000.00
1992-04-01,97260000000.00
1992-05-01,97478000000.00
1992-06-01,95643000000.00
1992-07-01,96451000000.00
1992-08-01,97953000000.00
1992-09-01,96603000000.00
1992-10-01,96932000000.00
1992-11-01,97448000000.00
1992-12-01,93798000000.00
1993-01-01,94866000000.00
1993-02-01,97132000000.00
1993-03-01,96417000000.00
1993-04-01,98376000000.00
1993-05-01,99060000000.00
1993-06-01,97710000000.00
1993-07-01,97944000000.00
1993-08-01,98139000000.00
1993-09-01,97357000000.00
1993-10-01,97924000000.00
1993-11-01,97903000000.00
1993-12-01,93515000000.00
1994-01-01,95936000000.00
1994-02-01,97569000000.00
1994-03-01,97422000000.00
1994-04-01,99072000000.00
1994-05-01,101286000000.00
1994-06-01,99822000000.00
1994-07-01,101552000000.00
1994-08-01,103451000000.00
1994-09-01,101411000000.00
1994-10-01,102267000000.00
1994-11-01,103266000000.00
1994-12-01,99475000000.00
1995-01-01,102299000000.00
1995-02-01,104467000000.00
1995-03-01,103792000000.00
1995-04-01,105756000000.00
1995-05-01,107838000000.00
1995-06-01,105912000000.00
1995-07-01,108010000000.00
1995-08-01,109862000000.00
1995-09-01,108792000000.00
1995-10-01,110989000000.00
1995-11-01,112095000000.00
1995-12-01,107315000000.00
1996-01-01,111259000000.00
1996-02-01,113547000000.00
1996-03-01,111498000000.00
1996-04-01,113813000000.00
1996-05-01,115209000000.00
1996-06-01,112421000000.00
1996-07-01,114179000000.00
1996-08-01,115756000000.00
1996-09-01,113774000000.00
1996-10-01,115410000000.00
1996-11-01,116607000000.00
1996-12-01,110904000000.00
1997-01-01,114587000000.00
1997-02-01,117463000000.00
1997-03-01,115592000000.00
1997-04-01,118705000000.00
1997-05-01,120812000000.00
1997-06-01,118929000000.00
1997-07-01,121794000000.00
1997-08-01,123662000000.00
1997-09-01,120164000000.00
1997-10-01,123378000000.00
1997-11-01,124382000000.00
1997-12-01,117932000000.00
1998-01-01,122113000000.00
1998-02-01,125356000000.00
1998-03-01,123507000000.00
1998-04-01,127479000000.00
1998-05-01,129098000000.00
1998-06-01,126676000000.00
1998-07-01,128772000000.00
1998-08-01,131356000000.00
1998-09-01,128564000000.00
1998-10-01,131183000000.00
1998-11-01,130860000000.00
1998-12-01,122415000000.00
1999-01-01,124833000000.00
1999-02-01,127792000000.00
1999-03-01,126637000000.00
1999-04-01,128277000000.00
1999-05-01,128464000000.00
1999-06-01,125363000000.00
1999-07-01,127590000000.00
1999-08-01,127767000000.00
1999-09-01,126466000000.00
1999-10-01,127490000000.00
1999-11-01,129246000000.00
1999-12-01,121653000000.00
2000-01-01,123110000000.00
2000-02-01,126882000000.00
2000-03-01,125581000000.00
2000-04-01,126825000000.00
2000-05-01,127645000000.00
2000-06-01,125101000000.00
2000-07-01,128444000000.00
2000-08-01,130965000000.00
2000-09-01,127548000000.00
2000-10-01,131029000000.00
2000-11-01,133387000000.00
2000-12-01,127162000000.00
2001-01-01,131405000000.00
2001-02-01,133744000000.00
2001-03-01,129410000000.00
2001-04-01,130209000000.00
2001-05-01,130157000000.00
2001-06-01,125813000000.00
2001-07-01,125887000000.00
2001-08-01,126109000000.00
2001-09-01,120678000000.00
2001-10-01,120915000000.00
2001-11-01,119921000000.00
2001-12-01,110957000000.00
2002-01-01,113556000000.00
2002-02-01,114698000000.00
2002-03-01,110307000000.00
2002-04-01,111066000000.00
2002-05-01,111135000000.00
2002-06-01,108307000000.00
2002-07-01,109685000000.00
2002-08-01,110122000000.00
2002-09-01,107141000000.00
2002-10-01,108037000000.00
2002-11-01,108459000000.00
2002-12-01,104369000000.00
2003-01-01,106498000000.00
2003-02-01,107263000000.00
2003-03-01,104298000000.00
2003-04-01,104594000000.00
2003-05-01,105089000000.00
2003-06-01,101209000000.00
2003-07-01,101258000000.00
2003-08-01,101648000000.00
2003-09-01,99391000000.00
2003-10-01,100880000000.00
2003-11-01,100474000000.00
2003-12-01,95889000000.00
2004-01-01,97549000000.00
2004-02-01,98882000000.00
2004-03-01,96625000000.00
2004-04-01,97814000000.00
2004-05-01,98719000000.00
2004-06-01,97087000000.00
2004-07-01,99329000000.00
2004-08-01,100438000000.00
2004-09-01,97866000000.00
2004-10-01,99034000000.00
2004-11-01,100903000000.00
2004-12-01,95807000000.00
2005-01-01,99873000000.00
2005-02-01,102918000000.00
2005-03-01,102085000000.00
2005-04-01,103222000000.00
2005-05-01,104935000000.00
2005-06-01,102854000000.00
2005-07-01,106693000000.00
2005-08-01,108536000000.00
2005-09-01,107740000000.00
2005-10-01,109612000000.00
2005-11-01,111608000000.00
2005-12-01,107277000000.00
2006-01-01,111483000000.00
2006-02-01,113298000000.00
2006-03-01,112025000000.00
2006-04-01,114782000000.00
2006-05-01,115571000000.00
2006-06-01,114510000000.00
2006-07-01,117940000000.00
2006-08-01,118702000000.00
2006-09-01,118810000000.00
2006-10-01,121768000000.00
2006-11-01,122636000000.00
2006-12-01,118789000000.00
2007-01-01,122426000000.00
2007-02-01,125028000000.00
2007-03-01,123510000000.00
2007-04-01,124944000000.00
2007-05-01,127411000000.00
2007-06-01,124762000000.00
2007-07-01,126453000000.00
2007-08-01,128155000000.00
2007-09-01,127039000000.00
2007-10-01,129577000000.00
2007-11-01,132146000000.00
2007-12-01,127421000000.00
2008-01-01,131942000000.00
2008-02-01,133656000000.00
2008-03-01,133257000000.00
2008-04-01,134299000000.00
2008-05-01,134739000000.00
2008-06-01,131494000000.00
2008-07-01,134183000000.00
2008-08-01,135266000000.00
2008-09-01,132111000000.00
2008-10-01,133704000000.00
2008-11-01,134839000000.00
2008-12-01,130421000000.00
2009-01-01,133695000000.00
2009-02-01,135393000000.00
2009-03-01,131534000000.00
2009-04-01,132540000000.00
2009-05-01,132210000000.00
2009-06-01,128363000000.00
2009-07-01,128773000000.00
2009-08-01,127802000000.00
2009-09-01,124275000000.00
2009-10-01,126344000000.00
2009-11-01,128171000000.00
2009-12-01,121903000000.00
2010-01-01,125795000000.00
2010-02-01,128117000000.00
2010-03-01,125951000000.00
2010-04-01,128420000000.00
2010-05-01,130477000000.00
2010-06-01,130085000000.00
2010-07-01,132419000000.00
2010-08-01,134358000000.00
2010-09-01,134241000000.00
2010-10-01,137319000000.00
2010-11-01,139609000000.00
2010-12-01,134747000000.00
2011-01-01,140493000000.00
2011-02-01,143738000000.00
2011-03-01,144669000000.00
