Date,UNDEUO
1992-01-01,185215000000.00
1992-02-01,184377000000.00
1992-03-01,184174000000.00
1992-04-01,184878000000.00
1992-05-01,186826000000.00
1992-06-01,186382000000.00
1992-07-01,185034000000.00
1992-08-01,182620000000.00
1992-09-01,180591000000.00
1992-10-01,180630000000.00
1992-11-01,178700000000.00
1992-12-01,178244000000.00
1993-01-01,177628000000.00
1993-02-01,180005000000.00
1993-03-01,177120000000.00
1993-04-01,176513000000.00
1993-05-01,174350000000.00
1993-06-01,175874000000.00
1993-07-01,175874000000.00
1993-08-01,175635000000.00
1993-09-01,174025000000.00
1993-10-01,174083000000.00
1993-11-01,173994000000.00
1993-12-01,172535000000.00
1994-01-01,175433000000.00
1994-02-01,175942000000.00
1994-03-01,174070000000.00
1994-04-01,174609000000.00
1994-05-01,173482000000.00
1994-06-01,174796000000.00
1994-07-01,174870000000.00
1994-08-01,174494000000.00
1994-09-01,174282000000.00
1994-10-01,176140000000.00
1994-11-01,177863000000.00
1994-12-01,176426000000.00
1995-01-01,179397000000.00
1995-02-01,181106000000.00
1995-03-01,182457000000.00
1995-04-01,182044000000.00
1995-05-01,183744000000.00
1995-06-01,182788000000.00
1995-07-01,182247000000.00
1995-08-01,181885000000.00
1995-09-01,186744000000.00
1995-10-01,189671000000.00
1995-11-01,193006000000.00
1995-12-01,197980000000.00
1996-01-01,204993000000.00
1996-02-01,208909000000.00
1996-03-01,212950000000.00
1996-04-01,212181000000.00
1996-05-01,214291000000.00
1996-06-01,213990000000.00
1996-07-01,217035000000.00
1996-08-01,213944000000.00
1996-09-01,215678000000.00
1996-10-01,219303000000.00
1996-11-01,218923000000.00
1996-12-01,215845000000.00
1997-01-01,220573000000.00
1997-02-01,224063000000.00
1997-03-01,224064000000.00
1997-04-01,223353000000.00
1997-05-01,222098000000.00
1997-06-01,221633000000.00
1997-07-01,223002000000.00
1997-08-01,224028000000.00
1997-09-01,225709000000.00
1997-10-01,230675000000.00
1997-11-01,243377000000.00
1997-12-01,241236000000.00
1998-01-01,246383000000.00
1998-02-01,247686000000.00
1998-03-01,245149000000.00
1998-04-01,246114000000.00
1998-05-01,247512000000.00
1998-06-01,245818000000.00
1998-07-01,245137000000.00
1998-08-01,246830000000.00
1998-09-01,247446000000.00
1998-10-01,245553000000.00
1998-11-01,243268000000.00
1998-12-01,239790000000.00
1999-01-01,244786000000.00
1999-02-01,244660000000.00
1999-03-01,243562000000.00
1999-04-01,240435000000.00
1999-05-01,238808000000.00
1999-06-01,235272000000.00
1999-07-01,235513000000.00
1999-08-01,233964000000.00
1999-09-01,236967000000.00
1999-10-01,237019000000.00
1999-11-01,237577000000.00
1999-12-01,243694000000.00
2000-01-01,249593000000.00
2000-02-01,249656000000.00
2000-03-01,251513000000.00
2000-04-01,251589000000.00
2000-05-01,249693000000.00
2000-06-01,256186000000.00
2000-07-01,257160000000.00
2000-08-01,256473000000.00
2000-09-01,261932000000.00
2000-10-01,260408000000.00
2000-11-01,261587000000.00
2000-12-01,266684000000.00
2001-01-01,268044000000.00
2001-02-01,266858000000.00
2001-03-01,264977000000.00
2001-04-01,261799000000.00
2001-05-01,259516000000.00
2001-06-01,254942000000.00
2001-07-01,250692000000.00
2001-08-01,247055000000.00
2001-09-01,241966000000.00
2001-10-01,235295000000.00
2001-11-01,231979000000.00
2001-12-01,229741000000.00
2002-01-01,227226000000.00
2002-02-01,226046000000.00
2002-03-01,220405000000.00
2002-04-01,217394000000.00
2002-05-01,215610000000.00
2002-06-01,208656000000.00
2002-07-01,207287000000.00
2002-08-01,208488000000.00
2002-09-01,203824000000.00
2002-10-01,202121000000.00
2002-11-01,200440000000.00
2002-12-01,199802000000.00
2003-01-01,202331000000.00
2003-02-01,202014000000.00
2003-03-01,201661000000.00
2003-04-01,202110000000.00
2003-05-01,202216000000.00
2003-06-01,200246000000.00
2003-07-01,199765000000.00
2003-08-01,199018000000.00
2003-09-01,199120000000.00
2003-10-01,200203000000.00
2003-11-01,200306000000.00
2003-12-01,202350000000.00
2004-01-01,204342000000.00
2004-02-01,206774000000.00
2004-03-01,209691000000.00
2004-04-01,210550000000.00
2004-05-01,211813000000.00
2004-06-01,211800000000.00
2004-07-01,218586000000.00
2004-08-01,217138000000.00
2004-09-01,219595000000.00
2004-10-01,219140000000.00
2004-11-01,225404000000.00
2004-12-01,229423000000.00
2005-01-01,233888000000.00
2005-02-01,238553000000.00
2005-03-01,238337000000.00
2005-04-01,239778000000.00
2005-05-01,251764000000.00
2005-06-01,260541000000.00
2005-07-01,265521000000.00
2005-08-01,272177000000.00
2005-09-01,274059000000.00
2005-10-01,278989000000.00
2005-11-01,297274000000.00
2005-12-01,313341000000.00
2006-01-01,319480000000.00
2006-02-01,324319000000.00
2006-03-01,335441000000.00
2006-04-01,342042000000.00
2006-05-01,345621000000.00
2006-06-01,350023000000.00
2006-07-01,354230000000.00
2006-08-01,353432000000.00
2006-09-01,372112000000.00
2006-10-01,381281000000.00
2006-11-01,390195000000.00
2006-12-01,408073000000.00
2007-01-01,413924000000.00
2007-02-01,421164000000.00
2007-03-01,436661000000.00
2007-04-01,449596000000.00
2007-05-01,454722000000.00
2007-06-01,464930000000.00
2007-07-01,479763000000.00
2007-08-01,482551000000.00
2007-09-01,488548000000.00
2007-10-01,493613000000.00
2007-11-01,505606000000.00
2007-12-01,529132000000.00
2008-01-01,540166000000.00
2008-02-01,549563000000.00
2008-03-01,560655000000.00
2008-04-01,566761000000.00
2008-05-01,571874000000.00
2008-06-01,573841000000.00
2008-07-01,577882000000.00
2008-08-01,578256000000.00
2008-09-01,576367000000.00
2008-10-01,573751000000.00
2008-11-01,570784000000.00
2008-12-01,568311000000.00
2009-01-01,555353000000.00
2009-02-01,540867000000.00
2009-03-01,528093000000.00
2009-04-01,513561000000.00
2009-05-01,504551000000.00
2009-06-01,494317000000.00
2009-07-01,490433000000.00
2009-08-01,482699000000.00
2009-09-01,475407000000.00
2009-10-01,469897000000.00
2009-11-01,462928000000.00
2009-12-01,457958000000.00
2010-01-01,457448000000.00
2010-02-01,461261000000.00
2010-03-01,459714000000.00
2010-04-01,459780000000.00
2010-05-01,461016000000.00
2010-06-01,462359000000.00
2010-07-01,461975000000.00
2010-08-01,461347000000.00
2010-09-01,469927000000.00
2010-10-01,474765000000.00
2010-11-01,475715000000.00
2010-12-01,477848000000.00
2011-01-01,480420000000.00
2011-02-01,484569000000.00
2011-03-01,491184000000.00
2011-04-01,491310000000.00
2011-05-01,495870000000.00
2011-06-01,495538000000.00
2011-07-01,498932000000.00
2011-08-01,503849000000.00
2011-09-01,507129000000.00
2011-10-01,507958000000.00
2011-11-01,515369000000.00
2011-12-01,535640000000.00
2012-01-01,548453000000.00
2012-02-01,563351000000.00
2012-03-01,566090000000.00
2012-04-01,566456000000.00
2012-05-01,567340000000.00
2012-06-01,565862000000.00
2012-07-01,573832000000.00
2012-08-01,563739000000.00
2012-09-01,567199000000.00
2012-10-01,571254000000.00
2012-11-01,570275000000.00
2012-12-01,582732000000.00
2013-01-01,585898000000.00
2013-02-01,599313000000.00
2013-03-01,597037000000.00
2013-04-01,599017000000.00
2013-05-01,605905000000.00
2013-06-01,621267000000.00
2013-07-01,622396000000.00
2013-08-01,619088000000.00
2013-09-01,628044000000.00
2013-10-01,629643000000.00
2013-11-01,642317000000.00
2013-12-01,661177000000.00
2014-01-01,664722000000.00
2014-02-01,667231000000.00
2014-03-01,670012000000.00
2014-04-01,669532000000.00
2014-05-01,669917000000.00
2014-06-01,673085000000.00
2014-07-01,729805000000.00
2014-08-01,728679000000.00
2014-09-01,729399000000.00
2014-10-01,725126000000.00
2014-11-01,728506000000.00
2014-12-01,732426000000.00
2015-01-01,731799000000.00
2015-02-01,730513000000.00
2015-03-01,731380000000.00
2015-04-01,728969000000.00
2015-05-01,720873000000.00
2015-06-01,722451000000.00
2015-07-01,725102000000.00
2015-08-01,719939000000.00
2015-09-01,712234000000.00
2015-10-01,713631000000.00
2015-11-01,712585000000.00
2015-12-01,712819000000.00
2016-01-01,714141000000.00
2016-02-01,710946000000.00
2016-03-01,706201000000.00
2016-04-01,706400000000.00
2016-05-01,704293000000.00
2016-06-01,696505000000.00
2016-07-01,696343000000.00
2016-08-01,690112000000.00
2016-09-01,684262000000.00
2016-10-01,693317000000.00
2016-11-01,689238000000.00
2016-12-01,690272000000.00
2017-01-01,688355000000.00
2017-02-01,689641000000.00
2017-03-01,692253000000.00
2017-04-01,691899000000.00
2017-05-01,687268000000.00
2017-06-01,700828000000.00
2017-07-01,697648000000.00
2017-08-01,692108000000.00
2017-09-01,693336000000.00
2017-10-01,693702000000.00
2017-11-01,695570000000.00
2017-12-01,702812000000.00
2018-01-01,702141000000.00
2018-02-01,705101000000.00
2018-03-01,713391000000.00
2018-04-01,716767000000.00
2018-05-01,715049000000.00
