Date,UNDEVS
1992-01-01,32992000000.00
1992-02-01,37032000000.00
1992-03-01,43133000000.00
1992-04-01,37293000000.00
1992-05-01,36758000000.00
1992-06-01,45031000000.00
1992-07-01,34973000000.00
1992-08-01,36842000000.00
1992-09-01,43593000000.00
1992-10-01,39105000000.00
1992-11-01,38900000000.00
1992-12-01,45833000000.00
1993-01-01,34622000000.00
1993-02-01,38205000000.00
1993-03-01,45367000000.00
1993-04-01,38753000000.00
1993-05-01,39551000000.00
1993-06-01,45800000000.00
1993-07-01,35475000000.00
1993-08-01,39664000000.00
1993-09-01,45090000000.00
1993-10-01,40912000000.00
1993-11-01,41631000000.00
1993-12-01,48805000000.00
1994-01-01,36242000000.00
1994-02-01,41864000000.00
1994-03-01,48261000000.00
1994-04-01,41588000000.00
1994-05-01,42955000000.00
1994-06-01,50350000000.00
1994-07-01,38848000000.00
1994-08-01,43703000000.00
1994-09-01,50353000000.00
1994-10-01,44523000000.00
1994-11-01,46052000000.00
1994-12-01,53464000000.00
1995-01-01,40471000000.00
1995-02-01,47018000000.00
1995-03-01,53486000000.00
1995-04-01,45505000000.00
1995-05-01,47333000000.00
1995-06-01,56370000000.00
1995-07-01,41511000000.00
1995-08-01,47029000000.00
1995-09-01,55193000000.00
1995-10-01,48307000000.00
1995-11-01,50009000000.00
1995-12-01,58346000000.00
1996-01-01,41654000000.00
1996-02-01,49714000000.00
1996-03-01,58316000000.00
1996-04-01,48121000000.00
1996-05-01,51008000000.00
1996-06-01,59830000000.00
1996-07-01,44893000000.00
1996-08-01,50604000000.00
1996-09-01,59482000000.00
1996-10-01,51336000000.00
1996-11-01,53391000000.00
1996-12-01,62583000000.00
1997-01-01,44803000000.00
1997-02-01,53578000000.00
1997-03-01,64331000000.00
1997-04-01,54292000000.00
1997-05-01,55494000000.00
1997-06-01,68159000000.00
1997-07-01,52516000000.00
1997-08-01,56201000000.00
1997-09-01,68101000000.00
1997-10-01,57670000000.00
1997-11-01,57785000000.00
1997-12-01,70041000000.00
1998-01-01,50445000000.00
1998-02-01,59443000000.00
1998-03-01,71709000000.00
1998-04-01,57479000000.00
1998-05-01,58589000000.00
1998-06-01,73046000000.00
1998-07-01,53519000000.00
1998-08-01,57501000000.00
1998-09-01,70690000000.00
1998-10-01,60801000000.00
1998-11-01,61918000000.00
1998-12-01,71906000000.00
1999-01-01,51864000000.00
1999-02-01,59701000000.00
1999-03-01,71778000000.00
1999-04-01,60360000000.00
1999-05-01,62132000000.00
1999-06-01,73597000000.00
1999-07-01,57125000000.00
1999-08-01,63081000000.00
1999-09-01,71728000000.00
1999-10-01,62684000000.00
